E(MeV)	Xe-124
1.000000E-11	273.364585
1.029990E-11	269.370734
1.060870E-11	265.436906
1.092690E-11	261.559178
1.125440E-11	257.740917
1.159200E-11	253.976707
1.193950E-11	250.2699
1.229760E-11	246.615743
1.266620E-11	243.017328
1.304620E-11	239.469575
1.343720E-11	235.976872
1.384030E-11	232.533036
1.425520E-11	229.14238
1.468270E-11	225.799719
1.512290E-11	222.507886
1.557650E-11	219.262568
1.604340E-11	216.067595
1.652460E-11	212.917517
1.701990E-11	209.815883
1.753040E-11	206.758328
1.805590E-11	203.747287
1.859750E-11	200.779141
1.915500E-11	197.856508
1.972950E-11	194.975461
2.032090E-11	192.138399
2.093050E-11	189.341493
2.155790E-11	186.587965
2.220450E-11	183.873223
2.287010E-11	181.200356
2.355610E-11	178.565195
2.426220E-11	175.970863
2.498990E-11	173.413236
2.573900E-11	170.894918
2.651100E-11	168.412488
2.730570E-11	165.968081
2.812470E-11	163.55864
2.896780E-11	161.186049
2.983670E-11	158.847286
3.073110E-11	156.544636
3.165280E-11	154.275604
3.178640E-11	153.959414
3.260170E-11	152.041153
3.287800E-11	151.416114
3.357950E-11	149.838428
3.400710E-11	148.913934
3.458610E-11	147.669342
3.517500E-11	146.452437
3.562350E-11	145.53097
3.638290E-11	144.031062
3.669130E-11	143.425418
3.763240E-11	141.649
3.779190E-11	141.349633
3.892470E-11	139.305777
4.009230E-11	137.292432
4.026150E-11	137.011942
4.129410E-11	135.31012
4.164410E-11	134.755559
4.253270E-11	133.355766
4.307420E-11	132.535771
4.380760E-11	131.431581
4.455350E-11	130.35209
4.512160E-11	129.534615
4.608350E-11	128.204149
4.647420E-11	127.666821
4.766610E-11	126.091141
4.786810E-11	125.825606
4.930300E-11	124.012654
5.078180E-11	122.227019
5.099620E-11	121.978149
5.230410E-11	120.468773
5.274750E-11	119.976878
5.387290E-11	118.735583
5.455890E-11	118.008276
5.548780E-11	117.029082
5.643250E-11	116.071884
5.715210E-11	115.346914
5.837050E-11	114.167081
5.886530E-11	113.690652
6.037510E-11	112.293469
6.063100E-11	112.057984
6.244840E-11	110.450616
6.432150E-11	108.867454
