E(MeV)	mcnp/Ag-107:1
1E-11	1942.41
1.15436E-11	1942.41
1.30872E-11	1808
1.61743E-11	1698.12
1.92615E-11	1527.65
2.23486E-11	1400.03
2.54358E-11	1299.88
2.85229E-11	1218.57
3.46973E-11	1150.86
4.08716E-11	1043.68
4.70459E-11	961.818
5.32202E-11	896.668
5.93945E-11	843.222
7.17431E-11	798.353
8.40918E-11	726.692
9.64404E-11	671.483
1.08789E-10	627.265
1.33486E-10	590.82
1.58184E-10	533.773
1.82881E-10	490.695
2.07578E-10	456.685
2.56973E-10	428.953
3.06367E-10	386.039
3.55762E-10	353.996
4.05156E-10	328.897
5.03945E-10	308.551
6.02734E-10	277.263
7.01523E-10	254.045
8.00313E-10	235.935
9.97891E-10	221.3
1.19547E-09	198.861
1.39305E-09	182.254
1.59063E-09	169.325
1.98578E-09	158.892
2.38094E-09	142.924
2.77609E-09	131.127
3.17125E-09	121.952
3.96156E-09	114.553
4.75188E-09	103.232
5.54219E-09	94.8725
6.3325E-09	88.377
7.91313E-09	83.1415
9.49375E-09	75.1253
1.10744E-08	69.1974
1.2655E-08	64.5984
1.58163E-08	60.901
1.89775E-08	55.2316
2.21388E-08	51.0191
2.53E-08	47.7456
2.91074E-08	42.5516
2.92541E-08	42.4529
3.0271E-08	41.8982
3.29148E-08	40.4562
3.32081E-08	40.2963
3.52421E-08	39.4311
4.02131E-08	37.3168
4.05297E-08	37.1821
4.11163E-08	36.9326
4.51841E-08	35.6252
4.81445E-08	34.6737
4.90244E-08	34.3909
5.51262E-08	32.8553
5.57594E-08	32.6959
5.69326E-08	32.4007
6.33742E-08	31.0886
6.48407E-08	30.7899
6.50682E-08	30.7517
7.09891E-08	29.7592
7.27489E-08	29.4641
7.50103E-08	29.1616
8.49523E-08	27.8317
8.62188E-08	27.6623
8.85652E-08	27.3484
1.01448E-07	26.0162
1.04381E-07	25.7129
1.04836E-07	25.6755
1.16678E-07	24.7006
1.20198E-07	24.4108
1.24721E-07	24.1051
1.31908E-07	23.6192
1.36014E-07	23.3417
1.44605E-07	22.8588
1.47138E-07	22.7165
1.5183E-07	22.4527
1.64489E-07	21.8786
1.77597E-07	21.2842
1.83463E-07	21.0182
1.84373E-07	20.9859
2.08056E-07	20.1464
2.15096E-07	19.8969
2.24141E-07	19.639
2.38516E-07	19.2291
2.46728E-07	18.9949
2.63909E-07	18.5928
2.68975E-07	18.4742
2.78361E-07	18.2545
3.03677E-07	17.7847
3.29894E-07	17.2981
3.41626E-07	17.0804
3.43446E-07	17.0544
3.90813E-07	16.3781
4.04891E-07	16.1771
4.22982E-07	15.9711
4.51731E-07	15.6436
4.68156E-07	15.4566
5.02519E-07	15.1361
5.1265E-07	15.0416
5.31422E-07	14.8665
5.82055E-07	14.4942
6.34488E-07	14.1086
6.57952E-07	13.9361
6.61592E-07	13.9156
7.56325E-07	13.3817
7.84482E-07	13.223
8.20664E-07	13.0603
8.78163E-07	12.8016
9.11013E-07	12.6538
9.79737E-07	12.3993
0.000001	12.3243
1.03754E-06	12.1853
1.13125E-06	11.9059
1.13881E-06	11.8833
1.25897E-06	11.525
1.2625E-06	11.5177
1.29788E-06	11.4452
0.000001525	10.9793
1.57626E-06	10.8741
1.7875E-06	10.4408
1.79673E-06	10.4219
1.85464E-06	10.3357
2.04979E-06	10.0451
0.00000205	10.0448
2.17278E-06	9.8949
2.25232E-06	9.79779
2.3125E-06	9.72432
2.42938E-06	9.58162
2.49093E-06	9.51661
2.55591E-06	9.44797
2.57047E-06	9.43485
0.000002575	9.43076
2.80908E-06	9.21978
2.96815E-06	9.0764
3.06203E-06	8.99177
0.0000031	8.96448
3.12722E-06	8.94491
3.20676E-06	8.88773
3.28629E-06	8.83055
3.36583E-06	8.77337
3.44537E-06	8.71619
3.5249E-06	8.65902
3.56815E-06	8.62792
3.60444E-06	8.60641
0.000003625	8.59422
3.68398E-06	8.55926
3.76351E-06	8.5121
3.80328E-06	8.48853
3.84305E-06	8.46495
3.88282E-06	8.44137
3.92259E-06	8.4178
3.96235E-06	8.39422
4.00212E-06	8.37064
4.04189E-06	8.34707
4.07428E-06	8.32787
4.08166E-06	8.32426
4.12143E-06	8.30482
0.00000415	8.29085
4.1612E-06	8.28538
4.20096E-06	8.26594
4.24073E-06	8.2465
4.2805E-06	8.22706
4.32027E-06	8.20762
4.36004E-06	8.18818
4.39981E-06	8.16874
4.43957E-06	8.1493
4.47934E-06	8.12986
4.51911E-06	8.11042
4.55888E-06	8.09099
4.59865E-06	8.07155
4.61853E-06	8.06183
4.63842E-06	8.05211
4.6583E-06	8.04239
0.000004675	8.03422
4.67818E-06	8.03267
4.69807E-06	8.02295
4.70693E-06	8.01862
4.71795E-06	8.01402
4.73784E-06	8.00573
4.75772E-06	7.99745
4.7776E-06	7.98916
4.79749E-06	7.98087
4.81737E-06	7.97259
4.83726E-06	7.9643
4.85714E-06	7.95601
4.87702E-06	7.94772
4.89691E-06	7.93944
4.91679E-06	7.93115
4.92673E-06	7.92701
4.93668E-06	7.92286
4.94662E-06	7.91872
4.95656E-06	7.91457
4.9665E-06	7.91043
4.97645E-06	7.90629
4.98639E-06	7.90214
4.99633E-06	7.898
5.00627E-06	7.89386
5.01621E-06	7.88971
5.02616E-06	7.88557
5.0361E-06	7.88143
5.04604E-06	7.87728
5.05598E-06	7.87314
5.06592E-06	7.86899
5.07587E-06	7.86485
5.08581E-06	7.86071
5.08652E-06	7.86041
