E(MeV)	Mg-nat
4.90978E-03	2.12392
4.91085E-03	2.12443
4.91192E-03	2.12495
4.91299E-03	2.12549
4.91370E-03	2.12587
4.91441E-03	2.12626
4.91513E-03	2.12667
4.91566E-03	2.12699
4.91619E-03	2.12733
4.91673E-03	2.1277
4.91726E-03	2.1281
4.91780E-03	2.12853
4.91833E-03	2.12899
4.91887E-03	2.12949
4.91940E-03	2.13003
4.91997E-03	2.13022
4.92054E-03	2.13046
4.92112E-03	2.13073
4.92188E-03	2.13114
4.92398E-03	2.13234
4.92474E-03	2.13273
4.92550E-03	2.13307
4.92616E-03	2.1333
4.92683E-03	2.13347
4.92749E-03	2.13356
4.92795E-03	2.13357
4.92815E-03	2.13385
4.92881E-03	2.1347
4.92948E-03	2.13545
4.92981E-03	2.13579
4.93047E-03	2.13639
4.93104E-03	2.13683
4.93175E-03	2.13729
4.93246E-03	2.13764
4.93317E-03	2.13791
4.93365E-03	2.13806
4.93460E-03	2.13828
4.93650E-03	2.13865
4.93745E-03	2.13889
4.93816E-03	2.13911
4.93880E-03	2.13935
4.93940E-03	2.13961
4.94000E-03	2.1399
4.94060E-03	2.14023
4.94120E-03	2.14058
4.94200E-03	2.14109
4.94280E-03	2.14163
4.94302E-03	2.14178
4.94400E-03	2.14536
4.94520E-03	2.1498
4.94640E-03	2.15426
4.94710E-03	2.15688
4.94720E-03	2.15768
4.94800E-03	2.16408
4.94860E-03	2.1689
4.94920E-03	2.17374
4.94980E-03	2.17861
4.95040E-03	2.1835
4.95100E-03	2.18842
4.95148E-03	2.19242
4.95205E-03	2.19713
4.95262E-03	2.20188
4.95319E-03	2.20664
4.95376E-03	2.21143
4.95433E-03	2.21624
4.95518E-03	2.22348
4.95525E-03	2.22407
4.95603E-03	2.23219
4.95689E-03	2.24106
4.95746E-03	2.247
4.95802E-03	2.25297
4.95831E-03	2.25594
4.95845E-03	2.25819
4.95888E-03	2.2648
4.95930E-03	2.27145
4.95973E-03	2.27815
4.95983E-03	2.27979
4.96016E-03	2.28768
4.96044E-03	2.29466
4.96073E-03	2.30167
4.96101E-03	2.30872
4.96130E-03	2.31581
4.96136E-03	2.3175
4.96158E-03	2.32547
4.96186E-03	2.33595
4.96215E-03	2.34649
4.96238E-03	2.35516
4.96243E-03	2.35775
4.96272E-03	2.37206
4.96300E-03	2.38644
4.96329E-03	2.4009
4.96340E-03	2.40672
4.96357E-03	2.41822
4.96385E-03	2.43751
4.96414E-03	2.45688
4.96442E-03	2.47634
4.96444E-03	2.47731
4.96471E-03	2.50068
4.96499E-03	2.52538
4.96522E-03	2.54488
4.96528E-03	2.55129
4.96556E-03	2.58133
4.96585E-03	2.61151
4.96599E-03	2.62735
4.96613E-03	2.64465
4.96641E-03	2.681
4.96670E-03	2.71753
4.96677E-03	2.72701
4.96698E-03	2.75909
4.96727E-03	2.80255
4.96755E-03	2.84599
4.96755E-03	2.84627
4.96784E-03	2.89714
4.96812E-03	2.94826
4.96833E-03	2.98582
4.96840E-03	3.00151
