E(MeV)	mcnp/Co-59:1			
0.000133076	9206.955328			
0.000134511	6095.278625			
0.00013487	5404.468723			
0.000135175	4875.603943			
0.000135481	4401.734177			
0.000135786	3980.048963			
0.000136091	3606.093282			
0.000136397	3275.301954			
0.000136702	2982.634339			
0.000137007	2723.7178			
0.000137313	2494.293154			
0.000137618	2291.137207			
0.000137923	2111.158076			
0.000138534	1806.102056			
0.000139145	1558.836378			
0.000139755	1357.687795			
0.000140366	1192.452918			
0.000140977	1055.302326			
0.000141587	940.403643			
0.000142198	843.2986922			
0.000142809	760.5624639			
0.00014342	689.5374914			
0.00014403	628.1416047			
0.000144641	574.7278886			
0.000145252	527.9893303			
0.000145862	486.8529196			
0.000146473	450.4842164			
0.000147084	418.4517322			
0.000148305	363.9621679			
0.000149526	319.5309637			
0.000150748	283.0789272			
0.000151969	252.7938455			
0.00015319	227.3552386			
0.000154412	205.7758576			
0.000155633	187.3089363			
0.000156855	171.3762544			
0.000158076	157.5324438			
0.000159297	145.4221344			
0.000160519	134.7660207			
0.00016174	125.3910449			
0.000164183	109.5512366			
0.000166625	96.74178068			
0.000169068	86.26742626			
0.000171511	77.58509811			
0.000173954	70.30056085			
0.000176396	64.12392738			
0.000178839	58.8365973			
0.000181282	54.27191258			
0.000183725	50.30065251			
0.000186167	46.82189263			
0.00018861	43.7549906			
0.000191053	41.03574882			
0.000193496	38.61911274			
0.000198381	34.49992921			
0.000203267	31.13042589			
0.000208152	28.33905713			
0.000213038	25.99604229			
0.000217923	24.00656448			
0.000222808	22.29984737			
0.000227694	20.82235392			
0.000232579	19.53274131			
0.000237465	18.39883038			
0.00024235	17.39509247			
0.000247236	16.50117743			
0.000252121	15.70195786			
0.000261892	14.33070135			
0.000271663	13.19836991			
0.000281434	12.24989846			
0.000291205	11.44461938			
0.000300976	10.75281922			
0.000310747	10.15229814			
0.000320518	9.626192492			
0.000330289	9.161476633			
0.00034006	8.748372161			
0.000359602	8.044167488			
0.000369373	7.741561621			
0.000388914	7.214391979			
0.000408456	6.769353593			
0.000427998	6.388246179			
0.00044754	6.057664248			
0.000467082	5.767700142			
0.000486624	5.511028102			
0.000525708	5.075201073			
0.000564791	4.717336371			
0.000603875	4.416786081			
0.000662501	4.043728615			
0.000682043	3.935500796			
0.00076021	3.562338884			
0.000838378	3.260053241			
0.000916545	3.007342135			
0.001033796	2.69309465			
0.001229215	2.282905379			
0.001307382	2.146343928			
0.001346466	2.082996851			
0.001356237	2.067899453			
0.001361122	2.060632133			
0.001366008	2.053776803			
0.001370893	2.047830169			
0.001373336	2.045716621			
0.001375779	2.045013266			
0.001377	2.045772144			
0.001378221	2.048123454			
0.001379442	2.053524738			
0.001380053	2.058420254			
0.001380664	2.066215459			
0.001381274	2.079990126			
0.001381579	2.091526511			
0.001381885	2.109136485			
0.00138219	2.136968346			
0.001382496	2.182248659			
0.001382801	2.255328774			
0.001382954	2.306918028			
0.001383107	2.371260018			
0.001383259	2.449997765			
0.001383412	2.546312279			
0.001383564	2.660828977			
0.001383717	2.79648534			
0.001383869	2.952209102			
0.001384022	3.129773749			
0.001384175	3.326721584			
0.001384328	3.540138102			
0.001384939	4.447805402			
0.001385167	4.742047746			
0.001385397	4.970175333			
0.001385612	5.099766958			
0.0013858	5.136457214			
0.001386018	5.085700519			
0.001386212	4.96028491			
0.001386485	4.676008607			
0.001386593	4.536682221			
0.00138692	4.061795893			
0.001387137	3.733068895			
0.001387355	3.416763805			
0.001387572	3.131168476			
0.00138779	2.883067553			
0.001388007	2.678415192			
0.001388225	2.51440429			
0.001388442	2.38847287			
0.00138866	2.293653748			
0.001388877	2.22454643			
0.001389095	2.174556191			
0.001389312	2.139052501			
0.00138953	2.113609608			
0.001389965	2.08195962			
0.0013904	2.064122867			
0.001390835	2.052850721			
0.00139127	2.044961586			
0.00139214	2.034374449			
0.00139301	2.027442153			
0.00139475	2.018481727			
0.00139649	2.012502832			
0.00139997	2.003958471			
0.00140345	1.997161688			
0.00140693	1.991133682			
0.00141389	1.979979795			
0.00142781	1.95893603			
0.001441731	1.938610895			
0.001553093	1.787419756			
0.001831499	1.478854408			
0.001998542	1.336358633			
0.002165585	1.22676898			
0.002221266	1.198429034			
0.002235186	1.192245089			
0.002249107	1.186914552			
0.002256067	1.185107236			
0.002259547	1.184853524			
0.002263027	1.185744822			
0.002266507	1.189298244			
0.002268247	1.193755612			
0.002269987	1.203312392			
0.002270857	1.212872444			
0.002271727	1.231917787			
0.002272162	1.250354108			
0.002272597	1.282046982			
0.002273032	1.33822354			
0.002273249	1.380763465			
0.002273467	1.43708492			
0.002273684	1.510106411			
0.002273902	1.604251876			
0.002274119	1.722431986			
0.002274337	1.869218946			
0.002274554	2.045952169			
0.002274772	2.255641364			
0.002274989	2.495863328			
0.002275207	2.765939939			
0.002276077	3.976626736			
0.002276403	4.376608495			
0.002276566	4.540600831			
0.002276839	4.74261975			
0.002277011	4.815807509			
0.0022772	4.843667502			
0.00227742	4.805277672			
0.002277629	4.700501302			
0.002277879	4.496494999			
0.002278093	4.265397089			
0.002278449	3.802188679			
0.002278877	3.194101497			
0.002279162	2.804322044			
0.002279447	2.452055124			
0.002279732	2.149841621			
0.002280017	1.902381528			
0.002280302	1.708088711			
0.002280587	1.561159749			
0.002280872	1.453627367			
0.002281157	1.377037129			
0.002281442	1.323586278			
0.002281727	1.286731245			
0.002282012	1.261373284			
0.002282582	1.231301518			
0.002283152	1.215357373			
0.002284292	1.199098539			
0.002285432	1.190527705			
0.002286572	1.185181061			
0.002288852	1.178795201			
0.002291132	1.175021217			
0.002295693	1.170465972			
0.002300253	1.167447969			
0.002304813	1.165113455			
0.002313934	1.161274346			
0.002332175	1.154884196			
0.002350417	1.149431371			
0.002496347	1.127819834			
0.002569313	1.133120026			
0.002642278	1.151115167			
0.002715244	1.183679786			
0.002769967	1.219401669			
0.002788209	1.234015477			
0.002797329	1.242054508			
0.00280645	1.25077749			
0.002815571	1.260502122			
0.002824692	1.271936429			
0.002829252	1.278859812			
0.002833812	1.287388714			
0.002838372	1.298605488			
0.002840652	1.306038909			
0.002842933	1.315734525			
0.002845213	1.328978457			
0.002847493	1.348343812			
0.002848633	1.361731215			
0.002849773	1.379054534			
0.002850913	1.402514753			
0.002852054	1.435925083			
0.002853194	1.486400087			
0.002853764	1.52260839			
0.002854334	1.57138381			
0.002854904	1.641492623			
0.002855474	1.751652238			
0.002855759	1.833069292			
0.002856044	1.942454622			
0.002856329	2.091793379			
0.002856614	2.297565506			
0.002856899	2.581623331			
0.002857041	2.760765137			
0.002857184	2.971705498			
0.002857326	3.215826089			
0.002857469	3.501219906			
0.002857611	3.828709828			
0.002857754	4.207868224			
0.002857896	4.638272734			
0.002858039	5.13071511			
0.002858181	5.682609628			
0.002858324	6.305467367			
0.002858466	6.993448154			
0.002858609	7.758051885			
0.002858894	9.49704272			
0.002859036	10.46644274			
0.002859321	12.5942595			
0.002860247	20.23234623			
0.002860604	22.80656987			
0.002860924	24.56831951			
0.002861103	25.25754415			
0.002861418	25.87155744			
0.0028615	25.8991181			
0.002861784	25.56731958			
0.002861996	24.90276479			
0.002862236	23.76233083			
0.002862649	21.03055501			
0.002863749	12.0585701			
0.002864024	10.05884118			
0.002864299	8.300732159			
0.002864436	7.523067998			
0.002864574	6.806895497			
0.002864711	6.16179141			
0.002864849	5.576432486			
0.002864986	5.056537583			
0.002865124	4.591044797			
0.002865261	4.182779565			
0.002865399	3.821512956			
0.002865536	3.508101167			
0.002865674	3.233526956			
0.002865811	2.997460097			
0.002865949	2.792279795			
0.002866224	2.465610464			
0.002866498	2.226520921			
0.002866773	2.05066634			
0.002867048	1.921352826			
0.002867323	1.825264321			
0.002867598	1.75269867			
0.002867873	1.696764386			
0.002868423	1.617076462			
0.002868973	1.563126613			
0.002869523	1.52396511			
0.002870623	1.470685224			
0.002871722	1.436447208			
0.002872822	1.413052888			
0.002873922	1.396493997			
0.002875022	1.384457722			
0.002877222	1.368629618			
0.002879422	1.359220554			
0.002881621	1.353632069			
0.002883821	1.350504244			
0.00288822	1.348244074			
0.002892619	1.348927258			
0.002897019	1.351376983			
0.002905817	1.358935803			
0.002914616	1.368397446			
0.002923414	1.378995608			
0.002932213	1.390396348			
0.00294981	1.415012524			
0.003002602	1.500183775			
0.003072991	1.640064443			
0.00314338	1.814127274			
0.003213768	2.028776125			
0.003284157	2.292173714			
0.003354546	2.614705427			
0.003424935	3.009768628			
0.003495323	3.49495482			
0.003565712	4.093953579			
0.003636101	4.839034439			
0.003671295	5.280276499			
0.00370649	5.777953362			
0.003741684	6.341451595			
0.003776879	6.98330746			
0.003812073	7.71970323			
0.003847268	8.572217269			
0.003882462	9.570180428			
0.003917657	10.7535313			
0.003935254	11.43240953			
0.003952851	12.18387109			
0.003966048	12.80282221			
0.003970448	13.02200505			
0.003974847	13.25260979			
0.003977047	13.37484934			
0.003979247	13.50731456			
0.003980346	13.58410699			
0.003980896	13.63069088			
0.003981446	13.69039597			
0.003981996	13.77705557			
0.003982546	13.91720699			
0.003982821	14.02076836			
0.003983096	14.15675578			
0.003983371	14.33470309			
0.003983646	14.56553094			
0.003983921	14.86111002			
0.003984196	15.23351537			
0.003984471	15.69394892			
0.003984746	16.25135364			
0.003985021	16.91080655			
0.003985296	17.67184072			
0.003985571	18.52691165			
0.003985846	19.46025986			
0.003986671	22.44516804			
0.003987083	23.79555			
0.003987358	24.54278796			
0.003987667	25.17605366			
0.003987873	25.45502724			
0.003988084	25.61054609			
0.0039882	25.63787136			
0.003988439	25.5629782			
0.003988767	25.18189386			
0.003989112	24.46960929			
0.003989457	23.50355963			
0.003990008	21.64568839			
0.003990835	18.80756587			
0.003991111	17.98323679			
0.003991387	17.25376498			
0.003991663	16.6265396			
0.003991939	16.10183155			
0.003992215	15.67435988			
0.003992491	15.33499592			
0.003992767	15.0723874			
0.003993042	14.8749678			
0.003993318	14.72940138			
0.003993594	14.62556492			
0.00399387	14.55392256			
0.003994422	14.47699555			
0.003994974	14.45295524			
0.003995525	14.45549712			
0.003996077	14.47099422			
0.003997181	14.51819427			
0.003999387	14.63406905			
0.004001594	14.76104235			
0.004006008	15.03008002			
0.004010421	15.31390001			
0.004023662	16.22964222			
0.004041316	17.61170021			
0.00405897	19.21801972			
0.004076624	21.10927632			
0.004094278	23.36857675			
0.004111932	26.11278056			
0.004129587	29.5098491			
0.004147241	33.78971283			
0.004156068	36.36747219			
0.004164895	39.33285376			
0.004173722	42.75301576			
0.004182549	46.72690583			
0.004191376	51.38008891			
0.004200204	56.87356065			
0.004209031	63.41190669			
0.004217858	71.26083832			
0.004226685	80.76209867			
0.004235512	92.354235			
0.004244339	106.5926609			
0.004253166	124.1608402			
0.004261993	145.8514825			
0.004270821	172.411039			
0.004277355	195.5936222			
0.00428389	222.0313567			
0.004303495	312.0620357			
0.00431003	339.7263048			
0.004316565	361.5985072			
0.0043231	374.7996512			
0.004329634	377.7049382			
0.004336169	370.4464128			
0.004342704	354.788665			
0.004349239	333.3915016			
0.004368844	260.1771868			
0.004375379	238.0456121			
0.004384768	210.1562391			
0.004394158	186.9003394			
0.004403548	167.8755202			
0.004412938	152.4316704			
0.004422327	139.9297804			
0.004431717	129.8110158			
0.004441107	121.6199826			
0.004450497	114.9913668			
0.004459886	109.637038			
0.004469276	105.3593225			
0.004488056	99.22690542			
0.004506836	95.53901966			
0.004525616	93.68425262			
0.004544395	93.23845411			
0.004563175	93.93944672			
0.004600735	98.02230216			
0.004638294	105.0339418			
0.004675854	114.5821437			
0.004718372	128.1605227			
0.00476089	144.4008067			
0.004888445	201.9173841			
0.004930963	219.2843932			
0.004973481	232.3578031			
0.005016	239.2936329			
0.005058518	239.2112464			
0.005101036	232.4783981			
0.005143554	220.4950204			
0.005186073	205.1376279			
0.005271109	171.1292365			
0.005313627	154.8057309			
0.005356146	139.7449565			
0.005388413	129.2982162			
0.00542068	119.7265648			
0.005452947	111.0027878			
0.005485215	103.0887462			
0.00554975	89.41031955			
0.005614285	78.17676126			
0.005678819	68.92699118			
0.005743354	61.26249743			
0.005807889	54.86258369			
0.005872424	49.4738987			
0.005936958	44.89779628			
0.006001493	40.97801858			
0.006066028	37.59083467			
0.006130563	34.63579081			
0.006195097	32.02543131			
0.006227364	30.82208011			
0.006259632	29.66894434			
0.006291899	28.53997014			
0.006308033	27.9693234			
0.0063161	27.67711848			
0.006332233	27.06188473			
0.0063403	26.72792907			
0.006348367	26.36158437			
0.0063524	26.15977092			
0.00635845	25.82396112			
0.006362484	25.56781284			
0.006364501	25.42682031			
0.006368534	25.11232327			
0.006370551	24.9360201			
0.006372568	24.74642689			
0.006374584	24.54683645			
0.006375592	24.4467535			
0.006376601	24.35112817			
0.006377609	24.26812785			
0.006378618	24.21423953			
0.006379626	24.22680294			
0.00638013	24.28190988			
0.006380635	24.39364463			
0.006381139	24.59141333			
0.006381643	24.91983931			
0.006382147	25.44328032			
0.006382651	26.25129319			
0.006383155	27.46252861			
0.006383407	28.26455369			
0.006383659	29.22490347			
0.006383911	30.36558768			
0.006384163	31.70913229			
0.006384415	33.2778215			
0.006384668	35.10047278			
0.00638492	37.18153262			
0.006385172	39.54292755			
0.006385676	45.14162804			
0.00638618	51.89528071			
0.006386937	63.85359665			
0.006387819	79.01058954			
0.006388449	89.04427668			
0.006388826	94.12341549			
0.00638945	100.2291309			
0.006389824	102.228099			
0.006390074	102.8084935			
0.006390573	102.1463575			
0.0063912	98.13450947			
0.006391906	90.32143826			
0.006393115	73.2219611			
0.006393518	67.55240464			
0.006393719	64.85118908			
0.006394122	59.77433552			
0.006394324	57.42307323			
0.006394727	53.15102241			
0.00639513	49.44727014			
0.006395533	46.29299225			
0.006395936	43.64424025			
0.006396339	41.44266752			
0.006396742	39.62433848			
0.006397145	38.12621167			
0.006397548	36.89033957			
0.006397951	35.86611327			
0.006398354	35.01102424			
0.006398757	34.29042274			
0.006399563	33.14820985			
0.006400369	32.28357052			
0.006401175	31.6029742			
0.006401981	31.05006973			
0.006402787	30.58978309			
0.006404398	29.86322968			
0.006406816	29.08065252			
0.006408428	28.68693276			
0.006411652	28.08420056			
0.006413264	27.84569228			
0.006416488	27.45175387			
0.006419711	27.13587274			
0.006422935	26.87174903			
0.006429383	26.44226213			
0.006432606	26.26190497			
0.006442278	25.80595553			
0.006448725	25.54627859			
0.006455173	25.3116777			
0.006468068	24.88999115			
0.006493859	24.15989529			
0.006519649	23.51584746			
0.006545439	22.92403048			
0.00659702	21.84492799			
0.0066486	20.86703725			
0.006700181	19.96841051			
0.006803343	18.35697466			
0.006906504	16.94053879			
0.007009666	15.67405301			
0.007112827	14.52182084			
0.007215989	13.45270388			
0.00731915	12.43636884			
0.007422311	11.43878884			
0.007525472	10.41543648			
0.007577053	9.873868206			
0.007628634	9.295842318			
0.007680214	8.663505542			
0.007731795	7.949306211			
0.007757585	7.549048342			
0.007783376	7.110997464			
0.007809166	6.626754145			
0.007822061	6.363931265			
0.007847852	5.786873422			
0.007873642	5.130157543			
0.007886537	4.767221997			
0.007899432	4.379424557			
0.007912327	3.966891257			
0.007925222	3.532775192			
0.007938118	3.085380303			
0.007944565	2.862422294			
0.00795746	2.441942548			
0.007963908	2.261448817			
0.007970355	2.119443154			
0.007976803	2.035485009			
0.007980027	2.02539375			
0.007983251	2.046335722			
0.007986475	2.104544779			
0.007989699	2.20897875			
0.007992922	2.371222944			
0.007996146	2.605526065			
0.00799937	2.928978664			
0.008000982	3.13184668			
0.008002594	3.367535392			
0.008004205	3.640113858			
0.008005817	3.954435403			
0.008007429	4.315525663			
0.008009041	4.729442392			
0.008010653	5.203194212			
0.008012265	5.744833823			
0.008013877	6.363602022			
0.008015489	7.070108997			
0.0080171	7.876011039			
0.008018712	8.79631149			
0.008020324	9.846644328			
0.008021936	11.0455078			
0.008023548	12.41412822			
0.00802516	13.9768117			
0.008026772	15.76130194			
0.008028384	17.79911806			
0.008029996	20.12583262			
0.008031608	22.78122535			
0.00803322	25.80925944			
0.008034832	29.25788244			
0.008036444	33.17867845			
0.008038056	37.62565699			
0.008039668	42.65082968			
0.00804128	48.29566225			
0.008043857	58.65698928			
0.008046435	70.63660722			
0.00805159	98.16613362			
0.008054167	112.2137792			
0.008056745	124.9274329			
0.008059322	135.0414141			
0.0080619	141.5932542			
0.008064477	144.1601464			
0.008067055	142.9523144			
0.008069632	138.6606049			
0.00807221	132.2013441			
0.008077365	116.3872704			
0.008079942	108.3110622			
0.00808252	100.5892617			
0.008085151	93.26915797			
0.008087782	86.59738359			
0.008090413	80.58151873			
0.008093045	75.18725971			
0.008095676	70.36745592			
0.008098308	66.06051041			
0.008100939	62.21190563			
0.008103571	58.76447727			
0.008108834	52.88849764			
0.008111465	50.38270931			
0.008114097	48.12506764			
0.00811936	44.19931293			
0.008124623	40.90460105			
0.008129886	38.12694468			
0.008135149	35.76143113			
0.008140412	33.72751931			
0.008145675	31.96331991			
0.008150938	30.42075542			
0.008161464	27.85731396			
0.008166727	26.78247153			
0.008177252	24.95542938			
0.008187778	23.45525707			
0.008198304	22.19559837			
0.00820883	21.1286328			
0.008229882	19.41892705			
0.008240408	18.72289117			
0.008261459	17.55931594			
0.008271985	17.06937934			
0.008293037	16.22295649			
0.008314089	15.51526331			
0.008335141	14.91441079			
0.008377245	13.94285331			
0.008419349	13.18391814			
0.008461452	12.56639899			
0.008503556	12.04693339			
0.008587764	11.20207146			
0.008650919	10.66635439			
0.008682497	10.40290737			
0.008708812	10.1545019			
0.008724601	9.954029396			
0.008732495	9.809628969			
0.008737758	9.673626641			
0.00874039	9.584197254			
0.008743021	9.47229973			
0.008744337	9.406783082			
0.008745653	9.341820363			
0.008746968	9.311392942			
0.008747626	9.340570433			
0.008748284	9.436196796			
0.008748942	9.646317543			
0.0087496	10.03978233			
0.008750258	10.70582133			
0.008750916	11.74632373			
0.008751573	13.25542276			
0.008752231	15.30163394			
0.008752889	17.88079058			
0.008753547	20.89464787			
0.008754369	24.94460929			
0.008754863	27.29922351			
0.008755274	29.07856668			
0.008755685	30.60228948			
0.008756014	31.58570957			
0.008756652	32.7733875			
0.008757228	32.94711183			
0.008757519	32.7076949			
0.008758019	31.81986387			
0.008758518	30.41556987			
0.008759517	26.57408424			
0.008760017	24.42641271			
0.00876035	23.00487005			
0.008761016	20.32394896			
0.008761349	19.10998497			
0.008761682	17.99983113			
0.008762015	17.00052788			
0.008762348	16.11390535			
0.008763013	14.66742912			
0.008763679	13.60263096			
0.008764345	12.84468397			
0.008765011	12.31446398			
0.008765677	11.94386235			
0.008766343	11.68059055			
0.008767675	11.34082446			
0.008769006	11.12866298			
0.00877167	10.86146529			
0.008775665	10.62514			
0.008780992	10.43509934			
0.008788983	10.25815097			
0.008799637	10.10540581			
0.008815618	9.944233303			
0.008831599	9.818946171			
0.00888487	9.491521999			
0.008927487	9.271816479			
0.00901272	8.882882715			
0.009097953	8.535014311			
0.009268419	7.910499228			
0.009311035	7.762972437			
0.00937496	7.544186667			
0.009396269	7.4719596			
0.009406923	7.436860554			
0.009417577	7.404956146			
0.009422904	7.393945495			
0.009425567	7.393489332			
0.009428231	7.408080967			
0.009429562	7.440165002			
0.009430228	7.474590922			
0.009430894	7.53202696			
0.00943156	7.625126164			
0.009432226	7.770445126			
0.009432892	7.987319446			
0.009433558	8.294949485			
0.009434224	8.70749387			
0.00943489	9.227710232			
0.009435556	9.840637486			
0.009436222	10.50958646			
0.009437221	11.48741345			
0.00943772	11.89752355			
0.00943822	12.21494105			
0.009438719	12.41339918			
0.009439201	12.47750849			
0.009439516	12.44872445			
0.009439889	12.34364018			
0.009440513	12.01008364			
0.009441261	11.40443295			
0.009443008	9.663696224			
0.009443507	9.207758075			
0.009444006	8.804057764			
0.009444505	8.459969682			
0.009445004	8.176795904			
0.009445503	7.951168744			
0.009446002	7.776642585			
0.009446501	7.645197041			
0.009447499	7.478609523			
0.009448497	7.393566578			
0.009449495	7.350528213			
0.009451491	7.312790063			
0.009455483	7.280797368			
0.009463467	7.241352183			
0.009471451	7.208452804			
0.009487419	7.146437886			
0.009519355	7.020071212			
0.009551291	6.881486122			
0.009583227	6.718396568			
0.009607179	6.563067482			
0.009623147	6.429293797			
0.009631131	6.346400345			
0.009643107	6.189428834			
0.009655083	5.964620596			
0.009663067	5.744551077			
0.009667059	5.596846608			
0.009669055	5.509285908			
0.009673047	5.296572242			
0.009675043	5.165533965			
0.009677039	5.012667505			
0.009679035	4.832395341			
0.009680033	4.729903725			
0.009682029	4.496712732			
0.009683027	4.366698721			
0.009684025	4.232551984			
0.009685023	4.107099301			
0.009686021	4.021487481			
0.00968652	4.012503939			
0.009687019	4.042679287			
0.009687518	4.13003969			
0.009688017	4.297961769			
0.009688516	4.575550811			
0.009689015	4.997403705			
0.009689514	5.602465805			
0.009689763	5.985688943			
0.009690013	6.431721084			
0.009690262	6.941828167			
0.009690512	7.524570584			
0.009690761	8.179152515			
0.009691011	8.913952451			
0.00969126	9.725239724			
0.00969151	10.6205344			
0.009692009	12.64661583			
0.009692258	13.77145738			
0.009692757	16.2275945			
0.009693256	18.89721278			
0.00969388	22.39421923			
0.009694628	26.51189092			
0.009695152	29.12312073			
0.009695452	30.44826753			
0.009695901	32.13389411			
0.009696201	33.03116729			
0.0096965	33.72475568			
0.0096968	34.20932167			
0.009697399	34.53070301			
0.009698118	33.8297831			
0.009699078	31.38527501			
0.009699797	28.82003711			
0.009700517	25.98858688			
0.009700997	24.09947602			
0.009701237	23.18071147			
0.009701716	21.43081586			
0.009702196	19.81941327			
0.009702676	18.37192847			
0.009703156	17.09574137			
0.009703635	15.98936095			
0.009704115	15.03691742			
0.009704595	14.22505592			
0.009705075	13.5358999			
0.009705554	12.95254207			
0.009706034	12.45565441			
0.009706994	11.66699041			
0.009707953	11.07641609			
0.009708913	10.61824099			
0.009709872	10.25206568			
0.009710832	9.950839103			
0.009712751	9.482370209			
0.00971467	9.132431364			
0.009715629	8.98831383			
0.009718508	8.640739881			
0.009720427	8.460106895			
0.009724265	8.178672168			
0.009730022	7.882266918			
0.00973386	7.736394751			
0.009743455	7.473827511			
0.009754969	7.264616495			
0.009766483	7.115920352			
0.009774159	7.036945665			
0.009797187	6.853653596			
0.009820216	6.715804004			
0.009866272	6.500965986			
0.009912329	6.323095276			
0.01000444	6.007686375			
0.01012726	5.609788161			
0.01018867	5.410648814			
0.01028078	5.112420692			
0.01031149	5.016442675			
0.0103729	4.845122677			
0.0104036	4.7819022			
0.01043431	4.750170276			
0.01046501	4.775415235			
0.01048036	4.822795261			
0.01051107	5.035928278			
0.01052642	5.235136599			
0.01054177	5.529188612			
0.01054945	5.724785932			
0.01055713	5.965812841			
0.0105648	6.259492383			
0.01057248	6.619159933			
0.01058015	7.060083633			
0.01058783	7.604523679			
0.0105955	8.278821872			
0.01060318	9.121742483			
0.01061086	10.18239125			
0.01061854	11.52877924			
0.01062621	13.23544173			
0.01063005	14.26436901			
0.01063389	15.44965135			
0.01063772	16.80539053			
0.01064156	18.36680363			
0.0106454	20.16630777			
0.01064924	22.24685159			
0.01065307	24.65317828			
0.01065691	27.45904582			
0.01066075	30.73123189			
0.01066459	34.5549891			
0.01066843	39.02846131			
0.01067227	44.26138562			
0.01067611	50.37155419			
