E(MeV)	"F-19(N,TOT)"
5.00000E-03	3.6207
6.04114E-03	3.61639
7.04768E-03	3.61222
8.05643E-03	3.60805
8.57043E-03	3.60592
9.06349E-03	3.60388
1.00000E-02	3.60001
1.10000E-02	3.59587
1.27435E-02	3.58867
1.60090E-02	3.58172
1.90000E-02	3.59171
1.92681E-02	3.59262
2.09947E-02	3.61708
2.10316E-02	3.61761
2.11055E-02	3.61866
2.18958E-02	3.64635
2.19344E-02	3.6477
2.20115E-02	3.65041
2.30000E-02	3.71366
2.33245E-02	3.74973
2.33553E-02	3.75737
2.33656E-02	3.75992
2.38204E-02	3.87287
2.45643E-02	4.06646
2.45720E-02	4.06847
2.45937E-02	4.08272
2.49593E-02	4.32317
2.50000E-02	4.34992
2.51369E-02	4.48762
2.51460E-02	4.49681
2.51903E-02	4.57048
2.55457E-02	5.16097
2.55570E-02	5.19151
2.55682E-02	5.22209
2.58714E-02	6.32697
2.58823E-02	6.36656
2.58850E-02	6.3827
2.58931E-02	6.43115
2.59040E-02	6.52584
2.59474E-02	6.9047
2.61971E-02	9.12804
2.62053E-02	9.228
2.62080E-02	9.26136
2.62140E-02	9.37026
2.62200E-02	9.47925
2.62320E-02	9.73516
2.63880E-02	13.0623
2.64000E-02	13.3565
2.64125E-02	13.7403
2.64375E-02	14.6012
2.64500E-02	15.0857
2.64813E-02	16.4608
2.64875E-02	16.7358
2.64938E-02	17.0344
2.65000E-02	17.3331
2.65063E-02	17.6787
2.65187E-02	18.3702
2.65375E-02	19.466
2.65437E-02	19.8313
2.65500E-02	20.2488
2.65562E-02	20.6665
2.65625E-02	21.1385
2.65875E-02	23.0266
2.65938E-02	23.5372
2.66000E-02	24.0479
2.66063E-02	24.6304
2.66125E-02	25.213
2.66312E-02	27.0954
2.66375E-02	27.723
2.66437E-02	28.4308
2.66469E-02	28.7848
2.66500E-02	29.1837
2.66562E-02	29.9817
2.66625E-02	30.8562
2.66906E-02	34.7925
2.67000E-02	36.2575
2.67094E-02	37.9287
2.67406E-02	44.0094
2.67500E-02	46.0062
2.67594E-02	48.2931
2.67812E-02	54.2419
2.67938E-02	57.7672
2.68000E-02	59.6572
2.68125E-02	63.8069
2.68250E-02	68.2425
2.68375E-02	73.0092
2.68500E-02	78.2087
2.68687E-02	86.748
2.69250E-02	113.027
2.69313E-02	115.947
2.69438E-02	121.603
2.69531E-02	125.404
2.69625E-02	128.401
2.69750E-02	131.391
2.69937E-02	135.148
2.70020E-02	136.034
2.70040E-02	136.107
2.70135E-02	135.779
2.70278E-02	134.227
2.70372E-02	132.561
2.70467E-02	130.08
2.70563E-02	126.879
2.70705E-02	121.375
2.70800E-02	117.439
2.70975E-02	109.525
2.71413E-02	89.1848
2.71500E-02	85.3168
2.71542E-02	83.624
2.71668E-02	78.5473
2.71751E-02	75.324
2.71961E-02	67.2667
2.72044E-02	64.3712
2.72086E-02	62.9239
2.72170E-02	60.3719
2.72222E-02	58.7917
2.72326E-02	55.9366
2.72429E-02	53.0819
2.72533E-02	50.5082
2.72689E-02	47.104
2.72948E-02	41.7079
2.73062E-02	39.5892
2.73187E-02	37.5483
2.73250E-02	36.5281
2.73312E-02	35.6003
2.73375E-02	34.6728
2.73438E-02	33.8388
2.73500E-02	33.0052
2.73563E-02	32.2745
2.73688E-02	30.8137
2.73875E-02	28.7284
2.73938E-02	28.0334
2.74000E-02	27.407
2.74062E-02	26.7809
2.74094E-02	26.5133
2.74250E-02	25.1757
2.74375E-02	24.1596
2.74437E-02	23.6516
2.74500E-02	23.1942
2.74563E-02	22.737
2.74625E-02	22.3335
2.74875E-02	20.72
2.74938E-02	20.3384
2.75000E-02	19.9569
2.75063E-02	19.6275
2.75187E-02	18.969
2.75312E-02	18.3571
2.75375E-02	18.0511
2.75500E-02	17.4694
2.75688E-02	16.7092
2.75750E-02	16.4559
2.75875E-02	15.9792
2.76000E-02	15.5026
2.76197E-02	14.8696
2.76395E-02	14.2368
2.76494E-02	13.9491
2.76593E-02	13.6615
2.76691E-02	13.4063
2.76879E-02	12.9218
2.77056E-02	12.5225
2.77145E-02	12.3228
2.77322E-02	11.9554
2.77500E-02	11.5879
2.77810E-02	11.0375
2.77891E-02	10.8944
2.77965E-02	10.7802
2.78047E-02	10.6545
2.78120E-02	10.5681
2.79902E-02	8.4643
2.79922E-02	8.44145
2.79980E-02	8.38439
2.80000E-02	8.36477
2.80079E-02	8.31013
2.80198E-02	8.22889
2.82765E-02	6.72583
2.83061E-02	6.56101
2.83160E-02	6.50563
2.83285E-02	6.47137
2.85157E-02	5.95798
2.87155E-02	5.42206
2.87281E-02	5.39876
2.87408E-02	5.37548
2.92907E-02	4.71439
2.93020E-02	4.70077
2.93278E-02	4.68572
2.98630E-02	4.37418
3.00000E-02	4.32025
3.08997E-02	4.09853
3.09470E-02	4.08688
3.13836E-02	4.03817
3.20000E-02	3.96939
3.27840E-02	3.92552
3.40000E-02	3.89635
3.52110E-02	3.90049
3.54594E-02	3.90135
3.60000E-02	3.9134
3.62539E-02	3.91907
3.75340E-02	3.96646
3.77670E-02	3.97509
3.80000E-02	3.99071
3.82681E-02	4.00869
4.00000E-02	4.14875
4.00300E-02	4.15118
4.05643E-02	4.23617
4.19020E-02	4.44896
4.33995E-02	4.91703
4.34098E-02	4.92023
4.34174E-02	4.92263
4.34200E-02	4.92344
4.34250E-02	4.92575
4.34300E-02	4.92807
4.34400E-02	4.93272
4.34650E-02	4.94433
4.34713E-02	4.94724
4.34750E-02	4.94899
4.34775E-02	4.95016
4.34794E-02	4.95105
4.34812E-02	4.95194
4.34825E-02	4.95254
4.34837E-02	4.95314
4.34850E-02	4.95375
4.34862E-02	4.95436
4.34875E-02	4.95498
4.34884E-02	4.95545
4.34894E-02	4.95593
4.34903E-02	4.95641
4.34913E-02	4.9569
4.34922E-02	4.9574
4.34931E-02	4.9579
4.34941E-02	4.95842
4.34950E-02	4.95894
4.34959E-02	4.95946
4.34969E-02	4.96
4.34978E-02	4.96055
4.34988E-02	4.9611
4.34997E-02	4.96167
4.35006E-02	4.96224
4.35019E-02	4.96302
4.35031E-02	4.96382
4.35044E-02	4.96463
4.35056E-02	4.96546
4.35069E-02	4.9663
4.35087E-02	4.96759
4.35106E-02	4.96891
4.35131E-02	4.9707
4.35162E-02	4.97299
4.35206E-02	4.97624
4.35288E-02	4.98236
4.35525E-02	5.00031
4.35600E-02	5.0059
4.35637E-02	5.00861
4.35675E-02	5.0112
4.35700E-02	5.01283
4.35725E-02	5.01434
4.35750E-02	5.01573
4.35775E-02	5.01697
4.35800E-02	5.01805
4.35826E-02	5.01901
4.35852E-02	5.01979
4.35879E-02	5.02042
4.35905E-02	5.0209
4.35931E-02	5.02127
4.35957E-02	5.02155
4.35993E-02	5.02183
4.36054E-02	5.02219
4.36159E-02	5.02271
4.36194E-02	5.02293
4.36224E-02	5.02316
4.36246E-02	5.02337
4.36264E-02	5.02357
4.36281E-02	5.0238
4.36294E-02	5.02399
4.36307E-02	5.02421
4.36321E-02	5.02445
4.36334E-02	5.02471
4.36347E-02	5.025
4.36356E-02	5.02521
4.36360E-02	5.02532
4.36366E-02	5.02565
4.36375E-02	5.02614
4.36384E-02	5.02665
4.36393E-02	5.02718
4.36402E-02	5.02771
4.36411E-02	5.02826
4.36420E-02	5.02881
4.36429E-02	5.02938
4.36438E-02	5.02996
4.36447E-02	5.03055
4.36456E-02	5.03115
4.36465E-02	5.03175
4.36474E-02	5.03236
4.36483E-02	5.03298
4.36492E-02	5.03361
4.36504E-02	5.03446
4.36516E-02	5.03531
4.36528E-02	5.03617
