E(MeV)	C-nat			
1.90340E+01	1.48827			
1.90530E+01	1.48817			
1.91850E+01	1.49067			
1.93460E+01	1.49368			
1.95000E+01	1.49812			
1.95110E+01	1.49813			
1.95530E+01	1.49921			
1.95581E+01	1.49933			
1.96000E+01	1.5003			
1.96610E+01	1.50158			
1.97940E+01	1.50424			
1.98920E+01	1.50583			
1.99987E+01	1.50699			
1.99994E+01	1.50749			
1.99994E+01	1.5075			
1.99997E+01	1.51167			
1.99997E+01	1.51177			
2.00000E+01	1.52449			
2.00000E+01	1.48961			
2.00003E+01	1.50092			
2.00003E+01	1.50145			
2.00006E+01	1.50574			
2.00006E+01	1.50616			
2.00012E+01	1.50694			
2.02955E+01	1.49241			
2.10000E+01	1.42601			
2.20000E+01	1.403			
2.30000E+01	1.404			
2.40000E+01	1.41255			
2.42789E+01	1.40754			
2.43107E+01	1.40693			
2.50000E+01	1.38627			
2.63668E+01	1.36704			
2.70587E+01	1.35495			
2.72495E+01	1.35188			
3.10000E+01	1.27615			
3.14374E+01	1.26763			
3.45184E+01	1.21189			
3.62539E+01	1.18176			
3.80000E+01	1.14873			
4.15784E+01	1.08324			
4.56349E+01	1.01419			
4.60000E+01	1.00837			
4.96913E+01	0.951198			
5.20000E+01	0.917486			
5.33739E+01	0.89775			
5.74021E+01	0.844324			
5.90000E+01	0.824659			
6.14303E+01	0.795408			
6.54585E+01	0.750565			
6.94867E+01	0.708979			
7.30000E+01	0.675108			
7.45220E+01	0.660382			
7.80000E+01	0.628891			
7.85502E+01	0.624191			
8.20000E+01	0.596757			
8.50000E+01	0.574074			
8.63869E+01	0.564213			
8.80000E+01	0.552857			
9.00000E+01	0.53968			
9.16419E+01	0.529853			
9.20000E+01	0.527564			
9.40000E+01	0.516061			
9.80000E+01	0.495138			
9.96983E+01	0.486502			
1.00000E+02	0.485072			
1.02000E+02	0.476053			
1.04734E+02	0.464544			
1.06000E+02	0.459721			
1.06748E+02	0.456643			
1.08000E+02	0.451793			
1.10000E+02	0.44388			
1.12000E+02	0.436164			
1.18832E+02	0.413696			
1.20000E+02	0.409592			
1.24000E+02	0.39603			
1.28000E+02	0.383516			
1.32000E+02	0.373048			
1.36000E+02	0.363515			
1.40988E+02	0.35275			
1.45016E+02	0.344669			
1.49000E+02	0.337174			
1.50000E+02	0.335371
