E(MeV)	C-nat			
5.03136E-04	4.73856			
5.74745E-04	4.73831			
6.38437E-04	4.73808			
7.19158E-04	4.7378			
8.10123E-04	4.73747			
8.87337E-04	4.7372			
9.78765E-04	4.73688			
1.07210E-03	4.73655			
1.19925E-03	4.7361			
1.30442E-03	4.73573			
1.43882E-03	4.73526			
1.62074E-03	4.73462			
1.77530E-03	4.73407			
1.97194E-03	4.73338			
2.02797E-03	4.73318			
2.32965E-03	4.73212			
2.58781E-03	4.73121			
2.90388E-03	4.7301			
3.28849E-03	4.72875			
3.67801E-03	4.72738			
4.11366E-03	4.72584			
4.59921E-03	4.72414			
5.00000E-03	4.72273			
6.25632E-03	4.71831			
7.31383E-03	4.71459			
8.58199E-03	4.71013			
1.00705E-02	4.70489			
1.95905E-02	4.6714			
2.00000E-02	4.66996			
2.48051E-02	4.65306			
2.86463E-02	4.63955			
3.40591E-02	4.62051			
3.40892E-02	4.62042			
4.14268E-02	4.59736			
5.03527E-02	4.5693			
6.11500E-02	4.53537			
7.36306E-02	4.49614			
8.43447E-02	4.46246			
9.90013E-02	4.4164			
1.21449E-01	4.34584			
1.35580E-01	4.30143			
1.45000E-01	4.28386			
1.47261E-01	4.29533			
1.48125E-01	4.29972			
1.48750E-01	4.30717			
1.50000E-01	4.34029			
1.51000E-01	4.39401			
1.52000E-01	4.47618			
1.52900E-01	4.51951			
1.53950E-01	4.45752			
1.55000E-01	4.37342			
1.56000E-01	4.3213			
1.58000E-01	4.27118			
1.61250E-01	4.23938			
1.68689E-01	4.211			
1.73615E-01	4.19221			
1.98003E-01	4.12653			
2.00000E-01	4.12116			
2.68140E-01	3.93765			
3.67510E-01	3.69432			
3.84250E-01	3.65721			
4.69316E-01	3.46862			
5.32550E-01	3.34149			
5.69619E-01	3.26697			
6.89352E-01	3.04848			
8.17009E-01	2.84017			
9.44667E-01	2.65353			
1.07539E+00	2.48171			
1.15038E+00	2.39293			
1.19998E+00	2.33422			
1.31834E+00	2.20677			
1.44510E+00	2.08329			
1.59722E+00	1.94953			
1.72250E+00	1.85042			
1.72500E+00	1.85016			
1.73600E+00	1.86241			
1.74500E+00	1.84087			
1.75500E+00	1.82804			
1.98876E+00	1.67721			
2.02500E+00	1.65917			
2.04950E+00	1.6844			
2.05300E+00	1.70212			
2.05600E+00	1.72799			
2.05800E+00	1.75443			
2.06000E+00	1.79204			
2.06150E+00	1.83162			
2.06250E+00	1.86517			
2.06300E+00	1.88395			
2.06400E+00	1.92985			
2.06500E+00	1.98739			
2.06600E+00	2.06028			
2.06700E+00	2.15357			
2.06800E+00	2.27504			
2.06900E+00	2.4348			
2.07000E+00	2.64764			
2.07075E+00	2.85853			
2.07100E+00	2.93337			
2.07175E+00	3.21661			
2.07200E+00	3.31682			
2.07275E+00	3.69128			
2.07300E+00	3.82241			
2.07375E+00	4.29275			
2.07400E+00	4.45381			
2.07500E+00	5.15294			
2.07588E+00	5.68885			
2.07600E+00	5.75395			
2.07625E+00	5.83566			
2.07694E+00	6.01982			
2.07700E+00	6.02671			
2.07719E+00	6.01098			
2.07787E+00	5.89205			
2.07800E+00	5.85964			
2.07825E+00	5.7471			
2.07900E+00	5.36875			
2.08000E+00	4.76695			
2.08100E+00	4.20251			
2.08200E+00	3.7319			
2.08300E+00	3.359			
2.08400E+00	3.06822			
2.08500E+00	2.84174			
2.08600E+00	2.66399			
2.08700E+00	2.52285			
2.08800E+00	2.40932			
2.08900E+00	2.31722			
2.09000E+00	2.2412			
2.09100E+00	2.17799			
2.09200E+00	2.12482			
2.09350E+00	2.06007			
2.09500E+00	2.00755			
2.09700E+00	1.95304			
2.09900E+00	1.91061			
2.10200E+00	1.86255			
2.10400E+00	1.83773			
2.10800E+00	1.79972			
2.11200E+00	1.77219			
2.12000E+00	1.73477			
2.14000E+00	1.68636			
2.16000E+00	1.66113			
2.18000E+00	1.64453			
2.22000E+00	1.62192			
2.28000E+00	1.60042			
2.34000E+00	1.58782			
2.40000E+00	1.58292			
