E(MeV)	Xe-124
3.817670E-10	7.78804421
3.899810E-10	7.74256075
3.999060E-10	7.6888048
4.016780E-10	7.67961553
4.137190E-10	7.61857177
4.189140E-10	7.59281056
4.261280E-10	7.55856621
4.388170E-10	7.49967941
4.389010E-10	7.49930595
4.520660E-10	7.44211508
4.596750E-10	7.40979876
4.656170E-10	7.38562588
4.795830E-10	7.33010922
4.815150E-10	7.32260096
4.939590E-10	7.27637471
5.065310E-10	7.23074276
5.087750E-10	7.2229642
5.240260E-10	7.17133888
5.328460E-10	7.14216979
5.397440E-10	7.12038227
5.559230E-10	7.07048427
5.605280E-10	7.05661036
5.725980E-10	7.02187819
5.896490E-10	6.97397397
5.897620E-10	6.97367038
6.074520E-10	6.92729905
6.202830E-10	6.89446504
6.256610E-10	6.88132712
6.444270E-10	6.83660288
6.552730E-10	6.81137299
6.637440E-10	6.79259094
6.836530E-10	6.74953683
6.922260E-10	6.73144479
7.041460E-10	6.70745827
7.252670E-10	6.66601299
7.312750E-10	6.65451066
7.470070E-10	6.62583067
7.694130E-10	6.58600939
7.757870E-10	6.57495981
7.924770E-10	6.54744159
8.162470E-10	6.50924575
8.230090E-10	6.49865058
8.407150E-10	6.47224518
8.659320E-10	6.43560473
8.731050E-10	6.42544514
8.918890E-10	6.40014675
9.186410E-10	6.3650551
9.301600E-10	6.35033149
9.461780E-10	6.33087726
9.745580E-10	6.29731966
9.909610E-10	6.27842746
1.003771E-09	6.26441613
1.033879E-09	6.23236927
1.060192E-09	6.20510098
1.064871E-09	6.2004976
1.096811E-09	6.16993159
1.129689E-09	6.1393136
1.134259E-09	6.1351701
1.163573E-09	6.10997616
1.198452E-09	6.08081996
1.218623E-09	6.06441277
1.234399E-09	6.05224757
1.271402E-09	6.02451055
1.309285E-09	5.99689391
1.309537E-09	5.99671969
1.348791E-09	5.97035527
1.389247E-09	5.94394646
1.412630E-09	5.92910425
1.430892E-09	5.91813732
1.473810E-09	5.89310381
1.517989E-09	5.86806398
1.530564E-09	5.86113532
1.563521E-09	5.84396525
1.610389E-09	5.82025572
1.658373E-09	5.79667478
1.658691E-09	5.79652683
1.708412E-09	5.77408142
1.759655E-09	5.75162681
1.804439E-09	5.73256911
1.812403E-09	5.72936523
1.866765E-09	5.70815336
1.922723E-09	5.68696681
1.971657E-09	5.66898155
1.980394E-09	5.66594882
2.039758E-09	5.64597188
2.100939E-09	5.62600368
2.163502E-09	5.60619109
2.163917E-09	5.60606704
2.228823E-09	5.58726738
2.295634E-09	5.56850889
2.364490E-09	5.54976077
2.384076E-09	5.54458698
2.435368E-09	5.53182142
2.508415E-09	5.51420907
2.583608E-09	5.49663826
2.638227E-09	5.48426346
2.661102E-09	5.47937831
2.740871E-09	5.46288568
2.823082E-09	5.44642314
2.907706E-09	5.43000421
2.931793E-09	5.4254743
2.994921E-09	5.41430646
3.084697E-09	5.39893582
3.177221E-09	5.38359908
3.272461E-09	5.3683087
3.285701E-09	5.36624913
3.370617E-09	5.35383965
3.471655E-09	5.33955629
3.575785E-09	5.32531114
3.682973E-09	5.31111587
3.697874E-09	5.30920473
3.793441E-09	5.29769564
3.907154E-09	5.28445581
4.024346E-09	5.27125896
4.144980E-09	5.25811582
4.197030E-09	5.2526271
4.269306E-09	5.2454751
4.397283E-09	5.23323966
4.529177E-09	5.22105219
4.664944E-09	5.20892279
4.803945E-09	5.1969119
4.804866E-09	5.19683718
4.948897E-09	5.18555612
5.097336E-09	5.174328
5.250134E-09	5.16316228
5.407609E-09	5.1520414
5.545235E-09	5.14264551
5.569708E-09	5.14107888
5.736768E-09	5.13075991
5.908733E-09	5.1205076
6.085962E-09	5.11030592
6.268395E-09	5.10016352
6.456412E-09	5.09006451
6.482418E-09	5.08871446
6.649949E-09	5.08058368
6.849411E-09	5.07124673
7.054729E-09	5.0619739
7.266331E-09	5.05275074
7.484147E-09	5.04358511
7.674622E-09	5.03584471
7.708630E-09	5.03455208
7.939704E-09	5.0260878
8.177850E-09	5.0176788
8.422990E-09	5.00933235
8.675632E-09	5.00103566
8.935694E-09	4.99279582
9.203714E-09	4.98460011
9.240787E-09	4.98350567
9.479605E-09	4.97693004
9.763940E-09	4.96938884
1.005663E-08	4.96190949
1.035827E-08	4.95448055
1.066877E-08	4.94710855
1.098877E-08	4.93978211
1.131600E-08	4.93255553
1.131817E-08	4.93251077
1.165765E-08	4.92577423
1.200710E-08	4.91909913
1.236725E-08	4.91247532
1.273797E-08	4.90590919
1.312004E-08	4.89938963
1.351332E-08	4.89292292
1.391865E-08	4.88649914
1.421264E-08	4.88200686
1.433587E-08	4.88025293
1.476587E-08	4.87436666
1.520849E-08	4.86853783
1.566466E-08	4.86275768
1.613423E-08	4.85703143
1.661816E-08	4.85135044
1.711631E-08	4.84571981
1.762970E-08	4.84013098
1.815817E-08	4.83458895
1.838619E-08	4.83228481
1.870281E-08	4.82931738
1.926345E-08	4.82426789
1.984125E-08	4.81926577
2.043601E-08	4.81431562
2.104897E-08	4.80941002
2.167994E-08	4.80455342
2.233022E-08	4.79973851
2.299959E-08	4.79496964
2.368945E-08	4.7902396
2.439956E-08	4.7855526
2.526632E-08	4.78006335
2.526874E-08	4.78004865
2.530000E-08	4.77986325
2.605886E-08	4.77560739
