E(MeV)	pendfb7/Br79:1	
1.00000E-11	574.79471	
1.02999E-11	566.371086	
1.06087E-11	558.073681	
1.09269E-11	549.894223	
1.12544E-11	541.839812	
1.15920E-11	533.899023	
1.19395E-11	526.078929	
1.22976E-11	518.369507	
1.26662E-11	510.777276	
1.30462E-11	503.291518	
1.34372E-11	495.921493	
1.38403E-11	488.654157	
1.42552E-11	481.498611	
1.46827E-11	474.44391	
1.51229E-11	467.496041	
1.55765E-11	460.645894	
1.60434E-11	453.901558	
1.65246E-11	447.251526	
1.70199E-11	440.703294	
1.75304E-11	434.247647	
1.80559E-11	427.889726	
1.85975E-11	421.62189	
1.91550E-11	415.44967	
1.97295E-11	409.36477	
2.03209E-11	403.372263	
2.09305E-11	397.464056	
2.15579E-11	391.646962	
2.22045E-11	385.911277	
2.28701E-11	380.263531	
2.35561E-11	374.694916	
2.42622E-11	369.212031	
2.49899E-11	363.806162	
2.57390E-11	358.482815	
2.65110E-11	353.234761	
2.73057E-11	348.066513	
2.81247E-11	342.971608	
2.89678E-11	337.954033	
2.98367E-11	333.007401	
3.07311E-11	328.136544	
3.16528E-11	323.33446	
3.26017E-11	318.605475	
3.35795E-11	313.943463	
3.45861E-11	309.352502	
3.56235E-11	304.8264	
3.66913E-11	300.369548	
3.77919E-11	295.975487	
3.89247E-11	291.648768	
4.00923E-11	287.382877	
4.12941E-11	283.182546	
4.25327E-11	279.041191	
4.38076E-11	274.963489	
4.51216E-11	270.943191	
4.64742E-11	266.984418	
4.78681E-11	263.08161	
4.93030E-11	259.238367	
5.07818E-11	255.449573	
5.23041E-11	251.718995	
5.25258E-11	251.198408	
5.38729E-11	248.041098	
5.43296E-11	247.015488	
5.54878E-11	244.41934	
5.61954E-11	242.899626	
5.71521E-11	240.8487	
5.81252E-11	238.849916	
5.88653E-11	237.332501	
6.01213E-11	234.865257	
6.06310E-11	233.865837	
6.21860E-11	230.944426	
6.24484E-11	230.452338	
6.43215E-11	227.086943	
6.62496E-11	223.773748	
6.65304E-11	223.311441	
6.82368E-11	220.507249	
6.88152E-11	219.596504	
7.02822E-11	217.290835	
7.11784E-11	215.941298	
7.23903E-11	214.119708	
7.36228E-11	212.344753	
7.45603E-11	210.99709	
7.61511E-11	208.806064	
7.67967E-11	207.918478	
7.87663E-11	205.324119	
7.90987E-11	204.887066	
8.14712E-11	201.898441	
8.39134E-11	198.956216	
8.42691E-11	198.545641	
8.64304E-11	196.055515	
8.71630E-11	195.246801	
8.90212E-11	193.1993	
9.01563E-11	192.000968	
9.16913E-11	190.383406	
9.32525E-11	188.807198	
9.44399E-11	187.610548	
9.64549E-11	185.66496	
9.72725E-11	184.87694	
9.97673E-11	182.572954	
1.00188E-10	182.185122	
1.03193E-10	179.531783	
1.06287E-10	176.918942	
1.06737E-10	176.554807	
1.09475E-10	174.343304	
1.10403E-10	173.625116	
1.12756E-10	171.807413	
1.14194E-10	170.743408	
1.16139E-10	169.306858	
1.18116E-10	167.907784	
1.19620E-10	166.845346	
1.22172E-10	165.118113	
1.23208E-10	164.418178	
1.26368E-10	162.37286	
1.26901E-10	162.028482	
1.30707E-10	159.672724	
1.34626E-10	157.35319	
1.35196E-10	157.029896	
1.38664E-10	155.066473	
1.39839E-10	154.429211	
1.42820E-10	152.815368	
1.44641E-10	151.870935	
1.47104E-10	150.595814	
1.49608E-10	149.353728	
1.51513E-10	148.410441	
1.54746E-10	146.87713	
1.56058E-10	146.255981	
1.60060E-10	144.440671	
1.60736E-10	144.134571	
1.65557E-10	142.043344	
1.70520E-10	139.984569	
1.71243E-10	139.69724	
1.75635E-10	137.954923	
