E(MeV)	pendfb7/Ce142:1	
1.54473E-04	0.649093	
1.61104E-04	0.592947	
1.62232E-04	0.583812	
1.66842E-04	0.546521	
1.72793E-04	0.500483	
1.76458E-04	0.473465	
1.78948E-04	0.455125	
1.84662E-04	0.414996	
1.91240E-04	0.371271	
1.95876E-04	0.341785	
2.02863E-04	0.299988	
2.08628E-04	0.267588	
2.13053E-04	0.24409	
2.17583E-04	0.221106	
2.22198E-04	0.198987	
2.26922E-04	0.177514	
2.30124E-04	0.163723	
2.33371E-04	0.150335	
2.37492E-04	0.134245	
2.40842E-04	0.121851	
2.43388E-04	0.112838	
2.45957E-04	0.104113	
2.46822E-04	0.101337	
2.49427E-04	0.0929785	
2.52057E-04	0.0849803	
2.55287E-04	0.075707	
2.57632E-04	0.0693542	
2.59977E-04	0.0633091	
2.62322E-04	0.0575939	
2.64667E-04	0.0521824	
2.67013E-04	0.0471018	
2.67794E-04	0.0454945	
2.68576E-04	0.0438893	
2.70140E-04	0.0408206	
2.71703E-04	0.0378939	
2.73266E-04	0.0351094	
2.74830E-04	0.0324672	
2.76002E-04	0.0305761	
2.77175E-04	0.028765	
2.78934E-04	0.0262	
2.80106E-04	0.0245926	
2.81572E-04	0.0226984	
2.82745E-04	0.0212739	
2.83917E-04	0.0199307	
2.85090E-04	0.0186685	
2.85969E-04	0.0177753	
2.86849E-04	0.016928	
2.87728E-04	0.0161264	
2.88608E-04	0.0153707	
2.89487E-04	0.014661	
2.90073E-04	0.0142186	
2.90367E-04	0.0139981	
2.91246E-04	0.0133828	
2.92125E-04	0.0128137	
2.92712E-04	0.0124591	
2.93298E-04	0.0121246	
2.93884E-04	0.011812	
2.94471E-04	0.01152	
2.95057E-04	0.0112487	
2.95643E-04	0.010998	
2.96229E-04	0.0107679	
2.96816E-04	0.0105586	
2.97402E-04	0.01037	
2.97842E-04	0.0102421	
2.98281E-04	0.010126	
2.98721E-04	0.0100215	
2.99161E-04	0.00992864	
2.99601E-04	0.00984752	
3.00040E-04	0.00977812	
3.00480E-04	0.00972043	
3.00834E-04	0.00968248	
3.01249E-04	0.0096477	
3.01665E-04	0.00962335	
3.02080E-04	0.00960935	
3.02288E-04	0.00960628	
3.02782E-04	0.0096099	
3.03277E-04	0.00962841	
3.03772E-04	0.00966172	
3.04266E-04	0.00970995	
3.04761E-04	0.00977313	
3.05219E-04	0.00984497	
3.05659E-04	0.00992602	
3.06099E-04	0.0100189	
3.06538E-04	0.0101237	
3.06978E-04	0.0102403	
3.07442E-04	0.0103762	
3.07955E-04	0.0105419	
3.08468E-04	0.0107238	
3.08981E-04	0.0109219	
3.09494E-04	0.0111362	
3.10007E-04	0.0113668	
3.10593E-04	0.0116502	
3.11180E-04	0.0119549	
3.11766E-04	0.0122809	
3.12352E-04	0.0126293	
3.13134E-04	0.0131267	
3.13916E-04	0.013661	
3.14698E-04	0.0142352	
3.15479E-04	0.0148475	
3.16261E-04	0.015498	
3.17043E-04	0.0161868	
3.17824E-04	0.016914	
3.18997E-04	0.0180768	
3.20170E-04	0.0193261	
3.21342E-04	0.0206625	
3.22515E-04	0.0220858	
3.23687E-04	0.0235966	
3.24860E-04	0.0251949	
3.26032E-04	0.0268904	
3.27596E-04	0.0292764	
3.29159E-04	0.031819	
3.30723E-04	0.0345196	
3.32286E-04	0.0373786	
3.33459E-04	0.0396241	
3.35022E-04	0.042762	
3.36586E-04	0.0460603	
3.38149E-04	0.0495195	
3.39712E-04	0.0531851	
3.40494E-04	0.0550196	
3.42839E-04	0.0608769	
3.45185E-04	0.0671151	
3.47530E-04	0.073712	
3.49875E-04	0.0806948	
3.51829E-04	0.0867944	
3.55347E-04	0.098451	
3.58474E-04	0.109525	
3.61601E-04	0.121287	
3.65509E-04	0.136999	
3.66291E-04	0.140299	
3.67854E-04	0.146902	
3.70981E-04	0.160773	
3.74108E-04	0.175361	
3.77235E-04	0.190673	
3.80362E-04	0.206718	
3.83489E-04	0.223503	
3.88179E-04	0.250147	
3.92869E-04	0.278388	
3.94433E-04	0.288424	
3.97560E-04	0.3085	
3.99123E-04	0.319091	
4.02250E-04	0.340276	
4.06940E-04	0.373991	
4.11631E-04	0.40943	
4.16220E-04	0.446261	
4.22093E-04	0.495678	
4.26543E-04	0.535495	
4.28047E-04	0.548958	
4.34086E-04	0.60635	
