E(MeV)	pendfb7/Ce142:1	
1.00000E-11	46.7257	
1.10304E-11	44.5232	
1.10779E-11	44.4305	
1.21669E-11	42.4249	
1.22193E-11	42.3368	
1.34205E-11	40.4287	
1.34784E-11	40.3447	
1.48034E-11	38.5332	
1.49720E-11	38.3227	
1.63287E-11	36.7293	
1.66304E-11	36.4058	
1.80111E-11	35.0128	
1.84733E-11	34.5874	
1.98669E-11	33.3798	
2.05195E-11	32.8641	
2.19139E-11	31.8264	
2.27934E-11	31.2298	
2.41719E-11	30.3489	
2.53180E-11	29.6816	
2.66625E-11	28.9438	
2.81237E-11	28.2137	
2.94097E-11	27.6078	
3.12388E-11	26.8236	
3.24400E-11	26.3377	
3.47006E-11	25.5061	
3.57825E-11	25.1306	
3.85442E-11	24.2591	
3.94694E-11	23.9834	
4.28156E-11	23.0777	
4.35362E-11	22.8935	
4.75580E-11	21.9601	
4.80221E-11	21.8583	
5.28283E-11	20.9019	
5.29701E-11	20.8752	
5.84280E-11	19.9443	
5.86797E-11	19.9052	
6.44483E-11	19.062	
6.51825E-11	18.9643	
7.10888E-11	18.2247	
7.24023E-11	18.075	
7.84136E-11	17.4315	
8.09891E-11	17.1809	
8.64931E-11	16.6783	
9.05943E-11	16.3382	
9.54051E-11	15.9635	
1.01339E-10	15.5444	
1.05235E-10	15.2856	
1.13357E-10	14.7971	
1.16078E-10	14.643	
1.26801E-10	14.0939	
1.28039E-10	14.0343	
1.41232E-10	13.4603	
1.42840E-10	13.3968	
1.55784E-10	12.9193	
1.60900E-10	12.7484	
1.71835E-10	12.4064	
1.81253E-10	12.1401	
1.89540E-10	11.9208	
2.05609E-10	11.5371	
2.09070E-10	11.4597	
2.30612E-10	11.0261	
2.33239E-10	10.9783	
2.54374E-10	10.6201	
2.66435E-10	10.4358	
2.80583E-10	10.2342	
3.04371E-10	9.92937	
3.09494E-10	9.86801	
3.41383E-10	9.52565	
3.50144E-10	9.44099	
3.76558E-10	9.20385	
4.05621E-10	8.96982	
4.15358E-10	8.89679	
4.58155E-10	8.60999	
4.73203E-10	8.51952	
5.05362E-10	8.3402	
5.55940E-10	8.08828	
5.57433E-10	8.08135	
6.14869E-10	7.84448	
6.62325E-10	7.66981	
6.78223E-10	7.61553	
7.48105E-10	7.40366	
8.00239E-10	7.26284	
8.25188E-10	7.2004	
9.10213E-10	7.01187	
9.80463E-10	6.8734	
1.00400E-09	6.83042	
1.10745E-09	6.66348	
1.22156E-09	6.50027	
1.22682E-09	6.49357	
1.34742E-09	6.35262	
1.48625E-09	6.20934	
1.57869E-09	6.12485	
1.63939E-09	6.07365	
1.80831E-09	5.94839	
1.99463E-09	5.82661	
2.10395E-09	5.76345	
2.20015E-09	5.71228	
2.42685E-09	5.60655	
2.67691E-09	5.50406	
2.94482E-09	5.40734	
2.95273E-09	5.4047	
3.25697E-09	5.31608	
3.59256E-09	5.23052	
3.96272E-09	5.14778	
4.37103E-09	5.06759	
4.38986E-09	5.06433	
4.82141E-09	4.99615	
5.31819E-09	4.92772	
5.86616E-09	4.86179	
6.47059E-09	4.79818	
7.13730E-09	4.73668	
7.21861E-09	4.73009	
7.87271E-09	4.68172	
8.68389E-09	4.62956	
9.57865E-09	4.57945	
1.05656E-08	4.53128	
1.16543E-08	4.4849	
