MeV	K-0
1.09793E-04	1.66199
1.14484E-04	1.65259
1.22720E-04	1.63607
1.22898E-04	1.63572
1.27482E-04	1.62843
1.35100E-04	1.61631
1.36652E-04	1.61387
1.48549E-04	1.59513
1.48905E-04	1.59457
1.54918E-04	1.58519
1.66060E-04	1.57142
1.66436E-04	1.57095
1.78354E-04	1.55635
1.80517E-04	1.55372
1.93503E-04	1.53792
1.93544E-04	1.53787
1.93881E-04	1.53758
2.10760E-04	1.52327
2.11231E-04	1.52288
2.17412E-04	1.51769
2.29109E-04	1.50973
2.29621E-04	1.50938
2.54963E-04	1.49231
2.56916E-04	1.49101
2.73305E-04	1.4818
2.99089E-04	1.46741
3.21620E-04	1.45494
3.32119E-04	1.45047
3.56707E-04	1.44009
3.87762E-04	1.42707
4.18894E-04	1.41411
4.21521E-04	1.41326
4.58219E-04	1.40148
5.09927E-04	1.38501
5.17934E-04	1.38247
5.46609E-04	1.37485
5.98178E-04	1.36121
6.64238E-04	1.34385
7.13414E-04	1.331
7.75431E-04	1.31485
7.75524E-04	1.31483
8.57831E-04	1.29814
9.32514E-04	1.28306
9.60666E-04	1.2774
1.01370E-03	1.26682
1.04014E-03	1.26155
1.10195E-03	1.24925
1.11521E-03	1.24662
1.20520E-03	1.22877
1.22779E-03	1.2243
1.23169E-03	1.22366
1.30970E-03	1.21089
1.35100E-03	1.20415
1.44713E-03	1.18847
1.44958E-03	1.18807
1.49545E-03	1.18182
1.52116E-03	1.17832
1.66060E-03	1.15938
1.67928E-03	1.15685
1.68072E-03	1.15665
1.78354E-03	1.14494
1.87058E-03	1.13502
1.93160E-03	1.12808
1.93881E-03	1.1274
2.00000E-03	1.12167
2.10760E-03	1.11171
2.17441E-03	1.10553
2.29109E-03	1.09679
2.43009E-03	1.08638
2.49866E-03	1.08125
2.53425E-03	1.07874
2.54963E-03	1.07806
2.73305E-03	1.06998
2.94721E-03	1.06054
2.99089E-03	1.05862
2.99835E-03	1.05829
3.00000E-03	1.05825
3.00111E-03	1.05692
3.00886E-03	1.04773
3.01773E-03	1.03725
3.03265E-03	1.01965
3.04935E-03	1.00001
3.04959E-03	0.999721
3.06734E-03	0.980003
3.08772E-03	0.95746
3.09795E-03	0.946185
3.10000E-03	0.943974
3.10109E-03	0.942234
3.10869E-03	0.930277
3.11737E-03	0.916699
3.12696E-03	0.9018
3.13655E-03	0.886997
3.14336E-03	0.876561
3.15003E-03	0.867341
3.16028E-03	0.853341
3.16603E-03	0.845527
3.17754E-03	0.830053
3.18636E-03	0.818329
3.19050E-03	0.812883
3.19727E-03	0.805548
3.19937E-03	0.80339
3.20000E-03	0.802788
3.20146E-03	0.803733
3.20566E-03	0.806789
3.21195E-03	0.811662
3.21769E-03	0.816357
3.22344E-03	0.8213
3.22954E-03	0.826858
3.23408E-03	0.831187
3.24089E-03	0.838048
3.24750E-03	0.845164
3.25371E-03	0.852315
3.25992E-03	0.85991
3.26628E-03	0.86822
3.27272E-03	0.877229
3.27915E-03	0.886864
3.28508E-03	0.896362
3.29101E-03	0.906502
3.29402E-03	0.911998
3.29598E-03	0.916934
3.29635E-03	0.917938
3.29728E-03	0.922851
3.29803E-03	0.929692
3.29822E-03	0.9315
3.29891E-03	0.942001
3.29956E-03	0.955669
3.29961E-03	0.956836
3.30031E-03	0.977
3.30101E-03	1.00237
3.30109E-03	1.00587
3.30171E-03	1.03304
3.30241E-03	1.06815
3.30263E-03	1.08026
3.30334E-03	1.1209
3.30427E-03	1.17878
3.30518E-03	1.2399
3.30569E-03	1.27447
3.30714E-03	1.38145
3.30824E-03	1.47015
3.30859E-03	1.49763
3.31004E-03	1.62402
3.31131E-03	1.74465
3.31148E-03	1.76115
3.31293E-03	1.91045
3.31440E-03	2.07459
3.31451E-03	2.08852
3.31587E-03	2.25354
3.31733E-03	2.44796
3.31772E-03	2.50329
3.31880E-03	2.65958
3.32027E-03	2.88957
3.32092E-03	3.00109
3.32119E-03	3.04706
3.32175E-03	3.14319
3.32325E-03	3.42131
3.32412E-03	3.59902
3.32474E-03	3.7245
3.32624E-03	4.05513
3.32733E-03	4.31769
3.32773E-03	4.41523
3.32921E-03	4.80341
3.33047E-03	5.16287
3.33066E-03	5.2162
3.33211E-03	5.66546
3.33355E-03	6.15351
3.33359E-03	6.16571
3.33500E-03	6.68451
3.33645E-03	7.26109
3.33670E-03	7.37052
3.33784E-03	7.86466
3.33923E-03	8.51866
3.33981E-03	8.8121
3.34063E-03	9.22775
3.34202E-03	9.99623
3.34293E-03	10.5346
3.34342E-03	10.829
3.34479E-03	11.7182
3.34553E-03	12.2318
3.34616E-03	12.6739
3.34658E-03	12.9925
3.34752E-03	13.7126
3.34762E-03	13.7993
3.34841E-03	14.4545
3.34888E-03	14.8497
3.34920E-03	15.137
3.34999E-03	15.86
3.35025E-03	16.1026
3.35077E-03	16.6319
3.35156E-03	17.4306
3.35158E-03	17.4525
3.35235E-03	18.3002
3.35285E-03	18.8622
3.35313E-03	19.2004
3.35404E-03	20.2944
3.35412E-03	20.3932
3.35501E-03	21.5483
3.35539E-03	22.0517
3.35598E-03	22.8728
3.35666E-03	23.8448
3.35694E-03	24.2707
3.35791E-03	25.7478
3.35793E-03	25.7831
3.35890E-03	27.374
3.35930E-03	28.0351
3.35992E-03	29.153
3.36066E-03	30.4826
3.36094E-03	31.0349
3.36196E-03	33.033
3.36202E-03	33.1433
3.36298E-03	35.1938
3.36338E-03	36.038
3.36400E-03	37.4815
3.36474E-03	39.1854
3.36508E-03	40.0404
3.36616E-03	42.7539
3.36617E-03	42.7775
3.36723E-03	45.713
3.36762E-03	46.7958
3.36831E-03	48.852
3.36908E-03	51.188
3.36938E-03	52.1788
3.37040E-03	55.5137
3.37054E-03	55.9892
3.37138E-03	58.9971
3.37200E-03	61.241
3.37236E-03	62.6497
3.37334E-03	66.5137
3.37345E-03	66.965
3.37432E-03	70.6905
3.37490E-03	73.1883
3.37530E-03	75.092
3.37629E-03	79.7631
3.37634E-03	79.9879
3.37728E-03	84.8366
3.37778E-03	87.4246
3.37827E-03	90.1699
3.37923E-03	95.5441
3.37927E-03	95.7686
3.38026E-03	101.853
3.38067E-03	104.427
3.38131E-03	108.708
3.38213E-03	114.234
3.38237E-03	115.961
3.38342E-03	123.73
3.38359E-03	124.966
3.38448E-03	132.102
3.38505E-03	136.708
3.38554E-03	140.963
3.38651E-03	149.541
3.38656E-03	150.071
3.38758E-03	159.832
3.38797E-03	163.595
3.38859E-03	170.163
3.38941E-03	178.79
3.38961E-03	181.052
3.39062E-03	192.729
3.39085E-03	195.309
3.39166E-03	205.519
3.39228E-03	213.36
