MeV	"TL-203(N,TOT)"
1.00000E-11	611.787
1.10304E-11	582.616
1.11082E-11	580.697
1.21669E-11	554.845
1.23386E-11	551.192
1.34205E-11	528.405
1.37059E-11	523.169
1.48034E-11	503.234
1.52240E-11	496.579
1.63287E-11	479.271
1.69111E-11	471.324
1.80111E-11	456.459
1.87842E-11	447.362
1.98669E-11	434.744
2.08659E-11	424.607
2.19139E-11	414.072
2.31770E-11	403.02
2.41719E-11	394.395
2.57455E-11	382.521
2.66625E-11	375.665
2.85971E-11	363.077
2.94097E-11	357.838
3.17662E-11	344.616
3.24400E-11	340.869
3.52847E-11	327.107
3.57825E-11	324.72
3.91949E-11	310.485
3.94694E-11	309.35
4.35362E-11	294.723
4.80221E-11	280.812
4.83608E-11	279.897
5.29701E-11	267.578
5.40964E-11	264.957
5.84280E-11	254.982
6.05121E-11	250.805
6.44483E-11	242.995
6.76888E-11	237.401
7.10888E-11	231.589
7.57166E-11	224.708
7.84136E-11	220.735
8.46965E-11	212.688
8.64931E-11	210.409
9.54051E-11	200.581
1.05235E-10	191.248
1.07473E-10	189.4
1.16078E-10	182.368
1.21061E-10	178.828
1.28039E-10	173.919
1.37329E-10	168.241
1.41232E-10	165.879
1.55784E-10	158.228
1.71835E-10	150.97
1.77964E-10	148.562
1.89540E-10	144.061
2.03293E-10	139.418
2.09070E-10	137.486
2.30612E-10	131.235
2.33866E-10	130.415
2.54374E-10	125.301
2.70933E-10	121.717
2.80583E-10	119.649
3.09494E-10	114.276
3.16074E-10	113.215
3.41383E-10	109.175
3.71320E-10	105.031
3.76558E-10	104.313
4.15358E-10	99.7033
4.42397E-10	96.9174
4.58155E-10	95.3102
5.05362E-10	91.1382
5.30772E-10	89.1911
5.57433E-10	87.1691
6.14869E-10	83.3957
6.50309E-10	81.3777
6.78223E-10	79.8046
7.48105E-10	76.3945
8.13708E-10	73.6212
8.25188E-10	73.1407
9.10213E-10	70.0603
1.00400E-09	67.1185
1.03981E-09	66.1454
1.10745E-09	64.3267
1.22156E-09	61.6718
1.34742E-09	59.1369
1.37607E-09	58.6372
1.48625E-09	56.7358
1.63939E-09	54.45
1.80831E-09	52.2685
1.89924E-09	51.252
1.99463E-09	50.1964
2.20015E-09	48.2302
2.42685E-09	46.3547
2.67691E-09	44.5652
2.79181E-09	43.8537
2.95273E-09	42.8675
3.25697E-09	41.2561
3.59256E-09	39.7199
3.96272E-09	38.255
4.37103E-09	36.858
4.49524E-09	36.4904
4.82141E-09	35.5352
5.31819E-09	34.2783
5.86616E-09	33.0803
6.47059E-09	31.9383
7.13730E-09	30.8495
7.87271E-09	29.8113
8.38521E-09	29.1855
8.68389E-09	28.8245
9.57865E-09	27.8896
1.05656E-08	26.9985
1.16543E-08	26.1493
1.28551E-08	25.3406
1.41796E-08	24.5706
1.56406E-08	23.8376
1.72522E-08	23.1388
1.90298E-08	22.4717
2.08446E-08	21.8825
2.09906E-08	21.8354
2.31534E-08	21.2333
2.52419E-08	20.7272
2.53000E-08	20.714
2.79068E-08	20.1679
3.07823E-08	19.6474
3.39540E-08	19.1516
3.74525E-08	18.6797
4.13115E-08	18.2313
4.55681E-08	17.805
5.02633E-08	17.3976
5.54423E-08	17.009
6.11549E-08	16.639
6.74561E-08	16.2867
7.44066E-08	15.9512
8.20732E-08	15.632
9.05297E-08	15.3294
1.00562E-07	15.0194
1.10924E-07	14.7437
1.22353E-07	14.4812
1.34960E-07	14.231
1.48866E-07	13.9927
1.64204E-07	13.7661
1.82392E-07	13.5357
1.88898E-07	13.4643
2.01185E-07	13.331
2.21915E-07	13.1368
2.44780E-07	12.952
2.70002E-07	12.7759
2.97822E-07	12.6083
3.28508E-07	12.4487
3.62357E-07	12.2983
3.96913E-07	12.1632
4.34743E-07	12.0342
4.79537E-07	11.9014
5.28947E-07	11.7751
5.83448E-07	11.6548
6.43565E-07	11.5401
7.19891E-07	11.4162
8.05270E-07	11.2979
8.88242E-07	11.1998
9.79764E-07	11.106
1.08072E-06	11.0162
1.19207E-06	10.9307
1.30575E-06	10.855
1.45038E-06	10.771
1.59982E-06	10.6961
1.75239E-06	10.6293
1.90606E-06	10.5699
2.08772E-06	10.5076
2.30284E-06	10.4433
2.54012E-06	10.3813
2.84137E-06	10.3134
3.13414E-06	10.256
3.43302E-06	10.2043
3.73407E-06	10.1578
4.03306E-06	10.1164
4.35622E-06	10.0754
4.77141E-06	10.028
5.22643E-06	9.98141
5.80533E-06	9.92854
6.31441E-06	9.88706
6.82035E-06	9.84893
7.36648E-06	9.81101
8.01245E-06	9.76963
8.83803E-06	9.72104
9.81744E-06	9.66867
1.06784E-05	9.6266
1.16961E-05	9.57972
1.28115E-05	9.53184
1.40326E-05	9.48271
1.52631E-05	9.4359
1.68358E-05	9.37915
1.87015E-05	9.31577
2.07729E-05	9.24892
2.30749E-05	9.17806
2.44049E-05	9.13887
2.56308E-05	9.09868
2.84711E-05	9.0089
3.11847E-05	8.9261
3.32148E-05	8.86674
3.38596E-05	8.84879
3.45795E-05	8.8299
3.50674E-05	8.81838
