MeV	Eu-nat	
4.13115E-08	2809.78	
4.30848E-08	2683.64	
4.40008E-08	2618.48	
4.65370E-08	2456.16	
4.92193E-08	2301.34	
5.20562E-08	2154.29	
5.50566E-08	2015.21	
5.54423E-08	1999.29	
5.82300E-08	1884.24	
6.11549E-08	1776.41	
6.42298E-08	1674.78	
6.74561E-08	1579.54	
6.79319E-08	1567.05	
7.08479E-08	1490.48	
7.44066E-08	1407.73	
7.81478E-08	1331	
8.15023E-08	1270.56	
8.20732E-08	1260.27	
8.61999E-08	1195.18	
9.05297E-08	1135.73	
9.50817E-08	1081.68	
9.57477E-08	1074.89	
9.98577E-08	1033.02	
1.04879E-07	989.503	
1.10147E-07	951.077	
1.10924E-07	946.373	
1.15685E-07	917.561	
1.21496E-07	888.934	
1.26711E-07	868.582	
1.27605E-07	865.096	
1.34014E-07	846.105	
1.39767E-07	834.066	
1.40753E-07	832.004	
1.47823E-07	823.027	
1.54631E-07	819.722	
1.55256E-07	819.421	
1.56343E-07	819.369	
1.63826E-07	822.171	
1.68191E-07	827.127	
1.72063E-07	831.532	
1.79449E-07	845.502	
1.80395E-07	848	
1.87152E-07	865.858	
1.90793E-07	878.228	
1.93818E-07	888.514	
2.00376E-07	915.877	
2.00731E-07	917.359	
2.07881E-07	953.533	
2.08977E-07	960.086	
2.13788E-07	988.871	
2.16432E-07	1007.22	
2.19863E-07	1031.05	
2.24141E-07	1065.56	
2.26111E-07	1081.47	
2.30510E-07	1122.06	
2.30918E-07	1125.83	
2.35816E-07	1176.72	
2.37060E-07	1191.31	
2.40830E-07	1235.56	
2.43796E-07	1275.02	
2.45939E-07	1303.55	
2.48979E-07	1349.62	
2.51168E-07	1382.79	
2.54261E-07	1436.36	
2.56496E-07	1475.08	
2.59667E-07	1536.6	
2.60114E-07	1545.28	
2.63784E-07	1623.33	
2.65175E-07	1655.76	
2.67505E-07	1710.12	
2.70813E-07	1794.56	
2.71280E-07	1806.48	
2.75107E-07	1913.21	
2.76557E-07	1957.16	
2.78988E-07	2030.82	
2.82437E-07	2143.49	
2.82924E-07	2159.39	
2.85564E-07	2252.5	
2.88940E-07	2371.54	
2.96624E-07	2656.76	
3.01342E-07	2831.83	
3.02931E-07	2886.52	
3.05594E-07	2978.15	
3.07205E-07	3027.27	
3.09905E-07	3109.56	
3.11539E-07	3151.74	
3.13176E-07	3193.99	
3.15934E-07	3252	
3.16479E-07	3263.45	
3.20523E-07	3325.23	
3.20602E-07	3326.03	
3.23148E-07	3351.52	
3.23905E-07	3355.32	
3.27323E-07	3372.43	
3.29048E-07	3374.41	
3.30776E-07	3371.16	
3.33107E-07	3366.77	
3.38400E-07	3337.91	
3.42125E-07	3317.65	
3.46503E-07	3293.92	
3.47406E-07	3289.04	
3.50161E-07	3283.59	
3.52307E-07	3279.39	
3.53853E-07	3283.09	
3.56349E-07	3289.11	
3.56469E-07	3289.4	
3.58845E-07	3306.33	
3.60227E-07	3316.21	
3.61376E-07	3330.28	
3.63908E-07	3361.31	
3.64039E-07	3362.92	
3.66475E-07	3406.54	
3.67886E-07	3431.85	
3.69042E-07	3459.59	
3.71645E-07	3522.18	
3.71770E-07	3525.18	
3.74248E-07	3601.01	
3.75690E-07	3645.15	
3.76888E-07	3690.23	
