E(MeV)	mcnp/Bi209:1
0.000821364	52.96805483
0.000822827	48.96998286
0.000824291	45.58720128
0.000825755	42.69413914
0.000827218	40.19642426
0.000828682	38.02137424
0.000830145	36.11311153
0.000831609	34.42716901
0.000833072	32.9285781
0.000834536	31.59603397
0.000837463	29.31063576
0.00084039	27.42469745
0.000843317	25.85060945
0.000846244	24.5191761
0.000849172	23.37973674
0.000852099	22.39468741
0.000855026	21.53538514
0.000857953	20.77976221
0.00086088	20.11052095
0.000863807	19.51400447
0.000866734	18.97917487
0.000872589	18.06168225
0.000878443	17.3027444
0.000884297	16.6639546
0.000890152	16.12009588
0.000896006	15.65168236
0.000907714	14.88648218
0.000919423	14.28816166
0.000925277	14.03545688
0.000936986	13.60115062
0.00094284	13.4133951
0.000954549	13.08387887
0.000966257	12.8039796
0.000977966	12.56332836
0.001001383	12.17028626
0.0010248	11.86211094
0.001059926	11.50551576
0.00110676	11.15552847
0.001130177	11.01593377
0.001177011	10.78411087
0.001223845	10.59652023
0.001294096	10.3675656
0.001364348	10.17703918
0.00150485	9.849430086
0.001598519	9.639947731
0.001739022	9.293293082
0.00183269	9.008185485
0.001902941	8.741413409
0.001949776	8.524905047
0.001973193	8.401067821
0.002020027	8.112870489
0.002066861	7.754092106
0.002101987	7.423948874
0.002125404	7.169833325
0.002137113	7.032601692
0.00216053	6.743031026
0.002172238	6.596691405
0.002183947	6.45810295
0.002201509	6.298285673
0.002207364	6.271972122
0.002219072	6.300362369
0.002224926	6.379280222
0.002230781	6.52685328
0.002236635	6.773735343
0.002242489	7.163095335
0.002248343	7.768741268
0.00225127	8.187588119
0.002254198	8.708909949
0.002257125	9.35885184
0.002260052	10.17239164
0.002262979	11.19584177
0.002265906	12.49165375
0.002268833	14.1453049
0.00227176	16.25765954
0.002273223	17.53305945
0.002274687	19.00835361
0.002276151	20.70322514
0.002277615	22.6570761
0.002279078	24.91682356
0.002280542	27.54513133
0.002282005	30.61203112
0.002283469	34.21334053
0.002284932	38.4588071
0.002286396	43.49882546
0.00228786	49.51402907
0.002289324	56.73810707
0.002290787	65.46390542
0.002292251	76.08693915
0.002293714	89.08428858
0.002295178	105.1001524
0.002296641	124.8976638
0.002298105	149.457019
0.002299569	179.8443581
0.002301033	217.0057246
0.002302153	250.5813051
0.002303274	289.0693931
0.002306637	418.5257444
0.002307758	457.541519
0.002308879	488.0049951
0.00231	505.9658694
0.00231112	509.3469223
0.002312241	498.4770769
0.002313362	475.8218897
0.002314483	445.0123368
0.002316725	373.9213892
0.002317846	339.0083374
0.002318967	306.4128838
0.002319971	279.7732725
0.002320976	255.686283
0.002321981	234.1049355
0.002322986	214.8628342
0.00232399	197.7659411
0.002324995	182.5564308
0.002326	169.0335673
0.002327005	156.9945961
0.002328009	146.2785553
0.002329014	136.7651844
0.002331024	120.4994315
0.002333034	107.182391
0.002335044	96.2468269
0.002337053	87.1738111
0.002339063	79.56110524
0.002341073	73.11574444
0.002343083	67.61024093
0.002345092	62.87123716
0.002347102	58.75716669
0.002351122	52.00214266
0.002353131	49.20805912
0.002357151	44.50018728
0.002359161	42.5178555
0.00236318	39.10012695
0.0023672	36.26383397
0.002371219	33.89072473
0.002375239	31.8802193
0.002379258	30.15964295
0.002387297	27.37699349
0.002391316	26.23949884
0.002399355	24.33927482
0.002403374	23.53919403
0.002415433	21.58410506
0.002431511	19.68876963
0.00243955	18.95089221
0.002455627	17.76281408
0.002479744	16.46906966
0.002503861	15.54375386
0.002527977	14.85127124
0.002576211	13.88327082
0.002624444	13.2402308
0.002672677	12.78160277
0.002704833	12.54228014
0.002801299	12.02009431
0.002897766	11.67259771
0.002994232	11.42203901
0.003090699	11.23068144
0.003219321	11.03346946
0.003267554	10.97145247
0.003283632	10.95194742
0.003299709	10.93302834
0.003315787	10.9148627
0.003323826	10.90635901
0.003327845	10.90250182
0.003331865	10.89931688
0.003335884	10.89772734
0.003337894	10.89853297
0.003339904	10.90234487
0.003341913	10.91353738
0.003342918	10.92722383
0.003343923	10.95899601
0.003344425	11.00157907
0.003344676	11.0481024
0.003344928	11.13670172
0.003345179	11.30740237
0.00334543	11.63098781
0.003345555	11.88159478
0.003345681	12.21715448
0.003345807	12.65607775
0.003345933	13.21999808
0.003346058	13.92450448
0.003346184	14.80106117
0.003346309	15.85203134
0.003346435	17.10438486
0.00334656	18.53941025
0.003346686	20.16975778
0.003346812	21.96076453
0.003347189	27.82368609
0.00334744	31.4770407
0.003347565	32.98737627
0.003347659	33.92535436
0.003347801	34.95557505
0.003347919	35.41467493
0.003348	35.50790021
0.003348098	35.37510702
0.003348242	34.7042334
0.003348394	33.4319444
0.003348529	31.89256604
0.003348732	29.05673333
0.003349138	22.73554832
0.003349273	20.76490689
0.003349408	18.9652775
0.003349543	17.37135923
0.003349679	15.99012978
0.003349814	14.84235906
0.003349949	13.90519087
0.003350084	13.15830405
0.00335022	12.57279678
0.003350355	12.13025481
0.00335049	11.79961556
0.003350761	11.38064885
0.003351031	11.16779459
0.003351302	11.06158936
0.003351843	10.97815486
0.003352384	10.94694061
0.003353466	10.91743507
0.003354548	10.90249253
0.003356712	10.88710119
0.003358875	10.87861554
0.003361039	10.87305797
0.003365367	10.86519436
0.003369694	10.85903675
0.003374022	10.85363349
0.003382677	10.84376738
0.003399987	10.82546247
0.003417297	10.80800369
0.003469227	10.75846435
0.003625018	10.62689974
0.003971219	10.38480159
0.00424818	10.20197556
0.00435204	10.12697698
0.00438666	10.10035473
0.00440397	10.08680117
0.00442128	10.07354206
0.004429935	10.06771026
0.004434262	10.06555568
0.00443859	10.06483399
0.004442917	10.06761094
0.004445081	10.07254535
0.004447245	10.08357156
0.004449409	10.11189284
0.004450491	10.14455036
0.004451573	10.22063923
0.004452114	10.32657575
0.004452384	10.43652117
0.004452655	10.62987442
0.004452925	10.96833154
0.004453196	11.55196978
0.004453466	12.51072608
0.004453601	13.18138989
0.004453737	14.01435685
0.004453872	15.01710036
0.004454007	16.21145769
0.004454142	17.60834802
0.004454278	19.22368418
0.004454548	23.0114801
0.004454683	25.14562785
0.004454954	29.68957242
0.004455292	35.15899722
0.004455461	37.46299685
0.004455562	38.61588083
0.004455697	39.83629153
0.004455799	40.48504229
0.004456	41.00892605
0.004456158	40.69311537
0.004456357	39.41757776
0.004456536	37.53218541
0.004456656	35.94955914
0.004456895	32.26882685
0.004457533	21.85978479
0.004457692	19.66631338
0.004457851	17.74347117
0.004458011	16.09537056
0.00445817	14.73703897
0.00445833	13.63140142
0.004458489	12.7632643
0.004458649	12.0878208
0.004458967	11.19979968
0.004459286	10.71779905
0.004459605	10.46690062
0.004459924	10.33598304
0.004460562	10.22046932
0.0044612	10.16977643
0.004462475	10.11912903
0.004465026	10.07692103
0.004466302	10.06653128
0.004468853	10.05337976
0.004471404	10.0450775
0.004476506	10.03440805
0.004481608	10.02680901
0.00448671	10.02051454
0.004496914	10.00938413
0.004517322	9.988644766
0.00453773	9.967915147
0.004578546	9.924271283
0.004680585	9.79292908
0.004803032	9.554315505
0.004894868	9.234720453
0.004956092	8.843192623
0.004996908	8.382162595
0.005012214	8.12495367
0.00502752	7.788715215
0.005037724	7.500922301
0.005050479	7.036787504
0.005058132	6.679237342
0.005065785	6.241011408
0.005070887	5.893420094
0.00507854	5.277799298
0.005081091	5.050076008
0.005086193	4.588478655
0.005090019	4.302670134
0.00509257	4.223057946
0.005093846	4.253782587
0.005095121	4.361465414
0.005096397	4.582097678
0.005097034	4.75207396
0.005097672	4.975778803
0.00509831	5.265938492
0.005098948	5.638643524
0.005099585	6.113689122
0.005100223	6.719327509
0.005100861	7.489809414
0.005101499	8.471042134
0.005102136	9.722436599
0.005102774	11.33236339
0.005103093	12.30612961
0.005103412	13.41617628
0.005103731	14.68428176
0.00510405	16.13612692
0.005104368	17.79647908
0.005104687	19.71167704
0.005105006	21.91959541
0.005105325	24.47104191
0.005105644	27.42632377
0.005105963	30.85675057
0.005106282	34.84607992
0.005106601	39.4916329
0.005106919	44.88641801
0.005107238	51.18838247
0.005107557	58.51610439
0.005107876	67.00746844
0.005108195	76.79319771
0.005108514	87.98073146
0.005108833	100.6324039
0.005109152	114.7387906
0.005109508	132.0595533
0.00511022	170.1224327
0.005110932	207.8911592
0.005111288	224.2225696
0.005111644	237.4847948
0.005112	246.8432761
0.005112356	251.7668761
0.005112712	252.1036009
0.005113068	248.091038
0.005113424	240.300686
0.005114136	216.689538
0.005114848	188.206835
0.005115419	165.6461456
0.005115705	155.0680621
0.005116277	135.8964675
0.005116849	119.5528878
0.005117135	112.4019143
0.005117706	99.95166316
0.005118278	89.58939634
0.00511885	80.95713489
0.005119422	73.72600244
0.005119993	67.63687236
0.005120565	62.45303755
0.005121137	58.01451076
0.005121709	54.18542022
0.005122853	47.94786665
0.005123425	45.38650357
0.005124568	41.10747227
0.00512514	39.30468456
0.005126284	36.21741292
0.005127427	33.67293391
0.005128571	31.54428203
0.005130858	28.20987925
0.005133146	25.72890065
0.005136576	23.02486629
0.005140007	21.0975389
0.005142295	20.09606573
0.005146869	18.53713382
0.005151444	17.39068286
0.005158305	16.1500043
0.005165167	15.26660234
0.005174316	14.42539357
0.005183465	13.81659522
0.005197189	13.16834095
0.005224636	12.37476723
0.005242934	12.03974796
0.005270381	11.68713486
0.005325275	11.25898469
0.005407616	10.91326606
0.005517404	10.66161919
0.005700385	10.43040796
0.006029749	10.20156709
0.006066345	10.18233923
0.006139537	10.14595559
0.006212729	10.111828
0.006231027	10.10360526
0.006249325	10.09558096
0.006258474	10.09178086
0.006263048	10.09006018
0.006267623	10.08868042
0.006272197	10.08815195
0.006274484	10.08878886
0.006276772	10.0911817
0.006279059	10.09822555
0.006280203	10.10754802
0.006280775	10.117527
0.006281347	10.14039464
0.006281918	10.20539405
0.006282204	10.27677169
0.00628249	10.39782433
0.006282776	10.59632972
0.006283062	10.90817284
0.006283348	11.37440767
0.006283634	12.03439361
0.00628392	12.91482644
0.006284206	14.01617169
0.006284492	15.30000679
0.006285064	18.03638857
0.006285421	19.45607354
0.006285707	20.19681981
0.00628585	20.39540321
0.006286	20.46860076
0.006286149	20.40139773
0.006286251	20.2762635
0.006286541	19.5957447
0.006286773	18.76125784
0.006287236	16.64588586
0.006287468	15.52381967
0.006287932	13.49277888
0.006288163	12.66882543
0.006288395	11.98862006
0.006288627	11.45240446
0.006288859	11.04575645
0.006289323	10.53783886
0.006289787	10.29655411
0.00629025	10.19198895
0.006290714	10.1477144
0.006291178	10.12766873
0.006291642	10.11696868
0.006293497	10.09818624
0.006295352	10.08990775
0.006297207	10.08522752
0.006300917	10.07975974
0.006304626	10.07625919
0.006308336	10.0736317
0.006315756	10.06940233
0.006330595	10.06231343
0.006345435	10.05583417
0.006375114	10.04355429
0.006404793	10.03190489
0.006434472	10.02121914
0.006464151	10.01346832
0.00647157	10.0128808
0.00648641	10.01701493
0.006497539	10.03466353
0.006501249	10.04922714
0.006506814	10.09326328
0.006510524	10.16258892
0.006514234	10.33361139
0.006517016	10.71620725
0.006518407	11.23300774
0.006518871	11.55583226
0.006519335	12.04789099
0.006519799	12.84412218
0.00652003	13.42286455
0.006520262	14.17944827
0.006520494	15.16316379
0.006520726	16.43347176
0.006520958	18.05461469
0.00652119	20.0898431
0.006521422	22.59284058
0.006521538	24.0312284
0.006521769	27.27290889
0.006522117	33.04361307
0.006522813	46.37792547
0.006523103	51.60928288
0.006523451	56.6143791
0.006523631	58.40493562
0.006523877	59.77311638
0.006524	59.95424072
0.006524122	59.79486749
0.006524429	57.94271703
0.006524642	55.5508419
0.00652487	52.17806799
0.006525249	45.34432744
0.006525705	36.50686519
0.006526008	31.03929863
0.00652616	28.54754759
0.006526464	24.17885813
0.006526616	22.31805493
0.00652692	19.22739563
0.006527071	17.98244407
0.006527223	16.90315393
0.006527527	15.19661725
0.006527831	13.97374827
0.006528135	13.10562914
0.006528438	12.48967371
0.006528742	12.04396149
0.006529046	11.71571789
0.006529957	11.12134534
0.006530565	10.89176171
0.00653178	10.60849038
0.00653421	10.33734297
0.00653664	10.21186177
0.0065415	10.10132796
0.00654636	10.05311655
0.00655851	10.00596562
0.00656337	9.996833382
0.00657309	9.98436669
0.00659253	9.969000705
0.006641129	9.945011128
0.006718888	9.914381592
0.006796647	9.885763771
0.007146564	9.762539257
0.008235192	9.358129267
0.008818386	9.089779203
0.008896145	9.049109592
0.008935025	9.028322792
0.008954465	9.018074745
0.008973905	9.008899451
0.008983625	9.006173333
0.008988485	9.006513066
0.008993345	9.010093537
0.008998205	9.021578336
0.009000635	9.035451284
0.009003065	9.063962442
0.009005495	9.135684274
0.00900671	9.228018385
0.009007317	9.326022141
0.009007925	9.525596239
0.009008532	9.968233182
0.009008836	10.36526678
0.00900914	10.94809185
0.009009443	11.77955384
0.009009747	12.93720159
0.009010051	14.48732872
0.009010355	16.48014731
0.009010658	18.92063843
0.009011114	23.34098337
0.00901157	28.25371231
0.009012101	33.58058983
0.009012443	36.1469915
0.009012633	37.12118228
0.009012838	37.74690198
0.009013	37.90829141
0.009013188	37.71929861
0.009013386	37.09294909
0.009013557	36.22151766
0.009013901	33.67612523
0.009015412	18.48609252
0.009015686	16.34651377
0.009015961	14.57095113
0.009016236	13.15555246
0.009016511	12.06389748
0.009016785	11.24901286
0.00901706	10.65172272
0.009017335	10.22480276
0.00901761	9.924239585
0.009018159	9.568081616
0.009018708	9.390137421
0.009019807	9.233245245
0.009022005	9.118898005
0.009024202	9.070318084
0.0090264	9.043343086
0.009028597	9.026603382
0.00903519	9.000929639
0.009039585	8.991589717
0.009048376	8.979443142
0.009065956	8.96370109
0.009083537	8.951338628
0.009101117	8.940021892
0.009118698	8.929456376
0.009127488	8.924990199
0.009136279	8.923064507
0.009140674	8.925905927
0.009142871	8.93085825
0.009145069	8.94268093
0.009147266	8.975621388
0.009148365	9.033648067
0.009148914	9.113789162
0.009149464	9.294092307
0.009150013	9.688185886
0.009150288	10.02210038
0.009150563	10.48551857
0.009150837	11.10664744
0.009151112	11.91768944
0.009151387	12.93582057
0.009151662	14.16509443
0.009151936	15.58275234
0.009152623	19.63488804
0.009153035	21.95632928
0.00915331	23.2270446
0.009153585	24.14853965
0.009153773	24.53405795
0.009154	24.70731909
0.009154224	24.55559678
0.009154376	24.27421651
0.00915468	23.31651301
0.009155221	20.63044776
0.009155762	17.40770002
0.009156032	15.85242538
0.009156303	14.42831564
0.009156573	13.19064636
0.009156843	12.15400222
0.009157113	11.3178889
0.009157384	10.66461481
0.009157654	10.17413683
0.009157925	9.813927108
0.009158466	9.379013101
0.009159006	9.173287552
0.009159547	9.077634895
0.009160629	9.004408504
0.009162792	8.957872402
0.009164955	8.937694306
0.009167118	8.926531959
0.009171445	8.914134215
0.009180097	8.901192531
0.00918875	8.892894716
0.009206055	8.879914113
0.00922336	8.868266151
0.009327191	8.801256355
0.009534852	8.65904721
0.009604073	8.608036529
0.009638684	8.581828279
0.009655989	8.568608682
0.009673294	8.555443763
0.009681946	8.549041894
0.009690599	8.543191421
0.009694925	8.541062064
0.009697088	8.540739985
0.009699252	8.541891874
0.009700333	8.543767717
0.009701415	8.548429176
0.009701955	8.554164724
0.009702496	8.56694418
0.009703037	8.597052528
0.009703578	8.666594904
0.009704118	8.815589049
0.009704659	9.104549559
0.0097052	9.599403351
0.009705741	10.33672616
0.009706823	12.26106834
0.009707228	12.88971386
0.009707566	13.25692789
0.009707735	13.36994343
0.009708	13.44050529
0.009708295	13.36099065
0.009708697	13.00233598
0.009708898	12.73249415
0.0097093	12.0704245
0.009709702	11.33367208
0.009710103	10.62147597
0.009710505	10.00074305
0.009710907	9.509054855
0.009711309	9.150593101
0.00971171	8.908676059
0.009712112	8.755325536
0.009712514	8.663975779
0.009712916	8.612054224
0.009713317	8.583422708
0.009713719	8.567564479
0.009714523	8.55289379
0.00971613	8.542248673
0.009717737	8.537172368
0.009720952	8.53194274
0.009727381	8.528161026
0.009737024	8.534828872
0.009740239	8.544142976
0.009743453	8.562256417
0.009746668	8.598095081
0.009748275	8.630375802
0.009751489	8.775062976
0.009752293	8.850911319
0.0097539	9.164275211
0.009754704	9.554283966
0.009755105	9.897607418
0.009755507	10.41622352
0.009755909	11.19358964
0.009756311	12.33358836
0.009756712	13.9416722
0.009757114	16.11509666
0.009757315	17.42533826
0.009757516	18.88007567
0.009757918	22.16353741
0.009758621	28.45587215
0.009759174	32.76884748
0.009759425	34.19917097
0.009759585	34.87617554
0.009759881	35.58083116
0.00976	35.65177351
0.009760414	34.93996291
0.00976081	32.98383947
0.009761147	30.56005979
0.009762091	22.2826167
0.00976263	18.00495817
0.009762899	16.22482301
0.009763169	14.70442154
0.009763438	13.44944478
0.009763708	12.43009306
0.009763977	11.62464791
0.009764247	10.99390263
0.009764516	10.50960317
0.009764786	10.1378109
0.009765325	9.638348891
0.009765864	9.341492613
0.009766403	9.155590178
0.00976802	8.874885526
0.009771255	8.673419827
0.009773411	8.61537917
0.009777724	8.555194908
0.009782036	8.52493588
0.009786349	8.50603633
0.009790661	8.493032561
0.009803599	8.468460919
0.009812224	8.456817566
0.009829475	8.437510657
0.009846725	8.420309311
0.009932977	8.339921722
0.01000198	8.274595842
0.01045048	7.768563623
0.01086449	7.118785363
0.01100249	6.851479183
0.01120949	6.411530699
0.01134749	6.128347371
0.01145099	5.980245382
0.01148549	5.960396348
0.01155449	6.005037069
0.01158899	6.092514512
0.01162349	6.246741343
0.01165799	6.494632653
0.01169249	6.875184146
0.01172699	7.444174143
0.01174424	7.824419404
0.01176149	8.288414582
0.01177874	8.852906046
0.01179599	9.540115746
0.01181324	10.37779194
0.01183049	11.40068972
0.01184774	12.65242756
0.01186499	14.18776698
0.01188224	16.07530912
0.01189949	18.40046848
0.01191674	21.26829592
0.01193399	24.80514884
0.01195124	29.15716478
0.0119685	34.48356712
0.01198468	40.49195973
0.01200087	47.57096514
0.01201706	55.71068144
0.01204943	74.15016782
0.01206562	83.33819962
0.01208181	91.38786632
0.012098	97.38565059
0.01211418	100.6962557
0.01213037	101.1609328
0.01214656	99.09468613
0.01216275	95.11492396
0.01219512	84.24572261
0.0122275	72.8336962
0.01226529	61.30648658
0.01230308	52.24694649
0.01232828	47.41158389
0.01235347	43.35819606
0.01237867	39.94930521
0.01240387	37.06665421
0.01242907	34.6122387
0.01245426	32.50817519
0.01250466	29.10885992
0.01252986	27.7245365
0.01258025	25.42476654
0.01263065	23.59948708
0.01273143	20.90674888
0.01278182	19.88860438
0.01288261	18.28484449
0.0130338	16.58377191
0.01313458	15.74526618
0.01328576	14.76465121
0.01353774	13.57978927
0.01384011	12.5477802
0.01414247	11.69647548
0.01454563	10.54421882
0.01469681	10.01840514
0.01484799	9.371655285
0.01494878	8.832238149
0.01502437	8.344375087
0.01509996	7.762503704
0.01517555	7.072669975
0.01525115	6.319847194
0.01527634	6.098533097
0.01531414	5.907178739
0.01532674	5.920743052
0.01533934	6.002371407
0.01535194	6.181316695
0.01536453	6.499556133
0.01537713	7.013969865
0.01538343	7.370783805
0.01538973	7.818460331
0.01539603	8.371719022
0.01540233	9.053076142
0.01540863	9.890083024
0.01541493	10.91639549
0.01542123	12.17297131
0.01542753	13.70931018
0.01543383	15.58454743
0.01544013	17.86803099
0.01544643	20.63871997
0.01545273	23.98826926
0.01545988	28.59128316
0.01546704	34.14723909
0.0154742	40.69330264
0.01548136	48.14258675
0.01548852	56.21520475
0.01549568	64.39600455
0.01550284	71.9677663
0.01551	78.15363198
0.01551715	82.33036824
0.01552431	84.23641191
0.01553147	83.98561716
0.01553863	81.95479571
0.01555295	74.86138665
0.01556727	66.52884458
0.0155892	55.09897633
0.01559651	51.918126
0.01561113	46.46879028
0.01562576	42.0631425
0.01564769	36.96471825
0.01566963	33.17215591
0.01568426	31.16364272
0.01571351	28.01704853
0.01574276	25.69177846
0.01578663	23.17869569
0.0158305	21.40015919
0.015889	19.71626178
0.0159475	18.51236959
0.01603525	17.24046614
0.01612299	16.35155482
0.01621074	15.6940266
0.01632774	15.04172199
0.01650324	14.3519654
0.01685422	13.49878253
0.01714671	13.04773281
0.01726371	12.9030208
0.01732221	12.83617186
0.01735146	12.80458084
0.01738071	12.77703335
0.01739533	12.76905459
0.01740264	12.7700675
0.01740996	12.77957166
0.01741727	12.81243116
0.01742092	12.8510201
0.01742458	12.92927979
0.0174264	12.99984498
0.01742914	13.20072134
0.01743097	13.49700972
0.01743189	13.77764374
0.0174328	14.25887756
0.01743372	15.16816727
0.01743417	15.88111164
0.01743463	16.87971294
0.01743509	18.22954716
0.01743555	20.00892915
0.017436	22.22492522
0.01743623	23.5488087
0.01743669	26.5746999
0.01743738	31.88825381
0.01743829	39.31226785
0.01743886	43.28648893
0.01743921	45.14230446
0.0174397	46.72709324
0.01744	47.03413983
0.01744019	46.95619942
0.01744069	45.76559802
0.01744125	42.93441543
0.01744171	39.73631655
0.01744282	30.8068998
0.01744319	27.97702495
0.01744338	26.61753411
0.01744375	24.19251746
0.01744412	22.08902713
0.01744449	20.31427428
0.01744486	18.85263778
0.01744523	17.67333659
0.0174456	16.73753093
0.01744597	16.00409414
0.01744671	14.99150676
0.01744745	14.37935778
0.01744893	13.74513305
0.01745263	13.1938685
0.01745855	12.93347815
0.01746151	12.87455826
0.01746743	12.80557244
0.01747631	12.75274979
0.01748223	12.7305506
0.01749999	12.68843013
0.01751183	12.66856526
0.01753552	12.63619349
0.0175592	12.6079202
0.01763026	12.52845706
0.01767763	12.47183626
0.01771315	12.42099467
0.01774868	12.34860664
0.01777237	12.26417785
0.01777829	12.23117244
0.01779013	12.1317847
0.01779605	12.04885308
0.01779901	11.99016909
0.01780493	11.80614978
0.01780641	11.73530187
0.01780937	11.53045269
0.01781085	11.37423565
0.01781233	11.1576212
0.01781307	11.02785177
0.01781381	10.90561333
0.01781455	10.84525687
