E(MeV)	pendfb7/Sm149:1	
8.40715E-10	134739.383	
8.65932E-10	132825.411	
8.84392E-10	131485.685	
8.91889E-10	130941.607	
9.18641E-10	129085.269	
9.46178E-10	127258.256	
9.74558E-10	125457.965	
1.00377E-09	123686.145	
1.01228E-09	123192.734	
1.03388E-09	121940.304	
1.06487E-09	120222.163	
1.08759E-09	119017.926	
1.09681E-09	118529.246	
1.12969E-09	116863.3	
1.16357E-09	115221.88	
1.16848E-09	114994.45	
1.19845E-09	113606.651	
1.23440E-09	112015.305	
1.26072E-09	110901.643	
1.27140E-09	110449.392	
1.30954E-09	108906.712	
1.34879E-09	107388.806	
1.36599E-09	106753.102	
1.38925E-09	105893.505	
1.43089E-09	104422.249	
1.47381E-09	102972.992	
1.48003E-09	102772.21	
1.51799E-09	101547.151	
1.56352E-09	100142.692	
1.61039E-09	98761.0361	
1.65869E-09	97400.2173	
1.70841E-09	96061.5421	
1.75966E-09	94743.1361	
1.81240E-09	93446.3233	
1.86677E-09	92169.2282	
1.92272E-09	90913.1478	
1.93087E-09	90738.3736	
1.98039E-09	89676.2854	
1.98875E-09	89505.0252	
2.03976E-09	88459.8826	
2.05705E-09	88121.3909	
2.10094E-09	87262.1925	
2.12769E-09	86761.8835	
2.16392E-09	86084.4086	
2.20076E-09	85426.2123	
2.22882E-09	84924.8698	
2.27634E-09	84114.0398	
2.28599E-09	83949.3789	
2.29563E-09	83784.7385	
2.35451E-09	82825.0666	
2.36449E-09	82662.3938	
2.43537E-09	81558.9423	
2.50842E-09	80472.8264	
2.51900E-09	80322.4946	
2.54036E-09	80019.275	
2.58361E-09	79405.1267	
2.60551E-09	79108.1586	
2.66110E-09	78354.3417	
2.69499E-09	77915.6239	
2.74087E-09	77321.5216	
2.78754E-09	76744.6112	
2.82308E-09	76305.1846	
2.83500E-09	76165.0194	
2.88327E-09	75597.2209	
2.92003E-09	75164.7257	
2.98228E-09	74470.2786	
3.02031E-09	74046.0467	
3.08470E-09	73364.928	
3.12403E-09	72948.8287	
3.17722E-09	72415.3599	
3.19063E-09	72280.8654	
3.23132E-09	71872.8183	
3.30020E-09	71217.8451	
3.34228E-09	70817.7264	
3.41354E-09	70175.555	
3.45706E-09	69783.2512	
3.53076E-09	69153.716	
3.57579E-09	68769.1392	
3.59088E-09	68646.974	
3.65202E-09	68152.0938	
3.69858E-09	67775.1502	
3.76156E-09	67292.187	
3.82560E-09	66801.0097	
3.87431E-09	66447.077	
3.95698E-09	65846.4675	
3.99052E-09	65615.619	
4.07559E-09	65030.1636	
