E(MeV)	pendfb7/Pd110:1	
1.00000000E-11	43.0865553	
1.02999000E-11	42.4674481	
1.03434000E-11	42.381568	
1.06087000E-11	41.857798	
1.06986000E-11	41.6880556	
1.09269000E-11	41.2569969	
1.10660000E-11	41.0057969	
1.12544000E-11	40.6655663	
1.14461000E-11	40.3345854	
1.15920000E-11	40.0826807	
1.15925000E-11	40.0818277	
1.18391000E-11	39.6745948	
1.19395000E-11	39.5087952	
1.19400000E-11	39.5079793	
1.22457000E-11	39.0252533	
1.22976000E-11	38.9432989	
1.22982000E-11	38.9423627	
1.26662000E-11	38.3865964	
1.26668000E-11	38.3857011	
1.30462000E-11	37.8378189	
1.30467000E-11	37.8371054	
1.31012000E-11	37.7618338	
1.34372000E-11	37.2977736	
1.34378000E-11	37.2969548	
1.35511000E-11	37.1473411	
1.38403000E-11	36.7654498	
1.38409000E-11	36.7646669	
1.40165000E-11	36.5429214	
1.42552000E-11	36.241494	
1.42558000E-11	36.2407453	
1.44979000E-11	35.9483705	
1.46827000E-11	35.7251947	
1.46834000E-11	35.7243594	
1.49957000E-11	35.3637218	
1.51229000E-11	35.2168339	
1.51235000E-11	35.2161493	
1.55107000E-11	34.7886148	
1.55765000E-11	34.7159605	
1.55772000E-11	34.7151968	
1.60434000E-11	34.2229728	
1.60441000E-11	34.2222425	
1.65246000E-11	33.7371199	
1.65253000E-11	33.7364216	
1.65943000E-11	33.6698112	
1.70199000E-11	33.2589508	
1.70207000E-11	33.2581878	
1.71642000E-11	33.1257304	
1.75304000E-11	32.7877103	
1.75312000E-11	32.7869806	
1.77537000E-11	32.5905942	
1.80559000E-11	32.3238618	
1.80567000E-11	32.3231641	
1.83633000E-11	32.0644472	
1.85975000E-11	31.8668232	
1.85983000E-11	31.8661562	
1.89940000E-11	31.5468717	
1.91550000E-11	31.4169631	
1.91558000E-11	31.4163253	
1.96463000E-11	31.0379489	
1.97295000E-11	30.9737676	
1.97304000E-11	30.9730816	
2.03209000E-11	30.5375133	
2.03218000E-11	30.5368574	
2.09305000E-11	30.1076467	
2.09314000E-11	30.1070197	
2.10188000E-11	30.0480941	
2.15579000E-11	29.68463	
2.15588000E-11	29.6840305	
2.17406000E-11	29.566851	
2.22045000E-11	29.2678435	
2.22055000E-11	29.2672067	
2.24872000E-11	29.0936181	
2.28701000E-11	28.8576683	
2.28711000E-11	28.8570595	
2.32595000E-11	28.6282469	
2.35561000E-11	28.4535151	
2.35571000E-11	28.4529331	
2.40582000E-11	28.1707344	
2.42622000E-11	28.0558501	
2.42633000E-11	28.0552381	
2.48844000E-11	27.720824	
2.49899000E-11	27.6640204	
2.49910000E-11	27.6634353	
2.57390000E-11	27.2784352	
2.57401000E-11	27.2778759	
2.65110000E-11	26.8986109	
2.65122000E-11	26.8980276	
2.66229000E-11	26.8459619	
2.73057000E-11	26.5248191	
2.73069000E-11	26.5242615	
2.75372000E-11	26.4207311	
2.81247000E-11	26.1566231	
2.81260000E-11	26.1560457	
2.84829000E-11	26.0026752	
2.89678000E-11	25.7942992	
2.89691000E-11	25.7937473	
2.94610000E-11	25.5916987	
2.98367000E-11	25.4373795	
2.98380000E-11	25.4368519	
3.04728000E-11	25.1876182	
3.07311000E-11	25.086205	
3.07324000E-11	25.0857008	
3.15192000E-11	24.7904552	
3.16528000E-11	24.740322	
3.16542000E-11	24.739803	
3.26017000E-11	24.3999727	
3.26031000E-11	24.3994766	
3.35795000E-11	24.0647726	
3.35810000E-11	24.0642646	
3.37213000E-11	24.0182985	
3.45861000E-11	23.7349668	
3.45876000E-11	23.7344813	
3.48793000E-11	23.6431523	
3.56235000E-11	23.4101492	
3.56251000E-11	23.4096543	
3.60771000E-11	23.2747225	
3.66913000E-11	23.0913705	
3.68485000E-11	23.0450154	
3.73160000E-11	22.9122751	
3.77919000E-11	22.7771498	
3.81139000E-11	22.6868399	
3.85975000E-11	22.5562346	
3.89247000E-11	22.467868	
3.94228000E-11	22.3350057	
3.99230000E-11	22.2065234	
4.00923000E-11	22.1630368	
4.07767000E-11	21.9894182	
4.12941000E-11	21.8630186	
4.21770000E-11	21.6500121	
4.25327000E-11	21.5673668	
4.27122000E-11	21.5261837	
4.36254000E-11	21.3166659	
4.38076000E-11	21.2764058	
4.41790000E-11	21.1953739	
4.51216000E-11	20.989718	
4.51236000E-11	20.989287	
4.56962000E-11	20.8704884	
4.64742000E-11	20.7090749	
4.66732000E-11	20.6682947	
4.72654000E-11	20.5514611	
4.78681000E-11	20.432556	
4.82761000E-11	20.3530579	
4.88886000E-11	20.2381569	
4.93030000E-11	20.1604182	
4.99339000E-11	20.0435388	
5.05675000E-11	19.9305248	
5.07818000E-11	19.8923006	
5.16487000E-11	19.7396081	
5.23041000E-11	19.6284575	
5.34224000E-11	19.4411894	
5.38729000E-11	19.3685496	
5.41003000E-11	19.3323477	
5.52571000E-11	19.1481858	
5.54878000E-11	19.1128202	
5.59582000E-11	19.0416288	
5.71521000E-11	18.8609413	
5.71547000E-11	18.8605527	
5.78799000E-11	18.7562194	
5.88653000E-11	18.6144516	
5.91175000E-11	18.5786194	
5.98676000E-11	18.4760389	
6.06310000E-11	18.3716395	
6.11476000E-11	18.3018747	
6.19235000E-11	18.2010141	
6.24484000E-11	18.1327814	
6.32475000E-11	18.0302139	
6.40501000E-11	17.9310492	
6.43215000E-11	17.8975166	
6.54196000E-11	17.7635596	
6.62496000E-11	17.6660904	
6.76662000E-11	17.5018592	
6.82368000E-11	17.4381764	
6.85248000E-11	17.406446	
6.99899000E-11	17.2450289	
7.02822000E-11	17.2140255	
7.14788000E-11	17.088747	
7.23903000E-11	16.9933171	
7.23935000E-11	16.9929862	
7.45603000E-11	16.7774239	
7.48796000E-11	16.746059	
7.67967000E-11	16.5648391	
7.74511000E-11	16.5037653	
7.77745000E-11	16.4747196	
7.90987000E-11	16.3557885	
8.01109000E-11	16.266042	
8.11274000E-11	16.179305	
8.14712000E-11	16.1499689	
8.28620000E-11	16.0328202	
8.39134000E-11	15.9475886	
8.46248000E-11	15.8906669	
8.57077000E-11	15.8040202	
8.64304000E-11	15.7483662	
8.82729000E-11	15.6083299	
8.86510000E-11	15.579593	
8.90212000E-11	15.5525123	
9.16913000E-11	15.3597581	
9.16954000E-11	15.3594658	
9.20783000E-11	15.333213	
9.44399000E-11	15.1712941	
9.48444000E-11	15.1439161	
9.60478000E-11	15.0655565	
9.72725000E-11	14.9858099	
9.81015000E-11	14.9325254	
1.00188000E-10	14.8034985	
1.01470000E-10	14.7252598	
1.03193000E-10	14.6240911	
1.04507000E-10	14.5479482	
1.04955000E-10	14.5219878	
1.06287000E-10	14.4477237	
1.08559000E-10	14.3227214	
1.09013000E-10	14.2986878	
1.09475000E-10	14.2742307	
1.12288000E-10	14.1272978	
1.12756000E-10	14.1037763	
1.13712000E-10	14.0563771	
1.16139000E-10	13.9360446	
1.16144000E-10	13.9357999	
1.18614000E-10	13.8195498	
1.19620000E-10	13.7722025	
1.20132000E-10	13.7484209	
1.23208000E-10	13.6110072	
1.24258000E-10	13.5647209	
1.24777000E-10	13.5427163	
1.26901000E-10	13.4526624	
1.28525000E-10	13.3847263	
1.30156000E-10	13.3191014	
1.30707000E-10	13.2969314	
1.32939000E-10	13.2083339	
