E(MeV)  mcnp	Total /Ca:1 mcnp/Ca
8.800000E-02	3.51248
8.850000E-02	6.56845
8.900000E-02	5.98985
9.000000E-02	4.20538
9.200000E-02	1.8087
9.400000E-02	0.927172
9.600000E-02	0.935491
9.800000E-02	1.04066
9.949999E-02	1.29092
1.000001E-01	1.67291
1.010000E-01	1.80042
1.020000E-01	2.09003
1.040000E-01	2.3773
1.060000E-01	1.77014
1.080000E-01	1.29044
1.100000E-01	1.07
1.120000E-01	0.961766
1.140000E-01	0.899655
1.160000E-01	0.865564
1.180000E-01	0.846495
1.220000E-01	0.842433
1.240000E-01	0.869267
1.280000E-01	0.889245
1.300000E-01	0.979271
1.320000E-01	1.10926
1.340000E-01	1.36336
1.360000E-01	3.31297
1.380000E-01	10.5987
1.400000E-01	17.6469
1.420000E-01	5.62454
1.440000E-01	3.12305
1.460000E-01	2.30019
1.480000E-01	2.08282
1.499374E-01	3.44054
1.499686E-01	2.04364
1.500001E-01	2.02107
1.502500E-01	2.00229
1.520000E-01	1.96371
1.540000E-01	1.71058
1.560000E-01	1.60991
1.600000E-01	1.52995
1.640000E-01	1.43969
1.660000E-01	1.17022
1.680000E-01	1.16362
1.690000E-01	2.41282
1.700000E-01	5.20006
1.710000E-01	8.01737
1.719000E-01	13.6662
1.740000E-01	13.6952
1.760000E-01	5.07996
1.780000E-01	2.75492
1.801000E-01	1.7216
1.820000E-01	1.20455
1.852000E-01	0.796614
1.889000E-01	0.635495
1.935000E-01	0.387172
1.946000E-01	0.423486
1.968000E-01	0.651151
2.000000E-01	0.369795
2.060000E-01	0.406037
2.099000E-01	0.476143
2.107718E-01	0.976426
2.108000E-01	1.54263
2.108250E-01	1.58942
2.110000E-01	1.69069
2.113750E-01	2.5887
2.114000E-01	4.4032
2.114250E-01	4.47002
2.118000E-01	4.4243
2.121000E-01	2.94774
2.124000E-01	2.5996
2.134000E-01	2.27985
2.138000E-01	2.55611
2.169000E-01	2.73789
2.187000E-01	6.46409
2.200000E-01	8.05481
2.209000E-01	7.02664
2.223000E-01	5.22418
2.236000E-01	2.94969
2.255000E-01	1.54568
2.271000E-01	0.672115
2.288718E-01	0.352768
2.289000E-01	0.631805
2.289250E-01	0.662162
2.296750E-01	0.740385
2.297000E-01	3.83275
2.302625E-01	3.83527
2.303281E-01	0.933736
2.307500E-01	0.892581
2.312000E-01	0.732433
2.340000E-01	0.566735
2.363000E-01	0.814498
2.394000E-01	1.71947
2.420000E-01	3.14319
2.440000E-01	5.06184
2.456000E-01	6.73002
2.478000E-01	7.60138
2.500000E-01	8.22297
2.527000E-01	8.04435
2.571000E-01	7.49598
2.600000E-01	6.25122
2.673000E-01	5.10494
2.695000E-01	3.07341
2.706000E-01	3.54147
2.783000E-01	2.56025
2.799000E-01	1.77266
2.803000E-01	1.77257
2.866000E-01	1.80762
2.893125E-01	0.731703
2.894000E-01	0.236655
2.894687E-01	0.225928
2.904656E-01	0.254693
2.905000E-01	0.749061
2.909000E-01	0.853293
2.913000E-01	2.1309
2.921000E-01	3.46042
2.946000E-01	6.71246
2.963000E-01	3.73434
2.975000E-01	2.23469
2.992000E-01	1.62377
2.999000E-01	1.43797
3.018000E-01	1.90147
3.074000E-01	1.22305
3.121000E-01	0.865014
3.151000E-01	0.488466
3.169000E-01	0.663167
3.223000E-01	0.334056
3.246000E-01	0.878484
3.255000E-01	1.74241
3.286000E-01	2.03633
3.301000E-01	4.75664
3.313000E-01	6.56012
