E(MeV)	W-nat
3.74376E-06	24.0324
3.74844E-06	24.4637
3.76010E-06	25.5347
3.77099E-06	26.6478
3.78188E-06	27.8638
3.78741E-06	28.5404
3.79277E-06	29.1933
3.80366E-06	30.6512
3.81455E-06	32.2574
3.82291E-06	33.6187
3.82544E-06	34.0312
3.83799E-06	36.3116
3.84635E-06	37.9954
3.85472E-06	39.8276
3.85840E-06	40.7073
3.86308E-06	41.8252
3.87145E-06	44.0092
3.87981E-06	46.4041
3.88817E-06	49.0382
3.89557E-06	51.5942
3.90522E-06	55.2935
3.91037E-06	57.4758
3.91166E-06	58.0221
3.91809E-06	60.9918
3.92452E-06	64.2285
3.93096E-06	67.7659
3.93160E-06	68.1536
3.93739E-06	71.6482
3.94383E-06	75.9166
3.94447E-06	76.3851
3.94962E-06	80.1382
3.95541E-06	84.7631
3.95605E-06	85.3277
3.96120E-06	89.8521
3.96474E-06	93.2813
3.96699E-06	95.4673
3.97278E-06	101.687
3.97342E-06	102.455
3.97857E-06	108.606
3.97921E-06	109.464
3.98436E-06	116.339
3.98500E-06	117.288
3.98870E-06	122.754
3.99079E-06	126.107
3.99240E-06	128.692
3.99658E-06	136.017
3.99690E-06	136.582
4.00093E-06	144.366
4.00141E-06	145.301
4.00527E-06	153.589
4.00591E-06	154.973
4.00961E-06	163.817
4.01042E-06	165.744
4.01395E-06	175.205
4.01492E-06	177.79
4.01685E-06	183.499
4.01830E-06	187.787
4.01974E-06	192.469
4.02167E-06	198.721
4.02264E-06	202.142
4.02505E-06	210.71
4.02553E-06	212.573
4.02779E-06	221.28
4.02843E-06	223.984
4.03100E-06	234.819
4.03132E-06	236.304
4.03374E-06	247.456
4.03422E-06	249.691
4.03615E-06	259.503
4.03744E-06	266.055
4.03856E-06	272.36
4.04065E-06	284.089
4.04098E-06	286.076
4.04339E-06	301.003
4.04387E-06	303.994
4.04580E-06	317.18
4.04709E-06	325.987
4.04821E-06	334.487
4.05030E-06	350.302
4.05063E-06	352.98
4.05304E-06	373.102
4.05336E-06	375.79
4.05545E-06	394.925
4.05626E-06	402.3
4.05770E-06	416.796
4.05915E-06	431.317
4.05963E-06	436.6
4.06156E-06	457.765
4.06205E-06	463.065
4.06349E-06	480.401
4.06494E-06	497.765
4.06542E-06	504.068
4.06735E-06	529.319
4.06784E-06	535.643
4.06928E-06	556.264
4.07073E-06	576.92
4.07121E-06	584.389
4.07314E-06	614.316
4.07363E-06	621.81
4.07507E-06	646.303
4.07700E-06	679.022
4.07765E-06	690.864
4.07990E-06	732.402
4.08030E-06	740.38
4.08279E-06	789.95
4.08296E-06	793.378
4.08561E-06	850.059
4.08569E-06	851.78
4.08826E-06	910.593
4.08859E-06	917.96
4.09092E-06	975.126
4.09212E-06	1004.75
4.09325E-06	1034.27
4.09534E-06	1089.19
4.09614E-06	1111.54
4.09856E-06	1178.7
4.09904E-06	1192.97
4.10194E-06	1278.75
4.10338E-06	1321.72
4.10467E-06	1362.19
4.10821E-06	1473.68
4.10853E-06	1484.34
4.11239E-06	1612.38
4.11706E-06	1767.34
4.11770E-06	1788.75
4.12494E-06	2029.86
4.12606E-06	2065.35
4.13073E-06	2212.38
4.13388E-06	2303.59
4.13507E-06	2337.96
4.13825E-06	2420.13
4.13941E-06	2449.93
4.14250E-06	2517.62
4.14379E-06	2545.71
4.14662E-06	2596.55
4.14707E-06	2604.59
4.14996E-06	2645.06
4.15074E-06	2655.76
4.15382E-06	2684.67
4.15460E-06	2691.79
4.15768E-06	2705.36
4.15846E-06	2708.65
4.15990E-06	2709.93
4.16046E-06	2708.58
4.16359E-06	2700.74
4.16373E-06	2699.73
4.16721E-06	2674.57
4.16978E-06	2643.41
4.17145E-06	2622.95
4.17351E-06	2588.94
4.17480E-06	2567.51
4.17699E-06	2522.53
4.17911E-06	2478.62
4.18046E-06	2445.69
4.18306E-06	2381.88
4.18458E-06	2340.43
4.18702E-06	2273.11
4.18902E-06	2212.78
4.19281E-06	2097.57
4.19346E-06	2076.6
4.19828E-06	1918.92
4.20182E-06	1803.02
4.20632E-06	1654.75
4.20986E-06	1538.16
4.21533E-06	1365.74
4.21919E-06	1250.2
4.21983E-06	1231.97
4.22305E-06	1141
4.22659E-06	1047.17
4.22691E-06	1038.66
4.23029E-06	955.16
4.23142E-06	929.202
