E(MeV)	mcnp/Ag-109:1
5.68052E-06	764.079
0.000005705	693.056
5.72948E-06	631.608
5.75396E-06	578.104
5.77843E-06	531.249
5.80291E-06	489.975
5.8457E-06	429.518
5.85187E-06	420.797
5.90083E-06	365.326
5.94979E-06	320.19
5.99875E-06	283.031
6.04771E-06	252.092
6.09667E-06	226.058
6.09876E-06	225.112
6.14563E-06	203.944
6.19459E-06	185
6.24354E-06	168.647
0.00000625	166.773
6.2925E-06	154.434
6.34146E-06	142.008
6.39042E-06	131.104
6.43938E-06	121.506
6.5373E-06	105.317
6.63522E-06	92.2125
6.73313E-06	81.526
6.83105E-06	72.7019
6.92897E-06	65.3309
7.02689E-06	59.11
7.11101E-06	54.5583
7.12481E-06	53.8116
7.22272E-06	49.2615
0.0000073	46.1548
7.32064E-06	45.325
7.41856E-06	41.8963
7.51648E-06	38.8913
7.6144E-06	36.243
7.71231E-06	33.8981
7.81023E-06	31.8294
7.87019E-06	30.7492
8.00607E-06	28.3014
8.2019E-06	25.4155
0.00000835	23.6195
8.39774E-06	23.0405
8.59357E-06	21.0619
8.78941E-06	19.3956
8.88243E-06	18.7226
8.98525E-06	17.9787
9.18108E-06	16.7633
9.37692E-06	15.7127
0.0000094	15.6048
9.57275E-06	14.7979
9.64161E-06	14.5161
9.76859E-06	13.9964
9.96442E-06	13.2898
1.01477E-05	12.7037
1.01603E-05	12.6636
1.03561E-05	12.1094
1.06539E-05	11.3909
1.07478E-05	11.1642
1.11394E-05	10.3911
0.00001116	10.3576
1.15311E-05	9.75253
1.15969E-05	9.66283
1.16661E-05	9.56842
1.19192E-05	9.22325
1.19228E-05	9.2183
1.21722E-05	8.93039
1.23145E-05	8.76622
1.24253E-05	8.65686
1.26783E-05	8.40714
1.27061E-05	8.37973
1.29314E-05	8.18792
1.30978E-05	8.04626
1.31845E-05	7.98206
1.34375E-05	7.7946
1.34895E-05	7.75613
1.35641E-05	7.70769
1.36906E-05	7.62553
1.37938E-05	7.55854
1.38171E-05	7.54337
1.38811E-05	7.5018
1.39436E-05	7.46597
1.40702E-05	7.39345
1.41967E-05	7.32092
1.42728E-05	7.2773
1.43232E-05	7.25162
1.44498E-05	7.1872
1.45763E-05	7.12278
1.46645E-05	7.07788
1.47028E-05	7.06043
1.48294E-05	7.00287
1.48926E-05	6.97409
1.49559E-05	6.9453
1.50192E-05	6.91652
1.50562E-05	6.89969
1.50824E-05	6.88899
1.51457E-05	6.86324
0.000015209	6.83747
1.52722E-05	6.81171
1.53355E-05	6.78595
1.53987E-05	6.76019
1.54478E-05	6.74021
0.000015462	6.73523
1.55253E-05	6.71301
1.55569E-05	6.7019
1.55885E-05	6.69078
1.56202E-05	6.67967
1.56518E-05	6.66856
1.56834E-05	6.65745
1.57151E-05	6.64634
1.57467E-05	6.63523
1.57783E-05	6.62412
0.00001581	6.61301
1.58416E-05	6.6019
1.58732E-05	6.59079
0.000015889	6.58523
1.59049E-05	6.57968
1.59207E-05	6.57413
1.59365E-05	6.56857
1.59523E-05	6.56301
1.59681E-05	6.55746
1.59839E-05	6.5519
1.59906E-05	6.54956
1.59998E-05	6.54635
1.60156E-05	6.54079
1.60314E-05	6.53524
1.60472E-05	6.52968
0.000016063	6.52413
1.60788E-05	6.51857
1.60947E-05	6.51301
1.61105E-05	6.50746
1.61263E-05	6.5019
1.61421E-05	6.49635
1.61579E-05	6.49079
1.61975E-05	6.4769
1.62212E-05	6.46857
1.62312E-05	6.46507
1.62409E-05	6.46222
1.62557E-05	6.45791
1.62705E-05	6.45359
1.62803E-05	6.45071
0.0000163	6.44496
1.63099E-05	6.44208
1.63296E-05	6.43633
1.63394E-05	6.43345
0.000016369	6.42482
1.64033E-05	6.41479
0.00001644	6.40407
1.64644E-05	6.39693
1.64767E-05	6.39335
1.65011E-05	6.38621
1.65133E-05	6.38264
1.65256E-05	6.37906
1.65378E-05	6.37549
0.00001655	6.37192
1.65623E-05	6.36834
1.65745E-05	6.36477
1.65867E-05	6.3612
0.000016599	6.35762
1.66112E-05	6.35405
1.66234E-05	6.35048
1.66357E-05	6.3469
1.66479E-05	6.34333
1.66724E-05	6.33618
1.66968E-05	6.32904
1.67213E-05	6.32189
1.67457E-05	6.31475
1.67702E-05	6.3076
1.67947E-05	6.30045
1.68191E-05	6.29331
1.68436E-05	6.28616
1.68681E-05	6.27901
1.68925E-05	6.27187
0.000016917	6.26472
1.69659E-05	6.25043
1.70145E-05	6.23623
1.70638E-05	6.22412
