E(MeV)	V-nat
1.12938E-05	5.15420E+00
1.24575E-05	5.14382E+00
1.37411E-05	5.13414E+00
1.55876E-05	5.12263E+00
1.71937E-05	5.11442E+00
1.87015E-05	5.10784E+00
2.03414E-05	5.10172E+00
2.22802E-05	5.09556E+00
2.47492E-05	5.08918E+00
2.71081E-05	5.08421E+00
2.94853E-05	5.08007E+00
3.22971E-05	5.07604E+00
3.56249E-05	5.07238E+00
3.90203E-05	5.06954E+00
4.33445E-05	5.06695E+00
4.74757E-05	5.06532E+00
5.20031E-05	5.06428E+00
5.65634E-05	5.06388E+00
6.15235E-05	5.06402E+00
6.78627E-05	5.06492E+00
7.48551E-05	5.06667E+00
8.08489E-05	5.06873E+00
8.85590E-05	5.07188E+00
9.69996E-05	5.07597E+00
1.04772E-04	5.08028E+00
1.12374E-04	5.08498E+00
1.19684E-04	5.09006E+00
1.23084E-04	5.09274E+00
1.25701E-04	5.09785E+00
1.26994E-04	5.10043E+00
1.31524E-04	5.10990E+00
1.35261E-04	5.11820E+00
1.38130E-04	5.12508E+00
1.40079E-04	5.13003E+00
1.41594E-04	5.13418E+00
1.42055E-04	5.13716E+00
1.44059E-04	5.15065E+00
1.45584E-04	5.16139E+00
1.47122E-04	5.17279E+00
1.48153E-04	5.18082E+00
1.48714E-04	5.18541E+00
1.49198E-04	5.19246E+00
1.50243E-04	5.20819E+00
1.51303E-04	5.22486E+00
1.51868E-04	5.23418E+00
1.52098E-04	5.24011E+00
1.52900E-04	5.26146E+00
1.53706E-04	5.28377E+00
1.54244E-04	5.29906E+00
1.54554E-04	5.30824E+00
1.54785E-04	5.31840E+00
1.55330E-04	5.34312E+00
1.55875E-04	5.36863E+00
1.56184E-04	5.38363E+00
1.56420E-04	5.39904E+00
1.56830E-04	5.42662E+00
1.57245E-04	5.45524E+00
1.57286E-04	5.45813E+00
1.57659E-04	5.49314E+00
1.58074E-04	5.53307E+00
1.58387E-04	5.56425E+00
1.58488E-04	5.57742E+00
1.58765E-04	5.61426E+00
1.59043E-04	5.65218E+00
1.59225E-04	5.67763E+00
1.59323E-04	5.69542E+00
1.59603E-04	5.74736E+00
1.59884E-04	5.80059E+00
1.60063E-04	5.83562E+00
1.60164E-04	5.86052E+00
1.60444E-04	5.93147E+00
1.60622E-04	5.97755E+00
1.60654E-04	5.98791E+00
1.60865E-04	6.05605E+00
1.61075E-04	6.12559E+00
1.61188E-04	6.16416E+00
1.61330E-04	6.22229E+00
1.61514E-04	6.30015E+00
1.61613E-04	6.34277E+00
1.61699E-04	6.38747E+00
1.61884E-04	6.48569E+00
1.62038E-04	6.56961E+00
1.62069E-04	6.58921E+00
1.62253E-04	6.71041E+00
1.62321E-04	6.75607E+00
1.62438E-04	6.84623E+00
1.62577E-04	6.95540E+00
1.62605E-04	6.97782E+00
1.62745E-04	7.10785E+00
1.62888E-04	7.24444E+00
1.62927E-04	7.28716E+00
1.63048E-04	7.42347E+00
1.63138E-04	7.52618E+00
1.63170E-04	7.56771E+00
1.63291E-04	7.73017E+00
1.63388E-04	7.86255E+00
1.63413E-04	7.90017E+00
1.63534E-04	8.09146E+00
1.63576E-04	8.15869E+00
1.63656E-04	8.30156E+00
1.63764E-04	8.49946E+00
1.63777E-04	8.52668E+00
1.63898E-04	8.78078E+00
1.63952E-04	8.89416E+00
1.64020E-04	9.05818E+00
1.64139E-04	9.35058E+00
1.64141E-04	9.35604E+00
1.64263E-04	9.69740E+00
1.64327E-04	9.88209E+00
1.64384E-04	1.00664E+01
1.64505E-04	1.04662E+01
1.64515E-04	1.04974E+01
1.64607E-04	1.08437E+01
1.64702E-04	1.12111E+01
1.64728E-04	1.13214E+01
1.64850E-04	1.18522E+01
1.64890E-04	1.20324E+01
1.64971E-04	1.24307E+01
1.65064E-04	1.28950E+01
1.65092E-04	1.30510E+01
1.65214E-04	1.37227E+01
1.65238E-04	1.38560E+01
1.65376E-04	1.46890E+01
1.65412E-04	1.49064E+01
1.65538E-04	1.57239E+01
1.65672E-04	1.65984E+01
