E(MeV)	"U-238(N,TOT)"
3.63252E-05	265.938
3.63463E-05	325.163
3.63662E-05	402.178
3.63822E-05	486.557
3.64008E-05	619.674
3.64192E-05	803.545
3.64351E-05	1020.36
3.64510E-05	1307.02
3.64722E-05	1829.49
3.64899E-05	2416.58
3.65116E-05	3361.3
3.65379E-05	4858.81
3.65735E-05	7419.99
3.66244E-05	11256.1
3.66521E-05	12751.6
3.66817E-05	13397.6
3.67059E-05	13081
3.67341E-05	11835.4
3.67949E-05	7446.9
3.68259E-05	5255.47
3.68532E-05	3690.12
3.68744E-05	2751.35
3.68945E-05	2072.58
3.69115E-05	1636.33
3.69299E-05	1279.76
3.69479E-05	1021.35
3.69654E-05	835.8
3.69839E-05	690.485
3.70062E-05	565.525
3.70302E-05	469.903
3.70553E-05	398.625
3.70908E-05	327.55
3.71288E-05	274.093
3.71734E-05	229.175
3.72264E-05	190.913
3.72874E-05	159.466
3.73536E-05	134.623
3.74102E-05	118.591
3.75012E-05	99.3469
3.75957E-05	84.9648
3.77000E-05	73.2186
3.78396E-05	61.9694
3.79650E-05	54.5363
3.81241E-05	47.5926
3.83185E-05	41.3918
3.85429E-05	36.2676
3.87461E-05	32.8456
3.90006E-05	29.5707
3.93116E-05	26.6372
3.96199E-05	24.445
3.99693E-05	22.5698
4.03917E-05	20.8455
4.08472E-05	19.4197
4.14379E-05	18.0417
4.22135E-05	16.7153
4.29817E-05	15.7721
4.31715E-05	15.6509
4.33316E-05	15.6132
4.34978E-05	15.2884
4.39765E-05	14.8229
4.48435E-05	14.2122
4.49683E-05	14.2207
4.50946E-05	14.5366
4.51963E-05	14.6479
4.53310E-05	14.1369
4.54182E-05	13.9139
4.55742E-05	13.7747
4.66544E-05	13.2435
4.68598E-05	13.2292
4.70314E-05	13.1128
4.72453E-05	12.9851
4.92375E-05	12.2799
4.94022E-05	12.2555
4.95078E-05	12.3444
4.96564E-05	12.4866
4.97899E-05	12.2429
4.98891E-05	12.0995
5.00138E-05	12.0363
5.19464E-05	11.5057
5.47480E-05	10.7863
5.67112E-05	10.2657
5.78181E-05	9.94798
5.79607E-05	9.94016
5.81542E-05	9.96657
5.83258E-05	9.81616
5.85146E-05	9.72094
5.96348E-05	9.30747
6.08064E-05	8.76307
6.16103E-05	8.29369
6.22111E-05	7.86978
6.26835E-05	7.4788
6.31035E-05	7.08662
6.32390E-05	7.07867
6.33331E-05	7.44876
6.34847E-05	8.64885
6.35797E-05	8.42916
6.37177E-05	6.96879
6.38168E-05	6.38307
6.40167E-05	6.01661
6.42597E-05	5.73617
6.44569E-05	5.57576
6.46341E-05	5.54415
6.48158E-05	5.76003
6.49642E-05	6.32966
6.50815E-05	7.27228
6.51586E-05	8.31406
6.52091E-05	9.27322
6.52506E-05	10.3041
6.52907E-05	11.5682
6.53226E-05	12.8071
6.53590E-05	14.5756
6.53931E-05	16.6823
6.54261E-05	19.2771
6.54643E-05	23.2519
6.54977E-05	28.0054
6.55311E-05	34.7244
6.55556E-05	41.6443
6.55778E-05	50.2068
6.55979E-05	60.6345
6.56183E-05	75.1522
6.56391E-05	95.6434
6.56572E-05	120.246
6.56754E-05	153.319
6.56926E-05	194.981
6.57107E-05	252.265
6.57341E-05	354.094
6.57528E-05	463.123
6.57724E-05	609.538
6.57949E-05	825.498
6.58181E-05	1105.57
6.58478E-05	1554.92
6.58947E-05	2431.48
6.59600E-05	3690.17
6.59989E-05	4198.05
6.60296E-05	4357.03
6.60568E-05	4295.06
6.60863E-05	4022.45
6.61266E-05	3386.31
6.62033E-05	1916.08
6.62419E-05	1299.84
6.62716E-05	933.222
6.62950E-05	710.901
6.63167E-05	550.62
6.63417E-05	412.606
6.63673E-05	312.527
6.63900E-05	249.243
6.64088E-05	210.388
6.64289E-05	179.272
6.64571E-05	147.779
6.64905E-05	122.759
6.65224E-05	106.362
6.65609E-05	92.1285
6.66099E-05	79.3948
6.66693E-05	68.2977
6.67420E-05	58.6915
6.68177E-05	51.3942
6.69079E-05	45.045
6.70046E-05	40.011
6.71299E-05	35.2766
6.72512E-05	31.8591
6.74064E-05	28.6672
6.76100E-05	25.6083
6.78003E-05	23.4745
6.80447E-05	21.4854
6.83092E-05	19.9061
6.86082E-05	18.5803
6.89532E-05	17.4374
6.93702E-05	16.3998
6.97509E-05	15.6655
7.02378E-05	14.9547
7.08122E-05	14.2882
7.15483E-05	13.6584
7.20615E-05	13.3082
7.21995E-05	13.2829
7.23661E-05	13.3758
7.25006E-05	13.2731
7.26624E-05	12.9928
7.28047E-05	12.8727
7.36414E-05	12.4645
7.47599E-05	12.0264
7.66511E-05	11.4012
7.76768E-05	11.0775
7.82223E-05	10.8963
7.87025E-05	10.7249
7.90429E-05	10.5893
7.93423E-05	10.449
7.95396E-05	10.3445
7.97117E-05	10.2543
7.98507E-05	10.19
7.99746E-05	10.1481
8.00654E-05	10.1526
8.01479E-05	10.2243
8.02000E-05	10.3764
8.02398E-05	10.653
8.02793E-05	11.2336
8.03089E-05	12.0906
8.03385E-05	13.5779
8.03630E-05	15.5937
8.03867E-05	18.5453
8.04056E-05	21.8875
8.04269E-05	26.9933
8.04514E-05	35.0762
8.04751E-05	45.6762
8.05000E-05	60.2607
8.05284E-05	81.759
8.05643E-05	116.018
8.06350E-05	198.173
8.06989E-05	260.958
8.07418E-05	279.528
8.07818E-05	273.498
8.08280E-05	240.98
8.08940E-05	168.57
8.09535E-05	104.563
8.09847E-05	78.1465
8.10131E-05	59.2362
8.10399E-05	45.6744
8.10636E-05	36.7214
8.10873E-05	30.0874
8.11094E-05	25.5687
8.11315E-05	22.2828
8.11536E-05	19.9237
8.11792E-05	18.0227
8.12037E-05	16.7667
8.12290E-05	15.8626
8.12641E-05	15.0203
8.13032E-05	14.392
8.13505E-05	13.8686
8.14137E-05	13.3769
8.14926E-05	12.9315
8.15890E-05	12.5463
8.16995E-05	12.2311
8.18084E-05	11.9849
8.19502E-05	11.745
8.21233E-05	11.5276
8.23227E-05	11.342
8.25211E-05	11.1839
8.27454E-05	11.0556
8.29535E-05	10.9578
8.31177E-05	10.8887
8.32801E-05	10.8284
8.33679E-05	10.8533
8.34424E-05	10.9853
8.35307E-05	11.3556
8.36853E-05	12.0428
8.37884E-05	11.7719
8.39247E-05	10.958
8.39959E-05	10.6999
8.40678E-05	10.5719
8.41649E-05	10.5008
8.44396E-05	10.4086
8.56195E-05	10.0838
8.75527E-05	9.60941
8.84081E-05	9.42055
8.86694E-05	9.39576
8.87747E-05	9.4511
8.88397E-05	9.61401
8.89032E-05	10.0693
8.89609E-05	11.0035
8.90360E-05	13.3753
