E(MeV)	mcnp/Pd-108:1	
9.999999960E-12	626.3761597	
1.239946947E-11	562.5631714	
1.479893985E-11	514.9818115	
1.719840936E-11	477.7467957	
1.959787888E-11	447.5819397	
2.439682137E-11	401.217926	
2.919576039E-11	366.8244324	
3.399469942E-11	340.002533	
3.879364885E-11	318.3289185	
4.839152690E-11	285.1062317	
5.939519709E-11	257.4351807	
7.039887423E-11	236.5436249	
8.140256524E-11	220.051178	
9.240623544E-11	206.6043091	
1.144135967E-10	185.7978363	
1.364209024E-10	170.2635498	
1.627965956E-10	155.9798126	
1.891722889E-10	144.804245	
2.155479961E-10	135.7521515	
2.419237033E-10	128.2267914	
2.946750899E-10	116.3375168	
3.474265042E-10	107.2764816	
4.001778908E-10	100.0759964	
4.529293052E-10	94.17625427	
5.584320228E-10	85.00036621	
6.420242671E-10	79.40372467	
7.256165113E-10	74.80683136	
8.928009443E-10	67.63751984	
1.059984989E-09	62.24250412	
1.227170032E-09	57.99309921	
1.394354965E-09	54.53424072	
1.561539009E-09	51.64808655	
1.895908097E-09	47.07030487	
2.230277962E-09	43.56830597	
2.564646939E-09	40.77820587	
2.899015916E-09	38.48783112	
3.233385115E-09	36.56397247	
3.701794871E-09	34.322052	
4.170206847E-09	32.46977615	
5.107028134E-09	29.56087303	
6.043849865E-09	27.35637474	
6.980671152E-09	25.61286354	
7.917493328E-09	24.19062233	
8.854315503E-09	23.00164795	
1.072795985E-08	21.10823441	
1.254946991E-08	19.68775749	
1.437097019E-08	18.54744148	
1.619248025E-08	17.60851669	
1.801397964E-08	16.8182354	
2.165699087E-08	15.54811096	
2.530000032E-08	14.56298923	
3.094394074E-08	13.39178848	
3.658787051E-08	12.49862194	
4.223181094E-08	11.79386902	
4.787575136E-08	11.22489262	
5.916361800E-08	10.33627796	
7.045149886E-08	9.663906097	
8.173937971E-08	9.137943268	
9.302725346E-08	8.717384338	
1.156030009E-07	8.065032005	
1.381787911E-07	7.575062752	
1.607544959E-07	7.193451881	
1.833303003E-07	6.88535881	
2.059060904E-07	6.632540703	
2.510575996E-07	6.231536865	
2.962091799E-07	5.923940182	
3.413606748E-07	5.680136681	
3.865121982E-07	5.482297897	
4.768151882E-07	5.173861027	
5.671182635E-07	4.941326141	
6.574214240E-07	4.759044647	
7.477244708E-07	4.612101078	
9.283307918E-07	4.385880947	
1.108936999E-06	4.218312263	
1.289542979E-06	4.08973217	
1.470149073E-06	3.989459038	
1.741058895E-06	3.879599094	
2.011967808E-06	3.819388866	
2.192574129E-06	3.820369959	
2.282876949E-06	3.843850136	
2.373179996E-06	3.892790794	
2.418332087E-06	3.932293892	
2.463483042E-06	3.988060951	
2.508635134E-06	4.065984726	
2.553786089E-06	4.175935268	
2.598937954E-06	4.333906174	
2.621512976E-06	4.439929008	
2.644088909E-06	4.571877956	
2.666665068E-06	4.738228798	
2.689239864E-06	4.950971127	
2.711816023E-06	5.22827816	
2.734391956E-06	5.599060059	
2.745680149E-06	5.833343983	
2.756968115E-06	6.111026764	
2.768254944E-06	6.443396568	
2.779542911E-06	6.845558167	
2.790831104E-06	7.3376894	
2.802119070E-06	7.946914673	
2.813407036E-06	8.709441185	
2.824695002E-06	9.672552109	
2.835982968E-06	10.89516068	
2.847270935E-06	12.44589233	
2.858558901E-06	14.39501286	
2.864202997E-06	15.53801537	
2.875490964E-06	18.18144035	
2.881135060E-06	19.68032455	
2.892422799E-06	22.99128723	
2.926248953E-06	33.63045883	
2.934686790E-06	35.76266861	
2.943125082E-06	37.38776779	
2.948750080E-06	38.12835312	
2.960000074E-06	38.67940903	
2.965625981E-06	38.47127151	
2.976875976E-06	37.12666702	
2.985313813E-06	35.4034462	
2.993752105E-06	33.20529938	
2.999377102E-06	31.54942131	
3.027075081E-06	22.74777985	
3.034432893E-06	20.57487297	
3.041790933E-06	18.57034111	
3.049148972E-06	16.75652313	
3.056507012E-06	15.14116478	
3.063863915E-06	13.72122192	
3.071221045E-06	12.48515034	
3.078578857E-06	11.41694355	
3.085937124E-06	10.49821281	
3.093295163E-06	9.709971428	
3.100652975E-06	9.034008026	
3.108010105E-06	8.453595161	
3.115367008E-06	7.953882217	
3.122725047E-06	7.522008896	
3.137440899E-06	6.820373535	
3.152156069E-06	6.281702995	
3.166871920E-06	5.859882355	
3.181586862E-06	5.523584366	
3.196302032E-06	5.251109123	
3.211018111E-06	5.027190208	
3.225733053E-06	4.840872765	
3.240447995E-06	4.684049606	
3.269877880E-06	4.436016083	
3.299308901E-06	4.24991703	
3.328739922E-06	4.106226921	
3.358170943E-06	3.992866039	
3.387600827E-06	3.901874065	
3.417032076E-06	3.82763195	
3.475892981E-06	3.713454008	
3.534755024E-06	3.629544973	
3.593615929E-06	3.566590071	
3.711337968E-06	3.476156235	
3.829060915E-06	3.412804127	
3.946783181E-06	3.366063118	
4.182229986E-06	3.297899008	
4.535397238E-06	3.225594997	
4.888564945E-06	3.170351982	
5.830346254E-06	3.057535172	
6.772126198E-06	2.968403339	
7.713906598E-06	2.891216993	
8.655688362E-06	2.821732759	
1.053925007E-05	2.697125435	
1.242281996E-05	2.58505702	
1.383548988E-05	2.507605076	
1.571904977E-05	2.414757013	
1.760260966E-05	2.340564966	
1.901528958E-05	2.306945801	
1.995706953E-05	2.302093983	
2.089884947E-05	2.318912029	
2.184062942E-05	2.36717701	
2.231152030E-05	2.407751083	
2.278240936E-05	2.463439226	
2.325330024E-05	2.537117243	
2.342988046E-05	2.570493698	
2.351816875E-05	2.588813543	
2.356232108E-05	2.598953962	
2.360646067E-05	2.610313416	
2.364373904E-05	2.621204138	
2.368105015E-05	2.63351059	
2.371316987E-05	2.645278931	
2.374530050E-05	2.658070326	
2.377742931E-05	2.671746731	
2.380955993E-05	2.686125755	
2.384169056E-05	2.701009989	
2.387381028E-05	2.716232061	
2.390593909E-05	2.731670856	
2.393806062E-05	2.747226954	
2.400232006E-05	2.778579235	
2.406657040E-05	2.810266733	
2.419508019E-05	2.876051903	
2.466596925E-05	3.146528006	
2.513686013E-05	3.465302944	
2.560774919E-05	3.844357967	
2.607864008E-05	4.299921036	
2.654952914E-05	4.854119301	
2.702042002E-05	5.537770271	
2.749131090E-05	6.38834095	
2.772676089E-05	6.894351959	
2.796219997E-05	7.474005222	
2.819764995E-05	8.136184692	
2.843309085E-05	8.897220612	
2.866853902E-05	9.778029442	
2.890397991E-05	10.80524063	
2.896283877E-05	11.08883953	
2.902170854E-05	11.38436413	
2.905113979E-05	11.5367794	
2.908057104E-05	11.69244289	
2.911000047E-05	11.85159206	
2.913942990E-05	12.01444817	
2.916885933E-05	12.1812315	
2.919829058E-05	12.35237598	
2.922772001E-05	12.52828026	
2.925715125E-05	12.70953655	
2.928657887E-05	12.89686298	
2.931601011E-05	13.09109402	
2.934543954E-05	13.2931385	
2.937487079E-05	13.50370312	
2.938959005E-05	13.61244583	
