E(MeV)	mcnp/Mn55:1
0.000789431	19.41142107
0.00081264	19.88141521
0.00083585	20.54181208
0.000859059	21.42916324
0.000882269	22.60216517
0.000905478	24.15273244
0.000917083	25.11446981
0.000928688	26.23871685
0.000940292	27.5618112
0.000951897	29.13581235
0.000963502	31.03340624
0.000975107	33.35343897
0.000980909	34.7165863
0.000986711	36.25396118
0.000992514	37.99406216
0.000998316	39.97819355
0.001004118	42.25926218
0.00100992	44.90660886
0.001015722	48.01203937
0.001021525	51.7003375
0.001027327	56.14168304
0.00103313	61.55390041
0.001036031	64.72367556
0.001038932	68.30432677
0.001041833	72.34870064
0.001044735	76.94839257
0.001047636	82.21379057
0.001050537	88.29138548
0.001053438	95.36875159
0.001056339	103.6921272
0.00105924	113.5899241
0.001062141	125.5077414
0.001065042	139.9479175
0.001066493	148.3670369
0.001067944	157.8623769
0.001069394	168.5345399
0.001070845	180.5967065
0.001072295	194.2847772
0.001073746	209.9296028
0.001075196	227.8970177
0.001076647	248.6968461
0.001078098	272.9283408
0.001079549	301.3650864
0.001080999	334.9657732
0.00108245	375.0271067
0.0010839	423.0773032
0.001085351	481.1638182
0.001086801	551.6081251
0.001088252	637.2367886
0.001089703	740.6222248
0.001091154	863.120631
0.001092134	956.260279
0.001093115	1055.977716
0.001095077	1256.857852
0.001096057	1342.504371
0.001097038	1404.904337
0.001098019	1434.357436
0.001099	1424.670547
0.00109998	1375.322124
0.001100961	1291.802039
0.001101942	1184.374498
0.001104884	822.3711475
0.001105865	713.247779
0.001106846	616.8617148
0.001107921	525.8070481
0.001108997	448.6589563
0.001110072	383.925046
0.001111148	329.7011484
0.001112223	284.3756814
0.001113299	246.3463839
0.001114375	214.3693541
0.001115451	187.3748766
0.001116526	164.5065277
0.001117602	145.0088647
0.001118678	128.3251507
0.001119754	113.9844929
0.001120829	101.6143619
0.001121905	90.87889042
0.001122981	81.53365572
0.001124057	73.36738412
0.001125132	66.21170539
0.001126208	59.90834733
0.001127283	54.34825821
0.001128359	49.42073628
0.001129434	45.05769905
0.00113051	41.1933579
0.001132662	34.63402004
0.001134813	29.31919198
0.001136965	25.00964344
0.001139116	21.49511943
0.001141268	18.60914733
0.001143419	16.22949612
0.00114557	14.25810945
0.001147721	12.61942095
0.001149873	11.2531958
0.001152024	10.11320768
0.001154176	9.160257596
0.001156327	8.364402859
0.001158479	7.699798579
0.00116063	7.146496031
0.001162781	6.687226995
0.001164932	6.308041329
0.001167084	6.001536067
0.001171387	5.550289223
0.00117569	5.26783557
0.001179992	5.116318916
0.001184295	5.063454359
0.001188598	5.085523471
0.001192901	5.166455026
0.001201506	5.447375701
0.001210112	5.831812448
0.001218717	6.278925487
0.001227323	6.762534966
0.001235928	7.266473771
0.001244534	7.781021137
0.001253139	8.300083694
0.001261745	8.820199871
0.001278956	9.856668084
0.001296167	10.88484595
0.001313378	11.90649458
0.001330589	12.92646005
0.0013478	13.9510021
0.001382223	16.03872708
0.001416645	18.2200533
0.001451067	20.54448876
0.001485489	23.06110652
0.001519911	25.81998973
0.001554333	28.8703388
0.001571544	30.5186841
0.001588755	32.25366223
0.00159736	33.15166529
0.001605966	34.06799066
0.001614571	34.99646849
0.001618874	35.46224155
0.001623177	35.92620442
0.001627479	36.38488019
0.00162963	36.61067934
0.001631782	36.8327066
0.001633933	37.04967692
0.001636085	37.26018874
0.001638236	37.46200093
0.001640388	37.65306588
0.001641463	37.74341277
0.001642539	37.82964621
0.001643615	37.91130162
0.001644691	37.98812138
0.001645766	38.06000846
0.001646842	38.1276509
0.00164738	38.16036139
0.001647918	38.19290189
0.001648456	38.22604005
0.001648994	38.26099455
0.001649531	38.29961974
0.001650069	38.34515285
0.001650607	38.40263325
0.001651145	38.48084542
0.001651414	38.5322803
0.001651683	38.59584515
0.001651952	38.67609696
0.001652221	38.77979976
0.00165249	38.91726101
0.001652759	39.10451089
0.001653028	39.366755
0.001653162	39.53693244
0.001653297	39.74360239
0.001653431	39.99208334
0.001653565	40.29403647
0.001653699	40.66201774
0.001653834	41.11493927
0.001653968	41.66445427
0.001654103	42.34075151
0.001654237	43.15928145
0.001654372	44.161917
0.001654506	45.36710255
0.001654641	46.830269
0.001654775	48.57016096
0.00165491	50.656202
0.001655044	53.10200957
0.001655179	55.9890356
0.001655313	59.31707433
0.001655448	63.17448711
0.001655582	67.53552448
0.001655717	72.48707929
0.001655851	77.96456618
0.001655986	84.04268637
0.00165612	90.60599368
0.001656389	105.1695709
