E(MeV)	Hf-179
5.27291E-06	120.461
5.28207E-06	125.944
5.29122E-06	132.024
5.29455E-06	134.242
5.30038E-06	138.521
5.30704E-06	143.427
5.30870E-06	144.784
5.31703E-06	151.588
5.31953E-06	153.636
5.32536E-06	158.94
5.33202E-06	165.023
5.33368E-06	166.718
5.34200E-06	175.222
5.34450E-06	177.783
5.35033E-06	184.342
5.35283E-06	187.163
5.35866E-06	194.274
5.36115E-06	197.334
5.36698E-06	205.063
5.36948E-06	208.387
5.37281E-06	213.196
5.37780E-06	220.431
5.37863E-06	221.743
5.38446E-06	230.952
5.38613E-06	233.592
5.39029E-06	240.788
5.39445E-06	248.009
5.39612E-06	251.167
5.40195E-06	262.26
5.40278E-06	263.85
5.40777E-06	274.266
5.41027E-06	279.493
5.41360E-06	287.051
5.41693E-06	294.634
5.41859E-06	298.736
5.42359E-06	311.083
5.42859E-06	324.516
5.43025E-06	329.01
5.43358E-06	338.781
5.43691E-06	348.588
5.43857E-06	353.934
5.44357E-06	370.029
5.44856E-06	387.697
5.45023E-06	393.61
5.45356E-06	406.582
5.45689E-06	419.603
5.45772E-06	423.153
5.46188E-06	440.965
5.46230E-06	442.753
5.46605E-06	460.301
5.46855E-06	472.045
5.47021E-06	480.665
5.47437E-06	502.3
5.47479E-06	504.472
5.47854E-06	526.078
5.48103E-06	540.543
5.48270E-06	551.244
5.48686E-06	578.11
5.48728E-06	580.809
5.49061E-06	604.862
5.49352E-06	625.999
5.49435E-06	632.628
5.49768E-06	659.26
5.49810E-06	662.857
5.50184E-06	695.37
5.50559E-06	730.735
5.50601E-06	734.684
5.50934E-06	768.957
5.51017E-06	777.569
5.51308E-06	810.343
5.51433E-06	824.462
5.51683E-06	855.233
5.51850E-06	875.85
5.52016E-06	898.365
5.52266E-06	932.3
5.52349E-06	944.68
5.52682E-06	994.437
5.53015E-06	1049.01
5.53057E-06	1055.86
5.53348E-06	1108.07
5.53431E-06	1123.07
5.53681E-06	1172.07
5.53806E-06	1196.7
5.54014E-06	1241.46
5.54180E-06	1277.46
5.54347E-06	1316.74
5.54555E-06	1366.09
5.54638E-06	1387.64
5.54930E-06	1463.44
5.55221E-06	1546.6
5.55304E-06	1570.48
5.55513E-06	1635.66
5.55679E-06	1688.06
5.55804E-06	1730.74
5.56012E-06	1802.22
5.56095E-06	1833.11
5.56345E-06	1926.21
5.56387E-06	1942.96
5.56678E-06	2060.76
5.57011E-06	2206.68
5.57053E-06	2226.32
5.57344E-06	2364.6
5.57427E-06	2407.06
5.57677E-06	2535.2
5.57802E-06	2603.91
5.58010E-06	2719.11
5.58176E-06	2817.71
5.58343E-06	2916.88
5.58551E-06	3050.1
5.58749E-06	3177.34
5.58905E-06	3285.62
5.59155E-06	3459.71
5.59248E-06	3529.75
5.59561E-06	3764.27
5.59592E-06	3789.29
5.59935E-06	4065.75
5.59966E-06	4090.99
5.60279E-06	4358.7
5.60372E-06	4439.35
5.60695E-06	4734.67
5.60924E-06	4945.08
5.61069E-06	5087.49
5.61548E-06	5557.26
