E(MeV)	Sr-86
1.00000E-11	6.78617E+01
1.10304E-11	6.46332E+01
1.21669E-11	6.15621E+01
1.22090E-11	6.14601E+01
1.34205E-11	5.86369E+01
1.34669E-11	5.85399E+01
1.48034E-11	5.58526E+01
1.48545E-11	5.57604E+01
1.63287E-11	5.32028E+01
1.63851E-11	5.31150E+01
1.80111E-11	5.06808E+01
1.80734E-11	5.05971E+01
1.98669E-11	4.82807E+01
1.99356E-11	4.82011E+01
2.19139E-11	4.59966E+01
2.19897E-11	4.59208E+01
2.41719E-11	4.38259E+01
2.44265E-11	4.36067E+01
2.66625E-11	4.17597E+01
2.71321E-11	4.14120E+01
2.94097E-11	3.97934E+01
3.01388E-11	3.93290E+01
3.24400E-11	3.79221E+01
3.34771E-11	3.73540E+01
3.57825E-11	3.61414E+01
3.71869E-11	3.54800E+01
3.94694E-11	3.44472E+01
4.13059E-11	3.37035E+01
4.35362E-11	3.28355E+01
4.58833E-11	3.20182E+01
4.80221E-11	3.13022E+01
5.09655E-11	3.04210E+01
5.29701E-11	2.98439E+01
5.66134E-11	2.89062E+01
5.84280E-11	2.84570E+01
6.28841E-11	2.74712E+01
6.44483E-11	2.71382E+01
6.98528E-11	2.61106E+01
7.10888E-11	2.58844E+01
7.75899E-11	2.48221E+01
7.84136E-11	2.46925E+01
8.61883E-11	2.36009E+01
8.64931E-11	2.35596E+01
9.54051E-11	2.24846E+01
9.57348E-11	2.24490E+01
1.05235E-10	2.14645E+01
1.06344E-10	2.13617E+01
1.16078E-10	2.04953E+01
1.18123E-10	2.03326E+01
1.28039E-10	1.95757E+01
1.32132E-10	1.92965E+01
1.41232E-10	1.87016E+01
1.47803E-10	1.83181E+01
1.55784E-10	1.78713E+01
1.65332E-10	1.73945E+01
1.71835E-10	1.70827E+01
1.84940E-10	1.65229E+01
1.89540E-10	1.63341E+01
2.06874E-10	1.57008E+01
2.09070E-10	1.56237E+01
2.30612E-10	1.49514E+01
2.33041E-10	1.48837E+01
2.54374E-10	1.43158E+01
2.62506E-10	1.41229E+01
2.80583E-10	1.37123E+01
2.95710E-10	1.34066E+01
3.09494E-10	1.31398E+01
3.35448E-10	1.26935E+01
3.41383E-10	1.25957E+01
3.76558E-10	1.20816E+01
3.80525E-10	1.20300E+01
4.15358E-10	1.15976E+01
4.34684E-10	1.13846E+01
4.58155E-10	1.11373E+01
4.96575E-10	1.07786E+01
5.05362E-10	1.07000E+01
5.57433E-10	1.02883E+01
5.71252E-10	1.01914E+01
6.14869E-10	9.89971E+00
6.61763E-10	9.62228E+00
6.78223E-10	9.52919E+00
7.48105E-10	9.18056E+00
7.72022E-10	9.07499E+00
8.25188E-10	8.85128E+00
9.07005E-10	8.54763E+00
9.10213E-10	8.53624E+00
1.00400E-09	8.24355E+00
1.08057E-09	8.03291E+00
1.10745E-09	7.96235E+00
1.22156E-09	7.69923E+00
1.30557E-09	7.52864E+00
1.34742E-09	7.44761E+00
1.48625E-09	7.21181E+00
1.59961E-09	7.04256E+00
1.63939E-09	6.98588E+00
1.80831E-09	6.77516E+00
1.99463E-09	6.57125E+00
2.00153E-09	6.56461E+00
2.20015E-09	6.38316E+00
2.42685E-09	6.20191E+00
2.57560E-09	6.09762E+00
2.67691E-09	6.02998E+00
2.95273E-09	5.86924E+00
