E(MeV)	"AL-27(N,TOT)"
1.58527E-01	17.6282
1.58630E-01	17.7384
1.58657E-01	17.7678
1.58743E-01	17.7957
1.58746E-01	17.7968
1.58832E-01	17.7703
1.58835E-01	17.7693
1.58938E-01	17.66
1.58973E-01	17.6235
1.59041E-01	17.493
1.59110E-01	17.3625
1.59178E-01	17.1838
1.59247E-01	17.005
1.59315E-01	16.7822
1.59453E-01	16.3365
1.59521E-01	16.0796
1.59898E-01	14.6663
1.60104E-01	13.8954
1.60241E-01	13.4253
1.60378E-01	12.9552
1.60515E-01	12.5329
1.60584E-01	12.3218
1.60653E-01	12.1317
1.60790E-01	11.7517
1.60927E-01	11.4119
1.60995E-01	11.242
1.61064E-01	11.0905
1.61201E-01	10.7875
1.61338E-01	10.5222
1.61475E-01	10.257
1.61681E-01	9.91446
1.61750E-01	9.80029
1.61887E-01	9.60261
1.62024E-01	9.40493
1.62093E-01	9.32015
1.62298E-01	9.06582
1.62367E-01	8.98104
1.62504E-01	8.83656
1.62710E-01	8.61985
1.62915E-01	8.43549
1.63121E-01	8.25114
1.63395E-01	8.04445
1.63601E-01	7.88944
1.63670E-01	7.84573
1.63944E-01	7.6709
1.64081E-01	7.58348
1.64287E-01	7.47259
1.64630E-01	7.28777
1.64698E-01	7.2508
1.64973E-01	7.12644
1.65384E-01	6.93989
1.65795E-01	6.78253
1.66207E-01	6.62518
1.66275E-01	6.60296
1.66790E-01	6.43628
1.67133E-01	6.32517
1.67304E-01	6.27738
1.67860E-01	6.12251
1.68068E-01	6.06453
1.68484E-01	5.96248
1.69027E-01	5.82921
1.69362E-01	5.75667
1.70032E-01	5.6116
1.70368E-01	5.53907
1.70703E-01	5.47534
1.71373E-01	5.3479
1.71709E-01	5.28418
1.72044E-01	5.22771
1.72983E-01	5.06959
1.73385E-01	5.00182
1.73787E-01	4.94229
1.74860E-01	4.78353
1.75396E-01	4.70415
1.75933E-01	4.63397
1.77005E-01	4.49361
1.77542E-01	4.42343
1.78078E-01	4.3611
1.78950E-01	4.25982
1.79955E-01	4.14296
1.80090E-01	4.12911
1.81162E-01	4.01833
1.82235E-01	3.90755
1.82369E-01	3.8937
1.83174E-01	3.82043
1.84112E-01	3.73494
1.84783E-01	3.67388
1.85051E-01	3.65283
1.85856E-01	3.58966
1.86660E-01	3.52649
1.86794E-01	3.51597
1.87465E-01	3.47257
1.88269E-01	3.4205
1.88537E-01	3.40315
1.89074E-01	3.37686
1.89744E-01	3.344
1.89878E-01	3.33743
1.90415E-01	3.32085
1.91085E-01	3.30013
1.91756E-01	3.29288
1.92024E-01	3.28998
1.92292E-01	3.29347
1.92828E-01	3.30046
1.92963E-01	3.3022
1.93365E-01	3.3186
1.93767E-01	3.335
1.93901E-01	3.34436
1.94438E-01	3.3818
1.94974E-01	3.43736
1.95108E-01	3.45126
1.95510E-01	3.50679
1.95644E-01	3.5253
1.96047E-01	3.5954
1.96181E-01	3.61877
1.96583E-01	3.70555
1.96717E-01	3.73447
1.97119E-01	3.84015
1.97254E-01	3.87537
1.97790E-01	4.04446
1.98326E-01	4.24454
1.98460E-01	4.30287
1.98863E-01	4.47788
1.99399E-01	4.74576
1.99935E-01	5.04791
2.00472E-01	5.38109
2.00606E-01	5.47187
2.01142E-01	5.83502
2.01276E-01	5.93005
2.01813E-01	6.31016
2.02349E-01	6.69026
2.02617E-01	6.8803
2.03087E-01	7.1862
2.03154E-01	7.22991
2.03221E-01	7.26765
2.03325E-01	7.32615
2.03398E-01	7.36768
2.03452E-01	7.3979
2.03486E-01	7.41679
2.03511E-01	7.43096
2.03536E-01	7.44515
2.03553E-01	7.45461
2.03569E-01	7.46409
2.03585E-01	7.46934
2.03595E-01	7.47284
2.03605E-01	7.47636
2.03615E-01	7.47988
2.03622E-01	7.48253
2.03630E-01	7.4852
2.03637E-01	7.48788
2.03642E-01	7.48967
2.03647E-01	7.49148
2.03652E-01	7.49315
2.03656E-01	7.49467
2.03660E-01	7.49622
2.03665E-01	7.49777
2.03668E-01	7.49896
2.03671E-01	7.50016
2.03673E-01	7.50098
2.03675E-01	7.5018
2.03677E-01	7.50264
2.03679E-01	7.5035
2.03681E-01	7.50439
2.03683E-01	7.50507
2.03684E-01	7.50564
2.03686E-01	7.50632
2.03687E-01	7.50702
2.03689E-01	7.50776
2.03690E-01	7.50833
2.03691E-01	7.50893
2.03692E-01	7.50955
2.03693E-01	7.5102
2.03694E-01	7.51088
2.03695E-01	7.5116
2.03696E-01	7.51236
2.03698E-01	7.51316
2.03699E-01	7.51401
2.03700E-01	7.51488
2.03700E-01	7.51502
2.03701E-01	7.51896
2.03702E-01	7.52296
2.03703E-01	7.52704
2.03704E-01	7.5312
2.03705E-01	7.53546
2.03706E-01	7.53981
2.03708E-01	7.54426
2.03709E-01	7.54879
2.03710E-01	7.55345
2.03711E-01	7.55824
2.03712E-01	7.56318
2.03712E-01	7.56333
2.03713E-01	7.57395
2.03714E-01	7.58506
2.03715E-01	7.59636
2.03716E-01	7.60783
2.03717E-01	7.6195
2.03719E-01	7.63137
2.03720E-01	7.64197
2.03720E-01	7.64716
2.03721E-01	7.66049
2.03722E-01	7.68251
2.03723E-01	7.7048
2.03724E-01	7.72735
2.03726E-01	7.75016
2.03727E-01	7.77323
2.03728E-01	7.79789
2.03729E-01	7.81243
2.03730E-01	7.8565
2.03732E-01	7.9009
2.03734E-01	7.96809
2.03737E-01	8.03586
2.03739E-01	8.11816
2.03743E-01	8.22551
2.03745E-01	8.30051
2.03747E-01	8.36425
2.03749E-01	8.41888
2.03749E-01	8.43481
2.03750E-01	8.45826
2.03752E-01	8.48691
2.03753E-01	8.51908
2.03755E-01	8.55837
2.03756E-01	8.57279
2.03757E-01	8.57805
2.03758E-01	8.59316
2.03760E-01	8.60467
2.03761E-01	8.61463
2.03762E-01	8.61664
2.03763E-01	8.61584
2.03763E-01	8.6142
2.03765E-01	8.60089
2.03766E-01	8.58662
2.03768E-01	8.57146
2.03769E-01	8.56293
2.03770E-01	8.54269
2.03772E-01	8.49569
2.03775E-01	8.44492
2.03775E-01	8.43075
2.03779E-01	8.34241
2.03783E-01	8.24697
2.03785E-01	8.18386
2.03787E-01	8.13183
2.03789E-01	8.09068
2.03790E-01	8.05249
2.03791E-01	8.02474
2.03792E-01	8.01307
2.03793E-01	8.00089
2.03794E-01	7.97999
2.03795E-01	7.95931
2.03796E-01	7.93887
2.03797E-01	7.91865
2.03798E-01	7.89866
2.03799E-01	7.8762
2.03800E-01	7.86286
2.03800E-01	7.86192
2.03801E-01	7.85268
2.03802E-01	7.84353
2.03803E-01	7.83451
2.03804E-01	7.82558
2.03805E-01	7.81676
2.03805E-01	7.80803
2.03806E-01	7.7994
2.03807E-01	7.79084
2.03808E-01	7.78237
2.03809E-01	7.77397
2.03810E-01	7.76566
2.03810E-01	7.75823
2.03811E-01	7.75782
2.03811E-01	7.75377
2.03812E-01	7.75007
2.03813E-01	7.74505
2.03814E-01	7.74012
2.03815E-01	7.73526
2.03817E-01	7.73048
2.03818E-01	7.72575
2.03819E-01	7.72108
2.03820E-01	7.71646
2.03821E-01	7.71189
2.03821E-01	7.70985
2.03822E-01	7.70917
2.03823E-01	7.70796
2.03824E-01	7.70678
2.03825E-01	7.70563
2.03826E-01	7.70451
2.03827E-01	7.70341
2.03829E-01	7.70233
2.03830E-01	7.70092
2.03831E-01	7.69954
2.03833E-01	7.69817
2.03834E-01	7.69683
2.03836E-01	7.69508
2.03838E-01	7.69347
2.03840E-01	7.69187
2.03842E-01	7.68976
2.03845E-01	7.68767
2.03847E-01	7.68559
2.03851E-01	7.6825
2.03851E-01	7.68177
2.03854E-01	7.68152
2.03858E-01	7.6812
2.03861E-01	7.68092
2.03861E-01	7.68103
2.03866E-01	7.68257
2.03871E-01	7.68411
2.03877E-01	7.68601
2.03884E-01	7.68825
2.03890E-01	7.69051
2.03897E-01	7.69277
2.03908E-01	7.69619
2.03918E-01	7.69962
2.03928E-01	7.70305
2.03940E-01	7.70696
2.03957E-01	7.71283
2.03975E-01	7.71871
2.03998E-01	7.72657
2.04021E-01	7.73443
2.04057E-01	7.74647
2.04065E-01	7.74925
2.04110E-01	7.76681
2.04163E-01	7.78757
2.04275E-01	7.83101
2.04407E-01	7.88254
2.04565E-01	7.94431
2.04946E-01	8.05487
2.05200E-01	8.12055
2.05707E-01	8.19565
2.06214E-01	8.2158
2.06721E-01	8.18695
2.06975E-01	8.15179
2.07229E-01	8.11663
2.07736E-01	8.01291
2.08462E-01	7.82062
2.09227E-01	7.5791
2.09718E-01	7.42422
2.10247E-01	7.24864
2.10776E-01	7.07306
2.11305E-01	6.89748
2.11834E-01	6.72191
2.12362E-01	6.561
2.12891E-01	6.4001
2.13156E-01	6.31965
2.13420E-01	6.24723
2.13949E-01	6.10241
2.14478E-01	5.95759
2.15112E-01	5.8045
2.15676E-01	5.66852
2.15852E-01	5.62591
2.16276E-01	5.5362
2.16699E-01	5.44649
2.17145E-01	5.35185
2.17621E-01	5.26322
2.18152E-01	5.16424
2.18602E-01	5.08044
2.18991E-01	5.01674
2.19258E-01	4.97312
2.19343E-01	4.95928
2.19512E-01	4.93159
2.19631E-01	4.91212
2.19710E-01	4.89914
2.19789E-01	4.88617
2.19848E-01	4.87665
2.19885E-01	4.8706
2.19922E-01	4.86455
2.19959E-01	4.8585
2.19990E-01	4.85331
2.20010E-01	4.85008
2.20030E-01	4.84684
2.20050E-01	4.84361
2.20063E-01	4.84145
2.20076E-01	4.8393
2.20087E-01	4.83747
2.20101E-01	4.83522
2.20111E-01	4.83372
2.20120E-01	4.83222
2.20129E-01	4.83072
2.20136E-01	4.82961
2.20143E-01	4.82849
2.20150E-01	4.82738
2.20157E-01	4.82627
2.20162E-01	4.82548
2.20167E-01	4.82469
2.20172E-01	4.82391
2.20177E-01	4.82313
2.20180E-01	4.82255
2.20184E-01	4.82197
2.20188E-01	4.82139
2.20192E-01	4.82082
2.20195E-01	4.82026
2.20198E-01	4.81983
2.20201E-01	4.81947
2.20203E-01	4.81912
2.20205E-01	4.81877
2.20208E-01	4.81843
2.20210E-01	4.8182
2.20210E-01	4.81866
2.20212E-01	4.81959
2.20214E-01	4.82053
2.20215E-01	4.82147
2.20217E-01	4.82241
2.20218E-01	4.82337
2.20220E-01	4.82433
2.20222E-01	4.8253
2.20223E-01	4.82612
2.20225E-01	4.82709
2.20226E-01	4.82808
2.20227E-01	4.82875
2.20228E-01	4.82943
2.20229E-01	4.83012
2.20230E-01	4.83081
2.20231E-01	4.83152
2.20233E-01	4.83224
2.20233E-01	4.83242
2.20234E-01	4.83463
2.20235E-01	4.83759
2.20236E-01	4.84056
2.20237E-01	4.84355
2.20238E-01	4.84655
2.20239E-01	4.84958
2.20240E-01	4.8532
2.20241E-01	4.85492
2.20241E-01	4.8579
2.20242E-01	4.86446
2.20243E-01	4.87106
2.20244E-01	4.87768
2.20246E-01	4.88434
2.20247E-01	4.89102
2.20248E-01	4.89775
2.20249E-01	4.9045
2.20250E-01	4.9113
2.20250E-01	4.9115
2.20251E-01	4.92318
2.20252E-01	4.93636
2.20253E-01	4.94959
2.20255E-01	4.96288
2.20256E-01	4.9762
2.20257E-01	4.98959
2.20258E-01	5.00003
2.20258E-01	5.00441
2.20260E-01	5.03396
2.20262E-01	5.06528
2.20264E-01	5.10111
2.20266E-01	5.13213
2.20267E-01	5.14713
2.20270E-01	5.20981
2.20276E-01	5.33374
2.20279E-01	5.39938
2.20281E-01	5.44296
2.20283E-01	5.47767
2.20283E-01	5.4841
2.20285E-01	5.516
2.20287E-01	5.54762
2.20289E-01	5.57113
2.20289E-01	5.57268
2.20290E-01	5.58357
2.20292E-01	5.59541
2.20294E-01	5.6094
2.20294E-01	5.61234
2.20296E-01	5.61473
2.20296E-01	5.61517
2.20298E-01	5.60835
2.20300E-01	5.60172
2.20301E-01	5.5949
2.20302E-01	5.59209
2.20303E-01	5.57505
2.20305E-01	5.55041
2.20307E-01	5.5305
2.20308E-01	5.52299
2.20310E-01	5.48537
2.20313E-01	5.42866
2.20316E-01	5.37933
2.20320E-01	5.28671
2.20323E-01	5.24359
2.20325E-01	5.20468
2.20327E-01	5.16382
2.20327E-01	5.15365
2.20328E-01	5.1375
2.20330E-01	5.11336
2.20331E-01	5.08932
2.20332E-01	5.07335
2.20334E-01	5.05343
2.20335E-01	5.03358
2.20336E-01	5.01993
2.20338E-01	5.00635
2.20339E-01	4.99283
2.20340E-01	4.97937
2.20342E-01	4.96596
2.20343E-01	4.95593
2.20344E-01	4.94727
2.20344E-01	4.94463
2.20345E-01	4.93851
2.20346E-01	4.93241
2.20347E-01	4.92634
2.20348E-01	4.92027
2.20349E-01	4.91424
2.20349E-01	4.90908
2.20350E-01	4.90855
2.20350E-01	4.90484
2.20351E-01	4.90114
2.20352E-01	4.89747
2.20353E-01	4.8938
2.20354E-01	4.89015
2.20356E-01	4.88469
2.20357E-01	4.87926
2.20358E-01	4.87565
2.20359E-01	4.87153
2.20359E-01	4.87099
2.20360E-01	4.86821
2.20362E-01	4.86545
2.20363E-01	4.8627
2.20364E-01	4.85996
2.20366E-01	4.85723
2.20367E-01	4.85451
2.20368E-01	4.8518
2.20368E-01	4.85164
2.20370E-01	4.85053
2.20372E-01	4.84876
2.20374E-01	4.84701
2.20376E-01	4.84527
2.20378E-01	4.84354
2.20379E-01	4.84239
2.20381E-01	4.84043
2.20383E-01	4.83847
2.20386E-01	4.83652
2.20388E-01	4.83458
2.20391E-01	4.83167
2.20395E-01	4.82877
2.20398E-01	4.82593
2.20398E-01	4.82591
2.20401E-01	4.82496
2.20405E-01	4.82401
2.20408E-01	4.82306
2.20412E-01	4.82181
2.20416E-01	4.8207
2.20422E-01	4.81927
2.20427E-01	4.81784
2.20432E-01	4.81641
2.20439E-01	4.81452
2.20446E-01	4.81262
2.20452E-01	4.81073
2.20459E-01	4.80884
2.20470E-01	4.80602
2.20480E-01	4.80303
2.20491E-01	4.80005
2.20499E-01	4.79806
2.20513E-01	4.79409
2.20527E-01	4.7904
2.20528E-01	4.79025
2.20542E-01	4.78822
2.20564E-01	4.78516
2.20586E-01	4.78211
2.20616E-01	4.77784
2.20647E-01	4.77358
2.20687E-01	4.76789
2.20728E-01	4.76221
2.20789E-01	4.75359
2.20831E-01	4.7478
2.20913E-01	4.73624
2.20984E-01	4.72633
2.21102E-01	4.70981
2.21220E-01	4.6933
2.21362E-01	4.67873
2.21504E-01	4.66416
2.21646E-01	4.6496
2.21740E-01	4.63989
2.21835E-01	4.63019
2.21929E-01	4.62048
2.21976E-01	4.61563
2.22024E-01	4.61327
2.22118E-01	4.60857
2.22165E-01	4.60621
2.22283E-01	4.60034
2.22354E-01	4.59681
2.22425E-01	4.59329
2.22496E-01	4.593
2.22567E-01	4.59674
2.22638E-01	4.60049
2.22685E-01	4.60298
2.22732E-01	4.60548
2.22779E-01	4.60799
2.22794E-01	4.6105
2.22836E-01	4.61754
2.22877E-01	4.62459
2.22916E-01	4.63123
2.22950E-01	4.63697
2.22952E-01	4.63791
2.22989E-01	4.64953
2.23026E-01	4.66115
2.23059E-01	4.67183
2.23091E-01	4.68196
2.23105E-01	4.68924
2.23136E-01	4.70501
2.23167E-01	4.72078
2.23202E-01	4.73898
2.23205E-01	4.7402
2.23238E-01	4.76547
2.23273E-01	4.79256
2.23299E-01	4.81244
2.23309E-01	4.82245
2.23332E-01	4.84748
2.23356E-01	4.87252
2.23370E-01	4.88755
2.23379E-01	4.90099
2.23403E-01	4.9346
2.23427E-01	4.96822
2.23441E-01	4.9884
2.23450E-01	5.00671
2.23474E-01	5.05251
2.23498E-01	5.09832
2.23512E-01	5.12582
2.23521E-01	5.14976
2.23545E-01	5.20963
2.23559E-01	5.24556
2.23568E-01	5.27555
2.23592E-01	5.35055
2.23606E-01	5.39556
2.23610E-01	5.40933
2.23627E-01	5.4782
2.23642E-01	5.53331
2.23645E-01	5.54977
2.23663E-01	5.63211
2.23677E-01	5.69799
2.23681E-01	5.71773
2.23698E-01	5.81644
2.23712E-01	5.89543
2.23716E-01	5.91913
2.23734E-01	6.03757
2.23748E-01	6.13236
2.23751E-01	6.16073
2.23769E-01	6.30257
2.23783E-01	6.41606
2.23787E-01	6.44979
2.23805E-01	6.61842
2.23819E-01	6.75334
2.23822E-01	6.79284
2.23840E-01	6.99033
2.23854E-01	7.14835
2.23858E-01	7.19337
2.23875E-01	7.41844
2.23890E-01	7.59853
2.23899E-01	7.72918
2.23962E-01	8.5948
2.23970E-01	8.7091
2.23981E-01	8.83927
2.23994E-01	8.99831
2.23998E-01	9.04532
2.24016E-01	9.22151
2.24017E-01	9.23324
2.24029E-01	9.32215
2.24034E-01	9.35804
2.24045E-01	9.40176
2.24054E-01	9.44237
2.24057E-01	9.44601
2.24067E-01	9.45873
2.24069E-01	9.46174
2.24082E-01	9.44087
2.24087E-01	9.43258
2.24097E-01	9.38551
2.24105E-01	9.34946
2.24113E-01	9.29139
2.24116E-01	9.26648
2.24131E-01	9.13312
2.24140E-01	9.04417
2.24148E-01	8.9463
2.24164E-01	8.76448
2.24172E-01	8.65225
2.24204E-01	8.21932
2.24216E-01	8.04915
2.24249E-01	7.60345
2.24256E-01	7.50623
2.24272E-01	7.30141
2.24290E-01	7.08198
2.24291E-01	7.06737
2.24308E-01	6.88785
2.24325E-01	6.69556
2.24327E-01	6.68275
2.24343E-01	6.52895
2.24361E-01	6.36421
2.24362E-01	6.35323
2.24379E-01	6.223
2.24396E-01	6.08348
2.24398E-01	6.07419
2.24414E-01	5.96442
2.24432E-01	5.84683
2.24433E-01	5.83899
2.24449E-01	5.74648
2.24467E-01	5.64738
2.24468E-01	5.64078
2.24485E-01	5.56261
2.24503E-01	5.47888
2.24504E-01	5.4733
2.24520E-01	5.40865
2.24538E-01	5.33939
2.24551E-01	5.28862
2.24556E-01	5.27364
2.24579E-01	5.19872
2.24598E-01	5.13881
2.24603E-01	5.12652
2.24627E-01	5.0651
2.24646E-01	5.01598
2.24650E-01	5.00622
2.24674E-01	4.95745
2.24698E-01	4.90869
2.24716E-01	4.8697
2.24721E-01	4.86216
2.24745E-01	4.82448
2.24768E-01	4.7868
2.24787E-01	4.75667
2.24792E-01	4.75072
2.24816E-01	4.72094
2.24851E-01	4.67629
2.24858E-01	4.66737
2.24886E-01	4.63945
2.24922E-01	4.60455
2.24953E-01	4.57432
2.24957E-01	4.57086
2.24981E-01	4.55353
2.25016E-01	4.52755
2.25052E-01	4.50157
2.25083E-01	4.47906
2.25087E-01	4.47657
2.25123E-01	4.45788
2.25163E-01	4.43669
2.25203E-01	4.41551
2.25243E-01	4.39434
2.25248E-01	4.39185
2.25283E-01	4.37815
2.25331E-01	4.3599
2.25378E-01	4.34165
2.25425E-01	4.3234
2.25472E-01	4.31013
2.25520E-01	4.29686
2.25590E-01	4.27697
2.25661E-01	4.25708
2.25708E-01	4.24382
2.25732E-01	4.23911
2.25803E-01	4.22499
2.25874E-01	4.21087
2.25945E-01	4.19676
2.26039E-01	4.17794
2.26134E-01	4.15912
2.26228E-01	4.14531
2.26323E-01	4.13151
2.26417E-01	4.1177
2.26512E-01	4.10389
2.26653E-01	4.08319
2.26795E-01	4.06248
2.26937E-01	4.04641
2.27126E-01	4.02499
2.27268E-01	4.00892
2.27480E-01	3.98482
2.27657E-01	3.96474
2.27834E-01	3.94466
2.27953E-01	3.93127
2.28071E-01	3.92016
2.28307E-01	3.89795
2.28543E-01	3.87574
2.28897E-01	3.84243
2.29252E-01	3.80911
2.29724E-01	3.7647
2.29842E-01	3.75359
2.30197E-01	3.72463
2.30787E-01	3.67636
2.31378E-01	3.6281
2.32086E-01	3.57018
2.32323E-01	3.55087
2.32795E-01	3.51652
2.33740E-01	3.44783
2.34685E-01	3.37913
2.35630E-01	3.31043
2.36550E-01	3.24978
2.37750E-01	3.17068
2.38951E-01	3.09158
2.39751E-01	3.03884
2.40151E-01	3.01393
2.41351E-01	2.9392
2.42552E-01	2.86448
2.42952E-01	2.83957
2.44152E-01	2.76484
2.45152E-01	2.70257
2.46153E-01	2.6403
2.47153E-01	2.57803
2.47953E-01	2.52822
2.48753E-01	2.4784
2.49554E-01	2.42859
2.50154E-01	2.39123
2.50554E-01	2.36577
2.50954E-01	2.34031
2.51354E-01	2.31486
2.51834E-01	2.28431
2.52274E-01	2.25631
2.52634E-01	2.2334
2.52955E-01	2.21304
2.53195E-01	2.19776
2.53435E-01	2.18249
2.53595E-01	2.17231
2.53675E-01	2.16833
2.53835E-01	2.16037
2.53995E-01	2.15241
2.54155E-01	2.14445
2.54315E-01	2.13649
2.54395E-01	2.13251
2.54515E-01	2.12949
2.54635E-01	2.12647
2.54755E-01	2.12344
2.54875E-01	2.12043
2.54955E-01	2.12016
2.54995E-01	2.12107
2.55115E-01	2.1238
2.55195E-01	2.12563
2.55275E-01	2.12745
2.55355E-01	2.13385
2.55435E-01	2.14024
2.55523E-01	2.14728
2.55589E-01	2.15721
2.55651E-01	2.16655
2.55691E-01	2.17257
2.55731E-01	2.18202
2.55791E-01	2.19619
2.55851E-01	2.21037
2.55911E-01	2.23094
2.55971E-01	2.2515
2.56031E-01	2.27985
2.56091E-01	2.3082
2.56151E-01	2.34528
2.56171E-01	2.35765
2.56191E-01	2.37308
2.56231E-01	2.40393
2.56251E-01	2.41936
2.56272E-01	2.43872
2.56312E-01	2.47744
2.56332E-01	2.4968
2.56352E-01	2.5205
2.56392E-01	2.56791
2.56432E-01	2.62461
2.56452E-01	2.65297
2.56472E-01	2.68702
2.56512E-01	2.75512
2.56552E-01	2.83729
2.56572E-01	2.87837
2.56592E-01	2.92652
2.56612E-01	2.97468
2.56622E-01	3.0021
2.56652E-01	3.08435
2.56682E-01	3.17816
2.56692E-01	3.20943
2.56712E-01	3.28086
2.56732E-01	3.3523
2.56742E-01	3.39313
2.56772E-01	3.51562
2.56802E-01	3.65568
2.56812E-01	3.70236
2.56832E-01	3.80905
2.56852E-01	3.91573
2.56862E-01	3.97656
2.56892E-01	4.15904
2.56922E-01	4.3631
2.56952E-01	4.58693
2.56972E-01	4.75218
2.56992E-01	4.91745
2.57012E-01	5.10116
2.57032E-01	5.28487
2.57052E-01	5.48501
2.57068E-01	5.64513
2.57116E-01	6.16042
2.57180E-01	6.8687
2.57200E-01	7.09002
2.57210E-01	7.19138
2.57240E-01	7.49543
2.57270E-01	7.75969
2.57290E-01	7.90399
2.57300E-01	7.97613
2.57310E-01	8.02884
2.57330E-01	8.13424
2.57350E-01	8.19758
2.57359E-01	8.2249
2.57373E-01	8.23902
2.57384E-01	8.25026
2.57400E-01	8.2358
2.57409E-01	8.2272
2.57427E-01	8.17899
2.57435E-01	8.15695
2.57456E-01	8.06296
2.57462E-01	8.03611
2.57486E-01	7.89059
2.57492E-01	7.85421
2.57516E-01	7.67302
2.57532E-01	7.55222
2.57572E-01	7.2038
2.57580E-01	7.1341
2.57628E-01	6.69577
2.57668E-01	6.33049
2.57680E-01	6.22092
2.57708E-01	5.98418
2.57738E-01	5.73054
2.57740E-01	5.71364
2.57768E-01	5.49785
2.57780E-01	5.40539
2.57798E-01	5.27834
2.57820E-01	5.12307
2.57828E-01	5.07174
2.57858E-01	4.87927
2.57860E-01	4.86644
2.57888E-01	4.70392
2.57900E-01	4.63428
2.57918E-01	4.54001
2.57940E-01	4.4248
2.57948E-01	4.38705
2.57978E-01	4.24546
2.57980E-01	4.23602
2.58008E-01	4.11693
2.58020E-01	4.0659
2.58038E-01	3.99857
2.58068E-01	3.88635
2.58080E-01	3.84147
2.58098E-01	3.78362
2.58128E-01	3.68722
2.58140E-01	3.64866
2.58168E-01	3.57101
2.58200E-01	3.48228
2.58208E-01	3.46304
2.58248E-01	3.36686
2.58260E-01	3.338
2.58288E-01	3.2793
2.58320E-01	3.21221
2.58328E-01	3.19751
2.58368E-01	3.124
2.58380E-01	3.10195
2.58408E-01	3.05748
2.58448E-01	2.99396
2.58460E-01	2.97491
2.58488E-01	2.93698
2.58540E-01	2.86655
2.58548E-01	2.85722
2.58608E-01	2.78727
2.58620E-01	2.77328
2.58668E-01	2.72626
2.58728E-01	2.66749
2.58740E-01	2.65574
2.58788E-01	2.61704
2.58848E-01	2.56868
2.58860E-01	2.55901
2.58908E-01	2.52666
2.58968E-01	2.48623
2.58980E-01	2.47815
2.59028E-01	2.4507
2.59089E-01	2.41583
2.59100E-01	2.40954
2.59152E-01	2.38481
2.59215E-01	2.35486
2.59276E-01	2.32586
2.59336E-01	2.30233
2.59396E-01	2.2788
2.59436E-01	2.26311
2.59456E-01	2.25675
2.59516E-01	2.23766
2.59576E-01	2.21857
2.59636E-01	2.19948
2.59676E-01	2.18676
2.59696E-01	2.18182
2.59736E-01	2.17193
2.59776E-01	2.16205
2.59816E-01	2.15217
2.59857E-01	2.1423
2.59897E-01	2.13243
2.59917E-01	2.12749
2.59937E-01	2.12373
2.59967E-01	2.11809
2.59997E-01	2.11245
2.60027E-01	2.10682
2.60057E-01	2.10119
2.60077E-01	2.09744
2.60087E-01	2.09625
2.60117E-01	2.09269
2.60137E-01	2.09033
2.60157E-01	2.08796
2.60177E-01	2.0856
2.60197E-01	2.08325
2.60217E-01	2.0809
2.60237E-01	2.07856
2.60253E-01	2.07807
2.60269E-01	2.07758
2.60285E-01	2.07709
2.60301E-01	2.07662
2.60306E-01	2.07648
2.60317E-01	2.07735
2.60333E-01	2.07862
2.60349E-01	2.0799
2.60365E-01	2.0812
2.60376E-01	2.08212
2.60385E-01	2.08281
2.60388E-01	2.08353
2.60399E-01	2.08634
2.60410E-01	2.08917
2.60422E-01	2.092
2.60433E-01	2.09485
2.60435E-01	2.0955
2.60444E-01	2.0998
2.60455E-01	2.10537
2.60468E-01	2.1115
2.60480E-01	2.11767
2.60486E-01	2.12053
2.60489E-01	2.12264
2.60497E-01	2.12951
2.60505E-01	2.1364
2.60513E-01	2.14331
2.60519E-01	2.14769
2.60522E-01	2.15136
2.60530E-01	2.1608
2.60537E-01	2.17027
2.60543E-01	2.17722
2.60545E-01	2.18074
2.60553E-01	2.19387
2.60561E-01	2.20705
2.60567E-01	2.2166
2.60567E-01	2.21719
2.60574E-01	2.23247
2.60580E-01	2.2478
2.60587E-01	2.26316
2.60587E-01	2.26375
2.60593E-01	2.28081
2.60598E-01	2.29634
2.60602E-01	2.31036
2.60603E-01	2.31236
2.60608E-01	2.33232
2.60613E-01	2.35234
2.60618E-01	2.3704
2.60618E-01	2.37301
2.60623E-01	2.39915
2.60628E-01	2.42534
2.60633E-01	2.44899
2.60633E-01	2.4523
2.60639E-01	2.48541
2.60643E-01	2.5153
2.60644E-01	2.51934
2.60649E-01	2.55976
2.60653E-01	2.59625
2.60654E-01	2.60122
2.60659E-01	2.65098
2.60664E-01	2.6959
2.60664E-01	2.70188
2.60668E-01	2.74689
2.60671E-01	2.78599
2.60672E-01	2.79304
2.60676E-01	2.8461
2.60679E-01	2.89218
2.60679E-01	2.90051
2.60683E-01	2.96317
2.60687E-01	3.01758
2.60687E-01	3.02741
2.60691E-01	3.10133
2.60694E-01	3.16554
2.60695E-01	3.17713
2.60699E-01	3.26403
2.60702E-01	3.33952
2.60702E-01	3.35301
2.60706E-01	3.45439
2.60709E-01	3.54241
2.60710E-01	3.55794
2.60713E-01	3.63566
2.60717E-01	3.77585
2.60718E-01	3.79335
2.60723E-01	3.96871
2.60725E-01	4.03899
2.60728E-01	4.15417
2.60732E-01	4.32728
2.60735E-01	4.44857
2.60748E-01	4.95435
2.60749E-01	4.98465
2.60753E-01	5.14284
2.60757E-01	5.26349
2.60759E-01	5.33482
2.60763E-01	5.46107
2.60763E-01	5.46423
2.60767E-01	5.56152
2.60768E-01	5.58649
2.60771E-01	5.63625
2.60773E-01	5.67663
2.60775E-01	5.69193
2.60778E-01	5.72411
