E(MeV)	"AL-27(N,TOT)"
5.03136E-04	1.39585
5.62807E-04	1.3921
6.07477E-04	1.3893
6.60748E-04	1.38597
7.18690E-04	1.38235
7.33970E-04	1.3814
7.81713E-04	1.37903
8.56260E-04	1.37534
9.31347E-04	1.37162
1.00438E-03	1.36802
1.08486E-03	1.36405
1.15991E-03	1.36035
1.25279E-03	1.35579
1.36667E-03	1.35019
1.48416E-03	1.34443
1.61178E-03	1.33817
1.72873E-03	1.33244
1.77762E-03	1.33004
1.82790E-03	1.328
1.96053E-03	1.32262
2.12246E-03	1.31606
2.30858E-03	1.30852
2.49589E-03	1.30094
2.69688E-03	1.2928
2.89555E-03	1.28477
3.11879E-03	1.27574
3.29111E-03	1.26878
3.31417E-03	1.26798
3.52991E-03	1.26055
3.73290E-03	1.25355
3.77285E-03	1.25217
3.94496E-03	1.24625
4.08987E-03	1.24126
4.19810E-03	1.23754
4.30830E-03	1.23375
4.39969E-03	1.23061
4.48577E-03	1.22766
4.54905E-03	1.22549
4.61323E-03	1.22329
4.64578E-03	1.22218
4.67832E-03	1.22149
4.74432E-03	1.22009
4.79724E-03	1.21897
4.83184E-03	1.21825
4.88376E-03	1.21716
4.93567E-03	1.21607
4.97460E-03	1.21526
5.01353E-03	1.21445
5.03949E-03	1.21392
5.07410E-03	1.21321
5.10870E-03	1.2125
5.14331E-03	1.21244
5.17792E-03	1.21239
5.20387E-03	1.21301
5.22983E-03	1.21364
5.25579E-03	1.21428
5.28174E-03	1.21492
5.30770E-03	1.21557
5.32500E-03	1.21601
5.34230E-03	1.21645
5.35096E-03	1.21668
5.35961E-03	1.21745
5.37691E-03	1.219
5.39422E-03	1.22056
5.41152E-03	1.22213
5.42017E-03	1.22292
5.43748E-03	1.2245
5.45478E-03	1.22609
5.47425E-03	1.22966
5.48722E-03	1.23205
5.50020E-03	1.23445
5.51318E-03	1.23686
5.51967E-03	1.23807
5.52616E-03	1.24009
5.53914E-03	1.24414
5.55211E-03	1.24821
5.56509E-03	1.2523
5.57158E-03	1.25436
5.57807E-03	1.25752
5.58780E-03	1.26229
5.59754E-03	1.26708
5.60727E-03	1.27188
5.61051E-03	1.27349
5.61700E-03	1.278
5.62674E-03	1.28478
5.63647E-03	1.2916
5.64620E-03	1.30082
5.65594E-03	1.31007
5.66242E-03	1.31627
5.67216E-03	1.32858
5.67865E-03	1.33682
5.68189E-03	1.34095
5.68514E-03	1.34634
5.69162E-03	1.35716
5.69811E-03	1.36801
5.70136E-03	1.37346
5.70460E-03	1.38034
5.71109E-03	1.39416
5.71434E-03	1.40109
5.71758E-03	1.40959
5.72407E-03	1.42664
5.72731E-03	1.4352
5.73056E-03	1.44583
5.73542E-03	1.46184
5.74029E-03	1.47789
5.74516E-03	1.4976
5.75002E-03	1.51738
5.75489E-03	1.54126
5.75976E-03	1.56522
5.76462E-03	1.59443
5.76917E-03	1.62178
5.77355E-03	1.65398
5.77793E-03	1.6863
5.78231E-03	1.72454
5.78377E-03	1.73734
5.78669E-03	1.76679
5.78961E-03	1.79635
5.79096E-03	1.81236
5.79501E-03	1.86058
5.79588E-03	1.87091
5.79907E-03	1.91497
5.80058E-03	1.93595
5.80177E-03	1.95474
5.80448E-03	1.99756
5.80529E-03	2.01044
5.80718E-03	2.04487
5.80988E-03	2.09421
5.80999E-03	2.09619
5.81340E-03	2.16816
5.81470E-03	2.19569
5.81664E-03	2.24351
5.81902E-03	2.30219
5.81989E-03	2.32643
5.82205E-03	2.38723
5.82227E-03	2.39333
5.82421E-03	2.45482
5.82551E-03	2.49593
5.82638E-03	2.52679
5.82854E-03	2.60415
5.82876E-03	2.61191
5.83049E-03	2.68212
5.83200E-03	2.74373
5.83243E-03	2.76375
5.83438E-03	2.8541
5.83525E-03	2.89437
5.83633E-03	2.95196
5.83827E-03	3.05594
5.83849E-03	3.06753
5.84022E-03	3.17167
5.84065E-03	3.19779
5.84217E-03	3.29852
5.84282E-03	3.34183
5.84411E-03	3.43759
5.84498E-03	3.50166
5.84638E-03	3.61717
5.84714E-03	3.67957
5.84790E-03	3.74906
5.84931E-03	3.87847
5.84941E-03	3.88947
5.85093E-03	4.04391
5.85104E-03	4.05498
5.85244E-03	4.21265
5.85277E-03	4.24914
5.85396E-03	4.39624
5.85450E-03	4.46331
5.85547E-03	4.5964
5.85623E-03	4.70023
5.85681E-03	4.78881
5.85796E-03	4.96327
5.85856E-03	5.06559
5.85969E-03	5.25634
5.86031E-03	5.37491
5.86142E-03	5.58411
5.86148E-03	5.59789
5.86265E-03	5.84652
5.86315E-03	5.95273
5.86382E-03	6.11317
5.86479E-03	6.34674
5.86499E-03	6.39839
5.86603E-03	6.6747
5.86622E-03	6.73133
5.86726E-03	7.03435
5.86752E-03	7.11738
5.86849E-03	7.42981
5.86881E-03	7.54427
5.86972E-03	7.86589
5.87011E-03	8.01823
5.87102E-03	8.37489
5.87119E-03	8.45042
5.87232E-03	8.94306
5.87249E-03	9.02764
5.87336E-03	9.45187
5.87362E-03	9.5795
5.87422E-03	9.91303
5.87491E-03	10.2953
5.87509E-03	10.4006
5.87578E-03	10.8231
5.87595E-03	10.9375
5.87664E-03	11.3965
5.87682E-03	11.5211
5.87751E-03	12.021
5.87768E-03	12.1569
5.87838E-03	12.7024
5.87855E-03	12.851
5.87924E-03	13.4475
5.87941E-03	13.6104
5.88011E-03	14.264
5.88028E-03	14.4429
5.88097E-03	15.161
5.88114E-03	15.358
5.88184E-03	16.1485
5.88201E-03	16.3659
5.88270E-03	17.2383
5.88287E-03	17.4787
5.88357E-03	18.4436
5.88374E-03	18.7101
5.88443E-03	19.7799
5.88460E-03	20.076
5.88525E-03	21.1897
5.88530E-03	21.2642
5.88590E-03	22.405
5.88595E-03	22.4868
5.88655E-03	23.7244
5.88659E-03	23.8131
5.88720E-03	25.157
5.88724E-03	25.2532
5.88785E-03	26.7135
5.88789E-03	26.8181
5.88850E-03	28.4054
5.88854E-03	28.5192
5.88915E-03	30.245
5.88919E-03	30.3687
5.88980E-03	32.2449
5.88984E-03	32.3793
5.89044E-03	34.4177
5.89049E-03	34.5638
5.89109E-03	36.7761
5.89114E-03	36.9346
5.89174E-03	39.3318
5.89179E-03	39.5035
5.89239E-03	42.0949
5.89243E-03	42.2806
5.89304E-03	45.0734
5.89308E-03	45.2734
5.89369E-03	48.2714
5.89373E-03	48.4861
5.89438E-03	51.9186
5.89455E-03	52.8971
5.89525E-03	56.8216
5.89542E-03	57.8677
5.89611E-03	62.0615
5.89628E-03	63.1706
5.89741E-03	70.393
5.89758E-03	71.5241
5.89936E-03	83.1214
