E(MeV)	j33-k300/In115K3:1
1.33441E-06	3756.31
1.33792E-06	3974.95
1.34105E-06	4187.03
1.34144E-06	4213.01
1.34495E-06	4472.68
1.34847E-06	4756.4
1.35198E-06	5066.91
1.3555E-06	5407.22
1.35901E-06	5780.64
1.36088E-06	5998.57
1.36253E-06	6190.81
1.36639E-06	6689.07
1.37026E-06	7241.99
1.37409E-06	7850.63
1.37799E-06	7855.32
1.38186E-06	8534.84
1.38549E-06	9286.19
1.38731E-06	10486.6
1.389E-06	10880.9
1.39252E-06	11769
1.39603E-06	12727.5
1.39955E-06	13755.8
1.40053E-06	14064.4
1.40423E-06	15231.2
1.40892E-06	16814
1.41374E-06	18548.8
1.41595E-06	19342.1
1.42696E-06	23415.1
1.4272E-06	23502.6
1.43212E-06	25225.9
1.43704E-06	26798
1.44018E-06	27688.9
1.4436E-06	27729.1
1.44688E-06	28544.6
1.45016E-06	29227.4
1.45344E-06	29762.8
1.45484E-06	30228.4
1.45672E-06	30347.8
1.45918E-06	30391.4
1.46281E-06	30278.1
1.46462E-06	30129.2
1.46562E-06	30046.7
1.46984E-06	29474.6
1.47406E-06	28652.3
1.4744E-06	28568.3
1.47828E-06	27609.6
1.48249E-06	26382.6
1.48418E-06	25835.6
1.48671E-06	25011.3
1.49374E-06	22517.4
1.49395E-06	22439
1.50373E-06	18841.6
1.50499E-06	18379.5
1.50967E-06	16722.3
1.51351E-06	15435.9
1.51436E-06	15150.6
1.51905E-06	13683.8
1.52256E-06	12659.8
1.52329E-06	12462.4
1.52608E-06	11704
1.52959E-06	10816.9
1.53307E-06	10006.8
1.53662E-06	9997.44
1.54013E-06	9243.65
1.54284E-06	8065.54
1.54365E-06	7920.54
1.54716E-06	7343.7
1.55018E-06	6893.08
1.55068E-06	6817.93
1.55419E-06	6339.06
1.55751E-06	5927.66
1.55771E-06	5903.05
1.56122E-06	5506
1.56474E-06	5144.24
1.56825E-06	4814.37
1.57177E-06	4513.25
1.57218E-06	4481.17
1.57528E-06	4238
1.5788E-06	3986.05
1.57951E-06	3939.15
1.58231E-06	3755.05
1.58583E-06	3542.92
1.58684E-06	3486.42
1.58934E-06	3347.77
1.59403E-06	3111.13
1.59871E-06	2898.27
1.60151E-06	2783.62
1.6034E-06	2706.2
1.60809E-06	2532.37
1.60884E-06	2506.85
1.61277E-06	2374.61
1.61373E-06	2345.17
1.61746E-06	2231.01
1.61862E-06	2198.48
1.62214E-06	2099.96
1.62351E-06	2065.01
1.62683E-06	1980.05
1.6284E-06	1943.24
1.63152E-06	1870.08
1.63329E-06	1831.86
1.6362E-06	1768.97
1.63818E-06	1729.73
1.64089E-06	1675.81
1.64307E-06	1635.86
1.64558E-06	1589.79
1.64795E-06	1550.13
1.6526E-06	1472.63
1.65284E-06	1469.06
1.65773E-06	1395.96
1.65917E-06	1374.54
1.66262E-06	1327.77
1.66549E-06	1288.92
1.66751E-06	1264.07
1.67118E-06	1218.93
1.67182E-06	1211.03
1.67484E-06	1177.05
1.67814E-06	1139.96
1.67833E-06	1138.09
1.68181E-06	1102.29
1.68447E-06	1074.95
1.68529E-06	1067.2
1.68878E-06	1034.36
1.6908E-06	1015.32
1.69226E-06	1002.64
1.69574E-06	972.452
1.69712E-06	960.49
1.69923E-06	943.914
1.70271E-06	916.459
1.70556E-06	894.004
1.70619E-06	889.503
1.70968E-06	864.79
1.71334E-06	838.777
1.71399E-06	834.16
1.71738E-06	812.484
1.72141E-06	786.638
1.72243E-06	780.106
1.72544E-06	762.695
1.72948E-06	739.396
1.7318E-06	725.965
1.73351E-06	717.087
1.7384E-06	691.677
1.74118E-06	677.253
1.74329E-06	667.335
1.74818E-06	644.394
1.75055E-06	633.272
1.75992E-06	593.431
1.76529E-06	572.693
1.76929E-06	557.228
1.77018E-06	554.112
1.77507E-06	536.902
1.77867E-06	524.235
1.77996E-06	520.083
1.78362E-06	508.288
1.78729E-06	496.493
1.78804E-06	494.084
1.79096E-06	485.484
1.79413E-06	476.118
1.79741E-06	466.461
1.79804E-06	464.743
0.0000018	459.45
1.8033E-06	450.517
1.8066E-06	441.584
1.80678E-06	441.09
1.8088E-06	436.063
1.8132E-06	425.1
1.81616E-06	417.737
1.8176E-06	414.415
1.822E-06	404.301
1.82553E-06	396.192
1.8264E-06	394.373
1.83227E-06	382.141
1.83959E-06	366.88
1.84107E-06	364.125
1.85084E-06	345.93
1.85365E-06	340.719
1.85573E-06	337.235
1.86062E-06	329.082
1.86551E-06	320.93
1.8677E-06	317.274
1.86918E-06	315.038
1.87284E-06	309.478
1.87651E-06	303.918
1.87883E-06	300.397
1.88018E-06	298.529
1.88329E-06	294.198
1.88641E-06	289.868
1.88953E-06	285.538
1.89172E-06	282.491
1.89264E-06	281.319
1.89576E-06	277.366
1.89888E-06	273.413
1.90199E-06	269.459
1.90461E-06	266.145
1.90511E-06	265.56
1.90823E-06	261.941
1.91134E-06	258.323
1.91465E-06	254.491
1.9175E-06	251.182
1.91831E-06	250.312
1.92198E-06	246.407
1.92565E-06	242.501
1.92931E-06	238.596
