E(MeV)	"ENDF/B-VIII.b5: SE-80(N,TOT)"
6.12770E-04	5.02638
6.52629E-04	4.88754
6.71173E-04	4.82295
6.90245E-04	4.75102
7.30030E-04	4.601
7.65956E-04	4.46555
7.93064E-04	4.36337
8.04253E-04	4.31768
8.38775E-04	4.17674
8.74676E-04	4.0302
8.93273E-04	3.9543
9.05875E-04	3.89892
9.44119E-04	3.73091
9.75005E-04	3.59525
9.81883E-04	3.56278
1.01965E-03	3.38453
1.05000E-03	3.24127
1.09517E-03	3.01353
1.11062E-03	2.93565
1.12500E-03	2.85884
1.15697E-03	2.68811
1.16513E-03	2.64454
1.18958E-03	2.50612
1.21482E-03	2.36334
1.22091E-03	2.32887
1.22700E-03	2.29263
1.25400E-03	2.13208
1.26285E-03	2.07951
1.28100E-03	1.96708
1.30125E-03	1.84174
1.30800E-03	1.79998
1.32150E-03	1.71277
1.34040E-03	1.59075
1.35660E-03	1.48624
1.37280E-03	1.37824
1.38360E-03	1.30632
1.39559E-03	1.22659
1.40460E-03	1.16676
1.41090E-03	1.12504
1.41615E-03	1.09013
1.42140E-03	1.05534
1.42477E-03	1.03305
1.42815E-03	1.01085
1.43109E-03	0.991626
1.43402E-03	0.97252
1.43686E-03	0.95422
1.43861E-03	0.942993
1.44037E-03	0.93186
1.44212E-03	0.920851
1.44388E-03	0.909998
1.44519E-03	0.901989
1.44651E-03	0.89412
1.44783E-03	0.886918
1.44914E-03	0.879935
1.45002E-03	0.875433
1.45093E-03	0.870915
1.45184E-03	0.866593
1.45275E-03	0.862506
1.45336E-03	0.859939
1.45397E-03	0.857521
1.45458E-03	0.855276
1.45522E-03	0.853128
1.45589E-03	0.85116
1.45623E-03	0.850333
1.45640E-03	0.85011
1.45691E-03	0.849679
1.45741E-03	0.849525
1.45792E-03	0.849696
1.45842E-03	0.850253
1.45893E-03	0.851271
1.45927E-03	0.852252
1.45960E-03	0.853513
1.45994E-03	0.855095
1.46028E-03	0.857044
1.46058E-03	0.85984
1.46089E-03	0.863029
1.46119E-03	0.866671
1.46149E-03	0.870835
1.46180E-03	0.875607
1.46210E-03	0.88109
1.46231E-03	0.885227
1.46233E-03	0.885808
1.46256E-03	0.891573
1.46280E-03	0.898449
1.46298E-03	0.903943
1.46299E-03	0.904227
1.46317E-03	0.91101
1.46336E-03	0.918391
1.46355E-03	0.926449
1.46373E-03	0.935281
1.46379E-03	0.938372
1.46392E-03	0.945661
1.46410E-03	0.957372
1.46427E-03	0.96904
1.46442E-03	0.980501
1.46457E-03	0.993006
1.46463E-03	0.998336
1.46473E-03	1.00745
1.46488E-03	1.02375
1.46503E-03	1.04171
1.46514E-03	1.0559
1.46526E-03	1.0735
1.46537E-03	1.09201
1.46547E-03	1.10915
1.46548E-03	1.11079
1.46559E-03	1.13343
1.46568E-03	1.15344
1.46576E-03	1.17522
1.46582E-03	1.18886
1.46585E-03	1.1998
1.46594E-03	1.22781
1.46603E-03	1.25883
1.46605E-03	1.26708
1.46612E-03	1.29498
1.46618E-03	1.32179
1.46623E-03	1.34669
1.46624E-03	1.35109
1.46630E-03	1.38443
1.46635E-03	1.42071
1.46641E-03	1.45482
1.46642E-03	1.46379
1.46648E-03	1.51309
1.46652E-03	1.5494
1.46654E-03	1.56838
1.46659E-03	1.60957
1.46663E-03	1.65369
1.46664E-03	1.66789
1.46667E-03	1.7025
1.46671E-03	1.75548
1.46676E-03	1.81235
1.46680E-03	1.87554
1.46684E-03	1.94362
1.46688E-03	2.01894
1.46692E-03	2.10008
1.46693E-03	2.10879
1.46697E-03	2.18985
1.46701E-03	2.28656
1.46705E-03	2.38798
1.46709E-03	2.49092
1.46710E-03	2.52139
1.46713E-03	2.60326
1.46716E-03	2.72394
1.46718E-03	2.78822
1.46720E-03	2.85433
1.46724E-03	2.99499
1.46725E-03	3.01993
1.46728E-03	3.14762
1.46731E-03	3.28336
1.46735E-03	3.48832
1.46737E-03	3.5824
1.46739E-03	3.67867
1.46743E-03	3.88289
1.46744E-03	3.91888
1.46747E-03	4.10352
1.46750E-03	4.29899
1.46754E-03	4.59281
1.46756E-03	4.72702
1.46758E-03	4.86417
1.46762E-03	5.15388
1.46767E-03	5.55483
1.46769E-03	5.74133
1.46771E-03	5.95069
1.46775E-03	6.33458
1.46776E-03	6.37577
1.46780E-03	6.83474
1.46781E-03	6.99671
1.46784E-03	7.32686
1.46788E-03	7.72586
1.46789E-03	7.85279
1.46793E-03	8.41557
1.46794E-03	8.52855
1.46798E-03	9.01727
1.46800E-03	9.4105
1.46802E-03	9.65646
1.46807E-03	10.3728
1.46808E-03	10.5715
1.46813E-03	11.4569
1.46814E-03	11.5456
1.46818E-03	12.2962
1.46820E-03	12.5791
1.46823E-03	13.1837
1.46825E-03	13.6877
1.46830E-03	14.6053
1.46831E-03	14.8584
1.46837E-03	16.1396
1.46840E-03	16.7588
1.46844E-03	17.7797
1.46848E-03	18.8167
1.46853E-03	19.8668
1.46857E-03	21.0136
1.46860E-03	21.8175
1.46867E-03	23.7841
1.46871E-03	24.9193
1.46877E-03	26.7043
1.46885E-03	28.9049
1.46894E-03	31.7827
1.46917E-03	38.6822
1.46928E-03	42
1.46930E-03	42.4805
1.46939E-03	44.9392
1.46942E-03	45.7418
1.46950E-03	47.6304
1.46952E-03	47.9986
1.46958E-03	49.3096
1.46960E-03	49.628
1.46967E-03	50.734
1.46968E-03	51.0002
1.46975E-03	51.8808
1.46976E-03	52.0898
1.46983E-03	52.7281
1.46984E-03	52.8761
1.46991E-03	53.2595
1.46992E-03	53.3233
1.47000E-03	53.49
1.47008E-03	53.3196
1.47009E-03	53.3042
1.47015E-03	52.913
1.47025E-03	51.9517
1.47032E-03	50.9032
1.47041E-03	49.4032
1.47042E-03	49.1873
1.47049E-03	47.733
1.47053E-03	46.8597
1.47059E-03	45.5404
1.47062E-03	44.7436
1.47069E-03	42.7545
1.47070E-03	42.4449
1.47081E-03	39.352
1.47082E-03	38.9453
1.47103E-03	32.6867
1.47121E-03	27.1559
1.47132E-03	23.9317
1.47133E-03	23.8381
1.47142E-03	21.1621
1.47144E-03	20.8109
1.47151E-03	19.0758
1.47157E-03	17.6004
1.47161E-03	16.6976
1.47164E-03	15.9133
1.47167E-03	15.3181
1.47171E-03	14.3441
1.47173E-03	14.0159
1.47176E-03	13.364
1.47179E-03	12.8045
1.47181E-03	12.4354
1.47185E-03	11.6739
1.47186E-03	11.5583
1.47191E-03	10.7335
1.47192E-03	10.6286
1.47196E-03	9.96011
1.47198E-03	9.66793
1.47201E-03	9.11462
1.47205E-03	8.68899
1.47206E-03	8.52208
1.47210E-03	7.96575
1.47214E-03	7.44574
1.47216E-03	7.28158
1.47219E-03	6.95859
1.47221E-03	6.66375
1.47223E-03	6.5026
1.47227E-03	6.09713
1.47232E-03	5.68185
1.47233E-03	5.58464
1.47236E-03	5.31442
1.47238E-03	5.1181
1.47240E-03	4.97284
1.47244E-03	4.72007
1.47248E-03	4.44753
1.47250E-03	4.31187
1.47252E-03	4.19321
1.47255E-03	3.96548
1.47259E-03	3.73724
1.47261E-03	3.65658
1.47263E-03	3.53365
1.47267E-03	3.37679
1.47271E-03	3.16974
1.47272E-03	3.1269
1.47275E-03	3.00815
1.47278E-03	2.90323
1.47279E-03	2.85852
1.47283E-03	2.7208
1.47286E-03	2.61132
1.47287E-03	2.5923
1.47291E-03	2.47516
1.47295E-03	2.36544
1.47299E-03	2.26597
1.47303E-03	2.17288
1.47307E-03	2.08055
1.47312E-03	1.98812
1.47316E-03	1.90532
1.47320E-03	1.84108
1.47321E-03	1.82918
1.47326E-03	1.76063
1.47329E-03	1.71901
1.47330E-03	1.69794
1.47335E-03	1.64129
1.47340E-03	1.58877
1.47344E-03	1.54185
1.47349E-03	1.49842
1.47351E-03	1.47822
1.47354E-03	1.45879
1.47358E-03	1.42267
1.47363E-03	1.38952
1.47365E-03	1.37369
1.47372E-03	1.33086
1.47379E-03	1.29198
1.47381E-03	1.28601
1.47385E-03	1.26344
1.47391E-03	1.23727
1.47398E-03	1.20851
1.47400E-03	1.20168
1.47409E-03	1.17089
1.47417E-03	1.14288
1.47421E-03	1.13089
1.47426E-03	1.11791
1.47435E-03	1.0955
1.47444E-03	1.07476
1.47445E-03	1.07222
1.47455E-03	1.05051
1.47467E-03	1.02847
1.47480E-03	1.0063
1.47481E-03	1.00439
1.47493E-03	0.98601
1.47505E-03	0.968973
1.47515E-03	0.956875
1.47518E-03	0.953316
1.47530E-03	0.939387
1.47546E-03	0.922179
1.47563E-03	0.906317
1.47579E-03	0.891613
1.47585E-03	0.886722
1.47595E-03	0.878611
1.47614E-03	0.865262
1.47635E-03	0.851419
1.47656E-03	0.838646
1.47677E-03	0.826793
1.47678E-03	0.826179
1.47698E-03	0.816535
1.47719E-03	0.807018
1.47740E-03	0.798109
1.47761E-03	0.789735
1.47771E-03	0.785808
1.47787E-03	0.780576
1.47817E-03	0.770895
1.47847E-03	0.761938
1.47878E-03	0.7536
1.47908E-03	0.745793
1.47938E-03	0.738446
1.47953E-03	0.734972
1.47968E-03	0.731806
1.47999E-03	0.725821
1.48037E-03	0.718661
1.48072E-03	0.712519
1.48107E-03	0.706679
1.48154E-03	0.699299
1.48201E-03	0.692317
1.48247E-03	0.686251
1.48294E-03	0.680474
1.48341E-03	0.674946
1.48408E-03	0.667304
1.48471E-03	0.660523
1.48534E-03	0.654008
1.48597E-03	0.647716
1.48681E-03	0.639614
1.48723E-03	0.635701
1.48765E-03	0.632046
1.48849E-03	0.624962
1.48933E-03	0.618066
1.49017E-03	0.611326
1.49106E-03	0.604355
1.49246E-03	0.593593
1.49386E-03	0.583073
1.49433E-03	0.579628
1.49526E-03	0.573027
1.49619E-03	0.566508
1.49806E-03	0.553633
1.49993E-03	0.540933
1.50179E-03	0.528367
1.50459E-03	0.509712
1.50552E-03	0.503556
1.50776E-03	0.489341
1.51112E-03	0.468177
1.51448E-03	0.447142
1.51747E-03	0.428537
1.51896E-03	0.419613
1.52643E-03	0.375248
1.52792E-03	0.366412
1.53240E-03	0.340986
1.53688E-03	0.315648
1.54136E-03	0.291379
1.54435E-03	0.275248
1.55032E-03	0.244512
1.55144E-03	0.238764
1.55704E-03	0.211282
1.55928E-03	0.200841
1.56264E-03	0.185229
1.56712E-03	0.165463
1.57059E-03	0.150804
1.57295E-03	0.141319
1.57413E-03	0.136596
1.57766E-03	0.123127
1.58060E-03	0.112471
1.58354E-03	0.102358
1.58590E-03	0.0946753
