E(MeV)	JEFF-3.3:	"HF-176(N,TOT)"
6.63163E-06	24.2252	
6.64685E-06	24.7488	
6.65505E-06	25.0316	
6.65953E-06	25.2023	
6.67222E-06	25.6863	
6.68279E-06	26.0903	
6.69029E-06	26.3776	
6.69336E-06	26.5059	
6.70181E-06	26.8604	
6.70942E-06	27.1799	
6.71788E-06	27.5353	
6.72464E-06	27.8199	
6.72633E-06	27.8911	
6.73141E-06	28.126	
6.73817E-06	28.4396	
6.74325E-06	28.6749	
6.74832E-06	28.9105	
6.75339E-06	29.1462	
6.75762E-06	29.3428	
6.76185E-06	29.5396	
6.76354E-06	29.6183	
6.76608E-06	29.749	
6.77030E-06	29.9669	
6.77474E-06	30.1959	
6.77918E-06	30.4251	
6.78341E-06	30.6435	
6.78722E-06	30.8403	
6.79102E-06	31.0371	
6.79356E-06	31.1684	
6.79610E-06	31.2998	
6.79863E-06	31.4313	
6.80117E-06	31.5628	
6.80244E-06	31.6286	
6.80371E-06	31.7017	
6.80624E-06	31.848	
6.80878E-06	31.9945	
6.81132E-06	32.1409	
6.81258E-06	32.2142	
6.81554E-06	32.3852	
6.81850E-06	32.5563	
6.82136E-06	32.7214	
6.82421E-06	32.8866	
6.82717E-06	33.058	
6.83034E-06	33.2418	
6.83351E-06	33.4257	
6.83584E-06	33.5606	
6.83837E-06	33.7079	
6.84091E-06	33.8552	
6.84133E-06	33.8798	
6.84345E-06	34.0158	
6.84598E-06	34.1791	
6.84852E-06	34.3424	
6.85106E-06	34.5059	
6.85486E-06	34.7512	
6.85782E-06	34.9422	
6.86078E-06	35.1333	
6.86374E-06	35.3245	
6.86670E-06	35.5158	
6.87051E-06	35.762	
6.87431E-06	36.0084	
6.87516E-06	36.0632	
6.87812E-06	36.2746	
6.88192E-06	36.5466	
6.88615E-06	36.8492	
6.89038E-06	37.1521	
6.89461E-06	37.4552	
6.89883E-06	37.7587	
6.90391E-06	38.1232	
6.90898E-06	38.4882	
6.90898E-06	38.4882	
6.91406E-06	38.8922	
6.91913E-06	39.2967	
6.92505E-06	39.7692	
6.93097E-06	40.2424	
6.93689E-06	40.7163	
6.94281E-06	41.191	
6.94957E-06	41.787	
6.95634E-06	42.3841	
6.96310E-06	42.9823	
6.96986E-06	43.5816	
6.96986E-06	43.5816	
6.97621E-06	44.1942	
6.98255E-06	44.8078	
6.98889E-06	45.4225	
6.99692E-06	46.2029	
6.99735E-06	46.2476	
7.00580E-06	47.1431	
7.01426E-06	48.0409	
7.02229E-06	48.8962	
7.02271E-06	48.9451	
7.02906E-06	49.6806	
7.03751E-06	50.6636	
7.04512E-06	51.5506	
7.04766E-06	51.8471	
7.05273E-06	52.4928	
7.06034E-06	53.4639	
7.07049E-06	54.7626	
7.07303E-06	55.0884	
7.07810E-06	55.7995	
7.08698E-06	57.0477	
7.09586E-06	58.2999	
7.09839E-06	58.659	
7.10474E-06	59.6411	
7.11362E-06	61.0207	
7.12249E-06	62.4051	
7.12376E-06	62.6036	
7.13137E-06	63.9102	
7.14025E-06	65.44	
7.14913E-06	66.9756	
7.14913E-06	66.9756	
7.15801E-06	68.6715	
7.16689E-06	70.3738	
7.17450E-06	71.839	
7.17619E-06	72.1983	
7.18634E-06	74.3635	
7.19648E-06	76.539	
7.19987E-06	77.2678	
7.20663E-06	78.8813	
7.21678E-06	81.3133	
7.22523E-06	83.3505	
7.22692E-06	83.8032	
7.23707E-06	86.5331	
7.24722E-06	89.2776	
7.25060E-06	90.1977	
7.25737E-06	92.211	
7.26751E-06	95.2478	
7.26751E-06	95.2478	
7.27766E-06	98.5381	
7.28443E-06	100.745	
7.28865E-06	102.234	
7.30007E-06	106.281	
7.30134E-06	106.734	
7.31148E-06	110.653	
7.31825E-06	113.284	
7.32290E-06	115.245	
7.33432E-06	120.093	
7.33516E-06	120.455	
7.34573E-06	125.369	
7.35207E-06	128.341	
7.35715E-06	130.931	
7.36856E-06	136.805	
7.36898E-06	137.024	
7.37998E-06	143.252	
7.38590E-06	146.635	
7.39139E-06	150.075	
7.40281E-06	157.283	
7.41422E-06	165.273	
7.41972E-06	169.157	
7.42564E-06	173.767	
7.43663E-06	182.411	
7.43706E-06	182.774	
7.44847E-06	192.673	
7.44932E-06	193.414	
7.45989E-06	203.424	
7.46200E-06	205.448	
7.47046E-06	214.208	
7.47451E-06	218.458	
7.48060E-06	225.362	
7.48669E-06	232.338	
7.49075E-06	237.384	
7.49887E-06	247.583	
7.50090E-06	250.357	
7.51104E-06	264.377	
7.51104E-06	264.377	
7.52094E-06	279.455	
7.52322E-06	282.976	
7.53032E-06	294.953	
7.53540E-06	303.609	
7.53971E-06	311.649	
7.54656E-06	324.572	
7.54910E-06	329.799	
7.55772E-06	347.79	
7.55848E-06	349.53	
7.56787E-06	371.256	
7.56888E-06	373.638	
7.57700E-06	394.569	
7.58004E-06	402.509	
7.58309E-06	411.269	
7.58918E-06	428.952	
7.59121E-06	434.905	
7.59527E-06	448.05	
7.60135E-06	467.963	
7.60169E-06	469.081	
7.60744E-06	490.051	
7.61184E-06	506.257	
7.61353E-06	513.034	
7.61860E-06	533.579	
7.61928E-06	536.516	
7.62469E-06	560.25	
7.62537E-06	563.248	
7.63010E-06	585.789	
7.63213E-06	595.553	
7.63552E-06	613.076	
7.63890E-06	630.792	
7.64093E-06	642.268	
7.64566E-06	669.347	
7.64634E-06	673.528	
7.65175E-06	707.355	
7.65209E-06	709.496	
7.65716E-06	744.131	
7.65818E-06	751.145	
7.66224E-06	781.43	
7.66427E-06	796.754	
7.66697E-06	818.88	
7.67035E-06	846.864	
7.67171E-06	859.027	
7.67644E-06	902.11	
7.68118E-06	949.677	
7.68253E-06	963.453	
7.68591E-06	1001.13	
7.68862E-06	1031.68	
7.69065E-06	1056.87	
7.69471E-06	1107.94	
7.69538E-06	1117.31	
7.69978E-06	1179.05	
7.70046E-06	1188.68	
7.70384E-06	1241.57	
7.70587E-06	1273.75	
7.70790E-06	1309.11	
7.71128E-06	1368.89	
7.71196E-06	1381.92	
7.71534E-06	1447.98	
7.71602E-06	1462.23	
7.71940E-06	1534.57	
7.72007E-06	1550.21	
7.72346E-06	1629.61	
7.72413E-06	1646.81	
7.72752E-06	1734.15	
7.72819E-06	1753.1	
7.73158E-06	1849.36	
7.73208E-06	1865.06	
7.73563E-06	1976.58	
7.73580E-06	1982.36	
7.73952E-06	2111.46	
7.73969E-06	2117.42	
7.74274E-06	2233.03	
7.74325E-06	2253.67	
7.74612E-06	2372.46	
