E(MeV)	mcnp/Pb-206:1
1.67707E-03	11.1997
1.67774E-03	11.2058
1.67842E-03	11.212
1.67853E-03	11.213
1.67865E-03	11.2277
1.67887E-03	11.2573
1.67890E-03	11.2609
1.67904E-03	11.313
1.67915E-03	11.3544
1.67917E-03	11.3614
1.67927E-03	11.4255
1.67936E-03	11.4866
1.67938E-03	11.5114
1.67946E-03	11.6006
1.67954E-03	11.6807
1.67955E-03	11.6935
1.67963E-03	11.8173
1.67968E-03	11.8826
1.67972E-03	11.9573
1.67980E-03	12.1154
1.67982E-03	12.1405
1.67989E-03	12.3049
1.67995E-03	12.4592
1.67997E-03	12.5081
1.68006E-03	12.7399
1.68008E-03	12.7999
1.68014E-03	13.0004
1.68023E-03	13.2709
1.68023E-03	13.3007
1.68031E-03	13.578
1.68039E-03	13.8774
1.68039E-03	13.891
1.68048E-03	14.2286
1.68055E-03	14.5217
1.68055E-03	14.5479
1.68063E-03	14.8983
1.68071E-03	15.2487
1.68078E-03	15.5906
1.68078E-03	15.5998
1.68086E-03	15.9822
1.68094E-03	16.3853
1.68102E-03	16.7883
1.68109E-03	17.1466
1.68110E-03	17.194
1.68118E-03	17.6218
1.68126E-03	18.0496
1.68134E-03	18.4647
1.68142E-03	18.8737
1.68150E-03	19.2826
1.68158E-03	19.6916
1.68165E-03	20.1006
1.68172E-03	20.4503
1.68173E-03	20.518
1.68181E-03	20.9554
1.68189E-03	21.3929
1.68198E-03	21.8304
1.68206E-03	22.2679
1.68214E-03	22.7054
1.68222E-03	23.1461
1.68230E-03	23.5869
1.68239E-03	24.0277
1.68247E-03	24.4686
1.68255E-03	24.9096
1.68263E-03	25.3384
1.68271E-03	25.7611
1.68279E-03	26.1839
1.68287E-03	26.6069
1.68294E-03	27.0299
1.68302E-03	27.446
1.68310E-03	27.848
1.68317E-03	28.2502
1.68325E-03	28.6524
1.68332E-03	29.0548
1.68340E-03	29.4573
1.68348E-03	29.9
1.68356E-03	30.3427
1.68359E-03	30.5204
1.68367E-03	30.9126
1.68378E-03	31.4736
1.68389E-03	32.0406
1.68391E-03	32.1199
1.68422E-03	33.5611
1.68428E-03	33.8005
1.68439E-03	34.1926
1.68445E-03	34.445
1.68449E-03	34.5441
1.68459E-03	34.8225
1.68467E-03	35.031
1.68469E-03	35.0724
1.68474E-03	35.1468
1.68481E-03	35.2629
1.68484E-03	35.3128
1.68489E-03	35.3354
1.68496E-03	35.3747
1.68500E-03	35.3943
1.68508E-03	35.3419
1.68517E-03	35.2891
1.68519E-03	35.2784
1.68525E-03	35.1561
1.68534E-03	35.0028
1.68537E-03	34.9412
1.68542E-03	34.7962
1.68550E-03	34.5687
1.68556E-03	34.4086
1.68560E-03	34.2271
1.68576E-03	33.6291
1.68584E-03	33.3243
1.68608E-03	32.1961
1.68611E-03	32.0148
1.68621E-03	31.5119
1.68632E-03	30.9549
1.68642E-03	30.4167
1.68652E-03	29.8788
1.68660E-03	29.4754
1.68667E-03	29.1083
1.68668E-03	29.0711
1.68676E-03	28.6396
1.68684E-03	28.2006
1.68692E-03	27.7618
1.68700E-03	27.3231
1.68708E-03	26.8846
1.68717E-03	26.4452
1.68725E-03	26.0038
1.68733E-03	25.5625
1.68741E-03	25.1213
1.68750E-03	24.6802
1.68758E-03	24.2392
1.68766E-03	23.8166
1.68773E-03	23.3941
1.68781E-03	22.9716
1.68789E-03	22.5493
1.68797E-03	22.1269
1.68805E-03	21.7187
1.68812E-03	21.3176
1.68820E-03	20.9166
1.68827E-03	20.5156
1.68835E-03	20.1146
1.68842E-03	19.7004
1.68851E-03	19.2596
1.68859E-03	18.8189
1.68867E-03	18.3781
1.68871E-03	18.1421
1.68875E-03	17.9462
1.68883E-03	17.5244
1.68892E-03	17.094
1.68900E-03	16.6637
1.68909E-03	16.2365
1.68909E-03	16.2336
1.68917E-03	15.835
1.68925E-03	15.4365
1.68933E-03	15.0567
1.68936E-03	14.9128
1.68941E-03	14.708
1.68949E-03	14.373
1.68955E-03	14.1146
1.68957E-03	14.0465
1.68965E-03	13.7492
1.68972E-03	13.4622
1.68974E-03	13.4062
1.68979E-03	13.2229
1.68986E-03	12.9907
1.68988E-03	12.9432
1.68993E-03	12.7838
1.69000E-03	12.5833
1.69001E-03	12.5434
1.69007E-03	12.4086
1.69014E-03	12.2404
1.69015E-03	12.2078
1.69021E-03	12.0974
1.69028E-03	11.9605
1.69029E-03	11.9348
1.69035E-03	11.8435
1.69039E-03	11.7854
1.69044E-03	11.7151
1.69054E-03	11.6002
1.69057E-03	11.5562
1.69063E-03	11.5092
1.69072E-03	11.433
1.69076E-03	11.4043
1.69086E-03	11.3573
1.69100E-03	11.2944
1.69104E-03	11.2789
1.69119E-03	11.2501
1.69131E-03	11.2262
1.69147E-03	11.2208
1.69193E-03	11.2047
1.69206E-03	11.2003
1.70877E-03	11.1997
1.71131E-03	11.1997
1.72593E-03	11.1997
1.86380E-03	11.1996
1.97158E-03	11.1996
1.98549E-03	11.1996
1.99904E-03	11.1996
1.99976E-03	11.1996
2.00045E-03	11.1996
2.00135E-03	11.1996
2.00359E-03	11.1997
2.00807E-03	11.1997
2.00939E-03	11.1998
2.01006E-03	11.1998
2.01072E-03	11.1998
2.01780E-03	11.1998
2.04190E-03	11.1998
2.04986E-03	11.1998
2.05621E-03	11.1998
2.06422E-03	11.1998
2.07071E-03	11.1998
2.15282E-03	11.1998
2.32532E-03	11.1998
2.34161E-03	11.1998
2.35813E-03	11.1998
2.37464E-03	11.1998
2.45935E-03	11.1998
2.47348E-03	11.1998
2.47779E-03	11.2057
2.47796E-03	11.2059
2.47827E-03	11.223
2.47837E-03	11.2286
2.47851E-03	11.2563
2.47869E-03	11.2918
2.47878E-03	11.3082
2.47888E-03	11.3492
2.47898E-03	11.3936
2.47900E-03	11.4037
2.47912E-03	11.4843
2.47919E-03	11.5291
2.47924E-03	11.5828
2.47933E-03	11.6734
2.47939E-03	11.7323
2.47942E-03	11.7774
2.47951E-03	11.9062
2.47959E-03	12.0212
2.47960E-03	12.0393
2.47969E-03	12.2073
2.47975E-03	12.3036
2.47978E-03	12.391
2.47987E-03	12.5958
2.47990E-03	12.648
2.47997E-03	12.8319
2.48006E-03	13.0788
2.48008E-03	13.137
2.48015E-03	13.3581
2.48023E-03	13.6347
2.48024E-03	13.6493
2.48033E-03	13.9766
2.48039E-03	14.1978
2.48042E-03	14.318
2.48050E-03	14.6504
2.48058E-03	14.9638
2.48062E-03	15.1535
2.48066E-03	15.2916
2.48073E-03	15.6416
2.48081E-03	15.9915
2.48086E-03	16.2209
2.48089E-03	16.3756
2.48098E-03	16.8268
2.48107E-03	17.278
2.48109E-03	17.3728
2.48117E-03	17.753
2.48126E-03	18.2343
2.48135E-03	18.7156
2.48143E-03	19.115
2.48150E-03	19.5144
2.48156E-03	19.8303
2.48158E-03	19.9172
2.48165E-03	20.3328
2.48173E-03	20.7484
2.48181E-03	21.1642
2.48188E-03	21.5799
2.48196E-03	21.9957
2.48204E-03	22.4115
2.48211E-03	22.8273
2.48219E-03	23.2467
2.48227E-03	23.6729
2.48234E-03	24.0992
2.48242E-03	24.5256
2.48250E-03	24.9521
2.48258E-03	25.3786
2.48266E-03	25.8088
2.48274E-03	26.2391
2.48281E-03	26.6694
2.48289E-03	27.0999
2.48297E-03	27.5305
2.48305E-03	27.9638
2.48313E-03	28.3987
2.48324E-03	28.9786
2.48328E-03	29.2214
2.48332E-03	29.4034
2.48342E-03	29.9527
2.48353E-03	30.5374
2.48365E-03	31.1222
2.48375E-03	31.6533
2.48382E-03	31.9618
2.48406E-03	33.0981
2.48414E-03	33.4142
2.48430E-03	34.0121
2.48431E-03	34.0391
2.48442E-03	34.3867
2.48453E-03	34.7195
2.48454E-03	34.7287
2.48462E-03	34.8944
2.48471E-03	35.0598
2.48477E-03	35.1685
2.48480E-03	35.1884
2.48488E-03	35.2461
2.48497E-03	35.3034
2.48500E-03	35.3224
2.48508E-03	35.2669
2.48517E-03	35.2111
2.48523E-03	35.1676
2.48525E-03	35.1313
2.48534E-03	34.9693
2.48545E-03	34.753
2.48547E-03	34.7176
2.48555E-03	34.4638
2.48566E-03	34.1542
2.48570E-03	34.0096
2.48581E-03	33.5966
2.48594E-03	33.0951
2.48598E-03	32.8863
2.48625E-03	31.65
2.48629E-03	31.449
2.48645E-03	30.6043
2.48655E-03	30.0774
2.48665E-03	29.5506
2.48672E-03	29.218
2.48676E-03	29.0131
2.48686E-03	28.4571
2.48696E-03	27.9013
2.48704E-03	27.4845
2.48711E-03	27.0679
2.48719E-03	26.6479
2.48727E-03	26.2211
2.48734E-03	25.7945
2.48742E-03	25.3679
2.48750E-03	24.9414
2.48758E-03	24.515
2.48766E-03	24.085
2.48774E-03	23.6551
2.48781E-03	23.2254
2.48789E-03	22.7956
2.48797E-03	22.3659
2.48805E-03	21.9336
2.48813E-03	21.4999
2.48821E-03	21.0664
2.48829E-03	20.6329
2.48837E-03	20.1994
2.48844E-03	19.8274
2.48845E-03	19.7595
2.48853E-03	19.3164
2.48862E-03	18.8734
2.48870E-03	18.4304
2.48879E-03	17.9875
2.48887E-03	17.5446
2.48891E-03	17.3708
2.48895E-03	17.1352
2.48904E-03	16.7367
2.48912E-03	16.3382
2.48914E-03	16.2197
2.48920E-03	15.9603
2.48928E-03	15.5911
2.48936E-03	15.2061
2.48937E-03	15.1532
2.48945E-03	14.8488
2.48954E-03	14.4971
2.48961E-03	14.1983
2.48962E-03	14.1515
2.48971E-03	13.8406
2.48977E-03	13.6358
2.48977E-03	13.6337
2.48984E-03	13.4153
2.48990E-03	13.197
2.48992E-03	13.1386
2.48997E-03	12.9998
2.49004E-03	12.8104
2.49007E-03	12.7334
2.49011E-03	12.637
2.49018E-03	12.4747
2.49021E-03	12.4087
2.49025E-03	12.3311
2.49032E-03	12.2003
2.49041E-03	12.0162
2.49042E-03	12.0072
2.49052E-03	11.8625
2.49062E-03	11.7267
2.49062E-03	11.7204
2.49073E-03	11.619
2.49082E-03	11.5239
2.49083E-03	11.5197
2.49093E-03	11.4525
2.49103E-03	11.3893
2.49107E-03	11.3727
2.49121E-03	11.3165
2.49124E-03	11.305
2.49141E-03	11.2714
2.49165E-03	11.2273
2.49169E-03	11.2255
2.49196E-03	11.2133
2.49220E-03	11.203
2.49416E-03	11.203
2.54270E-03	11.2023
2.56051E-03	11.2021
2.57858E-03	11.2019
2.59664E-03	11.2017
2.61496E-03	11.2014
2.63327E-03	11.2012
2.65185E-03	11.201
2.67042E-03	11.2007
2.76568E-03	11.1995
2.78505E-03	11.1993
2.80470E-03	11.1991
2.82434E-03	11.1988
2.84426E-03	11.1986
2.86419E-03	11.1983
2.88439E-03	11.1981
2.90460E-03	11.1978
2.96635E-03	11.197
2.98713E-03	11.1968
2.99357E-03	11.1967
2.99759E-03	11.1966
2.99859E-03	11.1966
2.99899E-03	11.1966
2.99930E-03	11.1966
2.99960E-03	11.1966
2.99990E-03	11.1967
3.00016E-03	11.1967
3.00039E-03	11.1967
3.00062E-03	11.1967
3.00093E-03	11.1968
3.00124E-03	11.1968
3.00155E-03	11.1969
3.00186E-03	11.1969
3.00233E-03	11.197
3.00280E-03	11.1971
3.00329E-03	11.1972
3.00377E-03	11.1974
3.00425E-03	11.1975
3.00473E-03	11.1977
3.00521E-03	11.1978
3.00567E-03	11.198
3.00613E-03	11.1982
3.00660E-03	11.1984
3.00706E-03	11.1987
3.00752E-03	11.1989
3.00799E-03	11.1992
3.00876E-03	11.1997
3.00923E-03	11.2
3.00954E-03	11.2002
3.00985E-03	11.2003
3.01017E-03	11.2005
3.01050E-03	11.2006
3.01083E-03	11.2006
3.01116E-03	11.2007
3.01166E-03	11.2007
3.01398E-03	11.2007
3.03123E-03	11.2004
3.04185E-03	11.2003
3.05247E-03	11.2002
3.05635E-03	11.2001
3.06319E-03	11.2
3.06460E-03	11.207
3.06521E-03	11.21
3.06545E-03	11.2112
3.06563E-03	11.2121
3.06575E-03	11.2128
3.06585E-03	11.2133
3.06590E-03	11.2136
3.06594E-03	11.2175
3.06600E-03	11.2235
3.06606E-03	11.2296
3.06612E-03	11.2356
