E(MeV)	pendfb7/Ba138:1
1.00000E-11	40.595703
1.51229E-11	33.1558954
1.55765E-11	32.6821115
1.60434E-11	32.2157655
1.65246E-11	31.7561294
1.70199E-11	31.3037441
1.75304E-11	30.8578951
1.80559E-11	30.4189948
1.85975E-11	29.9864591
1.91550E-11	29.5607534
1.97295E-11	29.1412671
2.03209E-11	28.728324
2.09305E-11	28.3213772
2.15579E-11	27.9208906
2.22045E-11	27.5262416
2.28701E-11	27.1378221
2.35561E-11	26.7550487
2.42622E-11	26.3783925
2.49899E-11	26.0072346
2.57390E-11	25.6419535
2.65110E-11	25.2820586
2.73057E-11	24.9278452
2.81247E-11	24.5788684
2.89678E-11	24.2354343
2.98367E-11	23.8975776
3.07311E-11	23.5649388
3.16528E-11	23.2370828
3.21013E-11	23.0824785
3.26017E-11	22.9142929
3.32037E-11	22.7165498
3.43440E-11	22.3569086
3.55234E-11	22.0035
3.66913E-11	21.6709695
3.77919E-11	21.3726401
3.89247E-11	21.0790049
4.00923E-11	20.7896061
4.06603E-11	20.6531917
4.12941E-11	20.5047819
4.20567E-11	20.3302945
4.25327E-11	20.2240987
4.35010E-11	20.0130372
4.49949E-11	19.7013317
4.64742E-11	19.4081233
4.78681E-11	19.1451417
4.93030E-11	18.8863236
4.97915E-11	18.8006465
5.07818E-11	18.6313232
5.15014E-11	18.5111123
5.23041E-11	18.3803776
5.32700E-11	18.2266924
5.38729E-11	18.1331593
5.50994E-11	17.947294
5.69916E-11	17.6728594
5.88653E-11	17.4147774
6.06310E-11	17.1833509
6.24484E-11	16.9556715
6.30671E-11	16.8803226
6.43215E-11	16.7313963
6.52329E-11	16.6257028
6.62496E-11	16.5107536
6.74731E-11	16.3756533
6.82368E-11	16.293432
6.97903E-11	16.1300962
7.02822E-11	16.0796658
7.21870E-11	15.8889829
7.45603E-11	15.6623091
7.67967E-11	15.4591156
7.72301E-11	15.4207023
7.90987E-11	15.2592652
7.98824E-11	15.1931427
8.14712E-11	15.0624658
8.26256E-11	14.9697494
8.39134E-11	14.868913
8.54631E-11	14.7504383
8.64304E-11	14.6783367
8.83981E-11	14.5351482
8.90212E-11	14.4909351
9.14338E-11	14.3238303
9.44399E-11	14.1252398
9.72725E-11	13.9472936
9.78216E-11	13.9136528
1.00188E-10	13.7723343
1.01181E-10	13.7144502
1.03193E-10	13.6001173
1.04656E-10	13.5189632
1.06287E-10	13.4307581
1.08250E-10	13.3271397
1.09475E-10	13.2640921
1.11967E-10	13.1389243
1.12756E-10	13.1002806
1.15812E-10	12.9542556
1.19620E-10	12.7807562
1.23208E-10	12.6253619
1.23903E-10	12.5960217
1.26901E-10	12.4726478
1.28158E-10	12.4221715
1.30707E-10	12.3223834
1.32559E-10	12.2516481
1.34626E-10	12.1747926
1.37690E-10	12.0636408
1.38664E-10	12.029295
1.42820E-10	11.8863721
1.47104E-10	11.7465016
1.48559E-10	11.7002186
1.51513E-10	11.6088905
1.54312E-10	11.5244996
1.56058E-10	11.4733294
1.60285E-10	11.3525234
1.60736E-10	11.3399901
1.65557E-10	11.2093811
1.66492E-10	11.1846745
1.70520E-10	11.0812361
1.72936E-10	11.0207366
