E(MeV)	B10 Tot			
1.48000E+01	1.46389			
1.48600E+01	1.46352			
1.49000E+01	1.46334			
1.50000E+01	1.46288			
1.52116E+01	1.46185			
1.54000E+01	1.46092			
1.54100E+01	1.46086			
1.55000E+01	1.4605			
1.56000E+01	1.46022			
1.56093E+01	1.46017			
1.57187E+01	1.45972			
1.59000E+01	1.45895			
1.59610E+01	1.45856			
1.60000E+01	1.4584			
1.61000E+01	1.45782			
1.62257E+01	1.457			
1.64286E+01	1.45579			
1.65000E+01	1.45512			
1.65110E+01	1.45501			
1.66000E+01	1.45424			
1.67000E+01	1.45333			
1.68508E+01	1.45178			
1.70000E+01	1.45026			
1.70610E+01	1.44963			
1.71000E+01	1.44925			
1.72000E+01	1.44833			
1.73615E+01	1.44675			
1.75000E+01	1.44539			
1.76000E+01	1.44439			
1.76120E+01	1.44426			
1.76234E+01	1.44416			
1.77000E+01	1.44348			
1.78000E+01	1.44261			
1.80000E+01	1.44088			
1.81000E+01	1.43992			
1.81620E+01	1.4394			
1.82000E+01	1.4391			
1.83000E+01	1.4382			
1.84000E+01	1.43737			
1.85000E+01	1.43654			
1.87000E+01	1.43496			
1.87130E+01	1.43485			
1.88000E+01	1.43419			
1.89000E+01	1.4334			
1.90000E+01	1.43266			
1.92000E+01	1.43129			
1.92630E+01	1.43089			
1.93000E+01	1.43069			
1.93805E+01	1.43027			
1.94000E+01	1.43015			
1.95000E+01	1.42957			
1.96376E+01	1.42882			
1.98000E+01	1.42799			
1.98130E+01	1.42792			
1.99000E+01	1.42758			
2.00000E+01	1.4271
