E(MeV)	pendfb7/Ba137:1
1.00000E-11	212.127285
1.22976E-11	191.396939
1.26662E-11	188.608398
1.30462E-11	185.859175
1.34372E-11	183.152674
1.38403E-11	180.484102
1.42552E-11	177.856801
1.46827E-11	175.266752
1.51229E-11	172.716154
1.55765E-11	170.201662
1.60434E-11	167.726243
1.65246E-11	165.285675
1.70199E-11	162.882708
1.75304E-11	160.513961
1.80559E-11	158.181318
1.85975E-11	155.881976
1.91550E-11	153.617965
1.97295E-11	151.38624
2.03209E-11	149.188661
2.09305E-11	147.022261
2.15579E-11	144.889536
2.22045E-11	142.786928
2.28701E-11	140.716831
2.35561E-11	138.676015
2.42622E-11	136.666899
2.49899E-11	134.686288
2.57390E-11	132.7362
2.65110E-11	130.813984
2.73057E-11	128.921293
2.81247E-11	127.055761
2.89678E-11	125.218846
2.98367E-11	123.409023
3.07311E-11	121.626993
3.16528E-11	119.870207
3.20559E-11	119.132228
3.26017E-11	118.140224
3.31567E-11	117.169237
3.35795E-11	116.434867
3.42954E-11	115.238101
3.54731E-11	113.338723
3.66913E-11	111.470244
3.77919E-11	109.865044
3.89247E-11	108.284573
4.00923E-11	106.726443
4.06028E-11	106.072101
4.12941E-11	105.192396
4.19971E-11	104.331357
4.25327E-11	103.680059
4.34394E-11	102.618966
4.38076E-11	102.191137
4.49312E-11	100.934744
4.64742E-11	99.2782028
4.78681E-11	97.8551452
4.93030E-11	96.4539823
4.97210E-11	96.0615562
5.07818E-11	95.0728495
5.14285E-11	94.4927595
5.23041E-11	93.71298
5.31946E-11	92.9497695
5.38729E-11	92.3725744
5.50214E-11	91.4321066
5.54878E-11	91.0528928
5.69109E-11	89.9394911
5.88653E-11	88.4714439
6.06310E-11	87.2103867
6.24484E-11	85.9689338
6.29778E-11	85.6212887
6.43215E-11	84.7452486
6.51406E-11	84.231347
6.62496E-11	83.5405207
6.73776E-11	82.8644117
6.82368E-11	82.3530683
6.96915E-11	81.5200244
7.02822E-11	81.184135
7.20848E-11	80.1979427
7.45603E-11	78.8977592
7.67967E-11	77.7809815
7.90987E-11	76.6816362
7.97692E-11	76.373849
8.14712E-11	75.5981234
8.25086E-11	75.1431867
8.39134E-11	74.5314875
8.53421E-11	73.932964
8.64304E-11	73.4802443
8.82729E-11	72.742859
8.90212E-11	72.4454695
9.13043E-11	71.5725908
9.16913E-11	71.4256569
9.44399E-11	70.4217922
9.72725E-11	69.433483
9.76831E-11	69.2956348
1.00188E-10	68.460653
1.01038E-10	68.1881274
1.03193E-10	67.5020315
1.04507E-10	67.0995574
1.06287E-10	66.5581756
1.08096E-10	66.0288566
1.09475E-10	65.6281649
1.11809E-10	64.9757798
1.12756E-10	64.7128893
1.15648E-10	63.9408779
1.16139E-10	63.8107069
1.19620E-10	62.9230347
1.23208E-10	62.0489926
1.23728E-10	61.9271429
1.26901E-10	61.1888209
1.27977E-10	60.9480025
1.30707E-10	60.341243
1.32372E-10	59.9853485
1.34626E-10	59.5070682
1.37498E-10	58.9208411
1.38664E-10	58.6846555
1.42820E-10	57.8751675
1.47104E-10	57.0788879
1.48351E-10	56.8559415
1.51513E-10	56.294973
1.54093E-10	55.8548871
1.56058E-10	55.5222531
1.60060E-10	54.8707593
1.60736E-10	54.7615351
1.65557E-10	54.0126014
1.66256E-10	53.9081738
1.70520E-10	53.2760334
1.72694E-10	52.9661168
1.75635E-10	52.550027
1.79379E-10	52.0406909
1.80899E-10	51.8354459
1.86325E-10	51.1311637
1.91911E-10	50.4392588
1.93538E-10	50.2454762
1.97667E-10	49.7573744
2.01032E-10	49.3749458
2.03592E-10	49.0861536
2.08814E-10	48.5199016
2.09699E-10	48.424632
2.15985E-10	47.7741934
2.16900E-10	47.6831653
2.22463E-10	47.133847
2.25296E-10	46.8649478
2.29132E-10	46.5035053
2.34021E-10	46.0606869
2.36004E-10	45.8823682
2.43079E-10	45.2709399
2.50370E-10	44.6696671
2.52492E-10	44.5014672
2.57875E-10	44.0780303
2.63377E-10	43.6620782
2.65610E-10	43.4945838
2.73572E-10	42.9207132
2.74731E-10	42.8404195
2.81777E-10	42.3561608
2.86575E-10	42.0392824
2.90224E-10	41.8001557
2.98929E-10	41.2520126
3.07890E-10	40.7140247
3.11816E-10	40.4875223
3.17125E-10	40.1835773
3.25258E-10	39.7362433
3.26631E-10	39.6612889
3.36428E-10	39.1474786
3.39280E-10	39.0037723
3.46513E-10	38.6420739
3.53906E-10	38.2868872
3.56906E-10	38.1438687
3.67605E-10	37.6539674
3.70721E-10	37.5168877
3.78631E-10	37.1717437
3.88342E-10	36.7647517
3.89981E-10	36.6966012
4.01678E-10	36.2294693
4.06793E-10	36.0332654
4.13719E-10	35.7696943
4.26128E-10	35.3161393
4.38901E-10	34.8712559
4.46374E-10	34.6212951
4.52066E-10	34.4323649
4.65617E-10	34.0004354
4.67591E-10	33.9400088
4.79583E-10	33.5758632
4.91883E-10	33.2172095
4.93959E-10	33.1571611
5.08775E-10	32.7457292
5.17437E-10	32.5147581
5.24026E-10	32.3404655
5.39744E-10	31.9413185
5.44319E-10	31.8297627
5.55923E-10	31.5490596
5.72598E-10	31.1618403
5.89762E-10	30.782159
6.02346E-10	30.5149403
6.07452E-10	30.4073641
6.25661E-10	30.0391497
6.36313E-10	29.8323771
6.44427E-10	29.6761376
6.63744E-10	29.3191486
6.72208E-10	29.1690133
6.83653E-10	28.9676084
7.04146E-10	28.6215058
7.10115E-10	28.5247506
7.25267E-10	28.2811278
7.47007E-10	27.945684
7.53340E-10	27.851904
7.69413E-10	27.6158439
7.92477E-10	27.2908028
7.99195E-10	27.1999479
8.16247E-10	26.971181
8.40715E-10	26.6562213
8.47842E-10	26.5681892
8.65932E-10	26.346546
8.91889E-10	26.0414302
9.03262E-10	25.9131603
9.18641E-10	25.7411121
9.46178E-10	25.4455913
9.62287E-10	25.2797323
9.74558E-10	25.1544089
1.00377E-09	24.8682307
1.02952E-09	24.6263085
1.03388E-09	24.5856271
1.06487E-09	24.3085419
1.09681E-09	24.0346297
1.10144E-09	23.9965492
1.12969E-09	23.7660702
1.16357E-09	23.5009292
1.18338E-09	23.3522385
1.19845E-09	23.2400594
1.23440E-09	22.983432
1.27140E-09	22.7300861
1.30954E-09	22.4817108
1.34879E-09	22.236553
1.37176E-09	22.0990081
1.38925E-09	21.995085
1.43089E-09	21.7578504
1.47381E-09	21.5234154
1.48003E-09	21.4908284
1.51799E-09	21.2935948
1.56352E-09	21.0667725
1.60362E-09	20.8752408
1.61039E-09	20.843165
1.65869E-09	20.6237556
1.70841E-09	20.4072348
