TOF,usX	Sigma,barn
14.68	456.973
14.72	452.209
14.76	447.479
14.8	442.782
14.84	438.119
14.88	433.489
14.92	428.893
14.96	424.329
15	419.799
15.04	415.301
15.08	410.836
15.12	406.403
15.16	402.003
15.2	397.635
15.24	393.299
15.28	388.996
15.32	384.724
15.36	380.485
15.4	376.277
15.44	372.1
15.48	367.955
15.52	363.842
15.56	359.76
15.6	355.709
15.64	351.689
15.68	347.7
15.72	343.741
15.76	339.814
15.8	335.916
15.84	332.05
15.88	328.213
15.92	324.407
15.96	320.631
16	316.885
16.04	313.168
16.08	309.482
16.12	305.825
16.16	302.197
16.2	298.599
16.24	295.03
16.28	291.49
16.32	287.979
16.36	284.497
16.4	281.044
16.44	277.62
16.48	274.223
16.52	270.856
16.56	267.516
16.6	264.205
16.64	260.922
16.68	257.667
16.72	254.439
16.76	251.24
16.8	248.068
16.84	244.923
16.88	241.805
16.92	238.715
16.96	235.652
17	232.616
17.04	229.607
17.08	226.624
17.12	223.668
17.16	220.739
17.2	217.836
17.24	214.959
17.28	212.108
17.32	209.284
17.36	206.485
17.4	203.712
17.44	200.965
17.48	198.243
17.52	195.547
17.56	192.876
17.6	190.23
17.64	187.61
17.68	185.014
17.72	182.443
17.76	179.897
17.8	177.375
17.84	174.878
17.88	172.405
17.92	169.956
17.96	167.532
18	165.131
18.04	162.755
18.08	160.402
18.12	158.073
18.16	155.767
18.2	153.485
18.24	151.226
18.28	148.99
18.32	146.777
18.36	144.588
18.4	142.421
18.44	140.276
18.48	138.154
18.52	136.055
18.56	133.978
18.6	131.923
18.64	129.891
18.68	127.88
18.72	125.891
18.76	123.924
18.8	121.978
18.84	120.054
18.88	118.152
18.92	116.27
18.96	114.41
19	112.571
19.04	110.752
19.08	108.955
19.12	107.178
19.16	105.422
19.2	103.686
19.24	101.97
19.28	100.275
19.32	98.5995
19.36	96.9441
19.4	95.3085
19.44	93.6927
19.48	92.0964
19.52	90.5196
19.56	88.9622
19.6	87.424
19.64	85.9049
19.68	84.4048
19.72	82.9236
19.76	81.4611
19.8	80.0173
19.84	78.592
19.88	77.1851
19.92	75.7965
19.96	74.4261
20	73.0736
20.04	71.7391
20.08	70.4225
20.12	69.1234
20.16	67.842
20.2	66.578
20.24	65.3314
20.28	64.102
20.32	62.8896
20.36	61.6942
20.4	60.5157
20.44	59.3539
20.48	58.2088
20.52	57.0801
20.56	55.9678
20.6	54.8717
20.64	53.7919
20.68	52.728
20.72	51.68
20.76	50.6478
20.8	49.6313
20.84	48.6302
20.88	47.6447
20.92	46.6744
20.96	45.7193
21	44.7793
21.04	43.8542
21.08	42.944
21.12	42.0485
21.16	41.1675
21.2	40.3011
21.24	39.449
21.28	38.6111
21.32	37.7873
21.36	36.9775
21.4	36.1817
21.44	35.3995
21.48	34.631
21.52	33.876
21.56	33.1345
21.6	32.4062
21.64	31.691
21.68	30.9889
21.72	30.2998
21.76	29.6234
21.8	28.9597
21.84	28.3086
21.88	27.67
21.92	27.0436
21.96	26.4295
22	25.8274
22.04	25.2374
22.08	24.6592
22.12	24.0927
22.16	23.5378
