E(MeV)	"1-H-WTR(N,TOT),,SIG"
1.657E-06	45.94
1.775E-06	45.88
1.818E-06	45.86
1.821E-06	45.86
1.966E-06	45.79
2.010E-06	45.77
2.128E-06	45.72
2.169E-06	45.70
2.171E-06	45.70
2.203E-06	45.69
2.290E-06	45.65
2.358E-06	45.62
2.419E-06	45.59
2.524E-06	45.55
2.559E-06	45.54
2.603E-06	45.52
2.642E-06	45.50
2.712E-06	45.47
2.829E-06	45.43
2.879E-06	45.41
2.994E-06	45.37
3.062E-06	45.34
3.142E-06	45.32
3.169E-06	45.31
3.263E-06	45.27
3.431E-06	45.22
3.473E-06	45.20
3.484E-06	45.20
3.633E-06	45.15
3.729E-06	45.12
3.765E-06	45.11
3.888E-06	45.08
4.001E-06	45.05
4.176E-06	45.00
4.210E-06	44.99
4.303E-06	44.96
4.525E-06	44.91
4.559E-06	44.90
4.640E-06	44.88
4.880E-06	44.83
5.006E-06	44.80
5.020E-06	44.80
5.405E-06	44.72
5.447E-06	44.71
5.451E-06	44.71
5.918E-06	44.63
5.932E-06	44.63
5.998E-06	44.62
6.338E-06	44.57
6.459E-06	44.56
6.484E-06	44.55
7.102E-06	44.48
7.117E-06	44.48
7.212E-06	44.47
7.774E-06	44.42
7.777E-06	44.42
7.848E-06	44.41
8.615E-06	44.36
8.689E-06	44.36
8.697E-06	44.36
9.334E-06	44.33
9.692E-06	44.32
9.762E-06	44.32
1.039E-05	44.31
1.087E-05	44.30
1.106E-05	44.30
1.115E-05	44.30
1.225E-05	44.30
1.227E-05	44.30
1.246E-05	44.30
1.355E-05	44.31
1.388E-05	44.31
1.397E-05	44.31
1.495E-05	44.32
1.604E-05	44.33
1.609E-05	44.33
1.636E-05	44.33
1.794E-05	44.33
1.952E-05	44.32
2.149E-05	44.29
2.369E-05	44.23
2.519E-05	44.18
2.828E-05	44.08
3.093E-05	44.00
3.299E-05	43.95
3.709E-05	43.93
3.898E-05	43.95
4.462E-05	44.11
4.675E-05	44.18
5.342E-05	44.30
5.712E-05	44.28
6.398E-05	44.00
7.135E-05	44.00
7.729E-05	44.00
8.582E-05	44.00
9.323E-05	44.00
9.807E-05	44.00
1.121E-04	44.00
1.220E-04	44.00
1.340E-04	43.99
1.559E-04	43.99
1.607E-04	43.99
1.934E-04	43.99
2.296E-04	43.98
4.696E-04	43.95
5.709E-04	43.94
6.890E-04	43.92
3.500E-01	19.87
4.600E-01	17.41
9.700E-01	13.28
1.000E+00	13.07
1.600E+00	8.26
2.000E+00	6.80
2.600E+00	6.21
3.000E+00	5.64
