E(MeV)	Si-nat			
3.671380E-03	2.05426			
4.130300E-03	2.04886			
4.411650E-03	2.04561			
4.540300E-03	2.06306			
4.845800E-03	2.10468			
4.859400E-03	2.10652			
4.876900E-03	2.11243			
4.884670E-03	2.11505			
4.901200E-03	2.12063			
4.903140E-03	2.1213			
4.904110E-03	2.12164			
4.905080E-03	2.12199			
4.906060E-03	2.12235			
4.906790E-03	2.12263			
4.907510E-03	2.12293			
4.908360E-03	2.12328			
4.909070E-03	2.1236			
4.909780E-03	2.12392			
4.910850E-03	2.12443			
4.911920E-03	2.12495			
4.912990E-03	2.12549			
4.913700E-03	2.12587			
4.914410E-03	2.12626			
4.915130E-03	2.12667			
4.915660E-03	2.12699			
4.916190E-03	2.12733			
4.916730E-03	2.1277			
4.917260E-03	2.1281			
4.917800E-03	2.12853			
4.918330E-03	2.12899			
4.918870E-03	2.12949			
4.919400E-03	2.13003			
4.919970E-03	2.13022			
4.920540E-03	2.13046			
4.921120E-03	2.13073			
4.921880E-03	2.13114			
4.923980E-03	2.13234			
4.924740E-03	2.13273			
4.925500E-03	2.13307			
4.926160E-03	2.1333			
4.926830E-03	2.13347			
4.927490E-03	2.13356			
4.927950E-03	2.13357			
4.928150E-03	2.13385			
4.928810E-03	2.1347			
4.929480E-03	2.13545			
4.929810E-03	2.13579			
4.930470E-03	2.13639			
4.931040E-03	2.13683			
4.931750E-03	2.13729			
4.932460E-03	2.13764			
4.933170E-03	2.13791			
4.933650E-03	2.13806			
4.934600E-03	2.13828			
4.936500E-03	2.13865			
4.937450E-03	2.13889			
4.938160E-03	2.13911			
4.938800E-03	2.13935			
4.939400E-03	2.13961			
4.940000E-03	2.1399			
4.940600E-03	2.14023			
4.941200E-03	2.14058			
4.942000E-03	2.14109			
4.942800E-03	2.14163			
4.943020E-03	2.14178			
4.944000E-03	2.14536			
4.945200E-03	2.1498			
4.946400E-03	2.15426			
4.947100E-03	2.15688			
4.947200E-03	2.15768			
4.948000E-03	2.16408			
4.948600E-03	2.1689			
4.949200E-03	2.17374			
4.949800E-03	2.17861			
4.950400E-03	2.1835			
4.951000E-03	2.18842			
4.951480E-03	2.19242			
4.952050E-03	2.19713			
4.952620E-03	2.20188			
4.953190E-03	2.20664			
4.953760E-03	2.21143			
4.954330E-03	2.21624			
4.955180E-03	2.22348			
4.955250E-03	2.22407			
4.956030E-03	2.23219			
4.956890E-03	2.24106			
4.957460E-03	2.247			
4.958020E-03	2.25297			
4.958310E-03	2.25594			
4.958450E-03	2.25819			
4.958880E-03	2.2648			
4.959300E-03	2.27145			
4.959730E-03	2.27815			
4.959830E-03	2.27979			
4.960160E-03	2.28768			
4.960440E-03	2.29466			
4.960730E-03	2.30167			
4.961010E-03	2.30872			
4.961300E-03	2.31581			
4.961360E-03	2.3175			
4.961580E-03	2.32547			
4.961860E-03	2.33595			
4.962150E-03	2.34649			
4.962380E-03	2.35516			
4.962430E-03	2.35775			
4.962720E-03	2.37206			
4.963000E-03	2.38644			
4.963290E-03	2.4009			
4.963400E-03	2.40672			
4.963570E-03	2.41822			
4.963850E-03	2.43751			
4.964140E-03	2.45688			
4.964420E-03	2.47634			
4.964440E-03	2.47731			
4.964710E-03	2.50068			
4.964990E-03	2.52538			
4.965220E-03	2.54488			
4.965280E-03	2.55129			
4.965560E-03	2.58133			
4.965850E-03	2.61151			
4.965990E-03	2.62735			
4.966130E-03	2.64465			
4.966410E-03	2.681			
4.966700E-03	2.71753			
4.966770E-03	2.72701			
4.966980E-03	2.75909			
4.967270E-03	2.80255			
4.967550E-03	2.84599			
4.967550E-03	2.84627			
4.967840E-03	2.89714			
4.968120E-03	2.94826			
4.968330E-03	2.98582			
4.968400E-03	3.00151			
4.968690E-03	3.0601			
4.968970E-03	3.11898			
4.969110E-03	3.14662			
4.969260E-03	3.18098			
4.969540E-03	3.24611			
4.969620E-03	3.26472			
4.969830E-03	3.31549			
4.970120E-03	3.3866			
