E(MeV)	pendfb7/Pd104:1	
1.00000000E-11	59.949541	
1.02999000E-11	59.0808185	
1.03434000E-11	58.9602974	
1.06087000E-11	58.2252571	
1.06986000E-11	57.9870154	
1.09269000E-11	57.3820034	
1.10660000E-11	57.0293843	
1.12544000E-11	56.5517896	
1.14461000E-11	56.0871156	
1.15920000E-11	55.7334592	
1.15929000E-11	55.7313296	
1.18391000E-11	55.1604875	
1.19395000E-11	54.9276989	
1.19404000E-11	54.9256619	
1.22457000E-11	54.2485926	
1.22976000E-11	54.133493	
1.22985000E-11	54.1315447	
1.26662000E-11	53.3515641	
1.26672000E-11	53.3494939	
1.30462000E-11	52.5806689	
1.30471000E-11	52.5788866	
1.31012000E-11	52.4739047	
1.34372000E-11	51.8218909	
1.34382000E-11	51.8199969	
1.35511000E-11	51.6105011	
1.38403000E-11	51.0738651	
1.38413000E-11	51.0720539	
1.40165000E-11	50.7611012	
1.42552000E-11	50.3374457	
1.42562000E-11	50.3357132	
1.44979000E-11	49.9254032	
1.46827000E-11	49.6116867	
1.46838000E-11	49.6098642	
1.49957000E-11	49.1035079	
1.51229000E-11	48.8970041	
1.51240000E-11	48.8952609	
1.55107000E-11	48.2947767	
1.55765000E-11	48.1925997	
1.55776000E-11	48.1909326	
1.60434000E-11	47.499221	
1.60446000E-11	47.4974816	
1.65246000E-11	46.815723	
1.65258000E-11	46.8140594	
1.65943000E-11	46.7210093	
1.70199000E-11	46.1428761	
1.70212000E-11	46.1411526	
1.71642000E-11	45.9553956	
1.75304000E-11	45.4797019	
1.75318000E-11	45.4779268	
1.77537000E-11	45.2022378	
1.80559000E-11	44.826784	
1.80573000E-11	44.8250865	
1.83633000E-11	44.4615195	
1.85975000E-11	44.1832601	
1.85989000E-11	44.1816366	
1.89940000E-11	43.7326877	
1.91550000E-11	43.5497447	
1.91564000E-11	43.548192	
1.96463000E-11	43.0158363	
1.97295000E-11	42.925426	
1.97310000E-11	42.9238351	
2.03209000E-11	42.3107936	
2.03225000E-11	42.3091709	
2.09305000E-11	41.7049399	
2.09320000E-11	41.703485	
2.10188000E-11	41.6209936	
2.15579000E-11	41.1086535	
2.15595000E-11	41.1071694	
2.17406000E-11	40.9425689	
2.22045000E-11	40.5209334	
2.22062000E-11	40.5194254	
2.24872000E-11	40.2752007	
2.28701000E-11	39.9424118	
2.28718000E-11	39.9409698	
2.32595000E-11	39.6187365	
2.35561000E-11	39.3722202	
2.35578000E-11	39.3708413	
2.40582000E-11	38.9731362	
2.42622000E-11	38.8110022	
2.42640000E-11	38.809606	
2.48844000E-11	38.3380821	
2.49899000E-11	38.2578987	
2.49918000E-11	38.2564894	
2.57390000E-11	37.7134343	
2.57409000E-11	37.7120866	
2.65110000E-11	37.176914	
2.65130000E-11	37.1755575	
2.66229000E-11	37.1025246	
2.73057000E-11	36.6487765	
2.73078000E-11	36.6474146	
2.75372000E-11	36.5016474	
2.81247000E-11	36.1283332	
2.81269000E-11	36.1269689	
2.84829000E-11	35.910662	
2.89678000E-11	35.6160349	
2.89700000E-11	35.6147304	
2.94610000E-11	35.3294724	
2.98367000E-11	35.1112006	
2.98389000E-11	35.1099533	
3.04728000E-11	34.7578222	
3.07311000E-11	34.6143366	
3.07334000E-11	34.6130898	
3.15192000E-11	34.1956955	
3.16528000E-11	34.1247311	
3.16552000E-11	34.1234871	
3.26017000E-11	33.6428034	
3.26041000E-11	33.6416139	
3.35795000E-11	33.1679684	
3.35821000E-11	33.1667364	
3.37213000E-11	33.1021092	
3.45861000E-11	32.7006032	
3.45887000E-11	32.6994253	
3.48793000E-11	32.5704319	
3.56235000E-11	32.2400914	
3.56262000E-11	32.2389219	
3.60771000E-11	32.0475563	
3.66913000E-11	31.7868847	
3.66941000E-11	31.7857252	
3.73160000E-11	31.5333955	
3.77919000E-11	31.3403038	
3.77947000E-11	31.3391953	
3.85975000E-11	31.0282182	
3.89247000E-11	30.9014722	
3.90897000E-11	30.8391117	
3.90927000E-11	30.8379779	
3.99230000E-11	30.5313802	
4.00923000E-11	30.4688643	
4.04321000E-11	30.3464483	
4.04352000E-11	30.3453315	
4.12941000E-11	30.0429881	
4.18206000E-11	29.8621822	
4.18238000E-11	29.8610833	
4.25327000E-11	29.6231929	
4.27122000E-11	29.5644363	
4.32568000E-11	29.3861697	
4.32601000E-11	29.3850895	
4.38076000E-11	29.2099481	
4.41790000E-11	29.0940688	
4.47423000E-11	28.9183154	
4.47457000E-11	28.9172546	
4.51216000E-11	28.8026286	
4.56962000E-11	28.6317452	
4.62788000E-11	28.4584827	
4.62823000E-11	28.4574418	
4.64742000E-11	28.4016602	
4.72654000E-11	28.1773747	
4.78681000E-11	28.0065242	
4.78717000E-11	28.0055286	
4.88886000E-11	27.7307671	
4.93030000E-11	27.6187983	
4.95120000E-11	27.5637084	
4.95157000E-11	27.5627331	
5.05675000E-11	27.2918639	
5.07818000E-11	27.2366753	
5.12123000E-11	27.1285273	
5.12162000E-11	27.1275476	
5.23041000E-11	26.8605111	
5.29710000E-11	26.7008405	
5.29750000E-11	26.6998828	
5.38729000E-11	26.4898131	
5.41003000E-11	26.4379258	
5.47901000E-11	26.28053	
5.47943000E-11	26.2795717	
5.54878000E-11	26.1249315	
5.59582000E-11	26.0226407	
5.66717000E-11	25.8674867	
5.66760000E-11	25.8665516	
5.71521000E-11	25.7653684	
5.78799000E-11	25.6145406	
5.86179000E-11	25.461599	
5.86223000E-11	25.4606872	
5.88653000E-11	25.411466	
5.98676000E-11	25.2135191	
6.06310000E-11	25.0627533	
6.06355000E-11	25.0618863	
6.19235000E-11	24.8194728	
6.24484000E-11	24.7206818	
6.27131000E-11	24.6720896	
6.27178000E-11	24.6712267	
6.40501000E-11	24.432275	
6.43215000E-11	24.3835987	
6.48668000E-11	24.2882114	
6.48717000E-11	24.2873543	
6.62496000E-11	24.0518476	
6.70944000E-11	23.9110405	
6.70995000E-11	23.9101905	
6.82368000E-11	23.7249604	
6.85248000E-11	23.6792212	
6.93985000E-11	23.540463	
6.94038000E-11	23.5396213	
7.02822000E-11	23.4032916	
7.08780000E-11	23.3131342	
7.17818000E-11	23.1763699	
7.17872000E-11	23.1755527	
7.23903000E-11	23.0863605	
7.39335000E-11	22.8638632	
7.42469000E-11	22.8186775	
7.42525000E-11	22.8178701	
7.45603000E-11	22.7744946	
7.67967000E-11	22.467273	
7.68024000E-11	22.4665093	
7.71208000E-11	22.4248358	
7.90987000E-11	22.1659603	
7.94340000E-11	22.1231646	
7.94400000E-11	22.1223988	
8.04454000E-11	21.9970278	
8.14712000E-11	21.8691129	
8.21619000E-11	21.7851298	
