E(MeV)	pendfb7/Zn:1
1.74982E-05	4.20966
1.92900E-05	4.20486
1.98343E-05	4.20348
2.09694E-05	4.20061
2.24779E-05	4.19694
2.40995E-05	4.19312
2.58332E-05	4.18919
2.61977E-05	4.18836
2.88746E-05	4.18252
3.18313E-05	4.17632
3.46026E-05	4.17069
3.81384E-05	4.16371
3.89455E-05	4.16216
4.14587E-05	4.15732
4.50681E-05	4.15052
4.89918E-05	4.14327
5.17955E-05	4.13818
5.32570E-05	4.13553
5.86966E-05	4.12583
6.46944E-05	4.11531
6.91622E-05	4.10758
7.54182E-05	4.09688
7.62294E-05	4.09549
7.75462E-05	4.09327
8.28660E-05	4.08428
9.00803E-05	4.07223
9.65792E-05	4.06147
9.90658E-05	4.0574
9.92604E-05	4.05708
9.93383E-05	4.05695
9.94161E-05	4.05682
9.94745E-05	4.05673
9.95329E-05	4.05663
9.95913E-05	4.05653
9.96302E-05	4.05647
9.96691E-05	4.05641
9.97081E-05	4.05634
9.97470E-05	4.05628
9.97859E-05	4.05622
9.98248E-05	4.05615
9.98638E-05	4.05609
9.99027E-05	4.05602
9.99611E-05	4.05593
1.00055E-04	4.05577
1.00099E-04	4.0557
1.00132E-04	4.05565
1.00160E-04	4.0556
1.00187E-04	4.05556
1.00209E-04	4.05552
1.00231E-04	4.05548
1.00254E-04	4.05545
1.00270E-04	4.05542
1.00287E-04	4.05539
1.00303E-04	4.05537
1.00320E-04	4.05534
1.00336E-04	4.05531
1.00353E-04	4.05529
1.00369E-04	4.05526
1.00386E-04	4.05523
1.00397E-04	4.05521
1.00408E-04	4.0552
1.00419E-04	4.05518
1.00430E-04	4.05516
1.00441E-04	4.05514
1.00452E-04	4.05512
1.00463E-04	4.05511
1.00474E-04	4.05509
1.00485E-04	4.05507
1.00496E-04	4.05505
1.00507E-04	4.05503
1.00518E-04	4.05502
1.00529E-04	4.055
1.00540E-04	4.05498
1.00551E-04	4.05496
1.00562E-04	4.05494
1.00573E-04	4.05492
1.00584E-04	4.05491
1.00592E-04	4.05489
1.00601E-04	4.05488
1.00609E-04	4.05487
1.00617E-04	4.05485
1.00626E-04	4.05484
1.00634E-04	4.05483
1.00642E-04	4.05481
1.00650E-04	4.0548
1.00659E-04	4.05478
1.00667E-04	4.05477
1.00675E-04	4.05476
1.00683E-04	4.05474
1.00692E-04	4.05473
1.00700E-04	4.05472
1.00708E-04	4.0547
1.00716E-04	4.05469
1.00725E-04	4.05468
1.00733E-04	4.05466
1.00741E-04	4.05465
1.00750E-04	4.05464
1.00758E-04	4.05462
1.00766E-04	4.05461
1.00774E-04	4.05459
1.00783E-04	4.05458
1.00791E-04	4.05457
1.00799E-04	4.05455
1.00807E-04	4.05454
1.00816E-04	4.05453
1.00824E-04	4.05451
1.00827E-04	4.05451
1.00838E-04	4.05449
1.00882E-04	4.05442
1.01058E-04	4.05413
1.01411E-04	4.05355
1.02822E-04	4.05124
1.03527E-04	4.05008
1.10996E-04	4.03796
1.16360E-04	4.02932
1.23019E-04	4.01871
1.28275E-04	4.01042
1.33729E-04	4.0019
1.38720E-04	3.9942
1.43880E-04	3.98635
1.47320E-04	3.98119
1.50760E-04	3.97611
1.54200E-04	3.97112
1.57640E-04	3.96622
1.61080E-04	3.96145
1.65380E-04	3.9557
1.67960E-04	3.95239
1.70540E-04	3.94922
1.73120E-04	3.9462
1.75700E-04	3.94338
1.77420E-04	3.94163
1.78280E-04	3.94082
1.79140E-04	3.9408
1.80860E-04	3.94091
1.82580E-04	3.94118
1.83440E-04	3.94138
1.85160E-04	3.94196
1.86880E-04	3.94278
1.87740E-04	3.94332
1.88170E-04	3.94445
1.89460E-04	3.94802
1.90750E-04	3.95182
1.92040E-04	3.95589
1.93330E-04	3.96028
1.94620E-04	3.96503
1.95480E-04	3.96844
1.96340E-04	3.97208
1.97200E-04	3.97991
1.98060E-04	3.98802
1.98920E-04	3.99647
1.99780E-04	4.00529
2.00640E-04	4.01455
2.01500E-04	4.02432
2.02360E-04	4.04057
2.03113E-04	4.05535
2.03865E-04	4.07078
2.04510E-04	4.08461
2.04617E-04	4.08789
2.05182E-04	4.10566
2.05746E-04	4.12396
2.06311E-04	4.14288
2.06768E-04	4.15876
2.06875E-04	4.16368
2.07439E-04	4.19031
2.08004E-04	4.21786
2.08273E-04	4.23149
2.08563E-04	4.25029
2.09111E-04	4.287
2.09659E-04	4.32508
2.09777E-04	4.33358
2.10025E-04	4.35597
2.10390E-04	4.38987
2.10756E-04	4.42466
2.10928E-04	4.4415
2.11121E-04	4.46532
2.11454E-04	4.50732
2.11906E-04	4.56596
2.12121E-04	4.59479
2.12207E-04	4.60901
2.12508E-04	4.6599
2.12809E-04	4.71205
2.12917E-04	4.73118
2.13110E-04	4.77248
2.13411E-04	4.83832
2.13712E-04	4.90594
2.14067E-04	5.0047
2.14303E-04	5.07234
2.14421E-04	5.10699
2.14540E-04	5.14751
2.14776E-04	5.2304
2.14895E-04	5.27287
2.15013E-04	5.32147
2.15249E-04	5.42097
2.15367E-04	5.47202
2.15486E-04	5.53068
2.15701E-04	5.63986
2.15819E-04	5.70134
2.15894E-04	5.74637
2.16088E-04	5.86461
2.16249E-04	5.96543
2.16281E-04	5.98833
2.16475E-04	6.12875
2.16571E-04	6.20068
2.16668E-04	6.28134
2.16862E-04	6.44654
2.16894E-04	6.4748
2.17055E-04	6.63405
2.17217E-04	6.79719
2.17227E-04	6.80947
2.17378E-04	6.98497
2.17507E-04	7.13861
2.17528E-04	7.1674
2.17679E-04	7.37311
2.17781E-04	7.51584
2.17829E-04	7.59202
2.17980E-04	7.83422
2.18055E-04	7.95824
2.18130E-04	8.09567
2.18238E-04	8.29668
2.18281E-04	8.38438
2.18415E-04	8.6647
2.18421E-04	8.67623
2.18592E-04	9.07917
2.18603E-04	9.10502
2.18711E-04	9.3887
2.18786E-04	9.59153
2.18829E-04	9.71856
2.18947E-04	10.0753
2.19066E-04	10.4741
2.19109E-04	10.6225
2.19184E-04	10.9074
2.19270E-04	11.2406
2.19302E-04	11.3782
2.19399E-04	11.7999
2.19431E-04	11.9434
2.19496E-04	12.2606
2.19592E-04	12.7461
2.19689E-04	13.2865
2.19700E-04	13.3479
2.19786E-04	13.8752
2.19807E-04	14.01
2.19883E-04	14.5179
2.19915E-04	14.7405
2.19979E-04	15.221
2.20022E-04	15.5488
2.20076E-04	15.9919
2.20130E-04	16.4467
2.20189E-04	16.989
2.20237E-04	17.4456
2.20302E-04	18.1072
2.20345E-04	18.5591
2.20377E-04	18.9285
2.20452E-04	19.8076
