E(MeV)	pendfb7/Gd152:1	
8.329E-10	4416.68899	
8.407E-10	4396.99759	
8.659E-10	4336.47648	
8.873E-10	4287.38032	
8.919E-10	4276.8589	
9.186E-10	4218.13347	
9.462E-10	4160.26764	
9.493E-10	4154.00537	
9.746E-10	4103.27512	
1.004E-09	4047.12926	
1.016E-09	4025.34823	
1.034E-09	3991.80135	
1.065E-09	3937.32646	
1.091E-09	3893.11114	
1.097E-09	3883.60199	
1.130E-09	3830.74962	
1.164E-09	3778.60994	
1.168E-09	3771.37618	
1.172E-09	3765.71408	
1.198E-09	3727.30702	
1.209E-09	3713.00985	
1.234E-09	3676.72235	
1.250E-09	3655.55051	
1.265E-09	3635.68928	
1.271E-09	3626.89659	
1.293E-09	3599.04119	
1.310E-09	3577.82214	
1.337E-09	3543.43558	
1.349E-09	3529.47131	
1.370E-09	3503.92474	
1.383E-09	3488.71487	
1.389E-09	3481.81541	
1.431E-09	3434.90914	
1.474E-09	3388.63912	
1.480E-09	3382.21944	
1.485E-09	3377.19597	
1.518E-09	3343.11329	
1.531E-09	3330.42771	
1.564E-09	3298.22679	
1.583E-09	3279.44208	
1.610E-09	3254.00329	
1.616E-09	3249.21918	
1.638E-09	3229.27817	
1.659E-09	3210.45226	
1.694E-09	3179.94328	
1.708E-09	3167.55368	
1.752E-09	3131.37099	
1.760E-09	3125.23788	
1.765E-09	3120.68754	
1.812E-09	3083.61687	
1.867E-09	3042.57096	
1.875E-09	3036.87788	
1.923E-09	3002.13265	
1.937E-09	2992.1268	
1.939E-09	2990.86136	
1.980E-09	2962.29953	
2.006E-09	2945.63803	
2.040E-09	2923.07627	
2.074E-09	2901.11465	
2.101E-09	2884.38718	
2.135E-09	2863.95882	
2.146E-09	2857.29117	
2.164E-09	2846.30287	
2.219E-09	2814.21526	
2.229E-09	2808.77646	
2.296E-09	2771.80714	
2.362E-09	2736.52441	
2.364E-09	2735.34344	
2.374E-09	2730.29443	
2.435E-09	2699.48532	
2.456E-09	2689.48945	
2.508E-09	2664.11752	
2.540E-09	2649.31654	
2.584E-09	2629.27421	
2.625E-09	2610.86689	
2.628E-09	2609.76774	
2.661E-09	2594.93562	
2.718E-09	2570.90254	
2.741E-09	2561.1423	
2.811E-09	2532.64214	
2.823E-09	2527.81096	
2.908E-09	2494.97492	
2.942E-09	2482.23919	
2.995E-09	2462.62438	
3.008E-09	2458.14043	
3.085E-09	2430.77954	
3.111E-09	2421.90287	
3.177E-09	2399.3709	
3.218E-09	2386.22724	
3.272E-09	2368.42936	
3.325E-09	2352.08353	
3.328E-09	2351.10751	
3.371E-09	2337.93711	
3.442E-09	2316.59679	
3.472E-09	2307.93011	
3.561E-09	2282.62391	
3.576E-09	2278.3345	
3.683E-09	2249.17958	
3.774E-09	2225.52047	
3.793E-09	2220.43293	
3.809E-09	2216.45178	
3.907E-09	2192.15814	
3.940E-09	2184.27685	
4.024E-09	2164.27179	
4.076E-09	2152.6025	
4.145E-09	2136.80102	
4.216E-09	2121.42138	
4.269E-09	2109.70686	
4.320E-09	2099.22073	
4.360E-09	2090.7405	
4.397E-09	2083.04611	
4.510E-09	2060.57976	
4.529E-09	2056.77169	
4.665E-09	2030.88951	
4.805E-09	2005.36276	
4.825E-09	2001.82207	
4.949E-09	1980.21639	
4.991E-09	1973.20687	
5.007E-09	1970.46368	
5.097E-09	1955.44291	
5.162E-09	1945.08445	
5.250E-09	1931.05799	
5.340E-09	1917.40668	
5.408E-09	1907.00846	
5.523E-09	1890.16038	
5.570E-09	1883.31803	
5.713E-09	1863.33919	
5.737E-09	1859.95271	
5.854E-09	1844.32439	
5.909E-09	1836.94932	
6.086E-09	1814.29142	
6.112E-09	1811.14894	
6.268E-09	1791.9722	
6.322E-09	1785.75111	
