E(MeV)	pendfb7/Gd156:1
1.000000E-11	113.177611
1.029990E-11	111.530849
1.060750E-11	109.915205
1.060870E-11	109.908956
1.092550E-11	108.317281
1.092690E-11	108.310308
1.125320E-11	106.741962
1.125440E-11	106.736244
1.159050E-11	105.191363
1.159200E-11	105.184528
1.193810E-11	103.662705
1.193950E-11	103.656602
1.229600E-11	102.157165
1.229760E-11	102.150494
1.266480E-11	100.673086
1.266620E-11	100.667502
1.304450E-11	99.2119434
1.304620E-11	99.2054587
1.343570E-11	97.771677
1.343720E-11	97.7662033
1.383850E-11	96.3534862
1.384030E-11	96.3472041
1.425350E-11	94.9558526
1.425520E-11	94.9501777
1.468080E-11	93.5791839
1.468270E-11	93.5731163
1.512120E-11	92.2222566
1.512290E-11	92.2170646
1.557440E-11	90.8864611
1.557650E-11	90.8803258
1.604160E-11	89.569457
1.604340E-11	89.5644274
1.652240E-11	88.2730175
1.652460E-11	88.2671375
1.701800E-11	86.994809
1.701990E-11	86.9899516
1.752810E-11	85.7365992
1.753040E-11	85.7309759
1.805390E-11	84.4960201
1.805590E-11	84.4913426
1.859510E-11	83.2748319
1.859750E-11	83.2694637
1.915280E-11	82.0711377
1.915500E-11	82.0664312
1.972700E-11	80.8858061
1.972950E-11	80.8806904
2.031860E-11	79.7176526
2.032090E-11	79.713151
2.092770E-11	78.5674964
2.093050E-11	78.5622556
2.155540E-11	77.4338329
2.155790E-11	77.4293574
2.220160E-11	76.3175437
2.220450E-11	76.3125778
2.286750E-11	75.2173889
2.287010E-11	75.213131
2.355300E-11	74.1342138
2.355610E-11	74.1293582
2.425940E-11	73.0666868
2.426220E-11	73.0624924
2.498660E-11	72.015602
2.498990E-11	72.0108741
2.573610E-11	70.9795495
2.573900E-11	70.9755783
2.651100E-11	69.9557754
2.661990E-11	69.8169568
2.730570E-11	68.9515957
2.753410E-11	68.6735254
2.812470E-11	67.9617287
2.847970E-11	67.5489035
2.896780E-11	66.986983
2.945770E-11	66.4428631
2.983670E-11	66.0261104
3.046930E-11	65.3550333
3.073110E-11	65.0800611
3.151570E-11	64.2850489
3.165280E-11	64.1474982
3.259800E-11	63.2327886
3.260170E-11	63.229243
3.357950E-11	62.3253882
3.371740E-11	62.202399
3.458610E-11	61.4354534
3.487540E-11	61.1890317
3.562350E-11	60.5582101
3.607300E-11	60.1925223
3.669130E-11	59.6945318
3.731180E-11	59.212448
3.779190E-11	58.8431496
3.859320E-11	58.2485405
3.892470E-11	58.0049784
3.991850E-11	57.3007021
4.009230E-11	57.1787448
4.128940E-11	56.3685264
4.129410E-11	56.3653764
4.253270E-11	55.5647155
4.270740E-11	55.4557668
4.380760E-11	54.7765499
4.417400E-11	54.5583402
4.512160E-11	53.9996433
4.569100E-11	53.675805
4.647420E-11	53.2348025
4.726010E-11	52.8079381
4.786810E-11	52.4809672
4.888310E-11	51.9544894
4.930300E-11	51.7388301
5.056180E-11	51.1153134
5.078180E-11	51.0074069
5.229820E-11	50.2901138
5.230410E-11	50.28735
5.387290E-11	49.578677
5.409420E-11	49.4822467
5.548780E-11	48.8810746
5.595190E-11	48.6879679
5.715210E-11	48.19355
5.787330E-11	47.9069984
5.886530E-11	47.5167512
5.986080E-11	47.1390659
6.063100E-11	46.849732
6.191650E-11	46.3840153
6.244840E-11	46.1932
6.404280E-11	45.6416528
6.432150E-11	45.5461794
6.624220E-11	44.9117215
6.624960E-11	44.9093007
6.823680E-11	44.2825245
6.851700E-11	44.1972866
7.028220E-11	43.6656487
7.087000E-11	43.4949245
7.239030E-11	43.057725
7.330380E-11	42.8043985
7.456030E-11	42.4593765
7.582120E-11	42.1255159
7.679670E-11	41.8697446
7.842500E-11	41.4581032
7.909870E-11	41.2894405
8.111820E-11	40.8020021
8.147120E-11	40.7176208
8.390400E-11	40.1569801
8.391340E-11	40.1548346
8.643040E-11	39.6010441
8.678540E-11	39.5257283
8.902120E-11	39.0560635
8.976570E-11	38.905271
9.169130E-11	38.5190753
9.284840E-11	38.2953388
9.443990E-11	37.9905995
9.603700E-11	37.6957817
9.727250E-11	37.4699164
9.933500E-11	37.1064126
1.001880E-10	36.9575179
1.027460E-10	36.5272235
1.031930E-10	36.4527475
1.062750E-10	35.957794
1.062870E-10	35.9558851
1.094750E-10	35.4670882
1.099240E-10	35.4007188
1.127560E-10	34.9861782
1.136990E-10	34.8531519
1.161390E-10	34.5122751
1.176040E-10	34.3149893
1.196200E-10	34.046263
1.221560E-10	33.7204532
1.232080E-10	33.5867391
1.268870E-10	33.136125
1.269010E-10	33.1344282
1.307070E-10	32.6899904
1.317980E-10	32.5672153
1.346260E-10	32.2523938
1.369020E-10	32.0081796
1.386640E-10	31.8211196
1.422010E-10	31.4593405
1.428200E-10	31.3966899
1.471040E-10	30.9789721
1.477080E-10	30.9222111
1.515130E-10	30.5684553
1.534250E-10	30.3972049
1.560580E-10	30.1638722
1.593670E-10	29.8813306
1.607360E-10	29.7656531
1.655360E-10	29.3749552
1.655570E-10	29.3732634
1.705200E-10	28.9881529
1.719460E-10	28.8815471
1.756350E-10	28.6086588
1.786020E-10	28.3972201
1.808990E-10	28.2352157
1.855180E-10	27.921486
1.863250E-10	27.8672314
1.919110E-10	27.5055522
1.926990E-10	27.4564003
1.976670E-10	27.1497399
2.001610E-10	27.0014647
2.035920E-10	26.7995699
2.079090E-10	26.5549477
2.096990E-10	26.4545395
2.159600E-10	26.1163611
2.159850E-10	26.1150242
2.224630E-10	25.781474
2.243200E-10	25.6894001
2.291320E-10	25.4533533
2.339900E-10	25.2238843
2.360040E-10	25.1297978
2.430790E-10	24.8116295
2.440770E-10	24.7684114
2.503700E-10	24.498933
2.545990E-10	24.324589
2.578750E-10	24.1910042
2.655750E-10	23.8887709
2.656100E-10	23.8874117
2.735720E-10	23.5898504
2.770240E-10	23.4656526
2.817770E-10	23.296488
2.889660E-10	23.0502398
2.902240E-10	23.0076024
2.989290E-10	22.723683
3.014240E-10	22.645361
3.078900E-10	22.444542
3.144180E-10	22.2494214
3.171250E-10	22.16939
3.266310E-10	21.8990001
3.293620E-10	21.8242398
3.364280E-10	21.6330295
3.450110E-10	21.4095693
3.465130E-10	21.3708987
3.569060E-10	21.1134864
3.614100E-10	21.006159
3.676050E-10	20.8601823
3.785810E-10	20.6113779
3.786310E-10	20.6102567
3.899810E-10	20.3654968
3.965760E-10	20.2286815
4.016780E-10	20.1239842
4.137190E-10	19.886358
4.154180E-10	19.8541027
4.261280E-10	19.6530783
4.370000E-10	19.4568231
4.389010E-10	19.4228966
4.520660E-10	19.1970079
4.597030E-10	19.0709855
4.656170E-10	18.9744973
4.795830E-10	18.755429
4.835850E-10	18.6950611
4.939590E-10	18.5403347
5.087090E-10	18.3288344
5.087750E-10	18.3278986
5.240260E-10	18.1200514
5.374050E-10	17.9447685
5.397440E-10	17.9144764
5.559230E-10	17.7130908
5.677110E-10	17.5720515
5.725980E-10	17.5142423
5.897620E-10	17.3191155
5.997360E-10	17.2101308
6.074520E-10	17.12676
6.256610E-10	16.9376986
6.335560E-10	16.8589125
6.444270E-10	16.751664
6.637440E-10	16.5685507
6.721200E-10	16.4922502
6.836530E-10	16.3884067
7.041460E-10	16.2111252
7.130320E-10	16.1372614
7.252670E-10	16.0367083
7.470070E-10	15.865067
7.564340E-10	15.7935594
7.694130E-10	15.6962306
7.924770E-10	15.5300987
8.058790E-10	15.4373624
8.162470E-10	15.3664407
8.407150E-10	15.2056958
8.585410E-10	15.0932086
8.659320E-10	15.0471017
8.918890E-10	14.8916114
9.185210E-10	14.7383972
9.186410E-10	14.7377146
9.461780E-10	14.5873388
9.745580E-10	14.4385215
9.826910E-10	14.3975629
1.003771E-09	14.2926393
1.033879E-09	14.1487665
1.055800E-09	14.0481828
1.064871E-09	14.0070375
1.096811E-09	13.8679648
1.129689E-09	13.7305306
1.134329E-09	13.7119068
1.163573E-09	13.5958965
1.198452E-09	13.4630854
1.223863E-09	13.3701985
1.234399E-09	13.3321333
1.271402E-09	13.203838
1.309537E-09	13.0769314
1.326062E-09	13.0241429
1.348791E-09	12.9523832
1.389247E-09	12.8298187
1.430892E-09	12.7087348
1.436769E-09	12.6923331
1.473810E-09	12.5901628
1.517989E-09	12.4732384
1.563316E-09	12.3581205
1.563521E-09	12.3576058
1.610389E-09	12.2447189
1.658691E-09	12.1330997
1.708220E-09	12.0232786
1.708412E-09	12.0228577
1.759655E-09	11.9151237
1.812403E-09	11.8087416
1.866765E-09	11.7035553
1.874432E-09	11.6893211
1.922723E-09	11.6007316
1.980394E-09	11.4992564
2.039758E-09	11.3990594
2.065498E-09	11.35738
2.100939E-09	11.300665
2.163917E-09	11.2040159
2.228823E-09	11.1084833
2.285687E-09	11.0282024
2.295634E-09	11.01432
2.364490E-09	10.9221771
2.435368E-09	10.8312242
2.508415E-09	10.7413289
2.540070E-09	10.703965
2.583608E-09	10.6531785
2.661102E-09	10.5665114
2.740871E-09	10.4809725
2.823082E-09	10.3964352
2.846641E-09	10.373202
2.907706E-09	10.3136959
2.994921E-09	10.2322233
3.084697E-09	10.1518192
3.177221E-09	10.072367
3.203736E-09	10.0505336
3.272461E-09	9.994611
3.370617E-09	9.91805393
3.471655E-09	9.84251189
3.575785E-09	9.76787446
3.636191E-09	9.72636269
3.682973E-09	9.69459111
3.793441E-09	9.62269066
3.907154E-09	9.55175422
4.024346E-09	9.48167948
4.144980E-09	9.41253288
4.162005E-09	9.40317747
4.269306E-09	9.34492773
4.397283E-09	9.27835278
4.529177E-09	9.21259905
4.664944E-09	9.1477292
4.804866E-09	9.0836495
4.824601E-09	9.07498599
4.948897E-09	9.02108346
5.097336E-09	8.95940556
5.250134E-09	8.89856979
5.407609E-09	8.83848809
5.569708E-09	8.7792184
5.639993E-09	8.75458789
5.736768E-09	8.72107727
5.908733E-09	8.66403126
6.085962E-09	8.60770486
6.268395E-09	8.55215227
6.456412E-09	8.497293
6.649949E-09	8.44317992
6.677263E-09	8.43586114
6.849411E-09	8.39029133
7.054729E-09	8.33822894
7.266331E-09	8.28682886
7.484147E-09	8.23614064
7.708630E-09	8.18609107
7.939704E-09	8.13672854
8.039896E-09	8.11621989
8.177850E-09	8.0883223
8.422990E-09	8.04084308
8.675632E-09	7.99397562
8.935694E-09	7.94776501
9.203714E-09	7.9021452
9.479605E-09	7.85716025
9.763940E-09	7.81274545
9.887153E-09	7.79430605
1.005663E-08	7.76925072
1.035827E-08	7.72654528
1.066877E-08	7.68444758
1.098877E-08	7.64290118
1.131817E-08	7.60193759
1.165765E-08	7.5615019
1.200710E-08	7.52163326
1.236725E-08	7.48227365
1.241804E-08	7.47695557
1.273797E-08	7.44387024
1.312004E-08	7.40603693
1.351332E-08	7.36874533
1.391865E-08	7.3319418
1.433587E-08	7.295662
1.476587E-08	7.25985378
1.520849E-08	7.22455202
1.566466E-08	7.18970598
1.606432E-08	7.16046458
1.613423E-08	7.15542229
1.661816E-08	7.12200904
1.711631E-08	7.08908394
1.762970E-08	7.05659984
1.815817E-08	7.0245887
1.870281E-08	6.99300466
1.926345E-08	6.96187872
1.984125E-08	6.93116628
2.043601E-08	6.90089745
2.104897E-08	6.87102885
2.167994E-08	6.84158962
2.233022E-08	6.81253751
2.299959E-08	6.7839007
2.368945E-08	6.75563778
2.439956E-08	6.72777586
2.521407E-08	6.69729023
2.526874E-08	6.69526391
2.530000E-08	6.69413593
2.605886E-08	6.66752159
2.684000E-08	6.64129788
2.764505E-08	6.61542686
2.847374E-08	6.58993364
2.932779E-08	6.56478168
3.020692E-08	6.53999572
3.111296E-08	6.51554046
3.204560E-08	6.49144008
3.300679E-08	6.46766033
3.399621E-08	6.4442246
3.501590E-08	6.4210994
3.606554E-08	6.39830736
3.699052E-08	6.37907552
3.714730E-08	6.37585498
3.826083E-08	6.35396441
3.940844E-08	6.33237281
4.058975E-08	6.31110133
4.180722E-08	6.29011959
4.306043E-08	6.26944824
4.435200E-08	6.2490579
4.568150E-08	6.22896887
4.705169E-08	6.20915274
4.846211E-08	6.18962915
4.991571E-08	6.17037009
5.141198E-08	6.15139384
5.295405E-08	6.13267218
5.454141E-08	6.11422223
5.617734E-08	6.09601667
5.786132E-08	6.07807298
5.934530E-08	6.06293206
5.959683E-08	6.06039671
6.138331E-08	6.04316413
6.322446E-08	6.02616811
6.511968E-08	6.00942577
6.707291E-08	5.99291339
6.908349E-08	5.97664727
7.115561E-08	5.96060416
7.328857E-08	5.94479976
7.548682E-08	5.92921146
7.774961E-08	5.91385452
8.008167E-08	5.89870693
8.248220E-08	5.8837835
8.495620E-08	5.86906287
8.750285E-08	5.85455951
9.012745E-08	5.84025283
9.282911E-08	5.82615733
9.561346E-08	5.8122536
9.847958E-08	5.79855588
1.014334E-07	5.78504421
1.044740E-07	5.77173009
1.076076E-07	5.75859214
1.099016E-07	5.74938224
1.108333E-07	5.7456874
