E(MeV)	"ENDF/B-VIII.b5: SE-82(N,TOT)"	
1.82206E-04	4.96949	
1.98184E-04	4.967	
2.14064E-04	4.96452	
2.31204E-04	4.96186	
2.47981E-04	4.95925	
2.65974E-04	4.95645	
2.89298E-04	4.95283	
3.12341E-04	4.94926	
3.36420E-04	4.94552	
3.65921E-04	4.94095	
3.97583E-04	4.93605	
4.29439E-04	4.93111	
4.60599E-04	4.92629	
4.92778E-04	4.92131	
5.24832E-04	4.91635	
5.51221E-04	4.91227	
5.58998E-04	4.91128	
6.03142E-04	4.90566	
6.51470E-04	4.89952	
7.06644E-04	4.8925	
7.57918E-04	4.88598	
7.95139E-04	4.88125	
8.58851E-04	4.87315	
9.21168E-04	4.86523	
9.85531E-04	4.85706	
1.04964E-03	4.84891	
1.11648E-03	4.84042	
1.20626E-03	4.82901	
1.30256E-03	4.81678	
1.41669E-03	4.80228	
1.50884E-03	4.79058	
1.59025E-03	4.78024	
1.68875E-03	4.76773	
1.82214E-03	4.75079	
1.94361E-03	4.73537	
2.04124E-03	4.72297	
2.12886E-03	4.71185	
2.18500E-03	4.70472	
2.20041E-03	4.70216	
2.28601E-03	4.68796	
2.35500E-03	4.67652	
2.44000E-03	4.66242	
2.52500E-03	4.64833	
2.57869E-03	4.63943	
2.62841E-03	4.63118	
2.68416E-03	4.62194	
2.73302E-03	4.61384	
2.77158E-03	4.60745	
2.81068E-03	4.60097	
2.84800E-03	4.59479	
2.88761E-03	4.58822	
2.91600E-03	4.58352	
2.95000E-03	4.57789	
2.96836E-03	4.57485	
2.98077E-03	4.5728	
2.99318E-03	4.57013	
3.01800E-03	4.56477	
3.04027E-03	4.55998	
3.06314E-03	4.55505	
3.08600E-03	4.55013	
3.10436E-03	4.54617	
3.12578E-03	4.54156	
3.14720E-03	4.53696	
3.16148E-03	4.53389	
3.17474E-03	4.53104	
3.18800E-03	4.52819	
3.21019E-03	4.52343	
3.22574E-03	4.52009	
3.24372E-03	4.51624	
3.25787E-03	4.51322	
3.27300E-03	4.50998	
3.28575E-03	4.50727	
3.29529E-03	4.50523	
3.30587E-03	4.50298	
3.31437E-03	4.50117	
3.32400E-03	4.49913	
3.33732E-03	4.49631	
3.34618E-03	4.49444	
3.35505E-03	4.49257	
3.36582E-03	4.49031	
3.37364E-03	4.48867	
3.38078E-03	4.48718	
3.38792E-03	4.48569	
3.39498E-03	4.48423	
3.40203E-03	4.48277	
3.40892E-03	4.48135	
3.41580E-03	4.47994	
3.42260E-03	4.47856	
3.42940E-03	4.47718	
3.43577E-03	4.4759	
3.44215E-03	4.47463	
3.44640E-03	4.47379	
3.45320E-03	4.47246	
3.45830E-03	4.47147	
3.46340E-03	4.47049	
3.46850E-03	4.46952	
3.47360E-03	4.46857	
3.47870E-03	4.46763	
3.48380E-03	4.46671	
3.48890E-03	4.46581	
3.49400E-03	4.46493	
3.49910E-03	4.46408	
3.50250E-03	4.46353	
3.50590E-03	4.46299	
3.50930E-03	4.46248	
3.51270E-03	4.46198	
3.51610E-03	4.4615	
3.51950E-03	4.46105	
3.52290E-03	4.46062	
3.52630E-03	4.46023	
3.52949E-03	4.45989	
3.53246E-03	4.4596	
3.53544E-03	4.45935	
3.53841E-03	4.45914	
3.54139E-03	4.45898	
3.54436E-03	4.45886	
3.54734E-03	4.4588	
3.55031E-03	4.45881	
3.55254E-03	4.45887	
3.55477E-03	4.45898	
3.55701E-03	4.45914	
3.55924E-03	4.45936	
3.56147E-03	4.45966	
3.56370E-03	4.46003	
3.56593E-03	4.46049	
3.56816E-03	4.46106	
