E(MeV)	Xe-124
1.000000E-11	7492.60559
1.029990E-11	7382.72052
1.060870E-11	7274.4808
1.092690E-11	7167.77847
1.125440E-11	7062.70618
1.159200E-11	6959.11488
1.193950E-11	6857.09686
1.229760E-11	6756.52133
1.266620E-11	6657.47337
1.304620E-11	6559.81314
1.343720E-11	6463.66144
1.384030E-11	6368.84811
1.425520E-11	6275.49189
1.468270E-11	6183.44996
1.512290E-11	6092.80044
1.557650E-11	6003.42449
1.604340E-11	5915.42764
1.652460E-11	5828.65976
1.701990E-11	5743.21864
1.753040E-11	5658.98407
1.805590E-11	5576.02311
1.859750E-11	5494.23606
1.915500E-11	5413.6951
1.972950E-11	5334.29201
2.032090E-11	5256.09291
2.093050E-11	5178.99229
2.155790E-11	5103.07898
2.220450E-11	5028.22638
2.287010E-11	4954.5197
2.355610E-11	4881.844
2.426220E-11	4810.28542
2.498990E-11	4739.73019
2.573900E-11	4670.25022
2.651100E-11	4601.75114
2.730570E-11	4534.29186
2.812470E-11	4467.788
2.896780E-11	4402.29165
2.983670E-11	4337.7194
3.073110E-11	4274.13437
3.165280E-11	4211.44511
3.260170E-11	4149.70815
3.273980E-11	4141.11187
3.357950E-11	4088.84349
3.386420E-11	4071.89066
3.458610E-11	4028.90437
3.502710E-11	4003.78319
3.562350E-11	3969.80994
3.623000E-11	3936.75717
3.669130E-11	3911.61756
3.747420E-11	3870.80463
3.779190E-11	3854.24287
3.876110E-11	3805.90472
3.892470E-11	3797.74533
4.009230E-11	3742.03987
4.129410E-11	3687.18831
4.146910E-11	3679.54688
4.253270E-11	3633.10466
4.289320E-11	3618.04593
4.380760E-11	3579.84998
4.436620E-11	3557.52834
4.512160E-11	3527.34271
4.588980E-11	3497.97653
4.647420E-11	3475.63663
4.746580E-11	3439.37195
4.786810E-11	3424.65915
4.909580E-11	3381.70641
4.930300E-11	3374.45728
5.078180E-11	3324.96423
5.230410E-11	3276.22362
5.252580E-11	3269.43281
5.387290E-11	3228.17049
5.432960E-11	3214.788
5.548780E-11	3180.84993
5.619540E-11	3161.01445
5.715210E-11	3134.19632
5.812520E-11	3108.10034
5.886530E-11	3088.2529
6.012130E-11	3056.03141
6.063100E-11	3042.9556
6.218600E-11	3004.79168
6.244840E-11	2998.3517
6.432150E-11	2954.37505
6.624960E-11	2911.06788
6.653040E-11	2905.03445
6.823680E-11	2868.36993
6.881520E-11	2856.48046
7.028220E-11	2826.32526
7.117840E-11	2808.7022
7.239030E-11	2784.87124
7.362280E-11	2761.68576
7.456030E-11	2744.04983
7.615110E-11	2715.42069
7.679670E-11	2703.80208
7.876630E-11	2669.89249
7.909870E-11	2664.16975
8.147120E-11	2625.09509
8.391340E-11	2586.61534
8.426910E-11	2581.25392
8.643040E-11	2548.67709
8.716300E-11	2538.11329
8.902120E-11	2511.31889
9.015630E-11	2495.66074
9.169130E-11	2474.48626
9.325250E-11	2453.88401
9.443990E-11	2438.21465
9.645490E-11	2412.77624
9.727250E-11	2402.45448
9.976730E-11	2372.32032
1.001880E-10	2367.2388
1.031930E-10	2332.52466
1.062870E-10	2298.3294
1.067370E-10	2293.57099
1.094750E-10	2264.61886
1.104030E-10	2255.23063
1.127560E-10	2231.42631
1.141940E-10	2217.51301
1.161390E-10	2198.69435
1.181160E-10	2180.39342
1.196200E-10	2166.47108
1.221720E-10	2143.86998
1.232080E-10	2134.69496
1.263680E-10	2107.92271
1.269010E-10	2103.40702
1.307070E-10	2072.56096
1.346260E-10	2042.17912
1.351960E-10	2037.95074
1.386640E-10	2012.22446
1.398390E-10	2003.88675
1.428200E-10	1982.7339
1.446410E-10	1970.37294
1.471040E-10	1953.65415
1.496080E-10	1937.39165
1.515130E-10	1925.01947
1.553990E-10	1900.88081
1.560580E-10	1896.78732
1.607360E-10	1868.98543
1.614170E-10	1865.11368
1.655570E-10	1841.57631
1.676650E-10	1830.11101
1.705200E-10	1814.5829
1.741580E-10	1795.65372
1.756350E-10	1787.96866
1.808990E-10	1761.76433
1.863250E-10	1735.92888
1.879050E-10	1728.73169
1.919110E-10	1710.48371
1.951780E-10	1696.24573
1.976670E-10	1685.39842
2.027370E-10	1664.26079
2.035920E-10	1660.69617
2.096990E-10	1636.34091
2.105840E-10	1632.96441
2.159850E-10	1612.35832
2.187390E-10	1602.30603
2.224630E-10	1588.71323
2.272060E-10	1572.15267
2.291320E-10	1565.42792
2.360040E-10	1542.47203
2.430790E-10	1519.86402
2.451390E-10	1513.56644
2.503700E-10	1497.57494
2.546330E-10	1485.10792
2.578750E-10	1475.62683
2.644890E-10	1457.12275
2.656100E-10	1453.98652
2.735720E-10	1432.67774
2.747310E-10	1429.71013
2.817770E-10	1411.66899
2.865750E-10	1399.91695
2.902240E-10	1390.97928
2.989290E-10	1370.58141
3.078900E-10	1350.49501
3.118160E-10	1342.07563
3.171250E-10	1330.69044
3.252580E-10	1314.00619
3.266310E-10	1311.18959
3.364280E-10	1291.96222
3.392800E-10	1286.60789
3.465130E-10	1273.02875
3.539060E-10	1259.74999
3.569060E-10	1254.36164
3.676050E-10	1235.97912
3.691630E-10	1233.41815
3.786310E-10	1217.85514
3.850770E-10	1207.71943
3.899810E-10	1200.0084
4.016780E-10	1182.41233
4.137190E-10	1165.08515
4.207630E-10	1155.38753
4.261280E-10	1148.00146
4.389010E-10	1131.1789
4.407620E-10	1128.83431
4.520660E-10	1114.59298
4.617030E-10	1102.97757
4.656170E-10	1098.26007
4.795830E-10	1082.15722
4.836490E-10	1077.67224
4.939590E-10	1066.29989
5.066280E-10	1052.9315
5.087750E-10	1050.66599
5.240260E-10	1035.27046
5.307080E-10	1028.81772
5.397440E-10	1020.09179
5.559230E-10	1005.14471
5.582800E-10	1003.06169
5.725980E-10	990.408074
5.872840E-10	977.99141
5.897620E-10	975.89633
6.074520E-10	961.588714
6.177940E-10	953.586741
6.256610E-10	947.499792
6.444270E-10	933.609108
6.498900E-10	929.740619
6.637440E-10	919.930298
6.836530E-10	906.444165
6.865390E-10	904.573898
7.041460E-10	893.16377
7.252670E-10	880.070224
7.470070E-10	867.176855
7.661660E-10	856.307203
7.694130E-10	854.465061
7.924770E-10	841.946857
8.093860E-10	833.167528
8.162470E-10	829.605243
8.407150E-10	817.451759
8.586530E-10	808.92818
8.659320E-10	805.469443
8.918890E-10	793.670166
9.109190E-10	785.394805
9.186410E-10	782.036842
9.461780E-10	770.581325
9.704450E-10	760.923819
9.745580E-10	759.286981
1.003771E-09	748.165068
1.033879E-09	737.199707
1.064871E-09	726.401836
1.096811E-09	715.755845
1.101440E-09	714.279871
1.129689E-09	705.27262
1.163573E-09	694.936904
1.178389E-09	690.613482
1.198452E-09	684.758974
1.234399E-09	674.724438
1.260715E-09	667.696888
1.271402E-09	664.842994
1.309537E-09	655.100658
1.348791E-09	645.50729
1.354508E-09	644.1707
1.389247E-09	636.049036
1.430892E-09	626.734997
1.455254E-09	621.522512
1.473810E-09	617.552296
1.517989E-09	608.509706
1.563521E-09	599.594423
1.570120E-09	598.358349
1.610389E-09	590.815505
1.658691E-09	582.160187
1.701232E-09	574.867749
1.708412E-09	573.636949
1.759655E-09	565.233852
1.812403E-09	556.959061
1.843260E-09	552.328243
1.866765E-09	548.800781
1.922723E-09	540.767266
1.980394E-09	532.846792
2.005611E-09	529.533718
2.039758E-09	525.047418
2.100939E-09	517.357921
2.163917E-09	509.785808
2.191510E-09	506.612079
2.228823E-09	502.320382
2.295634E-09	494.969117
