E(MeV)	Hf-180	
5.49571E-05	10.1811	
5.53858E-05	10.1018	
5.57325E-05	10.0283	
5.65188E-05	9.86233	
5.71168E-05	9.7368	
5.73614E-05	9.68579	
5.79226E-05	9.55127	
5.85348E-05	9.40554	
5.89913E-05	9.29766	
5.91527E-05	9.25379	
5.97764E-05	9.08549	
6.01981E-05	8.97258	
6.02426E-05	8.96074	
6.06197E-05	8.84452	
6.10474E-05	8.71367	
6.14750E-05	8.58402	
6.15235E-05	8.56945	
6.19086E-05	8.43578	
6.23423E-05	8.28687	
6.23915E-05	8.27016	
6.26721E-05	8.16082	
6.30019E-05	8.03355	
6.32717E-05	7.93056	
6.33333E-05	7.90373	
6.36678E-05	7.7596	
6.39396E-05	7.6441	
6.40023E-05	7.61373	
6.43399E-05	7.45231	
6.46138E-05	7.32353	
6.46791E-05	7.28803	
6.49052E-05	7.16679	
6.51329E-05	7.04631	
6.52975E-05	6.96058	
6.53623E-05	6.92194	
6.55916E-05	6.78726	
6.57565E-05	6.69213	
6.58209E-05	6.65028	
6.60519E-05	6.50298	
6.62187E-05	6.39888	
6.62844E-05	6.35223	
6.65170E-05	6.19083	
6.66842E-05	6.07746	
6.66914E-05	6.07196	
6.68658E-05	5.94103	
6.70358E-05	5.81658	
6.70427E-05	5.8109	
6.72196E-05	5.66936	
6.73873E-05	5.53911	
6.73965E-05	5.53111	
6.75733E-05	5.38071	
6.77439E-05	5.24106	
6.77502E-05	5.23526	
6.79287E-05	5.07864	
6.79815E-05	5.03422	
6.80483E-05	4.97236	
6.81679E-05	4.8655	
6.82192E-05	4.82151	
6.82875E-05	4.75702	
6.84071E-05	4.6489	
6.84389E-05	4.62157	
6.85267E-05	4.53878	
6.86406E-05	4.43712	
6.86462E-05	4.43158	
6.87658E-05	4.32174	
6.88423E-05	4.25701	
6.89060E-05	4.19762	
6.89995E-05	4.11742	
6.90440E-05	4.08224	
6.90930E-05	4.03929	
6.91865E-05	3.96433	
6.92601E-05	3.91143	
6.92799E-05	3.89566	
6.93734E-05	3.83021	
6.94617E-05	3.77765	
6.94669E-05	3.7743	
6.95511E-05	3.72886	
6.96260E-05	3.69688	
6.97009E-05	3.67377	
6.97671E-05	3.66208	
6.97758E-05	3.66059	
6.98507E-05	3.65878	
6.99256E-05	3.66939	
6.99285E-05	3.67034	
7.00005E-05	3.69762	
7.00322E-05	3.7163	
7.00754E-05	3.74444	
7.01014E-05	3.76747	
7.01489E-05	3.81275	
7.01590E-05	3.82502	
7.02022E-05	3.8804	
7.02210E-05	3.90566	
7.02454E-05	3.94598	
7.02742E-05	3.99529	
7.02930E-05	4.02857	
7.03088E-05	4.06212	
7.03376E-05	4.12522	
7.03650E-05	4.18721	
7.03664E-05	4.191	
7.03924E-05	4.26132	
7.04097E-05	4.30935	
7.04270E-05	4.35837	
7.04298E-05	4.36671	
7.04428E-05	4.4091	
7.04572E-05	4.45701	
7.04716E-05	4.50573	
7.04860E-05	4.55531	
7.04875E-05	4.56035	
7.04983E-05	4.60246	
7.05134E-05	4.66235	
7.05235E-05	4.70288	
7.05336E-05	4.74391	
7.05444E-05	4.78843	
7.05451E-05	4.79144	
7.05552E-05	4.83837	
7.05653E-05	4.88586	
7.05739E-05	4.92703	
7.05825E-05	4.96863	
7.05897E-05	5.00364	
7.05984E-05	5.04607	
7.06063E-05	5.08537	
7.06085E-05	5.0962	
7.06135E-05	5.12426	
7.06204E-05	5.16266	
7.06301E-05	5.21777	
7.06387E-05	5.26732	
7.06481E-05	5.3216	
7.06571E-05	5.37441	
7.06647E-05	5.41926	
7.06690E-05	5.44512	
7.06711E-05	5.45943	
7.06776E-05	5.50271	
7.06863E-05	5.56095	
7.06949E-05	5.61983	
7.07036E-05	5.67935	
7.07122E-05	5.73955	
7.07194E-05	5.79024	
7.07266E-05	5.84142	
7.07324E-05	5.88281	
7.07353E-05	5.90555	
7.07439E-05	5.97452	
7.07515E-05	6.0355	
7.07590E-05	6.09708	
7.07669E-05	6.16226	
7.07756E-05	6.23416	
7.07842E-05	6.30692	
7.07885E-05	6.34377	
7.07943E-05	6.39735	
7.08051E-05	6.49919	
7.08159E-05	6.60251	
7.08246E-05	6.68627	
7.08332E-05	6.77105	
7.08419E-05	6.85686	
7.08447E-05	6.88583	
7.08505E-05	6.94865	
7.08606E-05	7.06	
7.08707E-05	7.17291	
7.08807E-05	7.28744	
7.08908E-05	7.40364	
7.08966E-05	7.47118	
7.09038E-05	7.56195	
7.09168E-05	7.72835	
7.09297E-05	7.89789	
7.09427E-05	8.07074	
7.09571E-05	8.28137	
7.09715E-05	8.49649	
7.09859E-05	8.71635	
7.09946E-05	8.85126	
7.10003E-05	8.94763	
7.10133E-05	9.16896	
7.10263E-05	9.39475	
7.10378E-05	9.59962	
7.10392E-05	9.6269	
7.10522E-05	9.87734	
7.10695E-05	10.2193	
7.10810E-05	10.4539	
7.10868E-05	10.5788	
7.11040E-05	10.9639	
7.11213E-05	11.3602	
7.11242E-05	11.4282	
7.11386E-05	11.7903	
7.11538E-05	12.1808	
7.11674E-05	12.5437	
7.11689E-05	12.5844	
7.11840E-05	13.0227	
7.11991E-05	13.4729	
7.12107E-05	13.8253	
7.12143E-05	13.9427	
7.12308E-05	14.498	
7.12481E-05	15.0957	
7.12539E-05	15.3017	
7.12654E-05	15.7404	
7.12827E-05	16.4202	
7.12971E-05	17.006	
7.13000E-05	17.1296	
7.13173E-05	17.8964	
7.13259E-05	18.2933	
7.13346E-05	18.7078	
7.13518E-05	19.566	
7.13547E-05	19.7143	
7.13691E-05	20.4886	
7.13835E-05	21.2916	
7.13864E-05	21.4595	
7.14037E-05	22.5044	
7.14123E-05	23.047	
7.14210E-05	23.6146	
7.14383E-05	24.7937	
7.14412E-05	24.9982	
7.14556E-05	26.0677	
7.14700E-05	27.1808	
7.14728E-05	27.4141	
7.14901E-05	28.8711	
7.14988E-05	29.631	
7.15074E-05	30.4275	
7.15247E-05	32.0891	
7.15276E-05	32.3787	
7.15420E-05	33.8966	
7.15564E-05	35.4839	
7.15593E-05	35.8176	
7.15766E-05	37.9118	
7.15852E-05	39.0097	
7.15939E-05	40.1568	
7.16068E-05	41.962	
7.16112E-05	42.5878	
7.16284E-05	45.2166	
7.16457E-05	48.0947	
7.16501E-05	48.8536	
7.16630E-05	51.2233	
7.16717E-05	52.8918	
7.16803E-05	54.6313	
7.16933E-05	57.3911	
7.16976E-05	58.352	
7.17149E-05	62.424	
7.17264E-05	65.4085	
7.17365E-05	68.1312	
7.17379E-05	68.5389	
7.17494E-05	71.94	
7.17581E-05	74.6067	
7.17610E-05	75.5396	
7.17725E-05	79.4426	
7.17794E-05	81.8985	
7.17840E-05	83.6035	
7.17932E-05	87.1833	
7.17955E-05	88.1091	
7.18071E-05	92.9758	
7.18186E-05	98.2854	
7.18209E-05	99.4077	
7.18301E-05	104.058	
7.18347E-05	106.52	
7.18416E-05	110.352	
7.18486E-05	114.418	
7.18532E-05	117.235	
7.18624E-05	123.227	
7.18647E-05	124.787	
7.18751E-05	132.242	
7.18762E-05	133.123	
7.18854E-05	140.444	
7.18889E-05	143.367	
7.18958E-05	149.434	
7.19004E-05	153.747	
7.19062E-05	159.341	
7.19119E-05	165.266	
7.19140E-05	167.421	
7.19217E-05	176.16	
7.19235E-05	178.207	
7.19295E-05	185.652	
7.19350E-05	192.755	
