E(MeV)	"HF-178(N,TOT)"
4.17750E-06	27.4008
4.18266E-06	27.464
4.18781E-06	27.5273
4.19297E-06	27.5907
4.19812E-06	27.6541
4.20328E-06	27.7176
4.21016E-06	27.8024
4.21703E-06	27.8873
4.22391E-06	27.9724
4.22992E-06	28.0469
4.23637E-06	28.1269
4.24496E-06	28.2338
4.25355E-06	28.3408
4.26258E-06	28.4535
4.27031E-06	28.5503
4.28063E-06	28.6796
4.29094E-06	28.8093
4.30125E-06	28.9394
4.31156E-06	29.0837
4.32188E-06	29.2285
4.33219E-06	29.3736
4.34250E-06	29.5191
4.35625E-06	29.7137
4.37000E-06	29.9089
4.38375E-06	30.1049
4.39679E-06	30.2915
4.39750E-06	30.3025
4.41125E-06	30.517
4.42414E-06	30.7188
4.44133E-06	30.9889
4.45852E-06	31.2602
4.47570E-06	31.5329
4.49547E-06	31.848
4.49648E-06	31.8642
4.51609E-06	32.2071
4.53672E-06	32.5696
4.55734E-06	32.9342
4.57453E-06	33.2397
4.59258E-06	33.5622
4.59898E-06	33.6773
4.61664E-06	34.0274
4.64070E-06	34.5077
4.66648E-06	35.0261
4.68969E-06	35.4962
4.71289E-06	35.9697
4.72273E-06	36.172
4.73609E-06	36.4737
4.75930E-06	37.0011
4.78250E-06	37.5324
4.80780E-06	38.1163
4.81624E-06	38.3126
4.83310E-06	38.7401
4.85841E-06	39.3865
4.88371E-06	40.0383
4.90901E-06	40.6958
4.91745E-06	40.917
4.93479E-06	41.4151
4.96081E-06	42.1689
4.99549E-06	43.1845
5.02151E-06	43.956
5.03018E-06	44.2388
5.06512E-06	45.3919
5.10078E-06	46.5846
5.12753E-06	47.49
5.16320E-06	48.8377
5.19887E-06	50.2041
5.23554E-06	51.6297
5.27221E-06	53.2039
5.30889E-06	54.8023
5.34556E-06	56.544
5.38327E-06	58.3637
5.42098E-06	60.3532
5.45869E-06	62.3768
5.49639E-06	64.5961
5.53517E-06	66.9195
5.57394E-06	69.4774
5.61271E-06	72.0848
5.65148E-06	74.9661
5.69135E-06	77.9895
5.73121E-06	81.3096
5.75115E-06	83.0063
5.77108E-06	84.8156
5.81095E-06	88.5144
5.85194E-06	92.6738
5.87243E-06	94.8047
5.89293E-06	97.0874
5.93392E-06	101.766
5.97491E-06	106.916
5.99599E-06	109.626
6.00652E-06	111.085
6.03813E-06	115.55
6.05921E-06	118.591
6.06974E-06	120.233
6.10136E-06	125.261
6.12243E-06	128.688
6.13297E-06	130.544
6.16517E-06	136.342
6.18684E-06	140.337
6.19767E-06	142.476
6.23018E-06	149.048
6.26268E-06	156.177
6.27351E-06	158.616
6.29518E-06	163.782
6.31685E-06	169.086
6.32799E-06	171.982
6.36141E-06	180.908
6.39483E-06	190.68
6.40597E-06	194.036
6.42825E-06	201.188
6.45053E-06	208.557
6.46167E-06	212.493
6.49509E-06	224.666
6.52945E-06	238.508
6.54091E-06	243.283
6.56382E-06	253.442
6.57527E-06	258.703
6.59818E-06	269.816
6.60963E-06	275.577
6.63254E-06	287.763
6.64400E-06	294.048
6.65545E-06	300.705
6.67836E-06	314.359
