E(MeV)	"TA-181(N,TOT)"	
2.74239E-06	1.27860E+01	
2.80056E-06	1.32428E+01	
2.86011E-06	1.37799E+01	
2.88146E-06	1.40015E+01	
2.92078E-06	1.44030E+01	
2.96198E-06	1.48785E+01	
3.00377E-06	1.54167E+01	
3.02634E-06	1.57413E+01	
3.04615E-06	1.60223E+01	
3.08913E-06	1.67059E+01	
3.13271E-06	1.74866E+01	
3.15624E-06	1.79639E+01	
3.17691E-06	1.83788E+01	
3.21052E-06	1.91350E+01	
3.24445E-06	1.99796E+01	
3.26867E-06	2.06490E+01	
3.27870E-06	2.09245E+01	
3.31327E-06	2.19833E+01	
3.34833E-06	2.31867E+01	
3.38372E-06	2.45547E+01	
3.38526E-06	2.46222E+01	
3.41944E-06	2.61119E+01	
3.44348E-06	2.72786E+01	
3.46768E-06	2.85637E+01	
3.49206E-06	2.99832E+01	
3.51660E-06	3.15552E+01	
3.54132E-06	3.33015E+01	
3.56622E-06	3.52505E+01	
3.59128E-06	3.74374E+01	
3.60546E-06	3.88216E+01	
3.61653E-06	3.99049E+01	
3.63560E-06	4.19706E+01	
3.65466E-06	4.42314E+01	
3.66922E-06	4.61274E+01	
3.67400E-06	4.67508E+01	
3.69333E-06	4.95326E+01	
3.70791E-06	5.18512E+01	
3.71276E-06	5.26241E+01	
3.73237E-06	5.60938E+01	
3.73407E-06	5.64291E+01	
3.75197E-06	5.99694E+01	
3.76022E-06	6.17951E+01	
3.77177E-06	6.43557E+01	
3.77335E-06	6.47426E+01	
3.78502E-06	6.76039E+01	
3.79456E-06	7.01387E+01	
3.79828E-06	7.11299E+01	
3.81154E-06	7.49689E+01	
3.81457E-06	7.59250E+01	
3.82498E-06	7.92197E+01	
3.82790E-06	8.02303E+01	
3.83842E-06	8.38762E+01	
3.84133E-06	8.49812E+01	
3.85187E-06	8.89908E+01	
3.85486E-06	9.02420E+01	
3.86531E-06	9.46255E+01	
3.86838E-06	9.60468E+01	
3.87894E-06	1.00946E+02	
3.88191E-06	1.02469E+02	
3.89210E-06	1.07719E+02	
3.89258E-06	1.07966E+02	
3.90239E-06	1.13598E+02	
3.90621E-06	1.15799E+02	
3.91267E-06	1.19893E+02	
3.91644E-06	1.22283E+02	
3.92296E-06	1.26796E+02	
3.92676E-06	1.29431E+02	
3.93325E-06	1.34350E+02	
3.93713E-06	1.37299E+02	
3.94353E-06	1.42638E+02	
3.94749E-06	1.45947E+02	
3.95047E-06	1.48676E+02	
3.95740E-06	1.55056E+02	
3.95786E-06	1.55484E+02	
3.96433E-06	1.62064E+02	
3.96823E-06	1.66040E+02	
3.97127E-06	1.69463E+02	
3.97820E-06	1.77305E+02	
3.97865E-06	1.77816E+02	
3.98513E-06	1.85988E+02	
3.98917E-06	1.91086E+02	
3.99207E-06	1.95180E+02	
3.99900E-06	2.04995E+02	
3.99968E-06	2.05962E+02	
4.00462E-06	2.13669E+02	
4.00669E-06	2.16910E+02	
4.01024E-06	2.22916E+02	
4.01370E-06	2.28790E+02	
4.01586E-06	2.32761E+02	
4.02071E-06	2.41712E+02	
4.02148E-06	2.43252E+02	
4.02710E-06	2.54551E+02	
4.02772E-06	2.55806E+02	
4.03272E-06	2.66769E+02	
4.03448E-06	2.70646E+02	
4.03834E-06	2.79876E+02	
4.04099E-06	2.86238E+02	
4.04396E-06	2.93993E+02	
4.04750E-06	3.03268E+02	
4.04888E-06	3.07207E+02	
4.05379E-06	3.21309E+02	
4.05401E-06	3.21925E+02	
4.05871E-06	3.36733E+02	
4.06052E-06	3.42437E+02	
4.06363E-06	3.53229E+02	
4.06703E-06	3.65050E+02	
4.06855E-06	3.70879E+02	
4.07346E-06	3.89796E+02	
4.07354E-06	3.90071E+02	
4.07838E-06	4.10761E+02	
4.08005E-06	4.17888E+02	
4.08330E-06	4.33226E+02	
4.08541E-06	4.43193E+02	
4.08716E-06	4.52350E+02	
4.09103E-06	4.72558E+02	
4.09173E-06	4.76244E+02	
4.09489E-06	4.94756E+02	
4.09805E-06	5.13330E+02	
4.09875E-06	5.17868E+02	
4.10227E-06	5.40635E+02	
4.10262E-06	5.43099E+02	
4.10648E-06	5.70293E+02	
4.11035E-06	5.99901E+02	
4.11070E-06	6.02603E+02	
4.11421E-06	6.31990E+02	
4.11491E-06	6.37889E+02	
4.11737E-06	6.60320E+02	
4.11878E-06	6.73183E+02	
4.12053E-06	6.90565E+02	
4.12229E-06	7.08010E+02	
4.12369E-06	7.23075E+02	
4.12580E-06	7.45756E+02	
4.12685E-06	7.58025E+02	
4.12931E-06	7.86759E+02	
4.13002E-06	7.95661E+02	
4.13283E-06	8.31405E+02	
4.13318E-06	8.36261E+02	
4.13634E-06	8.80130E+02	
4.13950E-06	9.28102E+02	
4.13985E-06	9.33455E+02	
4.14231E-06	9.74339E+02	
4.14336E-06	9.91930E+02	
4.14512E-06	1.02381E+03	
4.14646E-06	1.04814E+03	
4.14793E-06	1.07764E+03	
4.15046E-06	1.12841E+03	
4.15074E-06	1.13468E+03	
4.15355E-06	1.19768E+03	
4.15446E-06	1.21824E+03	
4.15636E-06	1.26496E+03	
4.15713E-06	1.28407E+03	
4.15917E-06	1.33828E+03	
4.15980E-06	1.35518E+03	
4.16198E-06	1.41782E+03	
4.16247E-06	1.43203E+03	
4.16451E-06	1.49541E+03	
4.16514E-06	1.51516E+03	
4.16704E-06	1.57903E+03	
4.16788E-06	1.60754E+03	
4.16957E-06	1.66914E+03	
4.17069E-06	1.71038E+03	
4.17210E-06	1.76613E+03	
