E(MeV)	mcnp/Li-7:1
5.70000E+00	2.149105792
5.80000E+00	2.175080386
5.90000E+00	2.180516881
6.00000E+00	2.170677365
6.00480E+00	2.169572495
6.25000E+00	2.112040472
6.50000E+00	2.054726959
6.57670E+00	2.039015835
6.75000E+00	2.005213417
7.00000E+00	1.956599627
7.14850E+00	1.928041939
7.14854E+00	1.928031943
7.25000E+00	1.908673026
7.50000E+00	1.867706302
7.72040E+00	1.850971073
7.72042E+00	1.850968609
7.75000E+00	1.849286605
8.00000E+00	1.837010288
8.25000E+00	1.812468264
8.29230E+00	1.808189468
8.29231E+00	1.808188627
8.29288E+00	1.808130846
8.50000E+00	1.789683084
8.75000E+00	1.774945283
8.86420E+00	1.768666814
8.86786E+00	1.76845525
9.00000E+00	1.759469662
9.25000E+00	1.739485585
9.43610E+00	1.72462777
9.50000E+00	1.71955591
9.75000E+00	1.699975357
9.97823E+00	1.682164463
1.00000E+01	1.680466935
1.00080E+01	1.679844401
1.01403E+01	1.669577284
1.02660E+01	1.659864501
1.03857E+01	1.650648845
1.05000E+01	1.641885671
1.05800E+01	1.635814645
1.07946E+01	1.621129777
1.10000E+01	1.607133772
1.11520E+01	1.59867563
1.14123E+01	1.587213303
1.15000E+01	1.583941277
1.17240E+01	1.575507264
1.20000E+01	1.564322944
1.22950E+01	1.55007399
1.22955E+01	1.550034625
1.25000E+01	1.539576525
1.25226E+01	1.538416619
1.25226E+01	1.538414534
1.28670E+01	1.520492769
1.28674E+01	1.520459317
1.30000E+01	1.512560483
1.34390E+01	1.480878069
1.34393E+01	1.480852168
1.35000E+01	1.476478779
1.40000E+01	1.441655107
1.40110E+01	1.440992125
1.40111E+01	1.44098158
1.45000E+01	1.416234987
1.45830E+01	1.412228981
1.45830E+01	1.412226873
1.50000E+01	1.392190963
1.51550E+01	1.384845073
1.55000E+01	1.36861101
1.57270E+01	1.358043993
1.60000E+01	1.345729999
1.62990E+01	1.332745963
1.65000E+01	1.324084996
1.68710E+01	1.308199031
1.70000E+01	1.302624045
1.74420E+01	1.282876038
1.74424E+01	1.282850988
1.75000E+01	1.28028099
1.80000E+01	1.258309061
1.80140E+01	1.257727964
1.80143E+01	1.257714839
1.85000E+01	1.242557924
1.85860E+01	1.240164009
1.85862E+01	1.240156416
1.90000E+01	1.228822972
1.91580E+01	1.223646982
1.91581E+01	1.223643117
1.95000E+01	1.211653061
1.97300E+01	1.203315011
2.00000E+01	1.193289969
