E(MeV)	pendfb7/Ba134:1
1.00000E-11	101.997817
1.02999E-11	100.515515
1.03230E-11	100.405045
1.06087E-11	99.054887
1.06324E-11	98.9465189
1.09269E-11	97.6152922
1.09513E-11	97.5085683
1.12544E-11	96.197901
1.12796E-11	96.0924885
1.15920E-11	94.8006066
1.16179E-11	94.6969703
1.19395E-11	93.4247733
1.19662E-11	93.3225804
1.22976E-11	92.0685921
1.23251E-11	91.9679059
1.26662E-11	90.7332818
1.26946E-11	90.633845
1.30462E-11	89.4167545
1.30753E-11	89.3192798
1.34372E-11	88.1208815
1.34673E-11	88.0244599
1.38403E-11	86.8431759
1.38712E-11	86.7484982
1.42552E-11	85.5853078
1.42870E-11	85.4920968
1.46827E-11	84.3454782
1.47156E-11	84.2532573
1.51229E-11	83.1245605
1.51567E-11	83.0339286
1.55765E-11	81.9210464
1.56113E-11	81.8318016
1.60434E-11	80.7363306
1.60793E-11	80.6482712
1.65246E-11	79.5683669
1.65615E-11	79.4817899
1.70199E-11	78.418531
1.70580E-11	78.3330424
1.75304E-11	77.2851246
1.75696E-11	77.2009906
1.80559E-11	76.1691318
1.80963E-11	76.0862066
1.85975E-11	75.0691479
1.86391E-11	74.9874783
1.91550E-11	73.9861683
1.91978E-11	73.9058005
1.97295E-11	72.9187682
1.97736E-11	72.8395668
2.03209E-11	71.8678196
2.03664E-11	71.7896738
2.09305E-11	70.8318389
2.09773E-11	70.7549623
2.15579E-11	69.812093
2.16061E-11	69.7363646
2.22045E-11	68.8068668
2.22541E-11	68.7323394
2.28701E-11	67.8172787
2.29212E-11	67.7438441
2.35561E-11	66.8418297
2.36087E-11	66.7695412
2.42622E-11	65.8816203
2.43164E-11	65.8103781
2.49899E-11	64.9351835
2.50458E-11	64.8649159
2.57390E-11	64.0034486
2.57966E-11	63.9342052
2.65110E-11	63.0851269
2.65703E-11	63.0169481
2.73057E-11	62.1810549
2.73668E-11	62.1138785
2.81247E-11	61.2900577
2.81876E-11	61.2239194
2.89678E-11	60.4128705
2.90326E-11	60.3477128
2.98367E-11	59.5483468
2.99034E-11	59.4842092
3.07311E-11	58.6979743
3.09303E-11	58.5149421
3.16528E-11	57.8596425
3.19925E-11	57.561665
