E(MeV)	Xe-124
1.000000E-11	1074.10859
1.029990E-11	1058.36448
1.060870E-11	1042.85623
1.092690E-11	1027.56838
1.125440E-11	1012.5142
1.159200E-11	997.672342
1.193950E-11	983.056024
1.229760E-11	968.646508
1.266620E-11	954.455984
1.304620E-11	940.464415
1.343720E-11	926.68911
1.384030E-11	913.105689
1.425520E-11	899.731163
1.468270E-11	886.545072
1.512290E-11	873.558609
1.557650E-11	860.754744
1.604340E-11	848.148599
1.652460E-11	835.718664
1.701990E-11	823.478949
1.753040E-11	811.412235
1.805590E-11	799.528125
1.859750E-11	787.812339
1.915500E-11	776.275216
1.972950E-11	764.90125
2.032090E-11	753.699919
2.093050E-11	742.656103
2.155790E-11	731.782529
2.220450E-11	721.061063
2.287010E-11	710.503909
2.355610E-11	700.094602
2.426220E-11	689.845481
2.498990E-11	679.740249
2.573900E-11	669.789208
2.651100E-11	659.978839
2.730570E-11	650.31758
2.812470E-11	640.793346
2.896780E-11	631.413595
2.983670E-11	622.166384
3.073110E-11	613.060748
3.165280E-11	604.084062
3.178640E-11	602.83849
3.260170E-11	595.243795
3.287800E-11	592.779601
3.357950E-11	586.528521
3.400710E-11	582.880876
3.458610E-11	577.945853
3.517500E-11	573.140717
3.562350E-11	569.484217
3.638290E-11	563.556965
3.669130E-11	561.151842
3.763240E-11	554.126366
3.779190E-11	552.936647
3.892470E-11	544.847155
4.009230E-11	536.872133
4.026150E-11	535.76576
4.129410E-11	529.019448
4.164410E-11	526.830237
4.253270E-11	521.276812
4.307420E-11	518.037113
4.380760E-11	513.652971
4.455350E-11	509.384531
4.512160E-11	506.136245
4.608350E-11	500.871137
4.647420E-11	498.734339
4.766610E-11	492.493667
4.786810E-11	491.436877
4.930300E-11	484.250584
5.078180E-11	477.166737
5.099620E-11	476.183528
5.230410E-11	470.190714
5.274750E-11	468.245723
5.387290E-11	463.313228
5.455890E-11	460.434943
5.548780E-11	456.540737
5.643250E-11	452.749417
5.715210E-11	449.863855
5.837050E-11	445.186666
5.886530E-11	443.28878
6.037510E-11	437.745179
6.063100E-11	436.806339
6.244840E-11	430.423301
6.432150E-11	424.130937
6.459300E-11	423.257783
6.624960E-11	417.934532
6.681120E-11	416.207032
6.823680E-11	411.825464
6.910560E-11	409.269163
7.028220E-11	405.810052
7.147880E-11	402.442469
7.239030E-11	399.879329
7.393350E-11	395.725214
7.456030E-11	394.039304
7.647250E-11	389.115653
7.679670E-11	388.281552
7.909870E-11	382.612043
8.147120E-11	377.02316
8.181510E-11	376.247619
8.391340E-11	371.519568
8.462480E-11	369.985089
8.643040E-11	366.093622
8.753090E-11	363.823101
8.902120E-11	360.750849
9.053690E-11	357.759739
9.169130E-11	355.483455
9.364600E-11	351.793847
9.443990E-11	350.296512
9.686200E-11	345.923495
9.727250E-11	345.182936
1.001880E-10	340.14745
1.031930E-10	335.184475
1.036290E-10	334.495108
1.062870E-10	330.295908
1.071880E-10	328.933154
1.094750E-10	325.476872
1.108690E-10	323.460042
1.127560E-10	320.73212
1.146760E-10	318.075849
1.161390E-10	316.05343
1.186140E-10	312.778005
1.196200E-10	311.447709
1.226880E-10	307.563922
1.232080E-10	306.906162
1.269010E-10	302.434628
1.307070E-10	298.026993
1.312590E-10	297.415125
1.346260E-10	293.685935
1.357670E-10	292.475938
1.386640E-10	289.406174
1.404290E-10	287.616074
1.428200E-10	285.19309
1.458670E-10	282.237531
1.471040E-10	281.038692
1.515130E-10	276.947982
1.560580E-10	272.915878
1.573810E-10	271.792245
1.607360E-10	268.945315
1.634730E-10	266.722206
1.655570E-10	265.030947
1.698030E-10	261.732568
1.705200E-10	261.17606
1.756350E-10	257.375916
1.763760E-10	256.848905
1.808990E-10	253.634874
1.832060E-10	252.06594
1.863250E-10	249.946599
1.902980E-10	247.362438
1.919110E-10	246.314173
1.976670E-10	242.733263
2.035920E-10	239.208016
2.053180E-10	238.225121
2.096990E-10	235.732411
2.132690E-10	233.788097
2.159850E-10	232.310122
2.215240E-10	229.424871
2.224630E-10	228.936147
2.291320E-10	225.614053
2.301030E-10	225.151031
2.360040E-10	222.33949
2.390100E-10	220.968701
2.430790E-10	219.114685
2.482650E-10	216.852864
2.503700E-10	215.93553
2.578750E-10	212.805171
2.656100E-10	209.71958
2.678610E-10	208.860136
2.735720E-10	206.681504
2.794090E-10	204.550072
2.817770E-10	203.686132
2.902240E-10	200.736609
2.914540E-10	200.325511
2.989290E-10	197.829391
3.040180E-10	196.202953
3.078900E-10	194.966537
3.171250E-10	192.143857
3.266310E-10	189.365482
3.307960E-10	188.200297
3.364280E-10	186.626053
3.450560E-10	184.317947
3.465130E-10	183.928503
3.569060E-10	181.269558
3.599320E-10	180.528633
3.676050E-10	178.651455
3.754480E-10	176.814918
3.786310E-10	176.070216
3.899810E-10	173.528857
3.932870E-10	172.820332
4.016780E-10	171.023638
4.119800E-10	168.912565
4.137190E-10	168.55652
4.261280E-10	166.124828
4.315540E-10	165.107169
4.389010E-10	163.730426
4.520660E-10	161.369551
4.656170E-10	159.045679
4.735450E-10	157.744515
4.795830E-10	156.754379
4.939590E-10	154.498155
4.960530E-10	154.183631
5.087750E-10	152.274372
5.196210E-10	150.716543
5.240260E-10	150.084381
5.397440E-10	147.925683
5.466170E-10	147.022265
5.559230E-10	145.80012
5.725980E-10	143.704443
5.750150E-10	143.413718
5.897620E-10	141.641455
6.048880E-10	139.901825
6.074520E-10	139.607187
6.256610E-10	137.604701
6.363130E-10	136.483606
6.444270E-10	135.630363
6.637440E-10	133.686379
6.722080E-10	132.871255
6.836530E-10	131.77002
7.041460E-10	129.882925
7.101150E-10	129.356921
7.252670E-10	128.022847
7.470070E-10	126.191006
7.501740E-10	125.935636
7.694130E-10	124.385674
7.924770E-10	122.607444
7.958360E-10	122.359613
8.162470E-10	120.855018
8.407150E-10	119.128945
8.442790E-10	118.888345
8.659320E-10	117.427861
8.918890E-10	115.75242
8.956690E-10	115.518934
9.186410E-10	114.101229
9.461780E-10	112.474959
9.541990E-10	112.021646
9.745580E-10	110.872053
