E(MeV)	Sr-88
1.00000E-11	4.50372E+01
1.10304E-11	4.29315E+01
1.21669E-11	4.09290E+01
1.34205E-11	3.90248E+01
1.48034E-11	3.72145E+01
1.63287E-11	3.54936E+01
1.80111E-11	3.38580E+01
1.98669E-11	3.23037E+01
2.19139E-11	3.08270E+01
2.41719E-11	2.94318E+01
2.43424E-11	2.93266E+01
2.66625E-11	2.81054E+01
2.70386E-11	2.79077E+01
2.94097E-11	2.68449E+01
3.00350E-11	2.65650E+01
3.24400E-11	2.56473E+01
3.33618E-11	2.52961E+01
3.57825E-11	2.45100E+01
3.70589E-11	2.40962E+01
3.94694E-11	2.34303E+01
4.11636E-11	2.29631E+01
4.35362E-11	2.24058E+01
4.57253E-11	2.18925E+01
4.80221E-11	2.14341E+01
5.07900E-11	2.08825E+01
5.29701E-11	2.05129E+01
5.64184E-11	1.99293E+01
5.84280E-11	1.96401E+01
6.26675E-11	1.90310E+01
6.44483E-11	1.88137E+01
6.96122E-11	1.81844E+01
7.10888E-11	1.80316E+01
7.73227E-11	1.73876E+01
7.84136E-11	1.72920E+01
8.58805E-11	1.66387E+01
8.64931E-11	1.65932E+01
9.53929E-11	1.59342E+01
9.54051E-11	1.59334E+01
1.05235E-10	1.53180E+01
1.05964E-10	1.52725E+01
1.16078E-10	1.47407E+01
1.18531E-10	1.46120E+01
1.28039E-10	1.41950E+01
1.32589E-10	1.39958E+01
1.41232E-10	1.36801E+01
1.48314E-10	1.34219E+01
1.55784E-10	1.31949E+01
1.65904E-10	1.28880E+01
1.71835E-10	1.27384E+01
1.85580E-10	1.23923E+01
1.89540E-10	1.23095E+01
2.07589E-10	1.19329E+01
2.09070E-10	1.19074E+01
2.30612E-10	1.15377E+01
2.33836E-10	1.14824E+01
2.54374E-10	1.11948E+01
2.63413E-10	1.10685E+01
2.80583E-10	1.08729E+01
2.96718E-10	1.06893E+01
3.09494E-10	1.05719E+01
3.36591E-10	1.03232E+01
3.41383E-10	1.02880E+01
3.76558E-10	1.00299E+01
3.81822E-10	9.99133E+00
4.15358E-10	9.79638E+00
4.36187E-10	9.67556E+00
4.58155E-10	9.57598E+00
5.01782E-10	9.37868E+00
5.05362E-10	9.36615E+00
5.57433E-10	9.18435E+00
5.77243E-10	9.11534E+00
6.14869E-10	9.01493E+00
6.68702E-10	8.87163E+00
6.78223E-10	8.85253E+00
7.48105E-10	8.71272E+00
7.80118E-10	8.64883E+00
8.25188E-10	8.58261E+00
9.10213E-10	8.45805E+00
9.22936E-10	8.43945E+00
1.00400E-09	8.35426E+00
1.09960E-09	8.25409E+00
1.10745E-09	8.24830E+00
1.22156E-09	8.16449E+00
1.32850E-09	8.08618E+00
1.34742E-09	8.07677E+00
1.48625E-09	8.00802E+00
1.63918E-09	7.93255E+00
1.63939E-09	7.93248E+00
1.80831E-09	7.87840E+00
1.99463E-09	7.81898E+00
2.06552E-09	7.79646E+00
2.20015E-09	7.76988E+00
2.42685E-09	7.72534E+00
2.67657E-09	7.67650E+00
2.67691E-09	7.67646E+00
2.95273E-09	7.64501E+00
3.25697E-09	7.61051E+00
3.59210E-09	7.57269E+00
3.59256E-09	7.57266E+00
3.96272E-09	7.55015E+00
4.37103E-09	7.52549E+00
4.82141E-09	7.49844E+00
5.06319E-09	7.48400E+00
5.31819E-09	7.47659E+00
5.86616E-09	7.46081E+00
6.47059E-09	7.44354E+00
7.13730E-09	7.42463E+00
7.65420E-09	7.41005E+00
7.87271E-09	7.40750E+00
8.68389E-09	7.39814E+00
9.57865E-09	7.38793E+00
1.05656E-08	7.37678E+00
1.16543E-08	7.36458E+00
1.28551E-08	7.35122E+00
1.29441E-08	7.35024E+00
1.41796E-08	7.34572E+00
1.56406E-08	7.34046E+00
1.72522E-08	7.33474E+00
1.90298E-08	7.32851E+00
2.09906E-08	7.32172E+00
2.31534E-08	7.31430E+00
2.52403E-08	7.30720E+00
2.52419E-08	7.30720E+00
2.53000E-08	7.30709E+00
2.79068E-08	7.30522E+00
3.07823E-08	7.30322E+00
3.39540E-08	7.30107E+00
3.74525E-08	7.29875E+00
4.13115E-08	7.29626E+00
4.55681E-08	7.29355E+00
5.02633E-08	7.29062E+00
5.54423E-08	7.28743E+00
6.11549E-08	7.28396E+00
6.74561E-08	7.28017E+00
7.44066E-08	7.27603E+00
8.20732E-08	7.27567E+00
9.05297E-08	7.27531E+00
9.98577E-08	7.27495E+00
1.10147E-07	7.27458E+00
1.21496E-07	7.27421E+00
1.34014E-07	7.27383E+00
1.48866E-07	7.27340E+00
1.64204E-07	7.27300E+00
1.81123E-07	7.27258E+00
1.99786E-07	7.27213E+00
2.20371E-07	7.27167E+00
2.43077E-07	7.27118E+00
2.68123E-07	7.27066E+00
2.97822E-07	7.27007E+00
3.28508E-07	7.26948E+00
3.62357E-07	7.26885E+00
3.99693E-07	7.26817E+00
4.40876E-07	7.26743E+00
4.86303E-07	7.26663E+00
5.36410E-07	7.26577E+00
5.91680E-07	7.26484E+00
6.52645E-07	7.26382E+00
7.19891E-07	7.26270E+00
7.94067E-07	7.26149E+00
8.75885E-07	7.26016E+00
9.26369E-07	7.25935E+00
9.66133E-07	7.25931E+00
1.08072E-06	7.25923E+00
1.20048E-06	7.25915E+00
1.33345E-06	7.25908E+00
1.47084E-06	7.25901E+00
1.62239E-06	7.25895E+00
1.78956E-06	7.25888E+00
1.97395E-06	7.25882E+00
2.17734E-06	7.25876E+00
2.43557E-06	7.25869E+00
2.66784E-06	7.25864E+00
2.92211E-06	7.25858E+00
3.22319E-06	7.25852E+00
3.55530E-06	7.25846E+00
3.92163E-06	7.25840E+00
4.32570E-06	7.25834E+00
4.83872E-06	7.25827E+00
5.30017E-06	7.25821E+00
5.76495E-06	7.25815E+00
6.31441E-06	7.25808E+00
6.96502E-06	7.25801E+00
7.68268E-06	7.25794E+00
8.47428E-06	7.25786E+00
9.54619E-06	7.25776E+00
1.05298E-05	7.25767E+00
1.14532E-05	7.25758E+00
1.24575E-05	7.25750E+00
1.36448E-05	7.25740E+00
1.50508E-05	7.25728E+00
1.66016E-05	7.25715E+00
1.80574E-05	7.25704E+00
1.93676E-05	7.25694E+00
2.10660E-05	7.25680E+00
2.29133E-05	7.25666E+00
2.49226E-05	7.25651E+00
2.72993E-05	7.25633E+00
3.01122E-05	7.25612E+00
3.32148E-05	7.25589E+00
3.58744E-05	7.25570E+00
3.84775E-05	7.25551E+00
4.21468E-05	7.25524E+00
4.58428E-05	7.25497E+00
4.95135E-05	7.25471E+00
5.38554E-05	7.25440E+00
5.94045E-05	7.25400E+00
