E(MeV)	mcnp/Cu-65:1
1.00E-11	207.5885343
1.15E-11	193.3302982
1.31E-11	181.6810364
1.62E-11	163.6225236
1.93E-11	150.1185873
2.23E-11	139.532506
2.54E-11	130.9479597
2.85E-11	123.8064506
3.47E-11	112.5192659
4.09E-11	103.9185713
4.70E-11	97.08828595
5.32E-11	91.49695821
5.94E-11	86.81270727
7.17E-11	79.35489004
8.41E-11	73.63315391
9.64E-11	69.06957976
1.09E-10	65.32358433
1.33E-10	59.49471163
1.58E-10	55.12825806
1.83E-10	51.70774037
2.08E-10	48.93981676
2.57E-10	44.70248997
3.06E-10	41.58317523
3.56E-10	39.17247448
4.05E-10	37.24304404
5.04E-10	34.32696226
6.03E-10	32.20991582
7.02E-10	30.59124098
8.00E-10	29.30660923
9.98E-10	27.38269615
1.20E-09	25.99792446
1.39E-09	24.94456098
1.59E-09	24.11091513
1.99E-09	22.86414653
2.38E-09	21.96630711
2.78E-09	21.28211766
3.17E-09	20.73943579
3.96E-09	19.92506125
4.75E-09	19.3359333
5.54E-09	18.88512593
6.33E-09	18.52620819
7.91E-09	17.9850325
9.49E-09	17.59160007
1.11E-08	17.28964015
1.27E-08	17.04867465
1.58E-08	16.68367498
1.90E-08	16.41646129
2.21E-08	16.21050797
2.53E-08	16.04601366
2.88E-08	15.89767483
3.23E-08	15.77521644
3.93E-08	15.58208671
4.63E-08	15.4347495
5.34E-08	15.31816832
6.04E-08	15.22335305
6.74E-08	15.14461559
8.14E-08	15.01881594
9.54E-08	14.92149847
1.09E-07	14.84391567
1.24E-07	14.78030709
1.38E-07	14.72741743
1.66E-07	14.64225854
1.94E-07	14.57591221
2.22E-07	14.52279637
2.50E-07	14.47950864
3.06E-07	14.41122815
3.62E-07	14.35910194
4.18E-07	14.31792474
4.74E-07	14.28459974
5.86E-07	14.23263816
6.99E-07	14.19336996
8.11E-07	14.16247412
9.23E-07	14.13744509
1.15E-06	14.09847213
1.37E-06	14.06897701
1.60E-06	14.04562491
1.82E-06	14.02651991
2.27E-06	13.99640475
2.72E-06	13.97317918
3.17E-06	13.95437198
3.62E-06	13.93859618
4.51E-06	13.9128646
5.41E-06	13.89208093
6.31E-06	13.87445185
7.21E-06	13.85897948
9.00E-06	13.83220559
1.08E-05	13.80898654
1.26E-05	13.78803462
1.44E-05	13.76863727
1.80E-05	13.73288889
2.16E-05	13.69977459
2.52E-05	13.6683723
2.88E-05	13.6381731
3.59E-05	13.58023295
4.31E-05	13.52454103
5.03E-05	13.47042152
5.75E-05	13.41749301
7.19E-05	13.3143038
8.62E-05	13.21380635
0.000100582	13.11526869
0.000114947	13.01812708
0.000136495	12.87368144
0.000158043	12.72791924
0.000172408	12.62694543
0.00017959	12.57382899
0.000186773	12.5175878
0.000190364	12.48773359
0.000193956	12.45621656
0.000197547	12.4225155
0.000201138	12.38583824
0.000204729	12.34506286
0.000206525	12.32259529
0.000208321	12.29823273
0.000210116	12.27158569
0.000211912	12.24205083
0.000213708	12.20893323
0.000214605	12.190705
0.000215503	12.17099867
0.000216401	12.14968709
0.000217299	12.12650293
0.000218197	12.10112367
0.000219095	12.07315838
0.000219992	12.04225791
0.000220441	12.02553031
0.00022089	12.00777103
0.000221339	11.98893696
