E(MeV)	"ENDF/B-VIII.b5: SE-76(N,TOT)"	
1.00000E-11	4397.52	
1.10304E-11	4187.23	
1.10780E-11	4178.81	
1.21669E-11	3986.99	
1.22194E-11	3978.97	
1.34206E-11	3796.34	
1.34785E-11	3788.7	
1.48034E-11	3614.82	
1.48673E-11	3607.54	
1.63287E-11	3441.98	
1.63991E-11	3435.06	
1.80111E-11	3277.43	
1.80889E-11	3270.84	
1.98669E-11	3120.76	
1.99527E-11	3114.48	
2.19139E-11	2971.59	
2.20085E-11	2965.62	
2.41719E-11	2829.57	
2.42762E-11	2823.88	
2.66625E-11	2694.37	
2.69665E-11	2680.06	
2.94097E-11	2565.64	
2.99534E-11	2543.57	
3.24400E-11	2443.08	
3.32728E-11	2413.91	
3.57825E-11	2326.39	
3.69582E-11	2290.86	
3.94694E-11	2215.29	
4.10538E-11	2173.98	
4.35362E-11	2109.52	
4.56010E-11	2063.06	
4.80221E-11	2008.82	
5.06545E-11	1957.71	
5.29701E-11	1912.94	
5.62651E-11	1857.74	
5.84280E-11	1821.66	
6.25003E-11	1762.8	
6.44483E-11	1734.76	
6.94230E-11	1672.72	
7.10888E-11	1652.03	
7.71164E-11	1587.18	
7.84136E-11	1573.27	
8.56580E-11	1506.02	
8.64931E-11	1498.3	
9.51505E-11	1428.95	
9.54051E-11	1426.92	
1.05235E-10	1358.98	
1.05690E-10	1356.26	
1.16078E-10	1294.32	
1.17402E-10	1287.48	
1.28039E-10	1232.76	
1.30406E-10	1222.21	
1.41231E-10	1174.17	
1.45872E-10	1156.33	
1.55784E-10	1118.4	
1.63172E-10	1093.9	
1.71835E-10	1065.3	
1.82524E-10	1034.74	
1.89540E-10	1014.76	
2.04171E-10	978.686	
2.09070E-10	966.655	
2.28386E-10	925.581	
2.30612E-10	920.865	
2.54374E-10	877.295	
2.57274E-10	872.688	
2.80584E-10	835.839	
2.89802E-10	823.217	
3.09494E-10	796.377	
3.26459E-10	776.353	
3.41383E-10	758.817	
3.70329E-10	729.371	
3.76558E-10	723.061	
4.15358E-10	689.044	
4.20094E-10	685.448	
4.58155E-10	656.69	
4.79884E-10	642.477	
5.05362E-10	625.887	
5.48211E-10	601.739	
5.57433E-10	596.564	
6.14869E-10	568.677	
6.30654E-10	562.044	
6.78223E-10	542.146	
7.30575E-10	523.198	
7.48105E-10	516.881	
8.25188E-10	492.854	
8.52299E-10	485.541	
9.10213E-10	469.994	
1.00132E-09	448.836	
1.00400E-09	448.217	
1.10745E-09	427.532	
1.19293E-09	412.747	
1.22155E-09	407.819	
1.34742E-09	389.081	
1.44133E-09	376.989	
1.48625E-09	371.231	
1.63939E-09	354.262	
1.76594E-09	342.137	
1.80831E-09	338.095	
1.99463E-09	322.732	
2.20016E-09	308.081	
2.20965E-09	307.496	
2.42685E-09	294.172	
2.67691E-09	280.915	
2.84342E-09	273.283	
2.95273E-09	268.295	
3.25697E-09	256.3	
3.59256E-09	244.865	
3.76294E-09	239.847	
3.96272E-09	233.989	
4.37103E-09	223.646	
4.82141E-09	213.788	
5.23021E-09	206.056	
5.31819E-09	204.399	
5.86616E-09	195.484	
6.47059E-09	186.99	
7.13730E-09	178.895	
7.74246E-09	172.546	
7.87271E-09	171.186	
8.68389E-09	163.868	
9.57865E-09	156.898	
1.05656E-08	150.258	
1.16543E-08	143.932	
1.25538E-08	139.418	
1.28551E-08	137.913	
1.41796E-08	132.198	
1.56406E-08	126.755	
1.72522E-08	121.568	
1.90298E-08	116.622	
2.09906E-08	111.908	
2.31534E-08	107.415	
2.37478E-08	106.339	
2.52419E-08	103.642	
2.52962E-08	103.55	
2.53000E-08	103.544	
2.79068E-08	99.47	
3.07823E-08	95.5936	
3.39540E-08	91.902	
3.74525E-08	88.3828	
4.13115E-08	85.0273	
4.55681E-08	81.8299	
5.02633E-08	78.7847	
5.54423E-08	75.8859	
6.11549E-08	73.1285	
6.74561E-08	70.5041	
7.44066E-08	68.0114	
8.20732E-08	65.6334	
9.05297E-08	63.3682	
9.98577E-08	61.2116	
1.10147E-07	59.1586	
1.21496E-07	57.2062	
1.34014E-07	55.3523	
1.48866E-07	53.4586	
1.64204E-07	51.7742	
1.81123E-07	50.1701	
1.99786E-07	48.6427	
2.20371E-07	47.1881	
2.43077E-07	45.8034	
2.68123E-07	44.4908	
2.97822E-07	43.1481	
3.28508E-07	41.9527	
3.62357E-07	40.814	
3.99693E-07	39.729	
4.40876E-07	38.6951	
4.86303E-07	37.7113	
5.00121E-07	37.4553	
5.40194E-07	36.7167	
5.95854E-07	35.8273	
6.57249E-07	34.98	
7.24969E-07	34.173	
7.99668E-07	33.4038	
8.82063E-07	32.6704	
9.72949E-07	31.9737	
1.08834E-06	31.2163	
1.20889E-06	30.5402	
1.33345E-06	29.9389	
1.47084E-06	29.3641	
