E(MeV)	Xe-124
1.000000E-11	54.4017802
1.029990E-11	53.6245285
1.060870E-11	52.8592148
1.092690E-11	52.1050755
1.125440E-11	51.3627651
1.159200E-11	50.6312301
1.193640E-11	49.9173929
1.193950E-11	49.9111797
1.229450E-11	49.2075585
1.229760E-11	49.2016172
1.266300E-11	48.5090572
1.266620E-11	48.5031925
1.304280E-11	47.8206892
1.304620E-11	47.8147317
1.343380E-11	47.1430764
1.343720E-11	47.1373792
1.383670E-11	46.4754307
1.384030E-11	46.4696635
1.425150E-11	45.8182439
1.425520E-11	45.8125763
1.467900E-11	45.1705876
1.468270E-11	45.1651688
1.511900E-11	44.5333196
1.512290E-11	44.5278582
1.557250E-11	43.9052398
1.557650E-11	43.8998847
1.603930E-11	43.2872212
1.604340E-11	43.2819728
1.652030E-11	42.6782772
1.652460E-11	42.6730152
1.701560E-11	42.0788578
1.701990E-11	42.0738264
1.752590E-11	41.488382
1.753040E-11	41.4833486
1.805130E-11	40.9071976
1.805590E-11	40.9022784
1.859270E-11	40.3346601
1.859750E-11	40.3297534
1.915010E-11	39.7711815
1.915500E-11	39.7663926
1.972450E-11	39.2160253
1.972950E-11	39.211354
2.031570E-11	38.6698139
2.032090E-11	38.6651699
2.092510E-11	38.131644
2.093050E-11	38.127034
2.155230E-11	37.6021488
2.155790E-11	37.5975792
2.219880E-11	37.0804573
2.220450E-11	37.0760111
2.286420E-11	36.5672052
2.287010E-11	36.5628063
2.355000E-11	36.0615804
2.355610E-11	36.057233
2.425590E-11	35.5641138
2.426220E-11	35.5598228
2.498350E-11	35.0740574
2.498990E-11	35.0698909
2.573240E-11	34.5919555
2.573900E-11	34.5878488
2.650420E-11	34.1170925
2.651100E-11	34.1130487
2.729870E-11	33.6499079
2.730570E-11	33.6459296
2.811750E-11	33.1897836
2.812470E-11	33.1858732
2.896040E-11	32.7371227
2.896780E-11	32.7332909
2.983670E-11	32.2884778
2.995490E-11	32.2286331
3.073110E-11	31.8507802
3.098360E-11	31.7292203
3.165280E-11	31.4194316
3.204760E-11	31.2387048
3.260170E-11	30.9948091
3.314820E-11	30.7569446
3.357950E-11	30.5764255
3.428660E-11	30.2838052
3.458610E-11	30.1646076
3.546400E-11	29.8191714
3.562350E-11	29.7588178
3.668190E-11	29.3628853
3.669130E-11	29.3595034
3.779190E-11	28.9680841
3.794160E-11	28.9154342
3.892470E-11	28.5830517
3.924460E-11	28.4761038
4.009230E-11	28.2036451
4.059230E-11	28.0447459
4.129410E-11	27.8303264
4.198630E-11	27.621228
4.253270E-11	27.4625409
4.342820E-11	27.2054276
4.380760E-11	27.1006925
4.491960E-11	26.7972374
4.512160E-11	26.7442356
4.646220E-11	26.3965374
4.647420E-11	26.3935448
4.786810E-11	26.0499652
4.805780E-11	26.0037316
4.930300E-11	25.7120521
4.970820E-11	25.6182106
5.078180E-11	25.379225
5.141520E-11	25.2398331
5.230410E-11	25.0518148
