E(MeV)	Sm-154
8.77133E-05	2760.72
8.77454E-05	2898.24
8.78155E-05	2933.68
8.79006E-05	3085.07
8.79415E-05	3123.03
8.79688E-05	3290.18
8.80369E-05	3334.04
8.80914E-05	3517.63
8.81186E-05	3566.66
8.81425E-05	3770.79
8.81833E-05	3823.89
8.82225E-05	4051.68
8.82515E-05	4108.83
8.82566E-05	4283.65
8.82906E-05	4431.81
8.83247E-05	4534.3
8.83503E-05	4698.97
8.83809E-05	4811.98
8.83843E-05	4990.46
8.84013E-05	5115.4
8.84218E-05	5309.34
8.84405E-05	5447.8
8.84575E-05	5659.08
8.84746E-05	5812.97
8.84916E-05	6049.41
8.85069E-05	6215.2
8.85274E-05	6480.71
8.85410E-05	6664.14
8.85546E-05	6958.81
8.85700E-05	7164.94
8.85853E-05	7490.72
8.85998E-05	7723.26
8.86125E-05	8080.16
8.86253E-05	8129.67
8.86364E-05	8571.02
8.86466E-05	8651.62
8.86568E-05	9049.11
8.86687E-05	9235.23
8.86807E-05	9745.69
8.86875E-05	9872.75
8.86909E-05	10315.9
8.87011E-05	10581.6
8.87126E-05	10936
8.87207E-05	11366.4
8.87292E-05	11611.9
8.87377E-05	12284.3
8.87462E-05	12348.4
8.87551E-05	13030.7
8.87634E-05	13159.6
8.87718E-05	13849.3
8.87803E-05	14204.7
8.87884E-05	14734.6
8.87999E-05	14968.5
8.88084E-05	15625.4
8.88169E-05	15794.3
8.88271E-05	16506.5
8.88373E-05	16689.5
8.88493E-05	17462.2
8.88612E-05	17660.8
8.88714E-05	18500.8
8.88816E-05	18716.9
8.88927E-05	19632
8.89055E-05	19867.6
8.89182E-05	20866.5
8.89327E-05	21123.9
8.89480E-05	22216.7
8.89634E-05	22498.5
8.89770E-05	23696.7
8.89906E-05	24006
8.90043E-05	25322.8
8.90179E-05	25662.8
8.90349E-05	27113.1
8.90519E-05	27487.9
8.90690E-05	29088.8
8.90724E-05	29502.8
8.90860E-05	31273.7
8.91064E-05	31731.9
8.91269E-05	33694.6
8.91473E-05	34202.9
8.91677E-05	36227.5
8.91916E-05	36370
8.92086E-05	38424.5
8.92154E-05	38579.5
8.92393E-05	40805.4
8.92631E-05	40973.3
8.92861E-05	43385.9
8.93091E-05	43567.9
