MeV	"I-127(N,EL)I-127-L0"
3.83294E-04	3.08568
3.83361E-04	3.1951
3.83427E-04	3.31932
3.83493E-04	3.46027
3.83560E-04	3.6202
3.83626E-04	3.80172
3.83693E-04	4.00791
3.83759E-04	4.2424
3.83817E-04	4.47416
3.83867E-04	4.69526
3.83917E-04	4.9397
3.83966E-04	5.21037
3.84016E-04	5.51063
3.84066E-04	5.84442
3.84116E-04	6.21635
3.84165E-04	6.6319
3.84212E-04	7.06252
3.84254E-04	7.50375
3.84297E-04	7.9929
3.84340E-04	8.53684
3.84382E-04	9.14371
3.84414E-04	9.64597
3.84446E-04	10.1938
3.84478E-04	10.7929
3.84510E-04	11.4494
3.84532E-04	11.9225
3.84565E-04	12.7214
3.84598E-04	13.6061
3.84631E-04	14.5884
3.84664E-04	15.682
3.84689E-04	16.5848
3.84714E-04	17.5665
3.84739E-04	18.6356
3.84764E-04	19.8013
3.84789E-04	21.0739
3.84811E-04	22.3267
3.84840E-04	24.0618
3.84868E-04	25.9859
3.84889E-04	27.5664
3.84911E-04	29.2761
3.84932E-04	31.1261
3.84953E-04	33.1279
3.84975E-04	35.2942
3.84996E-04	37.6382
3.85017E-04	40.1741
3.85036E-04	42.6011
3.85060E-04	45.8811
3.85084E-04	49.4553
3.85107E-04	53.3468
3.85131E-04	57.5795
3.85155E-04	62.1781
3.85179E-04	67.1676
3.85202E-04	72.5734
3.85225E-04	78.1782
3.85247E-04	83.9522
3.85269E-04	90.1393
3.85290E-04	96.7582
3.85312E-04	103.826
3.85334E-04	111.36
3.85356E-04	119.373
3.85378E-04	127.879
3.85407E-04	139.938
3.85434E-04	152.021
3.85461E-04	164.9
3.85488E-04	178.575
3.85524E-04	198.025
3.85563E-04	220.8
3.85608E-04	248.989
3.85654E-04	278.904
3.85720E-04	324.855
3.85851E-04	417.749
3.85914E-04	459.673
3.85955E-04	485.425
3.85997E-04	508.773
3.86037E-04	528.34
3.86075E-04	544.125
3.86114E-04	557.095
3.86154E-04	566.744
3.86187E-04	571.911
3.86228E-04	574.287
3.86232E-04	574.299
3.86272E-04	572.17
3.86313E-04	565.829
3.86355E-04	555.466
3.86382E-04	546.46
3.86428E-04	528.189
3.86473E-04	506.219
3.86526E-04	476.769
3.86579E-04	444.251
3.86670E-04	384.563
3.86757E-04	326.792
3.86814E-04	290.662
3.86864E-04	260.794
3.86911E-04	234.222
3.86947E-04	215.628
3.86983E-04	198.239
3.87018E-04	182.081
3.87042E-04	171.995
3.87074E-04	159.146
3.87106E-04	147.278
3.87139E-04	136.358
3.87171E-04	126.345
3.87203E-04	117.19
3.87235E-04	108.843
3.87267E-04	101.249
3.87300E-04	94.3535
3.87335E-04	87.4912
3.87371E-04	81.3387
3.87406E-04	75.8262
3.87442E-04	70.8877
3.87477E-04	66.4617
3.87513E-04	62.4914
3.87549E-04	58.9252
3.87584E-04	55.7165
3.87620E-04	52.8229
3.87655E-04	50.2075
3.87679E-04	48.6019
3.87726E-04	45.6823
3.87774E-04	43.1016
3.87821E-04	40.8078
3.87868E-04	38.7579
3.87916E-04	36.9161
3.87963E-04	35.2528
3.88011E-04	33.7435
3.88058E-04	32.3677
3.88127E-04	30.5756
3.88196E-04	28.9866
3.88264E-04	27.5679
3.88333E-04	26.2932
3.88402E-04	25.1418
3.88505E-04	23.6092
3.88608E-04	22.2711
3.88710E-04	21.1056
3.88812E-04	20.0708
3.88914E-04	19.146
3.89016E-04	18.315
3.89117E-04	17.5644
3.89270E-04	16.5661
3.89423E-04	15.6955
3.89601E-04	14.814
3.89779E-04	14.0477
3.89956E-04	13.3759
3.90134E-04	12.7825
3.90312E-04	12.2546
3.90496E-04	11.7655
3.90747E-04	11.1812
3.90997E-04	10.6726
3.91248E-04	10.226
3.91492E-04	9.8393
3.91851E-04	9.34542
3.92209E-04	8.92217
3.92504E-04	8.61799
3.92936E-04	8.23296
3.93490E-04	7.80793
3.94036E-04	7.44755
3.94518E-04	7.17803
3.95045E-04	6.92126
3.95642E-04	6.66786
3.96310E-04	6.42199
3.96978E-04	6.20756
3.97979E-04	5.93182
3.99033E-04	5.68679
4.00087E-04	5.47627
4.01212E-04	5.28036
4.02477E-04	5.08623
4.04164E-04	4.85786
4.06531E-04	4.57463
4.11200E-04	4.05193
4.12752E-04	3.86191
4.14057E-04	3.68161
4.15115E-04	3.51161
4.15644E-04	3.41417
4.16350E-04	3.26482
4.16879E-04	3.13182
4.17249E-04	3.02312
4.17540E-04	2.92522
4.17831E-04	2.81252
4.18069E-04	2.70565
4.18307E-04	2.58125
4.18466E-04	2.4862
4.18678E-04	2.34423
4.18836E-04	2.23565
4.18933E-04	2.18091
4.18999E-04	2.15727
4.19043E-04	2.15178
4.19088E-04	2.15784
4.19132E-04	2.17899
4.19165E-04	2.20728
4.19198E-04	2.24846
4.19231E-04	2.30482
4.19260E-04	2.37001
4.19288E-04	2.44586
4.19316E-04	2.53752
4.19344E-04	2.64675
4.19371E-04	2.77536
4.19399E-04	2.92517
4.19427E-04	3.09804
4.19455E-04	3.29577
4.19483E-04	3.52012
4.19510E-04	3.77272
4.19538E-04	4.05506
4.19567E-04	4.38419
4.19596E-04	4.74857
4.19625E-04	5.14907
4.19655E-04	5.5861
4.19684E-04	6.05963
4.19711E-04	6.5372
4.19746E-04	7.19868
4.19782E-04	7.90812
4.19817E-04	8.66094
4.19866E-04	9.77609
4.19946E-04	11.6667
4.20046E-04	14.0752
4.20102E-04	15.3407
4.20148E-04	16.2653
4.20187E-04	16.9894
4.20232E-04	17.7004
4.20268E-04	18.1661
4.20312E-04	18.5973
4.20351E-04	18.857
4.20385E-04	18.9797
4.20407E-04	19.0087
4.20444E-04	18.9666
4.20486E-04	18.7852
4.20529E-04	18.4698
4.20578E-04	17.9487
4.20613E-04	17.4882
4.20661E-04	16.7634
4.20709E-04	15.9496
4.20780E-04	14.6481
4.20921E-04	11.9642
4.20974E-04	11.0144
4.21020E-04	10.2404
4.21062E-04	9.57391
4.21104E-04	8.95753
4.21147E-04	8.39318
4.21189E-04	7.88118
4.21217E-04	7.56843
4.21261E-04	7.12382
4.21305E-04	6.73012
4.21349E-04	6.38343
4.21393E-04	6.07943
4.21437E-04	5.81362
4.21482E-04	5.58153
4.21526E-04	5.37887
4.21570E-04	5.20167
4.21636E-04	4.97573
4.21702E-04	4.78837
4.21768E-04	4.63096
4.21834E-04	4.49671
4.21922E-04	4.34486
4.22016E-04	4.20911
4.22156E-04	4.03863
4.22296E-04	3.89539
4.22482E-04	3.7328
4.22669E-04	3.59285
4.22897E-04	3.44344
4.23125E-04	3.31205
4.23353E-04	3.19533
4.23654E-04	3.06242
4.23872E-04	2.98282
4.24089E-04	2.92154
4.24267E-04	2.89041
4.24372E-04	2.88289
4.24476E-04	2.88595
4.24581E-04	2.9025
4.24684E-04	2.93563
4.24787E-04	2.99075
4.24855E-04	3.04326
4.24924E-04	3.11182
4.24992E-04	3.20041
4.25044E-04	3.28316
4.25095E-04	3.38311
4.25144E-04	3.49831
4.25189E-04	3.62333
4.25234E-04	3.7717
4.25279E-04	3.94842
4.25309E-04	4.08502
4.25338E-04	4.2392
4.25368E-04	4.41355
4.25398E-04	4.61109
4.25428E-04	4.83528
4.25458E-04	5.09015
4.25487E-04	5.38032
4.25517E-04	5.71111
4.25540E-04	5.98949
4.25562E-04	6.29698
4.25584E-04	6.63678
4.25607E-04	7.01231
4.25631E-04	7.46299
4.25655E-04	7.96516
4.25679E-04	8.52464
4.25704E-04	9.14767
4.25728E-04	9.84115
4.25752E-04	10.6124
4.25776E-04	11.4695
4.25800E-04	12.4209
4.25824E-04	13.4757
4.25849E-04	14.6436
4.25872E-04	15.8895
4.25894E-04	17.1615
4.25916E-04	18.5496
4.25937E-04	20.062
4.25959E-04	21.7074
4.25981E-04	23.494
4.26003E-04	25.4309
4.26024E-04	27.5263
4.26046E-04	29.7889
4.26068E-04	32.2268
4.26090E-04	34.8483
4.26116E-04	38.3124
4.26136E-04	41.0181
4.26165E-04	45.3818
4.26194E-04	50.1222
4.26223E-04	55.2487
4.26252E-04	60.7665
4.26284E-04	67.3582
4.26316E-04	74.4286
4.26349E-04	81.9638
4.26381E-04	89.9401
4.26423E-04	101.088
4.26466E-04	112.841
4.26529E-04	131.115
4.26649E-04	166.522
4.26706E-04	182.451
4.26757E-04	195.801
4.26804E-04	206.525
4.26843E-04	214.305
4.26881E-04	220.87
4.26923E-04	226.463
4.26955E-04	229.61
4.26986E-04	231.609
4.27025E-04	232.779
4.27034E-04	232.823
4.27061E-04	232.436
4.27096E-04	230.826
4.27129E-04	228.187
4.27175E-04	222.709
4.27212E-04	217.138
4.27248E-04	210.539
4.27289E-04	201.896
4.27330E-04	192.276
4.27382E-04	179.201
4.27478E-04	153.112
4.27573E-04	127.052
4.27616E-04	115.929
4.27659E-04	105.311
4.27701E-04	95.3021
4.27739E-04	87.0663
4.27771E-04	80.4139
4.27803E-04	74.1884
4.27835E-04	68.3943
4.27868E-04	63.0289
4.27900E-04	58.0845
4.27932E-04	53.5481
4.27964E-04	49.4033
4.27997E-04	45.6303
4.28029E-04	42.2075
4.28061E-04	39.1117
4.28093E-04	36.3189
4.28126E-04	33.8051
4.28158E-04	31.5463
4.28190E-04	29.5194
4.28222E-04	27.7022
4.28250E-04	26.3066
4.28284E-04	24.7529
4.28317E-04	23.3673
4.28351E-04	22.1305
4.28385E-04	21.0248
4.28419E-04	20.0344
4.28453E-04	19.145
4.28487E-04	18.3442
4.28532E-04	17.3955
4.28577E-04	16.5622
4.28633E-04	15.667
4.28682E-04	14.97
4.28732E-04	14.3513
4.28798E-04	13.6263
4.28864E-04	12.994
4.28930E-04	12.4366
4.28996E-04	11.9403
4.29095E-04	11.2885
4.29169E-04	10.8646
4.29249E-04	10.4456
4.29370E-04	9.89249
4.29491E-04	9.41245
4.29612E-04	8.99086
4.29733E-04	8.61678
4.29878E-04	8.21892
4.30036E-04	7.83877
4.30193E-04	7.50115
4.30402E-04	7.1033
4.30612E-04	6.75212
4.30884E-04	6.34844
4.31156E-04	5.98789
4.31564E-04	5.50019
4.32581E-04	4.37991
4.33036E-04	3.85017
4.33304E-04	3.53549
4.33391E-04	3.44618
4.33479E-04	3.37702
4.33537E-04	3.35041
4.33566E-04	3.34571
4.33610E-04	3.35291
4.33654E-04	3.38196
4.33691E-04	3.4294
4.33729E-04	3.50296
4.33754E-04	3.56948
4.33779E-04	3.65236
4.33804E-04	3.75391
4.33829E-04	3.87667
4.33854E-04	4.02346
4.33880E-04	4.19735
4.33905E-04	4.40168
4.33930E-04	4.64006
4.33948E-04	4.84353
4.33967E-04	5.07007
4.33986E-04	5.32153
4.34005E-04	5.59977
4.34024E-04	5.90682
4.34043E-04	6.24467
4.34065E-04	6.6913
4.34085E-04	7.12768
4.34105E-04	7.60609
4.34124E-04	8.12914
4.34144E-04	8.69943
4.34164E-04	9.3196
4.34184E-04	9.9922
4.34204E-04	10.7197
4.34225E-04	11.5527
4.34247E-04	12.5048
4.34269E-04	13.5346
4.34291E-04	14.645
4.34313E-04	15.8382
4.34335E-04	17.1163
4.34358E-04	18.4808
4.34380E-04	19.9327
4.34411E-04	22.1044
4.34441E-04	24.3545
4.34470E-04	26.7585
4.34500E-04	29.311
4.34540E-04	32.9298
4.34575E-04	36.3649
4.34627E-04	41.5791
4.34708E-04	50.2679
4.34786E-04	58.6374
4.34839E-04	63.9639
4.34884E-04	68.2185
4.34925E-04	71.7721
4.34962E-04	74.6495
4.34996E-04	76.9077
4.35033E-04	79.0077
4.35072E-04	80.7107
4.35109E-04	81.8264
4.35147E-04	82.4314
4.35176E-04	82.5451
4.35218E-04	82.1631
4.35257E-04	81.2387
4.35290E-04	80.0322
4.35324E-04	78.4695
4.35361E-04	76.3519
4.35399E-04	73.8788
4.35455E-04	69.6177
4.35501E-04	65.6815
4.35585E-04	58.0838
4.35678E-04	49.4914
4.35725E-04	45.3459
4.35772E-04	41.3915
4.35818E-04	37.6776
4.35853E-04	35.0713
4.35888E-04	32.6294
4.35923E-04	30.3574
4.35958E-04	28.2571
4.35986E-04	26.6994
4.36014E-04	25.2488
4.36042E-04	23.9023
4.36070E-04	22.6563
4.36098E-04	21.5065
4.36126E-04	20.4482
4.36154E-04	19.4763
4.36194E-04	18.2455
4.36228E-04	17.2971
4.36262E-04	16.4481
4.36296E-04	15.6891
4.36330E-04	15.011
4.36364E-04	14.4052
4.36410E-04	13.6963
4.36455E-04	13.0845
4.36501E-04	12.5548
4.36546E-04	12.0941
4.36604E-04	11.5865
4.36663E-04	11.1545
4.36721E-04	10.7827
4.36809E-04	10.3121
4.36896E-04	9.92033
4.36983E-04	9.58701
4.37077E-04	9.2803
4.37205E-04	8.92071
4.37333E-04	8.61553
4.37462E-04	8.35186
4.37620E-04	8.07145
4.37807E-04	7.78725
4.37995E-04	7.54379
4.38276E-04	7.23584
4.38539E-04	6.99434
4.38802E-04	6.78642
4.39104E-04	6.57969
4.39483E-04	6.3568
4.40016E-04	6.09251
4.40633E-04	5.82998
4.40970E-04	5.70156
4.41924E-04	5.3761
4.43628E-04	4.83399
4.44229E-04	4.62493
4.44750E-04	4.42202
4.45189E-04	4.22528
4.45508E-04	4.06178
4.45805E-04	3.88834
4.46102E-04	3.68879
4.46311E-04	3.53026
4.46641E-04	3.26227
4.46751E-04	3.18676
4.46833E-04	3.15048
4.46881E-04	3.14378
4.46929E-04	3.15301
4.46971E-04	3.1779
4.47012E-04	3.22321
4.47053E-04	3.29445
4.47081E-04	3.35956
4.47112E-04	3.45429
4.47143E-04	3.57449
4.47175E-04	3.72436
4.47195E-04	3.84305
4.47216E-04	3.97851
4.47237E-04	4.13233
4.47258E-04	4.3062
4.47279E-04	4.50192
4.47300E-04	4.72134
4.47321E-04	4.9664
4.47342E-04	5.23913
4.47363E-04	5.5416
4.47384E-04	5.87593
4.47404E-04	6.24429
4.47427E-04	6.68242
4.47451E-04	7.20265
4.47475E-04	7.77798
4.47500E-04	8.41169
4.47524E-04	9.10695
4.47548E-04	9.86676
4.47572E-04	10.6938
4.47596E-04	11.5906
4.47619E-04	12.5137
4.47641E-04	13.4549
4.47663E-04	14.4577
4.47685E-04	15.5226
4.47718E-04	17.2366
4.47751E-04	19.0889
4.47784E-04	21.0753
4.47817E-04	23.1893
4.47850E-04	25.4209
4.47900E-04	28.96
4.47963E-04	33.7254
4.48076E-04	42.5261
4.48133E-04	46.7233
4.48182E-04	50.1473
4.48221E-04	52.6075
4.48256E-04	54.6266
4.48303E-04	56.9681
4.48335E-04	58.2547
4.48369E-04	59.3792
4.48409E-04	60.3096
4.48453E-04	60.8683
4.48479E-04	60.954
4.48516E-04	60.7718
4.48557E-04	60.1727
4.48604E-04	58.9649
4.48639E-04	57.7464
4.48674E-04	56.2799
4.48727E-04	53.6784
4.48770E-04	51.3001
4.48819E-04	48.2751
4.48909E-04	42.4818
4.48994E-04	36.8584
4.49060E-04	32.7645
4.49104E-04	30.1756
4.49148E-04	27.7482
4.49192E-04	25.4993
4.49228E-04	23.7853
4.49264E-04	22.2016
4.49301E-04	20.7476
4.49337E-04	19.4205
4.49373E-04	18.2159
4.49406E-04	17.222
4.49437E-04	16.3622
4.49469E-04	15.5795
4.49500E-04	14.8689
4.49531E-04	14.2251
4.49573E-04	13.4613
4.49615E-04	12.7945
4.49657E-04	12.2129
4.49699E-04	11.7057
4.49747E-04	11.1982
4.49802E-04	10.7088
4.49857E-04	10.2957
4.49912E-04	9.94436
4.49967E-04	9.64287
4.50049E-04	9.2637
4.50132E-04	8.95104
4.50214E-04	8.68765
4.50324E-04	8.39291
4.50434E-04	8.14582
4.50599E-04	7.83921
4.50747E-04	7.61119
4.50896E-04	7.41687
4.51094E-04	7.19753
4.51292E-04	7.01287
4.51512E-04	6.83799
4.51878E-04	6.60142
4.52243E-04	6.41206
4.52629E-04	6.24804
4.53157E-04	6.06582
4.53668E-04	5.92324
4.54294E-04	5.7869
4.55921E-04	5.50196
4.57013E-04	5.36139
4.58774E-04	5.18377
4.59971E-04	5.08382
4.62332E-04	4.91646
4.68051E-04	4.57874
4.70042E-04	4.45323
4.71444E-04	4.34807
4.72446E-04	4.25272
4.73199E-04	4.15804
4.73778E-04	4.0575
4.74100E-04	3.98176
4.74261E-04	3.93537
4.74728E-04	3.77067
4.74849E-04	3.73756
4.74929E-04	3.72813
4.75005E-04	3.7347
4.75076E-04	3.75998
4.75147E-04	3.80949
4.75200E-04	3.86599
4.75253E-04	3.94162
4.75316E-04	4.05831
4.75379E-04	4.20665
4.75420E-04	4.3236
4.75485E-04	4.53114
4.75549E-04	4.76959
4.75612E-04	5.02693
4.75826E-04	5.9782
4.75910E-04	6.3178
4.75981E-04	6.56137
4.76039E-04	6.72109
4.76082E-04	6.8146
4.76134E-04	6.89246
4.76185E-04	6.93453
4.76211E-04	6.94217
4.76265E-04	6.93004
4.76327E-04	6.87238
4.76380E-04	6.79031
4.76444E-04	6.65627
4.76541E-04	6.40461
4.76798E-04	5.64867
4.76910E-04	5.36169
4.76984E-04	5.19578
4.77058E-04	5.05106
4.77135E-04	4.92147
4.77256E-04	4.75704
4.77376E-04	4.62916
4.77545E-04	4.49149
4.77674E-04	4.40657
4.77932E-04	4.26154
4.78389E-04	4.01782
4.78795E-04	3.78576
4.78922E-04	3.73623
4.78985E-04	3.72732
4.79049E-04	3.73561
4.79112E-04	3.76763
4.79155E-04	3.80594
4.79197E-04	3.86076
4.79235E-04	3.92566
4.79284E-04	4.0375
4.79334E-04	4.18363
4.79367E-04	4.30224
4.79400E-04	4.4392
4.79433E-04	4.59556
4.79466E-04	4.77219
4.79499E-04	4.97242
4.79533E-04	5.19748
4.79567E-04	5.44508
4.79618E-04	5.858
4.79668E-04	6.31821
4.79719E-04	6.82069
4.79784E-04	7.50615
4.79956E-04	9.45089
4.80035E-04	10.2769
4.80086E-04	10.7602
4.80143E-04	11.221
4.80188E-04	11.5206
4.80229E-04	11.7382
4.80268E-04	11.8912
4.80319E-04	12.0142
4.80360E-04	12.0455
4.80400E-04	12.0198
4.80455E-04	11.9011
4.80507E-04	11.7004
4.80556E-04	11.4538
4.80616E-04	11.0694
4.80681E-04	10.5985
4.80816E-04	9.49985
4.80918E-04	8.68079
4.81004E-04	8.04177
4.81062E-04	7.65754
4.81119E-04	7.31086
4.81190E-04	6.93574
4.81254E-04	6.64896
4.81317E-04	6.4043
4.81381E-04	6.19738
4.81444E-04	6.02335
4.81529E-04	5.83403
4.81614E-04	5.6837
4.81698E-04	5.56316
4.81825E-04	5.42255
4.81961E-04	5.30854
4.82164E-04	5.17998
4.82367E-04	5.08217
4.82705E-04	4.95874
4.83044E-04	4.86544
4.83518E-04	4.76493
4.83992E-04	4.68622
4.84669E-04	4.59662
4.85346E-04	4.52363
4.86565E-04	4.41566
4.89067E-04	4.23282
4.91723E-04	4.03911
4.93096E-04	3.91925
4.94239E-04	3.79515
4.94945E-04	3.69959
4.95593E-04	3.59113
4.96107E-04	3.48365
4.96488E-04	3.3861
4.96851E-04	3.27337
4.97108E-04	3.17725
4.97365E-04	3.06403
4.97832E-04	2.82884
4.97927E-04	2.79656
4.97999E-04	2.78846
4.98047E-04	2.79535
4.98094E-04	2.81599
4.98142E-04	2.85465
4.98176E-04	2.89685
4.98209E-04	2.9491
4.98241E-04	3.01598
4.98273E-04	3.09977
4.98305E-04	3.20301
4.98337E-04	3.32843
4.98369E-04	3.47899
4.98402E-04	3.65778
4.98434E-04	3.8681
4.98455E-04	4.0275
4.98477E-04	4.20344
4.98498E-04	4.39694
4.98523E-04	4.64629
4.98552E-04	4.96432
4.98580E-04	5.31985
4.98609E-04	5.71509
4.98637E-04	6.15206
4.98666E-04	6.63258
4.98695E-04	7.15817
4.98723E-04	7.72998
4.98756E-04	8.43489
4.98783E-04	9.07261
4.98810E-04	9.75276
4.98846E-04	10.7245
4.98882E-04	11.7673
4.98919E-04	12.8765
4.98955E-04	14.0456
4.99009E-04	15.8929
4.99099E-04	19.094
4.99191E-04	22.3917
4.99235E-04	23.8898
4.99283E-04	25.4532
4.99323E-04	26.6158
4.99372E-04	27.8822
4.99413E-04	28.7864
4.99457E-04	29.5692
4.99505E-04	30.1754
4.99548E-04	30.501
4.99591E-04	30.6142
4.99634E-04	30.5113
4.99680E-04	30.1749
4.99726E-04	29.6183
4.99774E-04	28.8183
4.99826E-04	27.7217
4.99877E-04	26.4953
4.99927E-04	25.1361
5.00003E-04	22.9153
5.00137E-04	18.9241
5.00194E-04	17.2949
5.00232E-04	16.2623
5.00285E-04	14.9045
5.00325E-04	13.9605
5.00365E-04	13.0844
5.00405E-04	12.2774
5.00445E-04	11.5397
5.00484E-04	10.8848
5.00524E-04	10.2922
5.00563E-04	9.75867
5.00602E-04	9.28056
5.00641E-04	8.8538
5.00680E-04	8.47415
5.00719E-04	8.13728
5.00758E-04	7.83894
5.00806E-04	7.52128
5.00853E-04	7.24782
5.00901E-04	7.01215
5.00949E-04	6.80857
5.01020E-04	6.55253
5.01092E-04	6.34341
5.01139E-04	6.22449
5.01235E-04	6.02432
5.01330E-04	5.86184
5.01473E-04	5.66642
5.01611E-04	5.515
5.01792E-04	5.35377
5.01973E-04	5.22192
5.02245E-04	5.06195
5.02531E-04	4.92743
5.02817E-04	4.8169
5.03160E-04	4.70658
5.03617E-04	4.58572
5.04227E-04	4.45514
5.04990E-04	4.32198
5.05752E-04	4.20827
5.09018E-04	3.77638
5.09912E-04	3.64223
5.10678E-04	3.50949
5.11367E-04	3.36771
5.11826E-04	3.25593
5.12285E-04	3.1245
5.12649E-04	3.00146
5.12921E-04	2.89459
5.13175E-04	2.78114
5.13338E-04	2.70017
5.13759E-04	2.47421
5.13854E-04	2.43387
5.13926E-04	2.41547
5.13968E-04	2.41223
5.14022E-04	2.41954
5.14070E-04	2.4404
5.14105E-04	2.46741
5.14141E-04	2.5064
5.14177E-04	2.55968
5.14213E-04	2.62986
5.14249E-04	2.71987
5.14285E-04	2.83293
5.14309E-04	2.92286
5.14333E-04	3.02571
5.14357E-04	3.14267
5.14381E-04	3.27495
5.14404E-04	3.4238
5.14428E-04	3.59051
5.14456E-04	3.80403
5.14483E-04	4.04441
5.14510E-04	4.31359
5.14538E-04	4.61349
5.14565E-04	4.94595
5.14592E-04	5.31269
5.14619E-04	5.71534
5.14647E-04	6.15528
5.14674E-04	6.63376
5.14701E-04	7.15167
5.14733E-04	7.81174
5.14761E-04	8.42819
5.14789E-04	9.08629
5.14816E-04	9.78538
5.14847E-04	10.603
5.14881E-04	11.5501
5.14931E-04	13.0653
5.14980E-04	14.6609
5.15062E-04	17.407
5.15172E-04	21.1906
5.15231E-04	23.0767
5.15280E-04	24.5467
5.15322E-04	25.7122
5.15371E-04	26.8746
5.15414E-04	27.7198
5.15461E-04	28.4368
5.15508E-04	28.9252
5.15535E-04	29.1017
5.15580E-04	29.2084
5.15622E-04	29.1043
5.15664E-04	28.8161
5.15708E-04	28.3114
5.15754E-04	27.5928
5.15800E-04	26.6961
5.15843E-04	25.7115
5.15905E-04	24.1132
5.15980E-04	21.9831
5.16131E-04	17.4479
5.16189E-04	15.7996
5.16239E-04	14.4447
5.16288E-04	13.1747
5.16338E-04	11.9997
5.16375E-04	11.1847
5.16409E-04	10.5026
5.16451E-04	9.71127
5.16493E-04	8.99228
5.16535E-04	8.34305
5.16567E-04	7.89985
5.16598E-04	7.49229
5.16630E-04	7.11856
5.16662E-04	6.77684
5.16704E-04	6.36782
5.16736E-04	6.08629
5.16770E-04	5.81912
5.16805E-04	5.58098
5.16839E-04	5.37033
5.16873E-04	5.18595
5.16908E-04	5.02697
5.16942E-04	4.8929
5.16976E-04	4.7837
5.17010E-04	4.6997
5.17045E-04	4.64169
5.17079E-04	4.61086
5.17100E-04	4.60607
5.17128E-04	4.61744
5.17157E-04	4.65055
5.17185E-04	4.70678
5.17213E-04	4.7877
5.17242E-04	4.89498
5.17270E-04	5.03041
5.17298E-04	5.19582
5.17327E-04	5.39311
5.17355E-04	5.62416
5.17383E-04	5.89086
5.17407E-04	6.14162
5.17435E-04	6.47819
5.17464E-04	6.8551
5.17492E-04	7.27364
5.17520E-04	7.73486
5.17549E-04	8.2395
5.17577E-04	8.7879
5.17605E-04	9.38003
5.17639E-04	10.1254
5.17676E-04	11.0472
5.17714E-04	12.0394
5.17752E-04	13.0964
5.17805E-04	14.6699
5.17862E-04	16.4484
5.18010E-04	21.2307
5.18076E-04	23.254
5.18128E-04	24.682
5.18172E-04	25.7736
5.18221E-04	26.8439
5.18258E-04	27.492
5.18307E-04	28.1743
5.18345E-04	28.5481
5.18385E-04	28.7785
5.18421E-04	28.8494
5.18463E-04	28.7654
5.18509E-04	28.4826
5.18554E-04	28.0123
5.18606E-04	27.2614
5.18648E-04	26.5071
5.18698E-04	25.479
5.18761E-04	24.0212
5.18837E-04	22.1101
5.18988E-04	18.194
5.19055E-04	16.5619
5.19114E-04	15.2386
5.19158E-04	14.3195
5.19202E-04	13.4679
5.19245E-04	12.6858
5.19283E-04	12.0761
5.19328E-04	11.4014
5.19374E-04	10.7964
5.19419E-04	10.2571
5.19464E-04	9.77866
5.19510E-04	9.35592
5.19555E-04	8.98339
5.19600E-04	8.65567
5.19647E-04	8.36189
5.19694E-04	8.09921
5.19765E-04	7.76445
5.19836E-04	7.48764
5.19907E-04	7.25634
5.20001E-04	7.0019
5.20107E-04	6.76971
5.20214E-04	6.57826
5.20355E-04	6.36722
5.20497E-04	6.19187
5.20662E-04	6.01931
5.20852E-04	5.8529
5.21135E-04	5.64723
5.21456E-04	5.45877
5.21853E-04	5.27037
5.22250E-04	5.11558
5.22760E-04	4.95009
5.23138E-04	4.84472
5.23894E-04	4.66345
5.24786E-04	4.48135
5.27263E-04	4.03187
5.28108E-04	3.86749
5.28743E-04	3.73069
5.29324E-04	3.58999
5.29853E-04	3.44526
5.30117E-04	3.36588
5.31095E-04	3.04514
5.31293E-04	2.99268
5.31442E-04	2.9721
5.31475E-04	2.97155
5.31549E-04	2.97857
5.31607E-04	2.99463
5.31665E-04	3.02361
5.31723E-04	3.07012
5.31766E-04	3.12016
5.31809E-04	3.18682
5.31853E-04	3.27421
5.31896E-04	3.38734
5.31925E-04	3.47999
5.31954E-04	3.58885
5.31979E-04	3.69913
5.32004E-04	3.82533
5.32030E-04	3.96937
5.32055E-04	4.13335
5.32080E-04	4.3196
5.32105E-04	4.53059
5.32131E-04	4.76904
5.32156E-04	5.03787
5.32181E-04	5.34022
5.32207E-04	5.67943
5.32232E-04	6.05905
5.32257E-04	6.48283
5.32282E-04	6.95473
5.32308E-04	7.47883
5.32333E-04	8.05943
5.32358E-04	8.70087
5.32378E-04	9.24953
5.32398E-04	9.84053
5.32424E-04	10.6983
5.32451E-04	11.6404
5.32477E-04	12.6722
5.32504E-04	13.7984
5.32530E-04	15.0237
5.32556E-04	16.3526
5.32583E-04	17.7891
5.32609E-04	19.3365
5.32636E-04	20.9977
5.32662E-04	22.7748
5.32689E-04	24.6691
5.32715E-04	26.6809
5.32741E-04	28.8097
5.32781E-04	32.2179
5.32818E-04	35.6231
5.32855E-04	39.2301
5.32892E-04	43.02
5.32943E-04	48.4688
5.33025E-04	57.7441
5.33136E-04	70.3419
5.33187E-04	75.8256
5.33246E-04	81.7597
5.33297E-04	86.2973
5.33344E-04	89.9006
5.33386E-04	92.6416
5.33432E-04	95.0037
5.33469E-04	96.343
5.33506E-04	97.2294
5.33549E-04	97.6175
5.33595E-04	97.3032
5.33640E-04	96.2706
5.33686E-04	94.4814
5.33737E-04	91.7576
5.33779E-04	88.9364
5.33821E-04	85.6803
5.33885E-04	80.1319
5.33962E-04	72.6274
5.34118E-04	56.5804
5.34181E-04	50.3863
5.34232E-04	45.633
5.34272E-04	42.1349
5.34311E-04	38.8386
