E(MeV)	Xe-124
1.000000E-11	4535.669922
1.154358E-11	4221.693848
1.308715E-11	3965.0271
1.617431E-11	3566.806396
1.926146E-11	3268.679199
2.234862E-11	3034.700195
2.543578E-11	2844.740723
2.852293E-11	2686.534424
3.469725E-11	2436.063721
4.087156E-11	2244.765381
4.704588E-11	2092.494629
5.322019E-11	1967.569336
5.939451E-11	1862.675415
7.174312E-11	1695.12915
8.409174E-11	1566.016602
9.644038E-11	1462.586426
1.087890E-10	1377.318115
1.334862E-10	1243.80603
1.581835E-10	1142.94519
1.828808E-10	1063.28064
2.075781E-10	998.2949829
2.569726E-10	897.6791992
3.063672E-10	822.5002441
3.557617E-10	763.5785522
4.051563E-10	715.7897949
5.039453E-10	642.2493896
6.027344E-10	587.6273193
7.015233E-10	544.991394
8.003124E-10	510.5132141
9.978910E-10	457.6158752
1.195469E-09	418.4433899
1.393047E-09	387.9350281
1.590625E-09	363.3080444
1.985782E-09	325.6002808
2.380938E-09	297.7305908
2.776094E-09	276.0513916
3.171250E-09	258.5627441
3.961563E-09	231.7937164
4.751874E-09	212.0201416
5.542188E-09	196.6606903
6.332500E-09	184.2865448
7.913123E-09	165.3353424
9.493752E-09	151.3095245
1.107438E-08	140.4363861
1.265500E-08	131.7096558
1.581625E-08	118.3272858
1.897750E-08	108.3788834
2.213875E-08	100.6550827
2.530000E-08	94.44848633
2.877136E-08	88.87554932
3.224272E-08	84.26524353
3.918543E-08	76.92172241
4.612815E-08	71.25862122
5.307086E-08	66.75854492
6.001359E-08	63.07847977
6.695631E-08	60.02721024
8.084175E-08	55.12441254
9.472718E-08	51.31410599
1.086126E-07	48.27219009
1.224981E-07	45.77265167
1.363835E-07	43.69560242
1.641544E-07	40.35282516
1.919253E-07	37.7542038
2.196962E-07	35.67821503
2.474671E-07	33.98784637
3.030089E-07	31.34169769
3.585507E-07	29.34416771
4.140925E-07	27.78303719
4.696343E-07	26.53230667
5.807178E-07	24.62343979
6.918015E-07	23.22716522
8.028849E-07	22.16701126
9.139685E-07	21.34158707
1.136136E-06	20.14283371
1.358303E-06	19.3352108
1.580470E-06	18.78486443
1.802637E-06	18.41746521
2.246972E-06	18.05544472
2.691306E-06	18.0469532
3.135641E-06	18.3094368
3.579975E-06	18.80680466
4.135394E-06	19.74088669
4.468644E-06	20.47467804
4.912979E-06	21.6768837
5.357314E-06	23.16300964
5.801648E-06	24.98289108
6.245982E-06	27.20326042
6.690317E-06	29.91403961
7.134649E-06	33.22602081
7.356819E-06	35.15518188
7.578984E-06	37.31095123
8.023320E-06	42.405159
8.245488E-06	45.4222908
8.467654E-06	48.81803131
8.689824E-06	52.65392303
8.911989E-06	57.0042572
9.134157E-06	61.95989227
9.356325E-06	67.63236237
9.578494E-06	74.15998077
9.800660E-06	81.71573639
1.002283E-05	90.51859283
1.024500E-05	100.8480682
1.046716E-05	113.0657043
1.068933E-05	127.647377
1.091150E-05	145.2253265
1.113367E-05	166.657135
1.135583E-05	192.9190674
1.146692E-05	208.3387756
1.157800E-05	225.8186035
1.168909E-05	245.5598145
1.180017E-05	267.9468994
1.191125E-05	293.4692993
1.202234E-05	322.7327881
1.213342E-05	356.4891968
1.224450E-05	395.6964111
1.235559E-05	441.5809937
