E(MeV)	pendfb7/Ba135:1
1.09681E-09	31.1809468
1.12969E-09	30.7604576
1.14409E-09	30.5840749
1.16357E-09	30.3461104
1.19845E-09	29.938197
1.22919E-09	29.5940638
1.23440E-09	29.5358634
1.27140E-09	29.1401626
1.30954E-09	28.7497572
1.32064E-09	28.6409594
1.34879E-09	28.3656699
1.38925E-09	27.9869842
1.42488E-09	27.6677037
1.43089E-09	27.6139361
1.47381E-09	27.2466336
1.51799E-09	26.8846991
1.54383E-09	26.6820116
1.56352E-09	26.5279689
1.61039E-09	26.1769345
1.65869E-09	25.8306224
1.67275E-09	25.7341165
1.70841E-09	25.4899237
1.75966E-09	25.1540435
1.81240E-09	24.8230875
1.82008E-09	24.7769541
1.86677E-09	24.4972258
1.92272E-09	24.1762683
1.98039E-09	23.8596386
1.98875E-09	23.8157137
2.03976E-09	23.5482745
2.10094E-09	23.2412289
2.16392E-09	22.938698
2.18226E-09	22.8543498
2.22882E-09	22.6407427
2.29563E-09	22.3473816
2.36449E-09	22.0579951
2.40475E-09	21.8960501
2.43537E-09	21.7731467
2.50842E-09	21.4925367
2.58361E-09	21.2160698
2.66110E-09	20.9433532
2.74087E-09	20.6752741
2.82308E-09	20.410844
2.90771E-09	20.1503267
2.95721E-09	20.004454
2.99492E-09	19.8935972
3.08470E-09	19.6410007
3.17722E-09	19.39185
3.27246E-09	19.1463896
3.31419E-09	19.043456
3.37062E-09	18.9045876
3.47166E-09	18.6666156
3.57579E-09	18.4318942
3.68297E-09	18.2006557
3.74568E-09	18.0711863
3.79344E-09	17.9727929
3.90715E-09	17.7486138
4.02435E-09	17.5275051
4.14498E-09	17.3096817
4.25129E-09	17.125973
4.26931E-09	17.0949034
4.39728E-09	16.8837307
4.52918E-09	16.6754567
4.66494E-09	16.4702843
4.80487E-09	16.2679219
4.86605E-09	16.1832391
4.94890E-09	16.068828
5.09734E-09	15.8726641
5.25013E-09	15.6794291
5.40761E-09	15.4888473
5.56971E-09	15.3011063
5.64073E-09	15.2223866
5.73677E-09	15.1161797
5.90873E-09	14.9341996
6.08596E-09	14.7547253
6.26840E-09	14.5779332
6.45641E-09	14.4035707
6.59405E-09	14.281417
6.64995E-09	14.2319209
6.84941E-09	14.0629124
7.05473E-09	13.8964371
7.26633E-09	13.7322565
7.48415E-09	13.5705315
7.70863E-09	13.4110311
7.83988E-09	13.3217902
7.93970E-09	13.2540662
8.17785E-09	13.0994716
8.42299E-09	12.9471957
8.67563E-09	12.7970222
8.93569E-09	12.6490976
9.20371E-09	12.503212
9.43976E-09	12.3802603
9.47961E-09	12.3595546
9.76394E-09	12.2181583
1.00566E-08	12.078888
1.03583E-08	11.9415453
1.06688E-08	11.8062654
1.09888E-08	11.6728549
1.13182E-08	11.541445
1.16084E-08	11.4306309
1.16577E-08	11.4118899
1.20071E-08	11.2845324
1.23672E-08	11.1589406
1.27380E-08	11.0352497
1.31200E-08	10.9132582
1.35133E-08	10.793098
1.39186E-08	10.6745975
1.43359E-08	10.557873
1.46418E-08	10.4759859
1.47659E-08	10.4428334
1.52085E-08	10.3297102
1.56647E-08	10.2181566
1.61342E-08	10.1082831
1.66182E-08	9.9999331
1.71163E-08	9.89321419
1.76297E-08	9.78797427
1.81582E-08	9.68431762
1.87028E-08	9.58209648
1.90212E-08	9.52490951
1.92635E-08	9.48150884
1.98412E-08	9.38244838
2.04360E-08	9.2848857
2.10490E-08	9.1886816
2.16799E-08	9.09393055
2.23302E-08	9.00049726
2.29996E-08	8.90847312
2.36894E-08	8.81772618
2.43996E-08	8.72834499
2.52687E-08	8.62408731
2.53000E-08	8.62044194
2.60589E-08	8.5340523
2.68400E-08	8.44896778
2.76450E-08	8.3650675
2.84737E-08	8.28243485
2.93278E-08	8.20095302
3.02069E-08	8.12070343
3.11130E-08	8.04157261
