E(MeV)	Gd-160
1.936180E-04	6.61687
1.946340E-04	6.59454
1.948000E-04	6.59093
1.956500E-04	6.56581
1.967210E-04	6.53443
1.975240E-04	6.51109
1.983190E-04	6.48819
1.991090E-04	6.46564
1.999000E-04	6.44333
2.001300E-04	6.43693
2.006650E-04	6.41657
2.014300E-04	6.3878
2.021950E-04	6.3594
2.029600E-04	6.33141
2.033340E-04	6.31795
2.037250E-04	6.29894
2.042350E-04	6.27445
2.047450E-04	6.25023
2.052550E-04	6.22633
2.057650E-04	6.2028
2.062750E-04	6.17968
2.063600E-04	6.1759
2.067850E-04	6.15004
2.072950E-04	6.11953
2.078050E-04	6.08963
2.083150E-04	6.06043
2.084000E-04	6.05569
2.088250E-04	6.02455
2.092080E-04	5.99713
2.095900E-04	5.97031
2.099300E-04	5.94706
2.099730E-04	5.94322
2.103340E-04	5.91129
2.106840E-04	5.88102
2.110350E-04	5.85157
2.113860E-04	5.82303
2.114600E-04	5.8172
2.117360E-04	5.78845
2.120870E-04	5.75317
2.124380E-04	5.71928
2.124800E-04	5.71537
2.127880E-04	5.67819
2.131390E-04	5.63773
2.133720E-04	5.61193
2.135000E-04	5.59844
2.136060E-04	5.58345
2.138400E-04	5.55166
2.140530E-04	5.52394
2.142650E-04	5.49745
2.143500E-04	5.4874
2.144770E-04	5.46757
2.146900E-04	5.43605
2.149020E-04	5.40626
2.149880E-04	5.39512
2.151150E-04	5.37312
2.153270E-04	5.33863
2.155400E-04	5.30664
2.156250E-04	5.29486
2.157100E-04	5.27849
2.158800E-04	5.24779
2.160500E-04	5.21934
2.162200E-04	5.19343
2.162630E-04	5.18766
2.163900E-04	5.16303
2.165600E-04	5.1334
2.166880E-04	5.11391
2.167300E-04	5.10519
2.169000E-04	5.07445
2.170380E-04	5.05356
2.170910E-04	5.04221
2.172190E-04	5.01873
2.173460E-04	4.99867
2.174520E-04	4.98515
2.174740E-04	4.98099
2.176010E-04	4.96039
2.177290E-04	4.94464
2.178560E-04	4.92601
2.179680E-04	4.91476
2.180050E-04	4.91305
2.181110E-04	4.8993
2.182550E-04	4.8909
2.183240E-04	4.89151
2.183500E-04	4.88942
2.184460E-04	4.88775
2.185360E-04	4.89232
2.185420E-04	4.89215
2.186370E-04	4.89648
2.187270E-04	4.90806
2.187490E-04	4.91264
2.188130E-04	4.92046
2.188980E-04	4.93895
2.189610E-04	4.95958
2.189830E-04	4.96451
2.190680E-04	4.99434
2.191210E-04	5.0201
2.191520E-04	5.03277
2.192370E-04	5.07943
2.192800E-04	5.11008
2.193220E-04	5.13665
2.193970E-04	5.19673
2.194390E-04	5.23864
2.194610E-04	5.25739
2.195240E-04	5.32535
2.195880E-04	5.40636
2.195990E-04	5.42229
2.196520E-04	5.49612
2.197160E-04	5.60108
2.197580E-04	5.68335
2.197790E-04	5.7223
2.198430E-04	5.85999
2.198910E-04	5.98021
2.199020E-04	6.00598
2.199550E-04	6.1542
2.200080E-04	6.32315
2.200240E-04	6.38082
2.200610E-04	6.51259
2.201140E-04	6.72708
2.201620E-04	6.94689
2.201670E-04	6.97114
