E(MeV)	"GA-69(N,TOT)"
1.00000E-11	142.859
1.10304E-11	136.081
1.10780E-11	135.794
1.21669E-11	129.62
1.22194E-11	129.347
1.34206E-11	123.471
1.34785E-11	123.211
1.48034E-11	117.619
1.48673E-11	117.372
1.63287E-11	112.05
1.63991E-11	111.815
1.80111E-11	106.75
1.80889E-11	106.527
1.98669E-11	101.707
1.99527E-11	101.494
2.19139E-11	96.9085
2.20085E-11	96.706
2.41719E-11	92.3429
2.42762E-11	92.1503
2.66625E-11	87.9993
2.67776E-11	87.816
2.94097E-11	83.8753
2.97451E-11	83.4158
3.24400E-11	79.9504
3.30397E-11	79.245
3.57825E-11	76.2159
3.67011E-11	75.2884
3.94694E-11	72.663
4.07662E-11	71.539
4.35362E-11	69.2833
4.52839E-11	67.9833
4.80221E-11	66.0688
5.02996E-11	64.6149
5.29701E-11	63.0119
5.58738E-11	61.4215
5.84280E-11	60.1054
6.20625E-11	58.3975
6.44483E-11	57.3424
6.89402E-11	55.5317
7.10888E-11	54.7163
7.65761E-11	52.8192
7.84136E-11	52.2209
8.50622E-11	50.2499
8.64931E-11	49.8502
9.44839E-11	47.8191
9.54051E-11	47.5984
1.04955E-10	45.5179
1.05235E-10	45.4603
1.16078E-10	43.4359
1.16579E-10	43.3504
1.28039E-10	41.5175
1.29499E-10	41.3043
1.41231E-10	39.6969
1.43842E-10	39.3707
1.55784E-10	37.9726
1.60902E-10	37.4267
1.71835E-10	36.3352
1.79985E-10	35.5949
1.89540E-10	34.7816
2.01331E-10	33.8697
2.09070E-10	33.3082
2.25208E-10	32.2457
2.30612E-10	31.9117
2.51918E-10	30.7179
2.54374E-10	30.5888
2.80584E-10	29.342
2.83783E-10	29.2035
3.09494E-10	28.1672
3.19662E-10	27.7952
3.41383E-10	27.0535
3.60097E-10	26.4745
3.76558E-10	25.9992
4.08487E-10	25.1657
4.15358E-10	24.9982
4.58155E-10	24.0572
4.63379E-10	23.9532
5.05362E-10	23.1769
5.29330E-10	22.7765
5.57433E-10	22.34
6.04697E-10	21.6786
6.14869E-10	21.546
6.78223E-10	20.8042
6.95634E-10	20.6203
7.48105E-10	20.1073
8.05851E-10	19.5999
8.25188E-10	19.4422
9.10213E-10	18.8216
9.40118E-10	18.6253
1.00400E-09	18.2381
1.10449E-09	17.6929
1.10745E-09	17.678
1.22155E-09	17.1666
1.31585E-09	16.7887
1.34742E-09	16.6718
1.48625E-09	16.2147
1.58984E-09	15.9102
1.63939E-09	15.7759
1.80831E-09	15.3695
1.94789E-09	15.0705
1.99463E-09	14.9782
2.20016E-09	14.6189
2.42685E-09	14.267
2.43733E-09	14.2525
2.67691E-09	13.9497
2.95273E-09	13.6415
3.13640E-09	13.4594
3.25697E-09	13.3495
3.59256E-09	13.0804
3.96272E-09	12.8183
4.15066E-09	12.7005
4.37103E-09	12.5739
4.82141E-09	12.3467
5.31819E-09	12.1262
5.76911E-09	11.9495
5.86616E-09	11.9146
6.47059E-09	11.7244
7.13730E-09	11.5405
7.87271E-09	11.3624
8.54022E-09	11.2201
8.68389E-09	11.192
9.57865E-09	11.0395
1.05656E-08	10.8926
1.16543E-08	10.7508
1.28551E-08	10.6138
1.38474E-08	10.5144
1.41796E-08	10.4839
1.56406E-08	10.3672
1.72522E-08	10.2552
1.90298E-08	10.1474
2.09906E-08	10.0436
2.31534E-08	9.94351
2.52419E-08	9.85819
2.52962E-08	9.8561
2.53000E-08	9.85596
2.79068E-08	9.77074
3.07823E-08	9.68919
3.39540E-08	9.61109
3.74525E-08	9.53628
4.13115E-08	9.46458
4.55681E-08	9.39584
5.02633E-08	9.32986
5.54423E-08	9.26638
6.11549E-08	9.20513
6.37799E-08	9.18047
6.74561E-08	9.1491
7.44066E-08	9.09784
8.20732E-08	9.04898
9.05297E-08	9.00245
9.98577E-08	8.95816
1.10147E-07	8.91583
1.21496E-07	8.8753
1.34014E-07	8.83658
1.47823E-07	8.79959
1.63054E-07	8.76423
1.79855E-07	8.73046
1.98386E-07	8.69826
2.20371E-07	8.66511
2.43077E-07	8.63541
2.68123E-07	8.6069
2.95750E-07	8.5795
3.26223E-07	8.55313
3.59836E-07	8.5277
3.72653E-07	8.51924
3.96913E-07	8.50473
4.40876E-07	8.48211
4.86303E-07	8.46188
5.36410E-07	8.44258
5.91680E-07	8.42414
6.52645E-07	8.40652
7.19891E-07	8.38968
7.88543E-07	8.3748
8.75885E-07	8.35826
9.66133E-07	8.34346
1.06568E-06	8.32926
1.17549E-06	8.31561
1.29660E-06	8.3025
1.43020E-06	8.28987
1.57757E-06	8.27769
1.72801E-06	8.26682
1.90606E-06	8.25539
2.08772E-06	8.24507
2.28682E-06	8.235
2.52245E-06	8.2244
2.78235E-06	8.21405
3.06904E-06	8.20387
3.38526E-06	8.19387
3.76022E-06	8.18325
4.14767E-06	8.17339
4.54320E-06	8.16423
5.01132E-06	8.1543
5.52767E-06	8.14432
6.09723E-06	8.13418
6.72547E-06	8.12386
7.47040E-06	8.11252
8.24013E-06	8.10159
8.96272E-06	8.09189
9.74868E-06	8.08186
1.07531E-05	8.06963
1.18611E-05	8.05682
1.30833E-05	8.04329
1.42305E-05	8.0311
1.52631E-05	8.02037
1.68358E-05	8.00451
1.84413E-05	7.98882
2.03414E-05	7.97072
2.22802E-05	7.95269
2.44049E-05	7.93332
2.69195E-05	7.91088
2.96932E-05	7.88658
3.25233E-05	7.8622
3.53753E-05	7.83801
3.84775E-05	7.81207
4.12694E-05	7.78906
4.33674E-05	7.77191
4.65141E-05	7.74655
4.88247E-05	7.72818
4.91951E-05	7.72436
5.13068E-05	7.70277
5.35091E-05	7.68044
5.61996E-05	7.65349
5.86119E-05	7.62967
6.11278E-05	7.60522
6.33052E-05	7.58442
6.55633E-05	7.56328
6.73873E-05	7.54664
6.78986E-05	7.53986
6.98279E-05	7.51478
7.18121E-05	7.48956
7.33390E-05	7.47062
7.48946E-05	7.45183
7.59513E-05	7.43936
7.75661E-05	7.42093
7.86150E-05	7.40941
7.86604E-05	7.40863
7.97702E-05	7.39003
8.08956E-05	7.37174
8.14623E-05	7.36272
8.26115E-05	7.345
8.34857E-05	7.33207
8.43680E-05	7.31957
8.52586E-05	7.30758
8.55089E-05	7.30442
8.61576E-05	7.29073
8.70693E-05	7.27238
8.79895E-05	7.25489
8.89183E-05	7.23846
8.98559E-05	7.22333
9.04375E-05	7.21485
9.04897E-05	7.21353
9.11236E-05	7.1984
9.17664E-05	7.18412
9.24092E-05	7.17106
9.30610E-05	7.15924
9.36634E-05	7.14985
9.37129E-05	7.14843
9.42087E-05	7.13542
9.47045E-05	7.12366
9.52026E-05	7.11327
9.57054E-05	7.10441
9.62082E-05	7.09744
9.63249E-05	7.09632
9.67157E-05	7.086
9.72256E-05	7.07508
9.77355E-05	7.0671
9.80802E-05	7.06362
9.83681E-05	7.06217
9.84249E-05	7.06084
9.87696E-05	7.05469
9.91144E-05	7.05073
9.94639E-05	7.0492
9.97559E-05	7.05025
9.98135E-05	7.0492
1.00163E-04	7.0461
1.00513E-04	7.04677
1.00867E-04	7.05159
1.01163E-04	7.05966
1.01222E-04	7.05967
1.01488E-04	7.06351
1.01753E-04	7.071
1.02021E-04	7.0826
1.02234E-04	7.09554
1.02290E-04	7.09711
1.02560E-04	7.10991
1.02830E-04	7.12877
1.03099E-04	7.15454
1.03314E-04	7.18142
1.03369E-04	7.1862
1.03638E-04	7.21899
1.03908E-04	7.26241
1.04038E-04	7.28817
1.04088E-04	7.29611
1.04268E-04	7.33068
1.04448E-04	7.3721
1.04627E-04	7.42117
1.04772E-04	7.46746
1.04807E-04	7.47721
1.05029E-04	7.5515
1.05176E-04	7.61034
1.05322E-04	7.67693
1.05324E-04	7.67753
1.05471E-04	7.74765
1.05619E-04	7.82815
1.05762E-04	7.91782
1.05766E-04	7.92008
1.05914E-04	8.0177
1.06044E-04	8.11636
1.06215E-04	8.26484
1.06276E-04	8.32738
1.06385E-04	8.43188
1.06498E-04	8.55691
1.06612E-04	8.69672
1.06725E-04	8.85298
1.06759E-04	8.90539
1.06839E-04	9.02183
1.06941E-04	9.18914
1.07077E-04	9.44156
1.07213E-04	9.73238
1.07213E-04	9.73238
1.07304E-04	9.94351
1.07395E-04	10.1767
1.07486E-04	10.4345
1.07577E-04	10.7199
1.07662E-04	11.0154
1.07663E-04	11.0197
1.07741E-04	11.3127
1.07821E-04	11.6393
1.07900E-04	11.9987
1.07980E-04	12.3947
1.08059E-04	12.8319
1.08108E-04	13.129
1.08138E-04	13.3149
1.08218E-04	13.8494
1.08289E-04	14.3814
1.08353E-04	14.8999
1.08417E-04	15.4665
1.08476E-04	16.0425
1.08480E-04	16.0872
1.08544E-04	16.7727
1.08607E-04	17.5264
1.08671E-04	18.3571
1.08693E-04	18.6851
1.08734E-04	19.2814
1.08791E-04	20.1938
1.08839E-04	21.0312
1.08841E-04	21.0715
1.08891E-04	22.0362
1.08941E-04	23.0888
1.08943E-04	23.1411
1.08991E-04	24.2498
1.09015E-04	24.8576
1.09041E-04	25.5299
1.09091E-04	26.9435
1.09102E-04	27.298
1.09141E-04	28.5154
1.09166E-04	29.3828
1.09186E-04	30.1001
1.09227E-04	31.6695
1.09234E-04	31.9552
1.09268E-04	33.3978
1.09279E-04	33.9245
1.09309E-04	35.306
1.09325E-04	36.1233
1.09349E-04	37.42
1.09370E-04	38.5896
1.09390E-04	39.7718
1.09415E-04	41.3702
1.09431E-04	42.3977
1.09449E-04	43.7022
1.09472E-04	45.3479
1.09483E-04	46.2602
1.09508E-04	48.2872
1.09517E-04	49.0973
1.09540E-04	51.1425
1.09547E-04	51.8148
1.09572E-04	54.3025
1.09574E-04	54.5512
1.09601E-04	57.5616
1.09604E-04	57.8152
1.09629E-04	60.8875
1.09635E-04	61.7346
1.09656E-04	64.5431
1.09667E-04	66.1212
1.09683E-04	68.5377
1.09691E-04	69.7605
1.09710E-04	72.9732
1.09715E-04	73.737
1.09729E-04	76.2201
1.09739E-04	78.0981
1.09747E-04	79.6707
1.09758E-04	81.9369
1.09765E-04	83.3999
1.09781E-04	86.8436
1.09783E-04	87.3765
1.09801E-04	91.6784
1.09803E-04	92.2214
1.09819E-04	96.34
1.09826E-04	98.1242
1.09840E-04	102.123
1.09849E-04	104.601
1.09861E-04	108.423
1.09872E-04	111.717
1.09882E-04	115.292
1.09894E-04	119.531
1.09898E-04	120.81
1.09913E-04	126.742
1.09917E-04	128.13
1.09929E-04	133.095
1.09937E-04	136.402
1.09945E-04	139.892
1.09960E-04	147.036
1.09963E-04	148.186
1.09976E-04	154.829
1.09989E-04	161.304
1.09993E-04	163.836
1.10014E-04	175.352
1.10015E-04	175.871
1.10034E-04	188.038
1.10040E-04	192.048
1.10055E-04	201.726
1.10066E-04	209.938
1.10075E-04	216.386
1.10084E-04	223.593
1.10095E-04	232.317
1.10103E-04	238.197
1.10114E-04	247.655
1.10130E-04	261.982
1.10132E-04	263.707
1.10150E-04	281.123
1.10157E-04	288.158
1.10168E-04	299.539
1.10184E-04	316.772
1.10186E-04	318.828
1.10204E-04	339.574
1.10212E-04	347.946
1.10223E-04	361.364
1.10239E-04	381.659
1.10241E-04	384.053
1.10259E-04	408.207
1.10266E-04	417.964
1.10286E-04	446.296
1.10293E-04	456.712
1.10313E-04	486.985
1.10330E-04	512.003
1.10341E-04	529.57
1.10366E-04	570.921
1.10368E-04	574.001
1.10404E-04	636.152
1.10411E-04	648.693
1.10450E-04	715.9
1.10520E-04	841.477
1.10557E-04	902.961
1.10564E-04	914.521
1.10593E-04	960.318
1.10613E-04	989.028
1.10629E-04	1012.17
1.10646E-04	1032.54
1.10664E-04	1054.76
1.10677E-04	1067.91
1.10696E-04	1088.07
1.10706E-04	1095.58
1.10722E-04	1108.6
1.10738E-04	1118.73
1.10749E-04	1125.13
1.10765E-04	1131.6
1.10776E-04	1135.54
1.10796E-04	1139.16
1.10799E-04	1139.56
1.10820E-04	1138.96
1.10825E-04	1138.62
1.10848E-04	1132.74
1.10854E-04	1131.05
1.10862E-04	1127.09
1.10883E-04	1116.65
1.10890E-04	1111.21
1.10913E-04	1094.78
1.10918E-04	1089.31
1.10945E-04	1063.57
1.10947E-04	1062.03
1.10975E-04	1029.19
1.10978E-04	1025.38
1.11011E-04	981.327
1.11014E-04	975.941
1.11052E-04	918.171
1.11054E-04	915.375
1.11091E-04	855.655
1.11098E-04	843.568
1.11140E-04	771.996
1.11201E-04	665.474
1.11239E-04	601.766
1.11258E-04	572.791
1.11281E-04	535.393
1.11312E-04	489.176
1.11314E-04	486.484
1.11347E-04	440.836
1.11348E-04	438.446
1.11371E-04	408.873
1.11385E-04	392.086
1.11396E-04	378.821
1.11421E-04	349.803
1.11424E-04	346.225
1.11453E-04	316.344
1.11457E-04	311.899
1.11472E-04	297.875
1.11485E-04	286.25
1.11491E-04	280.511
1.11510E-04	264.231
1.11512E-04	262.767
1.11529E-04	249.037
1.11538E-04	242.732
1.11548E-04	234.83
1.11563E-04	224.465
1.11573E-04	217.959
1.11589E-04	207.791
1.11597E-04	202.567
1.11614E-04	192.659
1.11622E-04	188.547
1.11640E-04	178.946
1.11646E-04	175.794
1.11666E-04	166.535
1.11671E-04	164.202
1.11691E-04	155.309
1.11695E-04	153.678
1.11720E-04	144.131
1.11728E-04	141.133
1.11744E-04	135.448
1.11761E-04	129.918
1.11768E-04	127.751
1.11792E-04	120.734
1.11795E-04	120.036
1.11816E-04	114.349
1.11828E-04	111.393
1.11840E-04	108.488
1.11850E-04	106.174
1.11863E-04	103.151
1.11887E-04	98.2294
1.11894E-04	96.9178
1.11911E-04	93.7271
1.11935E-04	89.5574
1.11938E-04	89.0055
1.11967E-04	84.5308
1.11983E-04	82.2303
1.11999E-04	79.9881
1.12026E-04	76.4297
1.12027E-04	76.2912
1.12053E-04	73.1847
1.12071E-04	71.1829
1.12089E-04	69.2288
1.12117E-04	66.5355
1.12126E-04	65.6628
1.12162E-04	62.4458
1.12185E-04	60.5835
1.12198E-04	59.503
1.12235E-04	56.8287
1.12253E-04	55.5823
1.12271E-04	54.3755
1.12312E-04	51.8501
1.12321E-04	51.33
1.12357E-04	49.3145
1.12389E-04	47.6826
1.12403E-04	47.0036
1.12448E-04	44.9037
1.12459E-04	44.4145
1.12493E-04	42.9912
1.12534E-04	41.3964
1.12539E-04	41.2251
1.12584E-04	39.6225
1.12630E-04	38.1185
1.12634E-04	37.9774
1.12681E-04	36.5865
1.12734E-04	35.0997
1.12737E-04	35.0081
1.12794E-04	33.587
1.12834E-04	32.6574
1.12851E-04	32.2741
1.12908E-04	31.0788
1.12963E-04	29.9787
1.12964E-04	29.9572
1.13021E-04	28.9454
1.13078E-04	27.9915
1.13093E-04	27.7579
1.13144E-04	26.9777
1.13179E-04	26.4753
1.13219E-04	25.9296
1.13294E-04	24.9703
1.13351E-04	24.2764
1.13369E-04	24.0823
1.13443E-04	23.282
1.13518E-04	22.5295
1.13524E-04	22.4757
1.13593E-04	21.8511
1.13668E-04	21.2131
1.13694E-04	21.0031
1.13751E-04	20.5673
1.13842E-04	19.9122
1.13865E-04	19.7581
1.13933E-04	19.319
1.14023E-04	18.768
1.14091E-04	18.3778
1.14114E-04	18.2547
1.14205E-04	17.7895
1.14296E-04	17.3487
1.14319E-04	17.244
1.14387E-04	16.9498
1.14483E-04	16.5546
1.14585E-04	16.1578
1.14659E-04	15.8856
1.14687E-04	15.7885
1.14790E-04	15.4566
1.14943E-04	14.9885
1.15000E-04	14.8267
1.15096E-04	14.5706
1.15249E-04	14.1908
1.15340E-04	13.9783
1.15374E-04	13.9039
1.15499E-04	13.645
1.15624E-04	13.3985
1.15703E-04	13.2502
1.15811E-04	13.0652
1.15998E-04	12.765
1.16186E-04	12.4831
1.16248E-04	12.3938
1.16327E-04	12.2907
1.16486E-04	12.094
1.16645E-04	11.9065
1.16793E-04	11.74
1.16804E-04	11.7284
1.16963E-04	11.5725
1.17201E-04	11.351
1.17411E-04	11.1678
1.17440E-04	11.1446
1.17621E-04	11.0075
1.17826E-04	10.86
1.18029E-04	10.7198
1.18030E-04	10.719
1.18234E-04	10.5969
1.18439E-04	10.4799
1.18643E-04	10.3676
1.18800E-04	10.2849
1.18949E-04	10.2158
1.19259E-04	10.0803
1.19574E-04	9.9495
1.19880E-04	9.82853
1.19889E-04	9.82543
1.20204E-04	9.72298
1.20519E-04	9.62533
1.20835E-04	9.53185
1.21148E-04	9.44235
1.21154E-04	9.44091
1.21474E-04	9.36517
1.21794E-04	9.29233
1.22113E-04	9.2221
1.22429E-04	9.15503
1.22433E-04	9.1543
1.22756E-04	9.09752
1.23188E-04	9.02437
1.23620E-04	8.95417
1.24052E-04	8.88652
1.24156E-04	8.87078
1.24487E-04	8.82976
1.24926E-04	8.77749
1.25364E-04	8.727
1.25802E-04	8.67808
1.26244E-04	8.63023
1.26688E-04	8.58331
1.26790E-04	8.57286
1.27133E-04	8.54454
1.27577E-04	8.50886
1.28025E-04	8.47386
1.28701E-04	8.42253
1.29377E-04	8.37284
1.29485E-04	8.36509
1.30059E-04	8.33231
1.30745E-04	8.29446
1.31431E-04	8.25763
1.32126E-04	8.22124
1.32822E-04	8.18569
1.33165E-04	8.16852
1.33520E-04	8.1549
1.34225E-04	8.12856
1.34930E-04	8.10282
1.35642E-04	8.07738
1.36596E-04	8.04404
1.37556E-04	8.01121
1.38523E-04	7.97882
1.38881E-04	7.96704
1.39497E-04	7.95217
1.40477E-04	7.92895
1.41465E-04	7.90601
1.42459E-04	7.88332
1.43460E-04	7.86084
1.44469E-04	7.83851
1.45484E-04	7.81631
1.46507E-04	7.79422
1.46886E-04	7.78613
1.47537E-04	7.77598
1.48574E-04	7.75998
1.50144E-04	7.73612
1.51729E-04	7.71242
1.53329E-04	7.68881
1.54951E-04	7.66517
1.56589E-04	7.64154
1.58242E-04	7.6179
1.58647E-04	7.61216
1.59911E-04	7.59897
1.61603E-04	7.5815
1.63311E-04	7.56399
1.65615E-04	7.5406
1.67951E-04	7.51709
1.70321E-04	7.49343
1.72724E-04	7.46959
1.75160E-04	7.44557
1.77632E-04	7.42133
1.78714E-04	7.41076
1.80138E-04	7.39994
1.83959E-04	7.37106
1.86554E-04	7.35155
1.90520E-04	7.32188
1.94562E-04	7.29181
1.98698E-04	7.26115
2.02913E-04	7.23004
2.07228E-04	7.19831
2.11623E-04	7.16606
2.16123E-04	7.13315
2.20707E-04	7.09971
2.25400E-04	7.06558
2.29105E-04	7.03869
2.31460E-04	7.02163
2.33976E-04	7.00207
2.37277E-04	6.97645
2.42310E-04	6.9375
2.47462E-04	6.89775
2.52457E-04	6.85937
2.55968E-04	6.83249
2.59480E-04	6.80572
2.62564E-04	6.78232
2.64069E-04	6.76743
2.66853E-04	6.73998
2.69677E-04	6.71226
2.72481E-04	6.68486
2.75312E-04	6.65736
2.77247E-04	6.63866
2.79196E-04	6.61993
2.79657E-04	6.61553
2.81158E-04	6.59643
2.83066E-04	6.57229
2.84919E-04	6.54898
2.86853E-04	6.52481
2.88870E-04	6.49985
2.89618E-04	6.49066
2.89878E-04	6.48638
2.91772E-04	6.45537
2.93194E-04	6.4323
2.94703E-04	6.40803
2.96257E-04	6.38331
2.97810E-04	6.3589
2.98818E-04	6.33749
2.99826E-04	6.31627
3.00834E-04	6.29525
3.01842E-04	6.27445
3.02771E-04	6.25552
3.03700E-04	6.23683
3.04629E-04	6.21249
3.05558E-04	6.18846
3.06487E-04	6.1648
3.07416E-04	6.14154
3.08345E-04	6.11164
3.09274E-04	6.08229
3.10203E-04	6.05355
3.10900E-04	6.03247
3.11132E-04	6.0256
3.11597E-04	6.0073
3.12294E-04	5.98038
3.12990E-04	5.95405
3.13687E-04	5.9284
3.13919E-04	5.92009
3.14384E-04	5.89772
3.15081E-04	5.86505
3.15777E-04	5.83343
3.16474E-04	5.80301
3.16706E-04	5.79332
3.17124E-04	5.76966
3.17752E-04	5.73552
3.18379E-04	5.70292
3.18564E-04	5.6937
3.18797E-04	5.67828
3.19215E-04	5.65142
3.19633E-04	5.62557
3.20051E-04	5.60085
3.20422E-04	5.57994
3.20422E-04	5.57994
3.20794E-04	5.55297
3.21166E-04	5.52726
3.21537E-04	5.50296
3.21746E-04	5.4902
3.21909E-04	5.47678
3.22280E-04	5.44791
3.22652E-04	5.4211
3.23024E-04	5.39664
3.23070E-04	5.39392
3.23407E-04	5.36657
3.23790E-04	5.33873
3.23953E-04	5.32826
3.24046E-04	5.32009
3.24301E-04	5.29954
3.24556E-04	5.28112
3.24812E-04	5.26507
3.24882E-04	5.26142
3.25067E-04	5.24619
3.25381E-04	5.22461
3.25694E-04	5.20823
3.25811E-04	5.20401
