E(MeV)	Sm 152
6.03346E-06	470.999
6.09070E-06	500.91
6.09723E-06	504.45
6.15507E-06	537.909
6.16159E-06	541.83
6.20490E-06	569.355
6.22005E-06	579.445
6.24852E-06	599.175
6.28563E-06	626.158
6.29244E-06	631.323
6.33668E-06	666.548
6.35214E-06	679.522
6.38122E-06	704.789
6.39680E-06	719.066
6.42608E-06	746.708
6.44176E-06	762.351
6.47125E-06	792.662
6.48704E-06	809.84
6.51674E-06	843.147
6.53264E-06	862.07
6.56254E-06	898.82
6.57856E-06	919.782
6.60868E-06	960.56
6.62481E-06	983.87
6.65513E-06	1029.26
6.67137E-06	1055.02
6.69014E-06	1085.87
6.71827E-06	1134.57
6.72547E-06	1147.53
6.76080E-06	1214.57
6.76550E-06	1223.99
6.79646E-06	1288.58
6.81305E-06	1325.18
6.83230E-06	1369.16
6.84889E-06	1409.34
6.86813E-06	1457.4
6.88506E-06	1502.36
6.90446E-06	1555.59
6.92123E-06	1604.62
6.94080E-06	1663.84
6.95774E-06	1718.61
6.97731E-06	1784.15
6.99442E-06	1845.55
7.01416E-06	1918.99
7.03110E-06	1986.72
7.05100E-06	2069.33
7.06830E-06	2145.65
7.07574E-06	2179.84
7.10066E-06	2300.17
7.10550E-06	2324.85
7.12557E-06	2430.55
7.13030E-06	2456.85
7.15048E-06	2572.26
7.15545E-06	2602.3
7.17557E-06	2727.55
7.18060E-06	2760.72
7.20083E-06	2898.24
7.20575E-06	2933.68
7.22610E-06	3085.07
7.23089E-06	3123.03
7.25136E-06	3290.18
7.25640E-06	3334.04
7.27680E-06	3517.63
7.28190E-06	3566.66
7.30242E-06	3770.79
7.30741E-06	3823.89
7.32804E-06	4051.68
7.33291E-06	4108.83
7.34726E-06	4283.65
7.35877E-06	4431.81
7.36648E-06	4534.3
7.37817E-06	4698.97
7.38596E-06	4811.98
7.39757E-06	4990.46
7.40545E-06	5115.4
7.41697E-06	5309.34
7.42493E-06	5447.8
7.43636E-06	5659.08
7.44442E-06	5812.97
7.45604E-06	6049.41
7.46391E-06	6215.2
7.47571E-06	6480.71
7.48358E-06	6664.14
7.49538E-06	6958.81
7.50334E-06	7164.94
7.51505E-06	7490.72
7.52310E-06	7723.26
7.53472E-06	8080.16
7.53627E-06	8129.67
7.54945E-06	8571.02
7.55173E-06	8651.62
7.56262E-06	9049.11
7.56741E-06	9235.23
7.58012E-06	9745.69
7.58309E-06	9872.75
7.59310E-06	10315.9
7.59877E-06	10581.6
7.60607E-06	10936
7.61445E-06	11366.4
7.61905E-06	11611.9
7.63093E-06	12284.3
7.63202E-06	12348.4
7.64299E-06	13030.7
7.64500E-06	13159.6
7.65505E-06	13849.3
7.66008E-06	14204.7
7.66711E-06	14734.6
7.67013E-06	14968.5
7.67817E-06	15625.4
7.68018E-06	15794.3
7.68822E-06	16506.5
7.69023E-06	16689.5
7.69827E-06	17462.2
7.70028E-06	17660.8
7.70832E-06	18500.8
7.71033E-06	18716.9
7.71836E-06	19632
7.72037E-06	19867.6
7.72841E-06	20866.5
7.73042E-06	21123.9
7.73846E-06	22216.7
7.74047E-06	22498.5
7.74851E-06	23696.7
7.75052E-06	24006
7.75856E-06	25322.8
7.76057E-06	25662.8
7.76861E-06	27113.1
7.77063E-06	27487.9
7.77867E-06	29088.8
7.78068E-06	29502.8
7.78872E-06	31273.7
7.79073E-06	31731.9
7.79877E-06	33694.6
7.80078E-06	34202.9
7.80831E-06	36227.5
7.80882E-06	36370
7.81585E-06	38424.5
7.81635E-06	38579.5
7.82339E-06	40805.4
7.82389E-06	40973.3
7.83092E-06	43385.9
7.83143E-06	43567.9
7.83846E-06	46183.6
7.83896E-06	46380.9
7.84600E-06	49216.5
7.84650E-06	49430.4
7.85354E-06	52503.1
7.85404E-06	52734.8
7.86107E-06	56062
7.86158E-06	56312.7
7.86861E-06	59911.1
7.86911E-06	60181.9
7.87615E-06	64066.8
7.87665E-06	64358.8
7.88369E-06	68543.8
7.88419E-06	68857.6
7.89122E-06	73353
7.89173E-06	73686.8
7.89625E-06	76757.1
7.89927E-06	78896
7.90630E-06	84006.3
7.90932E-06	86316.7
7.91635E-06	91839.4
7.91937E-06	94318.8
7.92640E-06	100224
7.92942E-06	102853
7.93645E-06	109106
7.94449E-06	116515
7.95655E-06	127745
7.97464E-06	144672
7.97514E-06	145133
7.98469E-06	153538
7.98796E-06	156338
7.99474E-06	161806
7.99650E-06	163167
8.00479E-06	169092
8.00579E-06	169770
8.01484E-06	175143
8.01585E-06	175699
8.02238E-06	178754
8.02338E-06	179184
8.02992E-06	181454
8.03092E-06	181761
8.03770E-06	183244
8.03846E-06	183374
8.04599E-06	183932
8.04740E-06	183967
8.05464E-06	183378
8.05604E-06	183192
8.06358E-06	181476
8.07112E-06	178776
8.07866E-06	175187
8.08619E-06	170782
8.08670E-06	170454
8.09524E-06	164549
8.09775E-06	162634
8.10730E-06	155039
8.10831E-06	154182
8.11936E-06	144472
8.12338E-06	140805
8.15353E-06	112963
8.16358E-06	104139
8.16860E-06	99801
8.17363E-06	95654.9
8.17865E-06	91595.7
8.18368E-06	87718
8.18871E-06	83934.9
8.19373E-06	80345.1
8.19876E-06	76853
8.20378E-06	73557.4
8.20881E-06	70347
8.21132E-06	68826.5
8.21634E-06	65856.7
8.21886E-06	64442.1
8.22388E-06	61681.4
8.22639E-06	60368.5
8.23142E-06	57807.9
8.23393E-06	56591.5
8.23895E-06	54220.5
8.24147E-06	53095.1
8.24649E-06	50902.3
8.24901E-06	49862.1
8.25403E-06	47835.5
8.25654E-06	46874.6
8.26157E-06	45002.5
8.26408E-06	44114.9
8.26910E-06	42385.8
8.27162E-06	41558.7
8.27413E-06	40752.8
8.27915E-06	39224
8.28418E-06	37727.8
8.29423E-06	35008.4
8.30428E-06	32554.8
8.31433E-06	30337.1
8.32438E-06	28328.9
8.33443E-06	26506.6
8.34448E-06	24849.4
8.35453E-06	23339
8.36458E-06	21959.6
8.37463E-06	20696.9
8.38468E-06	19538.6
8.39473E-06	18473.9
8.40478E-06	17493.2
8.41483E-06	16588
8.42488E-06	15761.7
8.42991E-06	15359.9
8.43795E-06	14764.7
8.44498E-06	14259.8
8.45101E-06	13855.1
8.45704E-06	13462.4
8.46408E-06	13030.1
8.46910E-06	12730.2
8.47714E-06	12280.6
8.48518E-06	11844.8
8.49259E-06	11471
8.50126E-06	11048
8.50804E-06	10738.9
8.51680E-06	10352.3
8.52350E-06	10075.3
8.53181E-06	9741.65
8.53895E-06	9472.23
8.54682E-06	9183.92
8.55440E-06	8922.16
8.56182E-06	8672.6
8.56710E-06	8505.23
8.57683E-06	8204.19
8.58219E-06	8047.33
8.59184E-06	7772.81
8.59729E-06	7625.85
8.60684E-06	7374.96
8.61238E-06	7238.72
8.62748E-06	6876.99
8.62935E-06	6833.38
8.65012E-06	6386.64
8.65218E-06	6343.85
8.67276E-06	5947.46
8.67501E-06	5905.68
8.69562E-06	5548.98
8.69783E-06	5511.87
8.71858E-06	5188.14
8.72066E-06	5156.69
8.74154E-06	4861.92
8.74349E-06	4835.29
8.76450E-06	4566.12
8.76653E-06	4540.93
8.78747E-06	4297.01
8.78968E-06	4271.96
8.81054E-06	4050.3
8.81283E-06	4026.62
8.83382E-06	3822.58
8.83598E-06	3802.2
8.85711E-06	3613.93
8.85913E-06	3596.42
8.88039E-06	3423.91
8.89021E-06	3346
8.89592E-06	3303.94
8.92151E-06	3120.17
8.92697E-06	3083.71
8.95281E-06	2916.7
8.95845E-06	2882.69
8.98411E-06	2732.95
8.98994E-06	2701.17
9.01563E-06	2565.34
9.02142E-06	2536.68
9.04738E-06	2412.06
9.05291E-06	2387.14
9.07912E-06	2272.53
9.08484E-06	2249.03
9.11086E-06	2145.15
9.11677E-06	2122.95
9.14283E-06	2027.76
9.14870E-06	2007.54
9.17502E-06	1919.36
9.18063E-06	1901.61
9.20721E-06	1819.72
9.21301E-06	1803.03
9.24539E-06	1712.25
9.25549E-06	1684.59
9.27777E-06	1628.38
9.30446E-06	1562.61
9.31015E-06	1549.65
9.34299E-06	1476.62
9.35343E-06	1454.05
9.39224E-06	1376.41
9.40263E-06	1356.32
9.44150E-06	1286.56
9.45228E-06	1267.82
9.49145E-06	1204.48
9.50194E-06	1188.02
9.54140E-06	1130.29
9.55206E-06	1115.14
9.59159E-06	1062.69
9.60242E-06	1048.72
9.64224E-06	1000.67
9.65278E-06	988.309
9.69290E-06	944.198
9.70385E-06	932.477
9.74403E-06	892.12
9.75492E-06	881.468
9.79540E-06	844.601
9.82349E-06	819.672
9.84677E-06	800.584
9.89254E-06	764.005
9.89887E-06	759.322
9.95096E-06	721.715
9.96208E-06	713.873
1.00033E-05	686.91
1.00321E-05	668.501
1.00561E-05	654.223
1.01026E-05	627.316
1.01266E-05	614.402
1.01736E-05	589.76
1.01980E-05	577.85
1.02452E-05	555.457
1.02694E-05	544.67
1.03172E-05	524.052
1.03419E-05	514.054
1.03897E-05	495.223
1.04143E-05	486.124
1.04627E-05	468.703
1.04878E-05	460.23
1.05363E-05	444.248
1.05613E-05	436.504
1.06103E-05	421.655
1.06358E-05	414.516
1.07103E-05	394.095
1.07225E-05	390.818
1.07858E-05	375.274
1.08357E-05	363.309
1.08614E-05	357.651
1.09380E-05	341.161
1.09499E-05	338.643
1.10146E-05	326.106
1.10658E-05	316.38
1.10923E-05	311.72
1.11700E-05	298.341
1.11827E-05	296.187
1.12488E-05	285.872
1.13008E-05	277.946
1.13675E-05	268.515
1.14199E-05	261.318
1.14874E-05	252.717
1.15408E-05	246.095
1.16089E-05	238.231
1.16628E-05	232.187
1.17316E-05	224.978
1.17859E-05	219.447
1.18555E-05	212.822
1.19101E-05	207.749
1.19805E-05	201.712
1.20782E-05	193.534
1.21072E-05	191.302
1.22352E-05	181.721
1.22486E-05	180.742
1.23644E-05	172.962
1.24214E-05	169.217
1.24947E-05	164.781
1.25966E-05	158.757
1.26269E-05	157.102
1.27604E-05	149.98
1.27743E-05	149.251
1.28951E-05	143.42
1.29546E-05	140.606
1.30311E-05	137.255
1.31373E-05	132.693
1.31689E-05	131.434
1.33081E-05	126.001
1.33227E-05	125.444
1.34486E-05	120.964
1.35106E-05	118.798
1.35904E-05	116.207
1.37012E-05	112.673
1.37342E-05	111.695
1.38794E-05	107.474
1.38945E-05	107.041
1.40752E-05	102.232
1.40906E-05	101.831
1.42738E-05	97.441
1.43902E-05	94.7117
1.44751E-05	92.9067
1.46794E-05	88.6622
1.46954E-05	88.3353
1.48865E-05	84.8086
1.50078E-05	82.6119
1.50965E-05	81.1526
1.53095E-05	77.7148
1.53262E-05	77.4496
1.55254E-05	74.5741
1.56521E-05	72.7801
1.57445E-05	71.5841
1.59666E-05	68.7621
1.59841E-05	68.5441
1.61919E-05	66.1694
1.63239E-05	64.6858
1.64203E-05	63.693
1.66520E-05	61.3471
1.66702E-05	61.1656
1.68869E-05	59.183
1.70246E-05	57.9428
1.71251E-05	57.1099
1.73667E-05	55.1395
1.73857E-05	54.9869
1.76118E-05	53.3139
1.77554E-05	52.2661
1.78602E-05	51.5613
1.81122E-05	49.8926
1.81320E-05	49.7633
1.83677E-05	48.3577
1.86269E-05	46.8333
1.86472E-05	46.715
1.88897E-05	45.4456
1.91562E-05	44.0681
1.91771E-05	43.9612
1.94264E-05	42.8101
1.97005E-05	41.5603
1.97220E-05	41.4633
1.99784E-05	40.4168
2.02603E-05	39.28
2.02824E-05	39.1917
2.05461E-05	38.2391
2.08588E-05	37.1251
2.09819E-05	36.7258
2.12780E-05	35.7794
2.14515E-05	35.2318
2.17304E-05	34.4379
2.21913E-05	33.1464
2.22167E-05	33.0764
2.26631E-05	31.9769
2.30080E-05	31.1395
2.31439E-05	30.8443
2.36359E-05	29.7901
2.38287E-05	29.3825
2.41373E-05	28.7974
2.46505E-05	27.8374
2.46774E-05	27.7875
2.51734E-05	26.9632
2.55577E-05	26.3319
2.57086E-05	26.1083
2.62539E-05	25.3103
2.64680E-05	25.0003
2.68121E-05	24.5549
2.73809E-05	23.8271
2.76042E-05	23.5442
2.79630E-05	23.1403
2.85562E-05	22.4797
2.87891E-05	22.2228
2.91633E-05	21.8548
2.97819E-05	21.2524
3.00248E-05	21.0179
3.04152E-05	20.6821
3.10603E-05	20.1327
3.13136E-05	19.9185
3.17207E-05	19.608
3.23936E-05	19.0994
3.26577E-05	18.9015
3.33141E-05	18.4629
3.40224E-05	17.9935
3.42998E-05	17.811
3.47440E-05	17.5509
3.57313E-05	16.9776
3.60227E-05	16.8097
3.64910E-05	16.5679
3.72651E-05	16.1708
3.78340E-05	15.8808
3.80574E-05	15.779
3.88646E-05	15.4138
3.96910E-05	15.0421
4.00146E-05	14.8972
4.05329E-05	14.6893
4.13947E-05	14.3454
4.22727E-05	13.9968
4.23210E-05	13.9777
4.34739E-05	13.567
4.47093E-05	13.13
4.50739E-05	13.0018
4.59797E-05	12.7121
4.69573E-05	12.4014
4.79534E-05	12.0864
4.83444E-05	11.9633
4.89729E-05	11.7773
5.00117E-05	11.4716
5.10751E-05	11.1608
5.15180E-05	11.0321
5.22448E-05	10.8218
5.29819E-05	10.61
5.37294E-05	10.397
5.42979E-05	10.2366
5.48718E-05	10.0763
5.52278E-05	9.97829
5.54510E-05	9.9112
5.58408E-05	9.79571
5.62334E-05	9.68083
5.66286E-05	9.56745
5.67971E-05	9.52015
5.69265E-05	9.47867
5.72271E-05	9.38423
5.75278E-05	9.29227
5.78313E-05	9.20259
5.80019E-05	9.15399
5.80345E-05	9.14272
5.82378E-05	9.0749
5.84410E-05	9.00981
5.86471E-05	8.94718
5.88017E-05	8.90292
5.88202E-05	8.89799
5.89563E-05	8.85023
5.91109E-05	8.79956
5.92655E-05	8.75314
5.93700E-05	8.72463
5.94426E-05	8.70674
5.94746E-05	8.69518
5.95791E-05	8.66055
5.96836E-05	8.62966
5.97881E-05	8.60324
5.98926E-05	8.58211
5.99175E-05	8.57837
5.99710E-05	8.56342
6.00494E-05	8.54558
6.01353E-05	8.53148
6.01850E-05	8.52674
