E(MeV)	pendfb7/Kr84:1
1.00000E-11	29.1753462
1.02999E-11	28.7548243
1.06087E-11	28.340707
1.09269E-11	27.9325813
1.12544E-11	27.5308015
1.15920E-11	27.1347975
1.19395E-11	26.744922
1.22976E-11	26.3606752
1.26662E-11	25.9823819
1.30462E-11	25.6095082
1.34372E-11	25.242515
1.38403E-11	24.8807528
1.42552E-11	24.5246746
1.46827E-11	24.1737356
1.51229E-11	23.8285048
1.51440E-11	23.8120954
1.55765E-11	23.4879916
1.55982E-11	23.4718674
1.60434E-11	23.1528415
1.60658E-11	23.1369248
1.65246E-11	22.8225329
1.65477E-11	22.8068369
1.70199E-11	22.4974023
1.70437E-11	22.4819378
1.75304E-11	22.1769876
1.75549E-11	22.1617658
1.80559E-11	21.8615928
1.80812E-11	21.8465625
1.85975E-11	21.550744
1.86235E-11	21.5359726
1.91550E-11	21.2448118
1.91818E-11	21.2302543
1.97295E-11	20.9433275
1.97571E-11	20.9289905
2.03209E-11	20.6465692
2.03493E-11	20.6324635
2.09305E-11	20.3541294
2.09597E-11	20.3402638
2.15579E-11	20.0663337
2.15880E-11	20.0526665
2.22045E-11	19.7827347
2.22355E-11	19.7692765
2.28701E-11	19.5036314
2.29021E-11	19.4903494
2.35561E-11	19.228569
2.35890E-11	19.2155116
2.42622E-11	18.9578988
2.42961E-11	18.9450362
2.49899E-11	18.6911939
2.50248E-11	18.6785333
2.57390E-11	18.4287195
2.57750E-11	18.4162343
2.65110E-11	18.1701045
2.65481E-11	18.1578029
2.73057E-11	17.9155968
2.73439E-11	17.9034881
2.81247E-11	17.6648483
2.81641E-11	17.6529085
2.89678E-11	17.4180805
2.90083E-11	17.4063478
2.98367E-11	17.1749652
2.98784E-11	17.1634171
3.07311E-11	16.9357348
3.07740E-11	16.9243774
3.16528E-11	16.7000768
3.16971E-11	16.6888665
3.26017E-11	16.4681557
3.26472E-11	16.4571488
3.35795E-11	16.2397222
3.36265E-11	16.2288548
3.45861E-11	16.0149286
3.46344E-11	16.0042531
3.56235E-11	15.793506
3.56733E-11	15.7829858
3.66913E-11	15.5756509
3.67426E-11	15.5652923
3.77919E-11	15.361045
3.78447E-11	15.3508554
3.89247E-11	15.1499188
3.89791E-11	15.1398845
4.00923E-11	14.9419523
4.01483E-11	14.9320808
4.12941E-11	14.7373722
4.13518E-11	14.7276513
4.25327E-11	14.5358651
4.25921E-11	14.5263012
4.38076E-11	14.3376466
4.38688E-11	14.3282297
4.51216E-11	14.1424263
4.51847E-11	14.1331487
4.64742E-11	13.9503864
4.65391E-11	13.9412674
4.78681E-11	13.7612797
4.79350E-11	13.7522977
4.93030E-11	13.5757284
4.95812E-11	13.5401327
5.07818E-11	13.3928395
5.12839E-11	13.3317781
5.23041E-11	13.2128144
5.30451E-11	13.1271667
5.38729E-11	13.0354211
5.48667E-11	12.926252
5.54878E-11	12.8608285
5.67509E-11	12.7289648
5.71521E-11	12.6888016
5.86999E-11	12.5352431
5.88653E-11	12.5195075
6.06310E-11	12.3530412
6.07157E-11	12.3451254
6.24484E-11	12.1898972
6.28008E-11	12.1586036
6.43215E-11	12.0291528
6.49575E-11	11.9754904
6.62496E-11	11.8709804
6.71882E-11	11.7957382
6.82368E-11	11.7151546
6.94955E-11	11.6192901
7.02822E-11	11.5618512
7.18821E-11	11.4460916
7.23903E-11	11.4108409
7.43507E-11	11.2760943
7.45603E-11	11.2622828
7.67967E-11	11.1162627
7.69040E-11	11.1093186
7.90987E-11	10.9732044
7.95450E-11	10.9457711
8.14712E-11	10.8323039
8.22767E-11	10.7852785
8.39134E-11	10.6937073
8.51022E-11	10.6277954
8.64304E-11	10.5572213
8.80248E-11	10.4732717
8.90212E-11	10.4229928
9.10477E-11	10.3216698
9.16913E-11	10.29083
9.41744E-11	10.1729423
9.44399E-11	10.160862
9.72725E-11	10.0331746
9.74085E-11	10.0270988
1.00188E-10	9.9081392
1.00754E-10	9.8841351
1.03193E-10	9.78504024
1.04214E-10	9.74393465
1.06287E-10	9.66397938
1.07793E-10	9.60642466
1.09475E-10	9.54484204
1.11494E-10	9.47160311
1.12756E-10	9.42774574
1.15323E-10	9.33937287
1.16139E-10	9.31246018
1.19284E-10	9.2097061
1.19620E-10	9.19918905
1.23208E-10	9.08794355
1.23380E-10	9.08265948
1.26901E-10	8.97907161
1.27617E-10	8.95820124
1.30707E-10	8.87194808
1.32000E-10	8.83619194
1.34626E-10	8.76665035
1.36533E-10	8.71661993
1.38664E-10	8.6630814
1.41221E-10	8.59944868
1.42820E-10	8.56134252
1.46071E-10	8.48460627
1.47104E-10	8.46125685
1.51088E-10	8.37206754
1.51513E-10	8.36295635
1.56058E-10	8.26646967
1.56276E-10	8.26188494
1.60736E-10	8.17210035
1.61643E-10	8.15401409
1.65557E-10	8.07930607
1.67194E-10	8.04835789
1.70520E-10	7.9881699
1.72936E-10	7.94487002
1.75635E-10	7.89856905
1.78875E-10	7.84352593
1.80899E-10	7.81061314
1.85017E-10	7.74430787
1.86325E-10	7.72414923
1.91371E-10	7.64714971
1.91911E-10	7.63926253
1.97667E-10	7.55602851
1.97943E-10	7.55207595
2.03592E-10	7.47467674
2.04741E-10	7.45908744
2.09699E-10	7.39472929
2.11772E-10	7.36808494
2.15985E-10	7.31627853
2.19045E-10	7.27902354
2.22463E-10	7.23931965
2.27523E-10	7.18113422
2.29132E-10	7.16353055
2.36004E-10	7.08911233
2.36334E-10	7.08557403
2.43079E-10	7.01679077
2.45482E-10	6.99253138
2.50370E-10	6.94559816
2.54989E-10	6.90170005
2.57875E-10	6.87561063
2.64858E-10	6.81313792
2.65610E-10	6.80673882
2.73572E-10	6.73970039
2.75115E-10	6.72684061
2.81777E-10	6.67404847
2.85764E-10	6.64278117
2.90224E-10	6.60952493
2.96831E-10	6.5607772
2.98929E-10	6.54605767
3.07890E-10	6.48386033
3.08320E-10	6.48090655
3.17125E-10	6.42341988
3.20260E-10	6.40316737
3.26631E-10	6.36404584
3.32656E-10	6.32744419
3.36428E-10	6.30566246
3.45539E-10	6.25362333
3.46513E-10	6.24833442
3.56906E-10	6.19252307
3.58913E-10	6.18186085
3.67605E-10	6.13798544
3.72813E-10	6.11198267
3.78631E-10	6.08437729
3.87243E-10	6.0439686
3.89981E-10	6.03175901
4.01678E-10	5.98018647
4.02239E-10	5.97774005
4.13719E-10	5.930319
4.19580E-10	5.90637827
4.26128E-10	5.88110983
4.37668E-10	5.83708602
4.38901E-10	5.83264131
4.52066E-10	5.78574015
4.56535E-10	5.76999909
4.65617E-10	5.73978459
4.76217E-10	5.7049292
4.79583E-10	5.69447259
4.93959E-10	5.65034335
4.96746E-10	5.64188669
5.08775E-10	5.60741832
5.18161E-10	5.58084022
5.24026E-10	5.5651527
5.39744E-10	5.5236189
5.40498E-10	5.52164979
5.55923E-10	5.48361435
5.63799E-10	5.46442668
5.72598E-10	5.44418065
5.88104E-10	5.4089405
5.89762E-10	5.40539056
6.07452E-10	5.36799358
6.16047E-10	5.35004614
6.25661E-10	5.33119261
6.44427E-10	5.29485618
6.45328E-10	5.29313292
6.63744E-10	5.26006487
6.75989E-10	5.23835548
6.83653E-10	5.22559207
7.04146E-10	5.19190764
7.08119E-10	5.18545969
7.25267E-10	5.1593251
7.41764E-10	5.13450986
7.47007E-10	5.12709925
7.69413E-10	5.09585572
7.77020E-10	5.08538638
7.92477E-10	5.06545863
8.16247E-10	5.03522682
8.17388E-10	5.0337946
8.40715E-10	5.00644621
8.59853E-10	4.98431341
8.65932E-10	4.9777414
8.91889E-10	4.9500741
9.04524E-10	4.93679051
9.18641E-10	4.92291672
9.46178E-10	4.89623749
9.51516E-10	4.89113687
9.74558E-10	4.87061217
1.00377E-09	4.84496277
1.00517E-09	4.84374803
1.03388E-09	4.82064153
1.06188E-09	4.79843064
1.06487E-09	4.79621955
1.09681E-09	4.77298766
1.12176E-09	4.75510787
1.12969E-09	4.74981562
1.16357E-09	4.72754828
1.18504E-09	4.71365189
1.19845E-09	4.70558455
1.23440E-09	4.68430163
1.25717E-09	4.67102269
1.27140E-09	4.66333057
1.30954E-09	4.64304384
1.33369E-09	4.63039064
1.34879E-09	4.62305624
1.38925E-09	4.60371869
1.41488E-09	4.59166065
1.43089E-09	4.58468454
1.47381E-09	4.56629911
1.50733E-09	4.55216806
1.51799E-09	4.54801726
1.56352E-09	4.53057988
1.60586E-09	4.51463005
1.61039E-09	4.5130566
1.65869E-09	4.49655796
1.70841E-09	4.47985996
1.71805E-09	4.47667579
1.75966E-09	4.46402905
1.81240E-09	4.44827182
1.83808E-09	4.44073067
1.86677E-09	4.43298616
1.92272E-09	4.41814792
1.97479E-09	4.40458029
1.98039E-09	4.40323958
2.03976E-09	4.3892933
2.10094E-09	4.37517762
2.12171E-09	4.37046895
2.16392E-09	4.36169936
2.22882E-09	4.34846347
2.28918E-09	4.33637739
2.29563E-09	4.33519615
2.36449E-09	4.32283452
2.43537E-09	4.31034888
2.48029E-09	4.30257978
2.50842E-09	4.29814067
2.58361E-09	4.28650292
2.66110E-09	4.27473779
2.68741E-09	4.27081786
2.74087E-09	4.26355573
2.82308E-09	4.25261008
2.90771E-09	4.24156186
2.92411E-09	4.23946052
2.99492E-09	4.23121817
3.08470E-09	4.22098032
3.17722E-09	4.21063847
3.19509E-09	4.20867985
3.27246E-09	4.20099323
3.37062E-09	4.19144496
3.47166E-09	4.18181651
3.50598E-09	4.17861082
3.57579E-09	4.17271354
3.68297E-09	4.16385283
3.79344E-09	4.15491256
3.86342E-09	4.14936522
3.90715E-09	4.14623402
4.02435E-09	4.13802949
4.14498E-09	4.12976718
4.26931E-09	4.12143263
4.27527E-09	4.12104084
4.39728E-09	4.11382845
4.52918E-09	4.10620709
4.66494E-09	4.0985346
4.75100E-09	4.09377609
4.80487E-09	4.09109947
4.94890E-09	4.08411017
5.09734E-09	4.07707225
5.25013E-09	4.06999042
5.32451E-09	4.06661893
5.40761E-09	4.0632518
5.56971E-09	4.05684143
