E(MeV)	Mo-nat
1.179930E-05	9.01812
1.180800E-05	9.27225
1.181680E-05	9.54881
1.182550E-05	9.84983
1.183370E-05	10.1532
1.184120E-05	10.4551
1.184870E-05	10.7795
1.185620E-05	11.1278
1.186370E-05	11.5014
1.187120E-05	11.9016
1.188240E-05	12.5545
1.189310E-05	13.2317
1.190240E-05	13.8799
1.191180E-05	14.5764
1.192120E-05	15.3208
1.193370E-05	16.3857
1.194560E-05	17.4682
1.196250E-05	19.1061
1.200650E-05	23.5997
1.202260E-05	25.1506
1.203550E-05	26.2746
1.204670E-05	27.1413
1.205800E-05	27.8756
1.206800E-05	28.4003
1.207800E-05	28.7917
1.208600E-05	28.9909
1.208800E-05	29.0407
1.209900E-05	29.1428
1.210000E-05	29.1431
1.210900E-05	29.0776
1.211900E-05	28.8635
1.212900E-05	28.506
1.213900E-05	28.0137
1.214800E-05	27.4651
1.216000E-05	26.5964
1.217200E-05	25.5964
1.218700E-05	24.2072
1.220900E-05	22.007
1.223690E-05	19.1813
1.225380E-05	17.558
1.226850E-05	16.2395
1.227880E-05	15.3761
1.228910E-05	14.5681
1.229940E-05	13.817
1.230980E-05	13.123
1.232010E-05	12.4848
1.232880E-05	11.9857
1.233760E-05	11.5237
1.234630E-05	11.0969
1.235510E-05	10.7033
1.236380E-05	10.3408
1.237260E-05	10.0072
1.238130E-05	9.70023
1.239010E-05	9.41791
1.240010E-05	9.12282
1.241010E-05	8.85442
1.242010E-05	8.61008
1.243010E-05	8.38737
1.244010E-05	8.18409
1.245010E-05	7.99827
1.246010E-05	7.8281
1.247010E-05	7.67199
1.248260E-05	7.49446
1.249510E-05	7.33424
1.250760E-05	7.18919
1.252010E-05	7.05751
1.253260E-05	6.93763
1.254510E-05	6.82818
1.255760E-05	6.728
1.257010E-05	6.63606
1.258640E-05	6.52744
1.260270E-05	6.42961
1.261890E-05	6.34117
1.263520E-05	6.26097
1.265140E-05	6.18798
1.266770E-05	6.12137
1.268390E-05	6.0604
1.270020E-05	6.00444
1.272270E-05	5.93425
1.274520E-05	5.87143
1.276770E-05	5.81498
1.279020E-05	5.76405
1.281270E-05	5.71794
1.283520E-05	5.67606
1.285770E-05	5.6379
1.288020E-05	5.60303
1.290770E-05	5.56434
1.293530E-05	5.52943
1.296280E-05	5.49783
1.299030E-05	5.46912
1.301780E-05	5.44296
1.304530E-05	5.41905
1.308650E-05	5.38685
1.312280E-05	5.36168
1.315660E-05	5.34051
1.319030E-05	5.32125
1.323530E-05	5.29814
1.328040E-05	5.27758
1.332540E-05	5.25921
1.337040E-05	5.24271
1.341540E-05	5.22783
1.346040E-05	5.21436
1.350790E-05	5.20148
1.355540E-05	5.18979
1.362660E-05	5.17417
1.369780E-05	5.1605
1.376900E-05	5.14845
1.377850E-05	5.14703
1.384020E-05	5.13791
1.391340E-05	5.1283
1.398670E-05	5.11974
1.408430E-05	5.10967
1.418190E-05	5.10086
1.428090E-05	5.093
1.438130E-05	5.08596
1.448170E-05	5.0797
1.463230E-05	5.07152
1.478710E-05	5.06436
1.494190E-05	5.05819
1.509820E-05	5.0528
1.525740E-05	5.04802
1.541660E-05	5.04389
1.559080E-05	5.04013
1.573650E-05	5.03781
1.577330E-05	5.03742
1.584500E-05	5.03702
1.589750E-05	5.03724
1.595000E-05	5.03828
1.598500E-05	5.03978
1.601130E-05	5.04157
1.603750E-05	5.04417
1.606380E-05	5.0478
1.608120E-05	5.05091
1.609870E-05	5.05464
1.611620E-05	5.059
1.614250E-05	5.0667
1.617750E-05	5.07858
1.621250E-05	5.09079
1.623700E-05	5.09824
1.625800E-05	5.10314
1.627480E-05	5.10572
1.628880E-05	5.1068
1.629900E-05	5.10695
1.631120E-05	5.10639
1.632520E-05	5.1048
1.634200E-05	5.10164
