E(MeV)	Cr-nat			
7.54464E-04	4.76151			
8.23059E-04	4.8119			
8.63433E-04	4.84162			
9.01549E-04	4.87677			
9.97429E-04	4.96535			
1.08652E-03	5.04779			
1.10185E-03	5.06199			
1.18180E-03	5.15386			
1.24656E-03	5.22835			
1.26755E-03	5.25735			
1.31471E-03	5.32255			
1.37874E-03	5.41116			
1.43090E-03	5.48345			
1.45013E-03	5.51016			
1.46396E-03	5.53247			
1.48727E-03	5.5702			
1.50421E-03	5.59772			
1.51703E-03	5.61863			
1.52693E-03	5.63486			
1.53741E-03	5.65215			
1.54463E-03	5.66415			
1.55254E-03	5.67747			
1.55805E-03	5.68688			
1.56318E-03	5.69575			
1.56703E-03	5.70253			
1.57087E-03	5.70942			
1.57472E-03	5.71649			
1.57728E-03	5.72132			
1.57977E-03	5.72611			
1.58217E-03	5.73087			
1.58458E-03	5.73581			
1.58698E-03	5.74095			
1.58878E-03	5.74496			
1.59058E-03	5.74916			
1.59239E-03	5.75357			
1.59419E-03	5.75825			
1.59539E-03	5.76155			
1.59659E-03	5.76502			
1.59780E-03	5.76869			
1.59900E-03	5.7726			
1.60020E-03	5.7768			
1.60140E-03	5.78134			
1.60220E-03	5.78459			
1.60300E-03	5.78806			
1.60381E-03	5.79177			
1.60457E-03	5.79556			
1.60529E-03	5.79941			
1.60601E-03	5.80357			
1.60673E-03	5.80808			
1.60725E-03	5.81162			
1.60745E-03	5.81328			
1.60817E-03	5.81973			
1.60889E-03	5.82673			
1.60943E-03	5.8324			
1.60998E-03	5.8385			
1.61058E-03	5.84585			
1.61118E-03	5.8539			
1.61178E-03	5.86278			
1.61218E-03	5.86924			
1.61258E-03	5.8762			
1.61298E-03	5.88371			
1.61336E-03	5.89144			
1.61372E-03	5.89935			
1.61408E-03	5.90792			
1.61444E-03	5.91724			
1.61480E-03	5.92741			
1.61516E-03	5.93856			
1.61552E-03	5.95083			
1.61588E-03	5.9644			
1.61619E-03	5.97729			
1.61646E-03	5.98908			
1.61672E-03	6.00189			
1.61698E-03	6.01585			
1.61724E-03	6.03112			
1.61750E-03	6.04788			
1.61767E-03	6.05996			
1.61776E-03	6.06707			
1.61802E-03	6.08956			
1.61825E-03	6.11137			
1.61845E-03	6.13201			
1.61865E-03	6.15442			
1.61885E-03	6.17885			
1.61905E-03	6.20562			
1.61925E-03	6.23508			
1.61945E-03	6.26769			
1.61960E-03	6.29455			
1.61975E-03	6.32379			
1.61991E-03	6.35801			
1.62007E-03	6.39587			
1.62023E-03	6.43806			
1.62035E-03	6.47571			
1.62047E-03	6.51672			
1.62059E-03	6.56161			
1.62071E-03	6.61104			
1.62083E-03	6.66582			
1.62095E-03	6.7269			
1.62106E-03	6.79003			
1.62116E-03	6.84867			
1.62125E-03	6.91337			
1.62134E-03	6.98502			
1.62136E-03	7.00043			
1.62144E-03	7.06846			
1.62153E-03	7.162			
1.62162E-03	7.26612			
1.62172E-03	7.38236			
1.62178E-03	7.46745			
1.62184E-03	7.55931			
1.62190E-03	7.65854			
1.62196E-03	7.76587			
1.62199E-03	7.80707			
1.62203E-03	7.88493			
1.62210E-03	8.0372			
1.62217E-03	8.20372			
1.62224E-03	8.38593			
1.62231E-03	8.58535			
1.62236E-03	8.71878			
1.62239E-03	8.80641			
1.62246E-03	9.05235			
1.62253E-03	9.32068			
1.62260E-03	9.61332			
1.62267E-03	9.93229			
1.62273E-03	10.2024			
1.62275E-03	10.2817			
1.62282E-03	10.6468			
1.62288E-03	10.9928			
1.62294E-03	11.3626			
1.62300E-03	11.7575			
1.62305E-03	12.1504			
1.62306E-03	12.1791			
1.62312E-03	12.636			
1.62320E-03	13.29			
1.62328E-03	13.9973			
1.62329E-03	14.1499			
1.62336E-03	14.7695			
